problem_id,variant_type,model,model_answer,ground_truth,reason,adjudicated_correct,extracted_value,method,review_note
CC_01,W3,mock,"Total: 2
 Scoops: [3, 3]","Total: 2
 Scoops: [3, 3]",parse_failed: 'scoop_names',True,2,queue_rule_cc_total_items,
CC_01,W3,anthropic/claude-3.7-sonnet,"Total: 2 Scoops: [3, 3]","Total: 2
 Scoops: [3, 3]",parse_failed: 'scoop_names',True,2,queue_rule_cc_total_items,
CC_02,W3,anthropic/claude-3.7-sonnet,"Total: 2 Scoops: [5, 6]","Total: 2
 Scoops: [5, 6]",parse_failed: 'scoop_names',True,2,queue_rule_cc_total_items,
CC_03,W3,anthropic/claude-3.7-sonnet,"Total: 3 Scoops: [1, 6, 6]","Total: 2
 Scoops: [6, 7]",parse_failed: 'scoop_names',False,3,queue_rule_cc_total_items,
CC_04,W3,anthropic/claude-3.7-sonnet,"Total: 3 Scoops: [7, 10, 10]","Total: 2
Scoops: [17, 10]",parse_failed: 'scoop_names',False,3,queue_rule_cc_total_items,
CC_05,W3,anthropic/claude-3.7-sonnet,"Total: 2 Scoops: [7, 7]","Total: 2
 Scoops: [7, 7]",parse_failed: 'scoop_names',True,2,queue_rule_cc_total_items,
CC_06,W3,anthropic/claude-3.7-sonnet,"Total: 3 Scoops: [7, 7, 12]","Total: 3
 Scoops: [12, 7, 7]",parse_failed: 'scoop_names',True,3,queue_rule_cc_total_items,
CC_07,W3,anthropic/claude-3.7-sonnet,"Total: 2 Scoops: [4, 8]","Total: 2
Scoops: [8, 4]",parse_failed: 'scoop_names',True,2,queue_rule_cc_total_items,
CC_08,W3,anthropic/claude-3.7-sonnet,"Total: 2 Scoops: [5, 25]","Total: 2
 Scoops: [15, 15]",parse_failed: 'scoop_names',False,2,queue_rule_cc_total_items,
CC_09,W3,anthropic/claude-3.7-sonnet,"Total: 8 Scoops: [197, 197, 11, 11, 7]","Total: 5
 Scoops: [197, 197, 11, 11, 7]",parse_failed: 'scoop_names',False,8,queue_rule_cc_total_items,
CC_10,W3,anthropic/claude-3.7-sonnet,"Total: 6 Scoops: [201, 201, 201, 201, 67, 94]","Total: 7
 Scoops: [201, 201, 201, 197, 67, 67, 31]",parse_failed: 'scoop_names',False,6,queue_rule_cc_total_items,
SP_001,W3,anthropic/claude-3.7-sonnet,"Path: A -> C -> E -> J -> K -> L, Cost: 20","Path: Hub A → Hub F → Hub K → Hub L, Cost: 17",parse_failed: could not parse path nodes,False,,queue_rule_sp_confirmed_wrong,auto_adjudicated_false: SP queue rows marked wrong by rule
SP_002,W3,anthropic/claude-3.7-sonnet,"Path: 16 -> 12 -> 14 -> 23 -> 8 -> 3 -> 20 -> 0 -> 4 -> 19 -> 18 -> 6 -> 5 -> 10 -> 15 -> 11, Cost: 61","Path: Hub Q → Hub M → Hub J → Hub T → Hub S → Hub G → Hub F → Hub K → Hub P → Hub V → Hub L, Cost: 40",parse_failed: could not parse path nodes,False,,queue_rule_sp_confirmed_wrong,auto_adjudicated_false: SP queue rows marked wrong by rule
SP_003,W2,anthropic/claude-3.7-sonnet,"To find the fastest route from Safe House 11 to Drop Point 9, I'll apply Dijkstra's shortest path algorithm on the given one-way road network.

Starting from Safe House 11, I need to find the shortest path to Drop Point 9, considering all possible routes through the network.

After analyzing all possible paths through the network, I've found the fastest route:

Path: Safe House 11 → Shortcut 17 → Flyover 7 → Interchange 6 → Overpass 3 → Drop Point 9, Cost: 32

This route takes a total of 32 minutes:
- Safe House 11 to Shortcut 17: 5 minutes
- Shortcut 17 to Flyover 7: 8 minutes
- Flyover 7 to Interchange 6: 7 minutes
- Interchange 6 to Overpass 3: 9 minutes
- Overpass 3 to Drop Point 9: 3 minutes","Path: 11 → 17 → 10 → 2 → 3 → 9, Cost: 22",parse_failed: could not parse path nodes,False,,queue_rule_sp_confirmed_wrong,auto_adjudicated_false: SP queue rows marked wrong by rule
SP_003,W3,anthropic/claude-3.7-sonnet,"Path: 11 -> 19 -> 16 -> 4 -> 7 -> 6 -> 12 -> 9, Cost: 38","Path: Hub L → Hub R → Hub K → Hub C → Hub D → Hub J, Cost: 22",parse_failed: could not parse path nodes,False,,queue_rule_sp_confirmed_wrong,auto_adjudicated_false: SP queue rows marked wrong by rule
SP_004,W3,anthropic/claude-3.7-sonnet,"Path: 0 -> 1 -> 5 -> 9, Cost: 8","Path: Hub A → Hub D → Hub G → Hub E → Hub F → Hub J, Cost: 8",parse_failed: could not parse path nodes,False,,queue_rule_sp_confirmed_wrong,auto_adjudicated_false: SP queue rows marked wrong by rule
SP_005,W3,anthropic/claude-3.7-sonnet,"Path: 0 -> 1 -> 2 -> 6 -> 8 -> 15 -> 8 -> 10 -> 15, Cost: 62","Path: Hub A → Hub E → Hub J → Hub L → Hub O → Hub P, Cost: 32",parse_failed: could not parse path nodes,False,,queue_rule_sp_confirmed_wrong,auto_adjudicated_false: SP queue rows marked wrong by rule
WIS_001,W3,anthropic/claude-3.7-sonnet,"Selected: {0, 2, 4, 6, 9}, Total: 40","Selected: {Item A, Item C, Item E, Item G, Item J}, Total: 40",parse_failed: selected set parsing failed,True,40,queue_rule_wis_total,auto_adjudicated_true: matched near expected_total=40
CC_01,W3,openai/gpt-4o,"Total: 2 Scoops: [3 g, 3 g]","Total: 2
 Scoops: [3, 3]",parse_failed: 'scoop_names',True,2,queue_rule_cc_total_items,
CC_02,W3,openai/gpt-4o,"Total: 2 Scoops: [6 g, 5 g]","Total: 2
 Scoops: [5, 6]",parse_failed: 'scoop_names',True,2,queue_rule_cc_total_items,
CC_03,W3,openai/gpt-4o,"Total: 2 Scoops: [6, 7]","Total: 2
 Scoops: [6, 7]",parse_failed: 'scoop_names',True,2,queue_rule_cc_total_items,
CC_04,W3,openai/gpt-4o,"Total: 2 Scoops: [17, 10]","Total: 2
Scoops: [17, 10]",parse_failed: 'scoop_names',True,2,queue_rule_cc_total_items,
CC_05,W3,openai/gpt-4o,"Total: 2 Scoops: [7 g, 7 g]","Total: 2
 Scoops: [7, 7]",parse_failed: 'scoop_names',True,2,queue_rule_cc_total_items,
CC_06,W3,openai/gpt-4o,"Total: 3 Scoops: [15, 8, 3]","Total: 3
 Scoops: [12, 7, 7]",parse_failed: 'scoop_names',False,3,queue_rule_cc_total_items,
CC_07,W3,openai/gpt-4o,"Total: 2 Scoops: [4, 8]","Total: 2
Scoops: [8, 4]",parse_failed: 'scoop_names',True,2,queue_rule_cc_total_items,
CC_08,W3,openai/gpt-4o,"Total: 2 Scoops: [25 g, 5 g]","Total: 2
 Scoops: [15, 15]",parse_failed: 'scoop_names',False,2,queue_rule_cc_total_items,
CC_09,W3,openai/gpt-4o,"Total: 5 Scoops: [197, 197, 17, 7, 5]","Total: 5
 Scoops: [197, 197, 11, 11, 7]",parse_failed: 'scoop_names',False,5,queue_rule_cc_total_items,
CC_10,W3,openai/gpt-4o,"Total: 8 Scoops: [201, 201, 201, 201, 11, 7, 7, 7]","Total: 7
 Scoops: [201, 201, 201, 197, 67, 67, 31]",parse_failed: 'scoop_names',False,8,queue_rule_cc_total_items,
SP_001,canonical,openai/gpt-4o,"Path: Warehouse 0 -> Depot 2 -> Parkway 4 -> Terminal 7 -> Customer 11, Cost: 22 mins","Path: 0 → 5 → 10 → 11, Cost: 17",parse_failed: could not parse path nodes,False,,queue_rule_sp_confirmed_wrong,auto_adjudicated_false: SP queue rows marked wrong by rule
