family,model,variant_type,metric_name,metric_value,n,denominator_n,instance_set,ci_lower,ci_upper
BW,anthropic/claude-sonnet-4,canonical,VAR,0.5,10,10,extended_bw,0.2,0.8
BW,anthropic/claude-sonnet-4,canonical,VAR,0.0,15,15,mbw,0.0,0.0
BW,anthropic/claude-sonnet-4,canonical,VAR,0.4880952380952381,84,84,standard_bw,0.38095238095238093,0.5952380952380952
BW,anthropic/claude-sonnet-4,w1,VAR,0.3,10,10,extended_bw,0.0,0.6
BW,anthropic/claude-sonnet-4,w1,VAR,0.0,15,15,mbw,0.0,0.0
BW,anthropic/claude-sonnet-4,w1,VAR,0.4523809523809524,84,84,standard_bw,0.34523809523809523,0.5595238095238095
BW,anthropic/claude-sonnet-4,w2,VAR,0.7,10,10,extended_bw,0.4,1.0
BW,anthropic/claude-sonnet-4,w2,VAR,0.0,15,15,mbw,0.0,0.0
BW,anthropic/claude-sonnet-4,w2,VAR,0.4523809523809524,84,84,standard_bw,0.34523809523809523,0.5595238095238095
BW,anthropic/claude-sonnet-4,w3,VAR,0.2,10,10,extended_bw,0.0,0.5
BW,anthropic/claude-sonnet-4,w3,VAR,0.3333333333333333,15,15,mbw,0.13333333333333333,0.6
BW,anthropic/claude-sonnet-4,w3,VAR,0.4166666666666667,84,84,standard_bw,0.30952380952380953,0.5238095238095238
BW,anthropic/claude-sonnet-4,w4,VAR,0.1,10,10,extended_bw,0.0,0.3
BW,anthropic/claude-sonnet-4,w4,VAR,0.0,15,15,mbw,0.0,0.0
BW,anthropic/claude-sonnet-4,w4,VAR,0.35714285714285715,84,84,standard_bw,0.2619047619047619,0.4642857142857143
BW,anthropic/claude-sonnet-4,w5,VAR,0.8,10,10,extended_bw,0.5,1.0
BW,anthropic/claude-sonnet-4,w5,VAR,0.0,15,15,mbw,0.0,0.0
BW,anthropic/claude-sonnet-4,w5,VAR,0.7619047619047619,84,84,standard_bw,0.6666666666666666,0.8452380952380952
BW,anthropic/claude-sonnet-4,w6,VAR,0.7,10,10,extended_bw,0.4,1.0
BW,anthropic/claude-sonnet-4,w6,VAR,0.0,15,15,mbw,0.0,0.0
BW,anthropic/claude-sonnet-4,w6,VAR,0.703125,64,64,standard_bw,0.59375,0.8125
BW,deepseek/deepseek-r1-distill-llama-70b,canonical,VAR,0.6,5,5,extended_bw,0.2,1.0
BW,deepseek/deepseek-r1-distill-llama-70b,canonical,VAR,0.0,10,10,mbw,0.0,0.0
BW,deepseek/deepseek-r1-distill-llama-70b,canonical,VAR,0.9411764705882353,34,34,standard_bw,0.8529411764705882,1.0
BW,deepseek/deepseek-r1-distill-llama-70b,w1,VAR,0.8,10,10,extended_bw,0.5,1.0
BW,deepseek/deepseek-r1-distill-llama-70b,w1,VAR,0.0,15,15,mbw,0.0,0.0
BW,deepseek/deepseek-r1-distill-llama-70b,w1,VAR,0.9,40,40,standard_bw,0.8,0.975
BW,deepseek/deepseek-r1-distill-llama-70b,w2,VAR,0.6,10,10,extended_bw,0.3,0.9
BW,deepseek/deepseek-r1-distill-llama-70b,w2,VAR,0.0,15,15,mbw,0.0,0.0
BW,deepseek/deepseek-r1-distill-llama-70b,w2,VAR,0.675,40,40,standard_bw,0.525,0.8
BW,deepseek/deepseek-r1-distill-llama-70b,w3,VAR,0.0,10,10,extended_bw,0.0,0.0
BW,deepseek/deepseek-r1-distill-llama-70b,w3,VAR,0.13333333333333333,15,15,mbw,0.0,0.3333333333333333
BW,deepseek/deepseek-r1-distill-llama-70b,w3,VAR,0.125,40,40,standard_bw,0.025,0.225
BW,deepseek/deepseek-r1-distill-llama-70b,w4,VAR,0.3,10,10,extended_bw,0.0,0.6
BW,deepseek/deepseek-r1-distill-llama-70b,w4,VAR,0.0,15,15,mbw,0.0,0.0
BW,deepseek/deepseek-r1-distill-llama-70b,w4,VAR,0.025,40,40,standard_bw,0.0,0.075
BW,deepseek/deepseek-r1-distill-llama-70b,w5,VAR,0.7,10,10,extended_bw,0.4,1.0
BW,deepseek/deepseek-r1-distill-llama-70b,w5,VAR,0.0,15,15,mbw,0.0,0.0
BW,deepseek/deepseek-r1-distill-llama-70b,w5,VAR,0.325,40,40,standard_bw,0.175,0.475
BW,deepseek/deepseek-r1-distill-llama-70b,w6,VAR,1.0,10,10,extended_bw,1.0,1.0
