file,n_rows,models,prompt_config,variants,has_rank,has_logprob,has_cosine,columns,can_support,cannot_support
mechanistic_llama_gsm_sp_raw.csv,8704,meta-llama/Llama-3.1-8B-Instruct,default/unspecified,W3|W6|canonical,True,True,True,problem_id|family|subtype|variant_type|layer|n_layers|rank|logprob|cosine_to_gold_unembed|gold_value|gold_token_ids|gold_token_decoded|gold_first_token_note|model|model_answer|model_correct|p1_behavioral_correct|verify_reason,gold-token rank across layers; gold-token logprob across layers; layer cosine / crystallization,cannot support 5-API-model paper claims (these files are local Llama/Qwen); do not compute new mechanistic claims from this inventory
mechanistic_sweep_7b.csv,268,Qwen/Qwen2.5-7B-Instruct,default/unspecified,W6|canonical,False,False,True,problem_id|problem_family|variant_type|model|crystallization_layer|n_layers_processed|layer_cosine_similarities,layer cosine / crystallization,cannot support 5-API-model paper claims (these files are local Llama/Qwen); do not compute new mechanistic claims from this inventory
mechanistic_sweep_7b_base_rawqa.csv,398,Qwen/Qwen2.5-7B,base_rawqa,W6|canonical,True,True,True,problem_id|problem_family|variant_type|model|crystallization_layer|n_layers_processed|layer_cosine_similarities|target_rank_per_layer|target_logprob_per_layer|target_token_id|target_token_decoded,gold-token rank across layers; gold-token logprob across layers; layer cosine / crystallization,cannot support 5-API-model paper claims (these files are local Llama/Qwen); do not compute new mechanistic claims from this inventory
mechanistic_sweep_7b_rawprompt.csv,268,Qwen/Qwen2.5-7B-Instruct,rawprompt,W6|canonical,False,False,True,problem_id|problem_family|variant_type|model|crystallization_layer|n_layers_processed|layer_cosine_similarities,layer cosine / crystallization,cannot support 5-API-model paper claims (these files are local Llama/Qwen); do not compute new mechanistic claims from this inventory
mechanistic_sweep_llama31_8b_instruct.csv,398,meta-llama/Llama-3.1-8B-Instruct,default/unspecified,W6|canonical,True,True,True,problem_id|problem_family|variant_type|model|crystallization_layer|n_layers_processed|layer_cosine_similarities|target_rank_per_layer|target_logprob_per_layer|target_token_id|target_token_decoded,gold-token rank across layers; gold-token logprob across layers; layer cosine / crystallization,cannot support 5-API-model paper claims (these files are local Llama/Qwen); do not compute new mechanistic claims from this inventory
mechanistic_sweep_llama31_8b_instruct_chatdirect_contentgold.csv,398,meta-llama/Llama-3.1-8B-Instruct,chatdirect_contentgold,W6|canonical,True,True,True,problem_id|problem_family|variant_type|model|crystallization_layer|n_layers_processed|layer_cosine_similarities|target_rank_per_layer|target_logprob_per_layer|target_token_id|target_token_decoded,gold-token rank across layers; gold-token logprob across layers; layer cosine / crystallization,cannot support 5-API-model paper claims (these files are local Llama/Qwen); do not compute new mechanistic claims from this inventory
mechanistic_sweep_qwen25_7b_base_rawqa_contentgold.csv,398,Qwen/Qwen2.5-7B,base_rawqa,W6|canonical,True,True,True,problem_id|problem_family|variant_type|model|crystallization_layer|n_layers_processed|layer_cosine_similarities|target_rank_per_layer|target_logprob_per_layer|target_token_id|target_token_decoded,gold-token rank across layers; gold-token logprob across layers; layer cosine / crystallization,cannot support 5-API-model paper claims (these files are local Llama/Qwen); do not compute new mechanistic claims from this inventory
mechanistic_sweep_qwen25_7b_instruct_chatdirect_contentgold.csv,398,Qwen/Qwen2.5-7B-Instruct,chatdirect_contentgold,W6|canonical,True,True,True,problem_id|problem_family|variant_type|model|crystallization_layer|n_layers_processed|layer_cosine_similarities|target_rank_per_layer|target_logprob_per_layer|target_token_id|target_token_decoded,gold-token rank across layers; gold-token logprob across layers; layer cosine / crystallization,cannot support 5-API-model paper claims (these files are local Llama/Qwen); do not compute new mechanistic claims from this inventory
ALGO_P3_mechanistic.csv,20,Qwen/Qwen2.5-0.5B-Instruct,default/unspecified,canonical,False,False,True,problem_id|problem_family|variant_type|model|crystallization_layer|n_layers_processed|layer_cosine_similarities,layer cosine / crystallization,cannot support 5-API-model paper claims (these files are local Llama/Qwen); do not compute new mechanistic claims from this inventory
GSM_P3_mechanistic.csv,20,Qwen/Qwen2.5-0.5B-Instruct,default/unspecified,canonical,False,False,True,problem_id|problem_family|variant_type|model|crystallization_layer|n_layers_processed|layer_cosine_similarities,layer cosine / crystallization,cannot support 5-API-model paper claims (these files are local Llama/Qwen); do not compute new mechanistic claims from this inventory
BW_P3_mechanistic.csv,35,Qwen/Qwen2.5-0.5B-Instruct,default/unspecified,W6|canonical,False,False,True,problem_id|problem_family|variant_type|model|crystallization_layer|n_layers_processed|layer_cosine_similarities,layer cosine / crystallization,cannot support 5-API-model paper claims (these files are local Llama/Qwen); do not compute new mechanistic claims from this inventory
