family,problem_id,model,model_short,subtype,tep,cci,final_ok,inject_at_step,instance_type,tep_inclusive,first_response_class,session_status,tep_valid,final_ok_defined,quality_flag,dissoc_label
GSM,GSM_001,anthropic/claude-sonnet-4,Claude,,0.0,0.25,True,2,,,,,True,True,analysis_ready,aligned_low_tep_correct_final
GSM,GSM_002,anthropic/claude-sonnet-4,Claude,,0.0,0.75,True,2,,,,,True,True,analysis_ready,aligned_low_tep_correct_final
GSM,GSM_003,anthropic/claude-sonnet-4,Claude,,0.0,0.6,True,2,,,,,True,True,analysis_ready,aligned_low_tep_correct_final
GSM,GSM_004,anthropic/claude-sonnet-4,Claude,,1.0,0.5,False,2,,,,,True,True,analysis_ready,aligned_high_tep_wrong_final
GSM,GSM_005,anthropic/claude-sonnet-4,Claude,,1.0,0.0,True,4,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_006,anthropic/claude-sonnet-4,Claude,,1.0,0.0,False,1,,,,,True,True,analysis_ready,aligned_high_tep_wrong_final
GSM,GSM_007,anthropic/claude-sonnet-4,Claude,,1.0,0.0,True,1,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_008,anthropic/claude-sonnet-4,Claude,,1.0,0.2857,True,3,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_009,anthropic/claude-sonnet-4,Claude,,1.0,0.0,True,2,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_010,anthropic/claude-sonnet-4,Claude,,0.0,0.1667,True,3,,,,,True,True,analysis_ready,aligned_low_tep_correct_final
GSM,GSM_011,anthropic/claude-sonnet-4,Claude,,0.6667,0.2,True,2,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_012,anthropic/claude-sonnet-4,Claude,,0.5,0.25,True,2,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_013,anthropic/claude-sonnet-4,Claude,,1.0,0.2857,True,3,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_014,anthropic/claude-sonnet-4,Claude,,1.0,0.5,True,2,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_015,anthropic/claude-sonnet-4,Claude,,0.0,0.0,False,1,,,,,True,True,analysis_ready,dissociated_low_tep_wrong_final
GSM,GSM_016,anthropic/claude-sonnet-4,Claude,,0.6,0.2222,True,4,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_017,anthropic/claude-sonnet-4,Claude,,0.7,0.2105,True,9,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_018,anthropic/claude-sonnet-4,Claude,,0.6667,0.2727,True,5,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_019,anthropic/claude-sonnet-4,Claude,,0.6667,0.0909,True,5,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_020,anthropic/claude-sonnet-4,Claude,,0.0,0.7,True,5,,,,,True,True,analysis_ready,aligned_low_tep_correct_final
GSM,GSM_041,anthropic/claude-sonnet-4,Claude,,1.0,0.75,True,2,,,,,True,True,analysis_ready,dissociated_high_tep_correct_final
GSM,GSM_042,anthropic/claude-sonnet-4,Claude,,0.0,0.3333,True,1,,,,,True,True,analysis_ready,aligned_low_tep_correct_final
