problem_id,variant_type,model,raw_response,behavioral_correct,correct_answer,problem_family,contamination_pole,difficulty,old_verified,rescored_correct,verify_method,rescore_reason,verdict_changed
BW_001,W1,openai/o4-mini,"1. pick-up h  
2. stack h l  
3. pick-up b  
4. stack b h  
5. pick-up d  
6. stack d b  
7. pick-up g  
8. stack g d  
9. pick-up i  
10. stack i g  
11. pick-up f  
12. stack f i  
13. pick-up j  
14. stack j f",True,"pick-up h
stack h l
pick-up b
stack b h
pick-up d
stack d b
pick-up g
stack g d
pick-up i
stack i g
pick-up f
stack f i
pick-up j
stack j f",planning_suite,high,medium,True,True,state_machine,correct,False
BW_001,W2,openai/o4-mini,"1 pick-up h  
2 stack h l  
3 pick-up b  
4 stack b h  
5 pick-up d  
6 stack d b  
7 pick-up g  
8 stack g d  
9 pick-up i  
10 stack i g  
11 pick-up f  
12 stack f i  
13 pick-up j  
14 stack j f",True,"pick-up h
stack h l
pick-up b
stack b h
pick-up d
stack d b
pick-up g
stack g d
pick-up i
stack i g
pick-up f
stack f i
pick-up j
stack j f",planning_suite,high,medium,True,True,state_machine,correct,False
BW_001,W3,openai/o4-mini,"1. select James  
2. place James under Fiona  
3. select Fiona  
4. place Fiona under Ian  
5. select Ian  
6. place Ian under Grace  
7. select Grace  
8. place Grace under Derek  
9. select Derek  
10. place Derek under Ben  
11. select Ben  
12. place Ben under Hannah  
13. select Hannah  
14. place Hannah under Leo",False,"select Hannah
place Hannah under Leo
select Ben
place Ben under Hannah
select Derek
place Derek under Ben
select Grace
place Grace under Derek
select Ian
place Ian under Grace
select Fiona
place Fiona under Ian
select James
place James under Fiona",planning_suite,high,medium,False,False,state_machine,incorrect,False
BW_001,W4,openai/o4-mini,"1. pick-up h  
2. stack h l  
3. pick-up b  
4. stack b h  
5. pick-up d  
6. stack d b  
7. pick-up g  
8. stack g d  
9. pick-up i  
10. stack i g  
11. pick-up f  
12. stack f i  
13. pick-up j  
14. stack j f",True,"pick-up h
stack h l
pick-up b
stack b h
pick-up d
stack d b
pick-up g
stack g d
pick-up i
stack i g
pick-up f
stack f i
pick-up j
stack j f",planning_suite,high,medium,True,True,state_machine,correct,False
BW_001,W5,openai/o4-mini,"1. unstack j f  
2. put-down j  
3. unstack f i  
4. put-down f  
5. unstack i g  
6. put-down i  
7. unstack g d  
8. put-down g  
9. unstack d b  
10. put-down d  
11. unstack b h  
12. put-down b  
13. unstack h l  
14. put-down h",True,"unstack j f
put-down j
unstack f i
put-down f
unstack i g
put-down i
unstack g d
put-down g
unstack d b
put-down d
unstack b h
put-down b
unstack h l
put-down h",planning_suite,high,medium,True,True,state_machine,correct,False
BW_001,W6,openai/o4-mini,"1. pick-up h  
2. stack h d  
3. pick-up e  
4. stack e h  
5. pick-up i  
6. stack i e  
7. pick-up a  
8. stack a i  
9. pick-up c  
10. stack c a  
11. pick-up f  
12. stack f c  
13. pick-up b  
14. stack b f  
15. pick-up g  
16. stack g b",True,"pick-up h
stack h d
pick-up e
stack e h
pick-up i
stack i e
pick-up a
stack a i
pick-up c
stack c a
pick-up f
stack f c
pick-up b
stack b f
pick-up g
stack g b",planning_suite,high,medium,True,True,state_machine,correct,False
BW_001,canonical,openai/o4-mini,"1. pick-up h  
2. stack h l  
3. pick-up b  
4. stack b h  
5. pick-up d  
6. stack d b  
7. pick-up g  
8. stack g d  
9. pick-up i  
10. stack i g  
11. pick-up f  
12. stack f i  
13. pick-up j  
14. stack j f",True,"pick-up h
stack h l
pick-up b
stack b h
pick-up d
stack d b
pick-up g
stack g d
pick-up i
stack i g
pick-up f
stack f i
pick-up j
stack j f",planning_suite,high,medium,True,True,state_machine,correct,False
BW_002,W1,openai/o4-mini,"1. pick-up h  
2. stack h i  
3. pick-up k  
4. stack k h  
5. pick-up b  
6. stack b k  
7. pick-up a  
8. stack a b  
9. pick-up g  
10. stack g a  
11. pick-up j  
12. stack j g",True,"pick-up k
 stack k h
 pick-up i
 stack i k
 pick-up b
 stack b i
 pick-up a
 stack a b
 pick-up g
 stack g a
 pick-up j
 stack j g",planning_suite,high,hard,False,True,state_machine,correct,True
BW_002,W2,openai/o4-mini,"1. pick-up h  
2. stack h i  
3. pick-up k  
4. stack k h  
5. pick-up b  
6. stack b k  
7. pick-up a  
8. stack a b  
9. pick-up g  
10. stack g a  
11. pick-up j  
12. stack j g",True,"pick-up k
 stack k h
 pick-up i
 stack i k
 pick-up b
 stack b i
 pick-up a
 stack a b
 pick-up g
 stack g a
 pick-up j
 stack j g",planning_suite,high,hard,False,True,state_machine,correct,True
BW_002,W3,openai/o4-mini,"1. select Jake  
2. place Jake under Grace  
3. select Grace  
4. place Grace under Alice  
5. select Alice  
6. place Alice under Bob  
7. select Bob  
8. place Bob under Kevin  
9. select Kevin  
10. place Kevin under Henry  
11. select Henry  
12. place Henry under Ivan",False,"select Jake
place Jake under Grace
select Grace
place Grace under Alice
select Alice
place Alice under Bob
select Bob
place Bob under Kevin
select Kevin
place Kevin under Henry
select Henry
place Henry under Ivan",planning_suite,high,hard,True,False,state_machine,incorrect,True
BW_002,W4,openai/o4-mini,"1. pick-up h  
2. stack h i  
3. pick-up k  
4. stack k h  
5. pick-up b  
6. stack b k  
7. pick-up a  
8. stack a b  
9. pick-up g  
10. stack g a  
11. pick-up j  
12. stack j g",True,"pick-up k
 stack k h
 pick-up i
 stack i k
 pick-up b
 stack b i
 pick-up a
 stack a b
 pick-up g
 stack g a
 pick-up j
 stack j g",planning_suite,high,hard,False,True,state_machine,correct,True
BW_002,W5,openai/o4-mini,"1. unstack j g  
2. put-down j  
3. unstack g a  
4. put-down g  
5. unstack a b  
6. put-down a  
7. unstack b k  
8. put-down b  
9. unstack k h  
10. put-down k  
11. unstack h i  
12. put-down h",True,"unstack j g
put-down j
unstack g a
put-down g
unstack a b
put-down a
unstack b k
put-down b
unstack k h
put-down k
unstack h i
put-down h",planning_suite,high,hard,True,True,state_machine,correct,False
BW_002,W6,openai/o4-mini,"1. pick-up l  
2. stack l m  
3. pick-up o  
4. stack o l  
5. pick-up e  
6. stack e o  
7. pick-up c  
8. stack c e  
9. pick-up f  
10. stack f c  
11. pick-up n  
12. stack n f",True,"pick-up o
 stack o l
 pick-up m
 stack m o
 pick-up e
 stack e m
 pick-up c
 stack c e
 pick-up f
 stack f c
 pick-up n
 stack n f",planning_suite,high,hard,True,True,state_machine,correct,False
