problem_id,variant_type,model,raw_response,behavioral_correct,correct_answer,problem_family,contamination_pole,difficulty
GSM_001,canonical,openai/gpt-4o,"To calculate the cost of an 86-minute call, you can break down the cost into two parts based on the rates provided:

1. **First 20 minutes:**
   - Rate: $0.9 per minute
   - Cost for 20 minutes = 20 minutes × $0.9/minute = $18

2. **Additional 66 minutes (86 total minutes - 20 minutes):**
   - Rate: $0.5 per minute
   - Cost for 66 minutes = 66 minutes × $0.5/minute = $33

Now, add the two amounts to find the total cost of the call: 

\[ \$18 + \$33 = \$51 \]

Therefore, the cost of an 86-minute call would be \$51.",True,51,arithmetic_reasoning,high,medium
GSM_002,canonical,openai/gpt-4o,"To find out how many kids are in the park, we need to determine both the number of girls and boys, and then add them together.

We're given that there are 18 girls in the park. According to the problem, the number of boys is two-thirds the number of girls. We can calculate the number of boys as follows:

\[ \text{Number of boys} = \frac{2}{3} \times 18 = 12 \]

Now, we add the number of girls and boys to get the total number of kids in the park:

\[ \text{Total number of kids} = 18 \text{ (girls)} + 12 \text{ (boys)} = 30 \]

Therefore, there are 30 kids in the park.",True,30,arithmetic_reasoning,high,easy
GSM_003,canonical,openai/gpt-4o,"To find the total number of cards, we need to determine the number of each color of card and sum them up.

1. **Purple Cards**: Given as 30 cards.

2. **Yellow Cards**: There are 50% more yellow cards than purple cards. This means:
   \[
   \text{Number of Yellow Cards} = 30 + 0.5 \times 30 = 30 + 15 = 45
   \]

3. **Blue Cards**: The number of blue cards is equal to the sum of the number of purple and yellow cards:
   \[
   \text{Number of Blue Cards} = 30 + 45 = 75
   \]

Now, sum up the number of each type of card to get the total number of cards:
\[
\text{Total Number of Cards} = 30 \text{ (Purple)} + 45 \text{ (Yellow)} + 75 \text{ (Blue)} = 150
\]

Thus, there are a total of 150 cards of all mentioned colors.",True,150,arithmetic_reasoning,high,medium
GSM_004,canonical,openai/gpt-4o,"To calculate the annual earnings of the painter, we need to determine the number of days he works in a year and then multiply by his daily wage.

1. **Calculate the number of weeks he works in a year:**

   A year has 12 months. The painter works for 2 weeks per month.

   \[
   12 \text{ months/year} \times 2 \text{ weeks/month} = 24 \text{ weeks/year}
   \]

2. **Calculate the total number of days he works in a year:**

   He works 6 days per week.

   \[
   24 \text{ weeks/year} \times 6 \text{ days/week} = 144 \text{ days/year}
   \]

3. **Calculate his total earnings for the year:**

   He earns ₣150 per day.

   \[
   144 \text{ days/year} \times ₣150/\text{day} = ₣21,600
   \]

Thus, the painter earns ₣21,600 in a year.",True,21600,arithmetic_reasoning,high,easy
GSM_005,canonical,openai/gpt-4o,"Let's calculate the total number of hours Liam spends learning in a week.

1. **Calculating Daily Class Time:**  
   Liam has 6 normal classes plus 1 extra class each day.  
   Total classes per day = 6 + 1 = 7 classes.  
   Each class is 60 minutes long, so daily class time = 7 classes × 60 minutes/class = 420 minutes. 

2. **Calculating Weekly Class Time:**  
   Liam attends classes 6 days a week.  
   Weekly class time = 420 minutes/day × 6 days = 2520 minutes.

3. **Calculating Extra Learning Time on Saturday and Sunday:**  
   According to the problem, Liam spends \(\frac{1}{7}\) of his total weekly minutes as extra learning time on both Saturday and Sunday.  
   First, we calculate \(\frac{1}{7}\) of the 2520 minutes.  
   \(\frac{1}{7} \times 2520 = 360\) minutes.  
   So, he spends 360 minutes each on Saturday and Sunday for extra learning.  
   Total extra learning time for Saturday and Sunday = 360 minutes + 360 minutes = 720 minutes.

4. **Calculating Total Weekly Learning Time:**  
   Total learning time per week = Weekly class time + Extra learning time  
   = 2520 minutes + 720 minutes  
   = 3240 minutes.

5. **Converting Minutes to Hours:**  
   Total hours = \(\frac{3240 \text{ minutes}}{60 \text{ minutes/hour}}\) = 54 hours.

Thus, Liam spends 54 hours a week learning.",True,54,arithmetic_reasoning,high,hard
GSM_006,canonical,openai/gpt-4o,"To calculate the final value of Kayla's shares, we need to determine the stock price at the end of each year and then calculate the total value of all her shares.

1. **Initial Cost**:  
Kayla buys 10 shares at €56 each.  
Initial investment = 10 shares × €56/share = €560.

2. **Price Increase in the First Year**:  
The stock price increases by 30% the first year.  
New stock price = €56 + (30% of €56)  
= €56 + (0.30 × €56)  
= €56 + €16.80  
= €72.80.

3. **Price Decrease in the Second Year**:  
The stock price then decreases by 25% the second year.  
New stock price = €72.80 - (25% of €72.80)  
= €72.80 - (0.25 × €72.80)  
= €72.80 - €18.20  
= €54.60.

4. **Final Value of All Shares**:  
The final value of all Kayla's shares is the new stock price multiplied by the number of shares.  
Final value = 10 shares × €54.60/share = €546.

Thus, the final value of all Kayla's shares is €546.",True,546,arithmetic_reasoning,high,medium
GSM_007,canonical,openai/gpt-4o,"Kai hires the luxury car for a total of 4 hours, from 1 PM to 5 PM. Since he gets 2 hours free, he only needs to pay for 2 hours.

The cost structure is as follows:
- The first paid hour costs $10.
- The second paid hour costs twice the first paid hour, so it would be $10 * 2 = $20.

To calculate the total amount Kai has to pay:
- First paid hour: $10
- Second paid hour: $20

Total cost = $10 + $20 = $30

Thus, Kai paid $30.",True,30,arithmetic_reasoning,high,hard
GSM_008,canonical,openai/gpt-4o,"To determine the number of people infected after 3 days, we need to consider the progression of the infection based on the given spread rate.

- **Day 0**: Initially, there are 16 infected people.

Each day, every infected person infects 3 new people.

**Day 1**:
- On Day 1, each of the 16 people infects 3 new people.
- Number of new infections on Day 1 = 16 * 3 = 48.

Therefore, the total number of infected people by the end of Day 1 = 16 (previously infected) + 48 (newly infected) = 64.

**Day 2**:
- On Day 2, each of the 64 infected people infects 3 new people.
- Number of new infections on Day 2 = 64 * 3 = 192.

Therefore, the total number of infected people by the end of Day 2 = 64 (previously infected) + 192 (newly infected) = 256.

**Day 3**:
- On Day 3, each of the 256 infected people infects 3 new people.
- Number of new infections on Day 3 = 256 * 3 = 768.

Therefore, the total number of infected people by the end of Day 3 = 256 (previously infected) + 768 (newly infected) = 1024.

Thus, after 3 days, a total of 1024 people are infected.",True,1024,arithmetic_reasoning,high,medium
GSM_009,canonical,openai/gpt-4o,"To determine how many dozens of eggs Nia will need, we first calculate the total number of eggs she consumes over the 108 days and then convert that number into dozens.

1. Calculate the number of eggs eaten in the first 84 days.
   \[
   5 \text{ eggs/day} \times 84 \text{ days} = 420 \text{ eggs}
   \]

2. Calculate the number of eggs eaten in the next 24 days.
   \[
   7 \text{ eggs/day} \times 24 \text{ days} = 168 \text{ eggs}
   \]

3. Add the eggs from both time periods to find the total number consumed over the 108 days.
   \[
   420 \text{ eggs} + 168 \text{ eggs} = 588 \text{ eggs}
   \]

4. Convert the total number of eggs into dozens. Since a dozen is 12 eggs:
   \[
   \frac{588 \text{ eggs}}{12 \text{ eggs/dozen}} = 49 \text{ dozens}
   \]

Nia will need 49 dozens of eggs for 108 days.",False,49,arithmetic_reasoning,high,medium
GSM_010,canonical,openai/gpt-4o,"To calculate the total number of popped kernels, let's break down the process step by step:

1. **First 30 seconds:**
   - Kernels popped: \( 60 \)

2. **Second 30 seconds:**
   - Kernels popped: \( 4 \times 60 = 240 \)

3. **Third 30 seconds:**
   - Kernels popped: \( 6 \times 60 = 360 \)

4. **Fourth 30 seconds:**
   - Kernels popped: \( \frac{1}{2} \times 360 = 180 \)

5. **Residual heat after cooking:**
   - Kernels popped: \( \frac{1}{4} \times 180 = 45 \)

Now, add all these amounts to find the total number of popped kernels:

\[
60 + 240 + 360 + 180 + 45 = 885
\]

Zahra has 885 pieces of popcorn to eat.",True,885,arithmetic_reasoning,medium,medium
