problem_id,model,contamination_pole,difficulty,phase1_steps_json,phase1_final_answer,phase1_parseable,cci_score,cci_matched,cci_total,inject_at_step,injected_value,true_value_at_injection,tep_score,tep_diverged_steps,tep_total_steps,session_b_correct,correct_answer
GSM_001,meta-llama/llama-3.1-8b-instruct,high,medium,[],51.0,False,0.0000,0,0,1,,,0.0000,0,0,True,51
GSM_002,meta-llama/llama-3.1-8b-instruct,high,easy,[],42.0,False,0.0000,0,0,1,,,1.0000,1,1,False,30
GSM_003,meta-llama/llama-3.1-8b-instruct,high,medium,"[{""step"": 1, ""description"": ""Calculate 50% more yellow cards than purple cards"", ""value"": 30.0}, {""step"": 2, ""description"": ""Calculate the number of yellow cards"", ""value"": 45.0}, {""step"": 3, ""description"": ""Calculate the sum of purple and yellow cards"", ""value"": 30.0}, {""step"": 4, ""description"": ""Calculate the number of blue cards"", ""value"": 75.0}, {""step"": 5, ""description"": ""Calculate the total number of cards of all mentioned colors"", ""value"": 30.0}]",150.0,True,0.2000,1,5,2,51.75,45.0,1.0000,3,3,True,150
GSM_004,meta-llama/llama-3.1-8b-instruct,high,easy,"[{""step"": 1, ""description"": ""Calculate the number of days the painter works in one month."", ""value"": 2.0}, {""step"": 2, ""description"": ""Calculate how many days the painter works in one year."", ""value"": 12.0}]",,False,0.5000,1,2,1,2.3,2.0,1.0000,1,1,False,21600
GSM_005,meta-llama/llama-3.1-8b-instruct,high,hard,"[{""step"": 1, ""description"": ""Calculate the number of classes Liam takes per day"", ""value"": 6.0}, {""step"": 2, ""description"": ""Calculate the number of minutes Liam spends in class per day"", ""value"": 7.0}, {""step"": 3, ""description"": ""Calculate the number of minutes Liam spends in class per week"", ""value"": 420.0}, {""step"": 4, ""description"": ""Calculate 1/7 of the total weekly minutes"", ""value"": 2520.0}, {""step"": 5, ""description"": ""Calculate the total number of minutes Liam spends learning per week"", ""value"": 2520.0}, {""step"": 6, ""description"": ""Convert the total number of minutes to hours"", ""value"": 2880.0}]",48.0,True,0.1667,1,6,3,483.0,420.0,1.0000,2,2,False,54
GSM_006,meta-llama/llama-3.1-8b-instruct,high,medium,"[{""step"": 1, ""description"": ""Compute the initial total cost of 10 shares"", ""value"": 10.0}, {""step"": 2, ""description"": ""Compute the price increase of the stock in the first year"", ""value"": 30.0}, {""step"": 4, ""description"": ""Compute the price decrease of the stock in the second year"", ""value"": 25.0}, {""step"": 6, ""description"": ""Compute the final value of all Kayla's shares (after the price decrease in the second year)"", ""value"": 10.0}]",,False,0.2500,1,4,2,34.5,30.0,1.0000,2,2,False,546
GSM_007,meta-llama/llama-3.1-8b-instruct,high,hard,"[{""step"": 1, ""description"": ""Compute the number of paid hours"", ""value"": 5.0}, {""step"": 3, ""description"": ""Compute the cost of each subsequent paid hour"", ""value"": 2.0}, {""step"": 4, ""description"": ""Compute the total cost of the subsequent paid hours"", ""value"": 3.0}]",,False,0.0000,0,3,1,5.75,5.0,0.0000,0,0,False,30
GSM_008,meta-llama/llama-3.1-8b-instruct,high,medium,[],1024.0,False,0.0000,0,0,1,,,1.0000,1,1,True,1024
GSM_009,meta-llama/llama-3.1-8b-instruct,high,medium,"[{""step"": 1, ""description"": ""Calculate the total number of eggs Nia eats in the first 84 days"", ""value"": 5.0}, {""step"": 2, ""description"": ""Calculate the total number of eggs Nia eats in the next 24 days"", ""value"": 7.0}, {""step"": 3, ""description"": ""Calculate the total number of eggs Nia eats in 108 days"", ""value"": 420.0}, {""step"": 4, ""description"": ""Convert the total number of eggs to dozens"", ""value"": 588.0}]",49.0,True,0.5000,2,4,2,8.05,7.0,1.0000,2,2,True,49
GSM_010,meta-llama/llama-3.1-8b-instruct,medium,medium,"[{""step"": 1, ""description"": ""Initial number of popped kernels"", ""value"": 60.0}, {""step"": 2, ""description"": ""Number of kernels popped in the next 30 seconds"", ""value"": 4.0}, {""step"": 3, ""description"": ""Total number of kernels popped in 1 minute = Initial number of popped kernels + Number of kernels popped in the next 30 seconds"", ""value"": 60.0}, {""step"": 4, ""description"": ""Number of kernels popped in the next 30 seconds"", ""value"": 6.0}, {""step"": 5, ""description"": ""Total number of kernels popped in 2 minutes = Total number of kernels popped in 1 minute + Number of kernels popped in the next 30 seconds"", ""value"": 300.0}, {""step"": 6, ""description"": ""Number of kernels popped in the final 30 seconds"", ""value"": 0.5}, {""step"": 7, ""description"": ""Total number of kernels popped in 3 minutes = Total number of kernels popped in 2 minutes + Number of kernels popped in the final 30 seconds"", ""value"": 660.0}, {""step"": 8, ""description"": ""Number of kernels popped from residual heat"", ""value"": 0.25}, {""step"": 9, ""description"": ""Total number of kernels popped = Total number of kernels popped in 3 minutes + Number of kernels popped from residual heat"", ""value"": 840.0}]",885.0,True,0.2222,2,9,4,6.9,6.0,1.0000,5,5,True,885
GSM_011,meta-llama/llama-3.1-8b-instruct,medium,medium,"[{""step"": 1, ""description"": ""Calculate the total grams used for the giant cubes"", ""value"": 8.0}, {""step"": 2, ""description"": ""Calculate the total grams used for the small cubes"", ""value"": 15.0}, {""step"": 3, ""description"": ""Calculate the total grams used for the medium cubes"", ""value"": 13.0}, {""step"": 4, ""description"": ""Calculate the total grams used for all cubes"", ""value"": 96.0}, {""step"": 5, ""description"": ""Calculate the remaining grams of water"", ""value"": 328.0}]",86.0,True,0.6000,3,5,2,17.25,15.0,1.0000,3,3,True,86
GSM_012,meta-llama/llama-3.1-8b-instruct,medium,medium,"[{""step"": 1, ""description"": ""Calculate the total number of potted plants already on the window ledges"", ""value"": 7.0}, {""step"": 2, ""description"": ""Calculate the total number of potted plants Camila received from the nursery"", ""value"": 29.0}, {""step"": 3, ""description"": ""Calculate the total number of potted plants Camila has after receiving the new plants"", ""value"": 364.0}, {""step"": 4, ""description"": ""Calculate the total number of potted plants to be given away"", ""value"": 6.0}, {""step"": 5, ""description"": ""Calculate the number of potted plants Camila will still have"", ""value"": 393.0}]",81.0,True,0.2000,1,5,2,33.35,29.0,1.0000,3,3,True,81
GSM_013,meta-llama/llama-3.1-8b-instruct,medium,medium,"[{""step"": 1, ""description"": ""Rate of walking on beach"", ""value"": 12.0}, {""step"": 2, ""description"": ""Rate of walking on sidewalk (x)"", ""value"": 2.0}, {""step"": 4, ""description"": ""(Rate of walking on sidewalk * 60 minutes)"", ""value"": 24.0}, {""step"": 6, ""description"": ""This now means the total time to walk on the sidewalk is 60 minutes, since (Rate of walking on sidewalk * 60 minutes)"", ""value"": 12.0}, {""step"": 8, ""description"": ""beach walk time in minutes"", ""value"": 60.0}, {""step"": 9, ""description"": ""Total walk time minutes"", ""value"": 60.0}]",,False,0.0000,0,6,3,27.6,24.0,1.0000,1,1,False,90
GSM_014,meta-llama/llama-3.1-8b-instruct,medium,medium,"[{""step"": 1, ""description"": ""Calculate the total number of minutes they have to work in 10 days"", ""value"": 10.0}, {""step"": 2, ""description"": ""Calculate the total number of minutes it takes to clean all floors"", ""value"": 210.0}, {""step"": 3, ""description"": ""Calculate the total number of minutes spent cleaning floors per day"", ""value"": 4200.0}, {""step"": 4, ""description"": ""Calculate the number of minutes spent cleaning floors per day as a percentage of the total number of minutes worked per day = (420 minutes/day / 14400 minutes/day) * 100%"", ""value"": 2.917}]",2.917,True,0.2500,1,4,2,241.5,210.0,1.0000,2,2,False,70
GSM_015,meta-llama/llama-3.1-8b-instruct,medium,hard,"[{""step"": 4, ""description"": ""Compute the total amount of money from sales of tulips"", ""value"": 12.0}, {""step"": 5, ""description"": ""Compute the total amount of money from sales of roses"", ""value"": 29.0}, {""step"": 6, ""description"": ""Compute the total amount of money from sales of sunflowers"", ""value"": 37.0}]",,False,0.3333,1,3,1,13.8,12.0,0.0000,0,0,False,354
GSM_016,meta-llama/llama-3.1-8b-instruct,medium,hard,"[{""step"": 1, ""description"": ""Calculate the total weight of wheat boxes"", ""value"": 6.0}, {""step"": 2, ""description"": ""Calculate the total weight of cucumber bags"", ""value"": 12.0}, {""step"": 3, ""description"": ""Calculate the total weight of apple packs"", ""value"": 32.0}, {""step"": 4, ""description"": ""Calculate the total weight of corn sacks"", ""value"": 18.0}, {""step"": 5, ""description"": ""Calculate the total weight of grocery"", ""value"": 43.0}, {""step"": 6, ""description"": ""Calculate the total weight of tools"", ""value"": 27.0}, {""step"": 7, ""description"": ""Calculate the total weight of all items"", ""value"": 24.0}, {""step"": 8, ""description"": ""Calculate the total weight that can be carried by all three trucks"", ""value"": 120.0}, {""step"": 9, ""description"": ""Calculate the number of trips needed = total weight of all items / total weight that can be carried by all three trucks"", ""value"": 1760.0}, {""step"": 10, ""description"": ""Calculate the quotient of step 9"", ""value"": 4.889}, {""step"": 11, ""description"": ""Calculate the final number of trips needed = ceil(4.889)"", ""value"": 5.0}]",5.0,True,0.1818,2,11,5,49.45,43.0,0.8333,5,6,True,5
GSM_017,meta-llama/llama-3.1-8b-instruct,medium,hard,"[{""step"": 1, ""description"": ""Determine the number of boxes of cookies sold on Friday"", ""value"": 25.0}, {""step"": 2, ""description"": ""Determine the number of boxes of orange pie sold on Friday"", ""value"": 13.0}, {""step"": 3, ""description"": ""Determine the number of boxes of cookies sold on Saturday"", ""value"": 25.0}, {""step"": 4, ""description"": ""Determine the number of boxes of orange pie sold on Saturday"", ""value"": 22.0}, {""step"": 5, ""description"": ""Determine the total number of boxes of cookies sold on Friday and Saturday"", ""value"": 25.0}, {""step"": 6, ""description"": ""Determine the total number of boxes of orange pie sold on Friday and Saturday"", ""value"": 0.0}, {""step"": 7, ""description"": ""Determine the total number of boxes of cookies sold on Sunday"", ""value"": 61.0}, {""step"": 8, ""description"": ""Determine the total number of boxes of orange pie sold on Sunday"", ""value"": 22.0}, {""step"": 9, ""description"": ""Determine the total number of boxes of cookies sold over the three days"", ""value"": 25.0}, {""step"": 10, ""description"": ""Determine the total number of boxes of orange pie sold over the three days"", ""value"": 0.0}, {""step"": 11, ""description"": ""Determine the total amount earned from cookies on Friday"", ""value"": 25.0}, {""step"": 12, ""description"": ""Determine the total amount earned from cookies on Saturday"", ""value"": 36.0}, {""step"": 13, ""description"": ""Determine the total amount earned from cookies on Sunday"", ""value"": 61.0}, {""step"": 14, ""description"": ""Determine the total amount earned from cookies over the three days"", ""value"": 300.0}, {""step"": 15, ""description"": ""Determine the total amount earned from orange pie on Friday"", ""value"": 0.0}, {""step"": 16, ""description"": ""Determine the total amount earned from orange pie on Saturday"", ""value"": 22.0}, {""step"": 17, ""description"": ""Determine the total amount earned from orange pie on Sunday"", ""value"": 22.0}, {""step"": 18, ""description"": ""Determine the total amount earned from orange pie over the three days"", ""value"": 0.0}, {""step"": 19, ""description"": ""Determine the total amount earned over the three days"", ""value"": 1464.0}, {""step"": 20, ""description"": ""Determine the average daily earnings"", ""value"": 2388.0}]",796.0,True,0.0000,0,20,10,0.0,0.0,0.0000,0,0,False,922
GSM_018,meta-llama/llama-3.1-8b-instruct,medium,hard,[],21.0,False,0.0000,0,0,1,,,1.0000,1,1,True,21
GSM_019,meta-llama/llama-3.1-8b-instruct,medium,hard,"[{""step"": 1, ""description"": ""Compute the total hours of TV watched on Friday"", ""value"": 2.0}, {""step"": 1, ""description"": ""Compute the total hours of TV watched on Friday"", ""value"": 2.0}, {""step"": 2, ""description"": ""Compute the total hours of TV watched on Saturday"", ""value"": 2.0}, {""step"": 2, ""description"": ""Compute the total hours of TV watched on Saturday"", ""value"": 2.0}, {""step"": 3, ""description"": ""Compute the total hours of TV watched on Friday and Saturday"", ""value"": 6.0}, {""step"": 3, ""description"": ""Compute the total hours of TV watched on Friday and Saturday"", ""value"": 6.0}, {""step"": 4, ""description"": ""Compute the total hours of TV watched on Sunday part 1 (convert minutes to hours): 45/60"", ""value"": 0.75}, {""step"": 4, ""description"": ""Compute the total hours of TV watched on Sunday part 1 (convert minutes to hours): 45/60"", ""value"": 0.75}, {""step"": 5, ""description"": ""Since we don't know how many episodes of a 45-minute show Tariq watched on Sunday, express the total TV hours watched on Sunday as x episodes of 45 minutes, which is 0.75 hours per episode. So, the total hours watched on Sunday"", ""value"": 0.75}, {""step"": 5, ""description"": ""Total hours watched on Sunday"", ""value"": 0.75}, {""step"": 6, ""description"": ""Compute the total hours of the 4-hour episode on Monday"", ""value"": 4.0}, {""step"": 7, ""description"": ""Compute the total hours of the 15-minute episode on Monday (convert minutes to hours): 15/60"", ""value"": 0.25}, {""step"": 8, ""description"": ""Compute the total hours of TV watched on Monday"", ""value"": 4.0}, {""step"": 9, ""description"": ""Total hours watched on Sunday"", ""value"": 4.25}, {""step"": 10, ""description"": ""Compute the total hours of TV watched on Tuesday"", ""value"": 4.0}, {""step"": 11, ""description"": ""Compute the total hours of a 30-minute episode on Wednesday (convert minutes to hours): 30/60"", ""value"": 0.5}, {""step"": 12, ""description"": ""Compute the total hours of three episodes on Wednesday"", ""value"": 3.0}, {""step"": 13, ""description"": ""Total hours watched on Wednesday"", ""value"": 1.5}, {""step"": 14, ""description"": ""Total hours watched from Monday to Wednesday"", ""value"": 4.25}, {""step"": 15, ""description"": ""Total hours watched on Sunday = Total TV hours - Hours watched from Monday to Wednesday  - Hours on Friday and Saturday"", ""value"": 22.0}, {""step"": 16, ""description"": ""Since Total hours on Sunday = x * 0.75 find x: x"", ""value"": 8.0}]",,False,0.0000,0,21,10,0.86,0.75,0.0000,0,0,False,3
GSM_020,meta-llama/llama-3.1-8b-instruct,medium,hard,"[{""step"": 1, ""description"": ""Number of eggs Zahra hid"", ""value"": 10.0}, {""step"": 2, ""description"": ""Number of eggs Ava finds"", ""value"": 3.0}, {""step"": 3, ""description"": ""Number of eggs Quinn finds"", ""value"": 6.0}, {""step"": 4, ""description"": ""Number of eggs Sophia finds"", ""value"": 3.0}, {""step"": 5, ""description"": ""Number of eggs Esteban finds"", ""value"": 1.0}, {""step"": 6, ""description"": ""Number of eggs Quinn and Ava combined find"", ""value"": 18.0}, {""step"": 7, ""description"": ""Number of eggs Fatima finds"", ""value"": 3.0}, {""step"": 8, ""description"": ""Total number of eggs found = Number of eggs Ava finds + Number of eggs Quinn finds + Number of eggs Sophia finds + Number of eggs Esteban finds + Number of eggs Fatima finds"", ""value"": 3.0}, {""step"": 9, ""description"": ""Number of eggs still hidden in the yard = Number of eggs Zahra hid - Total number of eggs found"", ""value"": 120.0}]",21.0,True,0.3333,3,9,4,3.45,3.0,1.0000,5,5,False,24
GSM_041,meta-llama/llama-3.1-8b-instruct,high,easy,"[{""step"": 1, ""description"": ""Compute the total number of students who like to paint and play football"", ""value"": 19.0}, {""step"": 2, ""description"": ""Compute the number of students who like to either paint, play football, or both"", ""value"": 26.0}, {""step"": 3, ""description"": ""Compute the number of students who like to bake or hike"", ""value"": 190.0}, {""step"": 4, ""description"": ""Compute the number of students who like to play football"", ""value"": 7.0}, {""step"": 5, ""description"": ""Compute the number of students who like to hike"", ""value"": 2.0}, {""step"": 6, ""description"": ""Compute the number of students who like to bake"", ""value"": 164.0}]",150.0,True,0.0000,0,6,3,218.5,190.0,1.0000,2,2,True,150
GSM_042,meta-llama/llama-3.1-8b-instruct,high,easy,"[{""step"": 1, ""description"": ""Calculate the total number of oranges per square yard: oranges_per_square_yard"", ""value"": 94.0}, {""step"": 2, ""description"": ""Multiply the total number of oranges per square yard by the number of square yards: oranges_per_year = oranges_per_square_yard * 30"", ""value"": 94.0}, {""step"": 3, ""description"": ""Calculate the number of months in a year: months_per_year"", ""value"": 12.0}, {""step"": 4, ""description"": ""Divide the total number of oranges per year by the number of months per year to find the number of oranges Pavel can harvest within a year: oranges_per_year_final = oranges_per_year / months_per_year"", ""value"": 2820.0}]",235.0,True,0.2500,1,4,2,108.1,94.0,1.0000,2,2,False,2820
GSM_043,meta-llama/llama-3.1-8b-instruct,high,easy,"[{""step"": 1, ""description"": ""Calculate the total number of tennis balls"", ""value"": 1.0}, {""step"": 2, ""description"": ""Calculate the total number of white tennis balls"", ""value"": 1.0}]",8.0,True,0.0000,0,2,1,1.15,1.0,1.0000,1,1,True,8
GSM_044,meta-llama/llama-3.1-8b-instruct,high,easy,[],59.0,False,0.0000,0,0,1,,,1.0000,1,1,True,59
GSM_045,meta-llama/llama-3.1-8b-instruct,high,medium,"[{""step"": 1, ""description"": ""Calculate the number of pineapples Liam picked on Wednesday"", ""value"": 205.0}, {""step"": 2, ""description"": ""Calculate the number of pineapples Liam picked on Thursday"", ""value"": 97.0}, {""step"": 3, ""description"": ""Calculate quadruple the number of pineapples Liam picked on Wednesday"", ""value"": 4.0}, {""step"": 4, ""description"": ""Add the pineapples picked on Wednesday and Thursday, then add the quadrupled number of pineapples from Wednesday"", ""value"": 205.0}]",1122.0,True,0.7500,3,4,2,111.55,97.0,1.0000,2,2,True,1122
GSM_046,meta-llama/llama-3.1-8b-instruct,high,medium,"[{""step"": 1, ""description"": ""Calculate total calories in 275 ounces bag"", ""value"": 5.0}, {""step"": 2, ""description"": ""Determine calories consumed so far"", ""value"": 1350.0}, {""step"": 3, ""description"": ""Calculate remaining calories for the day"", ""value"": 2395.0}, {""step"": 4, ""description"": ""Determine how much of the bag can be eaten by finding the ratio of remaining daily calories to the total calories in the bag"", ""value"": 1045.0}, {""step"": 5, ""description"": ""Simplify the ratio"", ""value"": 0.439}, {""step"": 6, ""description"": ""Multiply the result by the total bag size to determine how many ounces can be eaten"", ""value"": 0.439}]",120.0,True,0.1667,1,6,3,2754.25,2395.0,1.0000,3,3,False,121
GSM_047,meta-llama/llama-3.1-8b-instruct,high,hard,[],510.0,False,0.0000,0,0,1,,,1.0000,1,1,True,510
GSM_048,meta-llama/llama-3.1-8b-instruct,high,hard,[],346.0,False,0.0000,0,0,1,,,1.0000,1,1,False,206
GSM_049,meta-llama/llama-3.1-8b-instruct,high,hard,[],5324.0,False,0.0000,0,0,1,,,1.0000,1,1,False,1782
