family,problem_id,model,model_short,subtype,instance_type,critical_step_index,tep,n_post_steps_compared,n_diverged,comparison_mode,final_answer_correct_normal,post_injection_correct,n_injected_raw_rows,n_normal_raw_rows
ALGO,CC_01,anthropic/claude-sonnet-4,Claude,coin_change,adversarial,0,1.0,1,1,strict_compliant,False,True,2,2
ALGO,CC_01,google/gemini-2.5-flash,Gemini,coin_change,adversarial,0,1.0,1,1,parseable_fallback,False,False,2,2
ALGO,CC_01,meta-llama/llama-3.1-8b-instruct,Llama,coin_change,adversarial,0,1.0,1,1,parseable_fallback,False,False,2,2
ALGO,CC_01,openai/gpt-4o,GPT-4o,coin_change,adversarial,0,1.0,1,1,strict_compliant,False,False,2,2
ALGO,CC_01,openai/o4-mini,o4-mini,coin_change,adversarial,0,0.0,1,0,strict_compliant,True,True,2,2
ALGO,CC_02,anthropic/claude-sonnet-4,Claude,coin_change,adversarial,0,0.0,1,0,strict_compliant,False,False,2,2
ALGO,CC_02,google/gemini-2.5-flash,Gemini,coin_change,adversarial,0,0.0,1,0,parseable_fallback,False,False,2,2
ALGO,CC_02,meta-llama/llama-3.1-8b-instruct,Llama,coin_change,adversarial,0,0.0,1,0,parseable_fallback,False,False,2,2
ALGO,CC_02,openai/gpt-4o,GPT-4o,coin_change,adversarial,0,1.0,1,1,parseable_fallback,True,True,2,2
ALGO,CC_02,openai/o4-mini,o4-mini,coin_change,adversarial,0,0.0,1,0,strict_compliant,True,True,2,2
ALGO,CC_03,anthropic/claude-sonnet-4,Claude,coin_change,adversarial,0,0.0,1,0,strict_compliant,False,False,2,2
ALGO,CC_03,google/gemini-2.5-flash,Gemini,coin_change,adversarial,0,0.0,1,0,parseable_fallback,False,False,2,2
ALGO,CC_03,meta-llama/llama-3.1-8b-instruct,Llama,coin_change,adversarial,0,1.0,1,1,parseable_fallback,True,False,2,2
ALGO,CC_03,openai/gpt-4o,GPT-4o,coin_change,adversarial,0,1.0,1,1,parseable_fallback,True,True,2,2
ALGO,CC_03,openai/o4-mini,o4-mini,coin_change,adversarial,0,0.0,1,0,strict_compliant,True,True,2,2
ALGO,CC_04,anthropic/claude-sonnet-4,Claude,coin_change,adversarial,0,0.0,1,0,strict_compliant,False,False,2,2
ALGO,CC_04,google/gemini-2.5-flash,Gemini,coin_change,adversarial,0,0.0,1,0,parseable_fallback,False,False,2,2
ALGO,CC_04,meta-llama/llama-3.1-8b-instruct,Llama,coin_change,adversarial,0,1.0,1,1,parseable_fallback,False,True,2,2
