model,subtype,instance_type,variant,k,n,acc
claude,shortest_path,adversarial,canonical,22,34,0.647
claude,shortest_path,adversarial,W1,21,34,0.618
claude,shortest_path,adversarial,W2,23,34,0.676
claude,shortest_path,adversarial,W3,0,34,0.0
claude,shortest_path,adversarial,W4,28,34,0.824
claude,shortest_path,adversarial,W5,0,31,0.0
claude,shortest_path,adversarial,W6,8,31,0.258
claude,shortest_path,standard,canonical,0,21,0.0
claude,shortest_path,standard,W1,4,21,0.19
claude,shortest_path,standard,W2,14,21,0.667
claude,shortest_path,standard,W3,1,21,0.048
claude,shortest_path,standard,W4,20,21,0.952
claude,shortest_path,standard,W5,0,19,0.0
claude,shortest_path,standard,W6,0,19,0.0
claude,wis,adversarial,canonical,6,17,0.353
claude,wis,adversarial,W1,3,17,0.176
claude,wis,adversarial,W2,2,17,0.118
claude,wis,adversarial,W3,0,17,0.0
claude,wis,adversarial,W4,1,17,0.059
claude,wis,adversarial,W6,0,15,0.0
claude,wis,standard,canonical,1,13,0.077
claude,wis,standard,W1,3,13,0.231
claude,wis,standard,W2,3,13,0.231
claude,wis,standard,W3,0,13,0.0
claude,wis,standard,W4,1,13,0.077
claude,wis,standard,W6,0,10,0.0
claude,coin_change,adversarial,canonical,7,10,0.7
claude,coin_change,adversarial,W1,7,10,0.7
claude,coin_change,adversarial,W2,7,10,0.7
claude,coin_change,adversarial,W3,6,10,0.6
claude,coin_change,adversarial,W4,8,10,0.8
claude,coin_change,standard,canonical,4,15,0.267
claude,coin_change,standard,W1,7,15,0.467
claude,coin_change,standard,W2,1,15,0.067
claude,coin_change,standard,W3,3,15,0.2
claude,coin_change,standard,W4,10,15,0.667
claude,coin_change,standard,W6,1,15,0.067
gpt4o,shortest_path,adversarial,canonical,14,34,0.412
gpt4o,shortest_path,adversarial,W1,18,34,0.529
gpt4o,shortest_path,adversarial,W2,5,34,0.147
gpt4o,shortest_path,adversarial,W3,9,34,0.265
gpt4o,shortest_path,adversarial,W4,20,34,0.588
gpt4o,shortest_path,adversarial,W5,0,31,0.0
