problem_id,problem_subtype,byte_identical_text,answer_differs,canonical_answer,w6_answer,w6_notes,generator,bug
WIS_006,wis,True,True,"Selected: {0, 1, 3, 4, 5, 6}, Total: 40","Selected: {0, 1, 2, 3, 4, 5, 6}, Total: 79",stage1_procedural_generation | w6_seed=326048778,scripts/ALGO_PX_SCR_generate_w6.py,"render_wis_text_with_weights lacks Interval N: start=, end=, weight= pattern; updates difficulty_params/answer but leaves problem_text unchanged"
WIS_007,wis,True,True,"Selected: {0, 2, 3, 4, 5}, Total: 60","Selected: {0, 1, 2, 3, 4, 5}, Total: 68",stage1_procedural_generation | w6_seed=1809051827,scripts/ALGO_PX_SCR_generate_w6.py,"render_wis_text_with_weights lacks Interval N: start=, end=, weight= pattern; updates difficulty_params/answer but leaves problem_text unchanged"
WIS_009,wis,True,True,"Selected: {0, 1, 2, 3, 4, 5, 6, 8}, Total: 72","Selected: {0, 1, 2, 3, 4, 5, 6, 7, 8}, Total: 81",stage1_procedural_generation | w6_seed=2923877135,scripts/ALGO_PX_SCR_generate_w6.py,"render_wis_text_with_weights lacks Interval N: start=, end=, weight= pattern; updates difficulty_params/answer but leaves problem_text unchanged"
WIS_010,wis,True,True,"Selected: {0, 2, 4, 5, 6, 7}, Total: 62","Selected: {0, 1, 2, 3, 4, 5, 6, 7}, Total: 95",stage1_procedural_generation | w6_seed=151446511,scripts/ALGO_PX_SCR_generate_w6.py,"render_wis_text_with_weights lacks Interval N: start=, end=, weight= pattern; updates difficulty_params/answer but leaves problem_text unchanged"
WIS_012,wis,True,True,"Selected: {0, 2, 3, 4, 5, 6, 7, 8}, Total: 83","Selected: {0, 1, 2, 3, 4, 5, 6, 7, 8}, Total: 70",stage1_procedural_generation | w6_seed=559487834,scripts/ALGO_PX_SCR_generate_w6.py,"render_wis_text_with_weights lacks Interval N: start=, end=, weight= pattern; updates difficulty_params/answer but leaves problem_text unchanged"
WIS_013,wis,True,True,"Selected: {4, 5}, Total: 49","Selected: {0, 1, 2, 3, 4, 5}, Total: 74",stage1_procedural_generation | w6_seed=2998389770,scripts/ALGO_PX_SCR_generate_w6.py,"render_wis_text_with_weights lacks Interval N: start=, end=, weight= pattern; updates difficulty_params/answer but leaves problem_text unchanged"
WIS_014,wis,True,True,"Selected: {4, 5}, Total: 53","Selected: {0, 1, 2, 3, 4, 5}, Total: 75",stage1_procedural_generation | w6_seed=295515626,scripts/ALGO_PX_SCR_generate_w6.py,"render_wis_text_with_weights lacks Interval N: start=, end=, weight= pattern; updates difficulty_params/answer but leaves problem_text unchanged"
WIS_015,wis,True,True,"Selected: {4, 5}, Total: 49","Selected: {0, 1, 2, 3, 4, 5}, Total: 77",stage1_procedural_generation | w6_seed=1058540636,scripts/ALGO_PX_SCR_generate_w6.py,"render_wis_text_with_weights lacks Interval N: start=, end=, weight= pattern; updates difficulty_params/answer but leaves problem_text unchanged"
WIS_016,wis,True,True,"Selected: {4, 5}, Total: 51","Selected: {0, 1, 2, 3, 4, 5}, Total: 72",stage1_procedural_generation | w6_seed=1378405551,scripts/ALGO_PX_SCR_generate_w6.py,"render_wis_text_with_weights lacks Interval N: start=, end=, weight= pattern; updates difficulty_params/answer but leaves problem_text unchanged"
WIS_017,wis,True,True,"Selected: {4, 5}, Total: 57","Selected: {0, 1, 2, 3, 4, 5}, Total: 60",stage1_procedural_generation | w6_seed=1691251548,scripts/ALGO_PX_SCR_generate_w6.py,"render_wis_text_with_weights lacks Interval N: start=, end=, weight= pattern; updates difficulty_params/answer but leaves problem_text unchanged"
WIS_018,wis,True,True,"Selected: {4, 5}, Total: 55","Selected: {0, 1, 2, 3, 4, 5}, Total: 65",stage1_procedural_generation | w6_seed=981996599,scripts/ALGO_PX_SCR_generate_w6.py,"render_wis_text_with_weights lacks Interval N: start=, end=, weight= pattern; updates difficulty_params/answer but leaves problem_text unchanged"
WIS_019,wis,True,True,"Selected: {4, 5}, Total: 58","Selected: {0, 1, 2, 3, 4, 5}, Total: 71",stage1_procedural_generation | w6_seed=2857123402,scripts/ALGO_PX_SCR_generate_w6.py,"render_wis_text_with_weights lacks Interval N: start=, end=, weight= pattern; updates difficulty_params/answer but leaves problem_text unchanged"
WIS_020,wis,True,True,"Selected: {4, 5}, Total: 59","Selected: {0, 1, 2, 3, 4, 5}, Total: 75",stage1_procedural_generation | w6_seed=2863024206,scripts/ALGO_PX_SCR_generate_w6.py,"render_wis_text_with_weights lacks Interval N: start=, end=, weight= pattern; updates difficulty_params/answer but leaves problem_text unchanged"
WIS_021,wis,True,True,"Selected: {1, 2, 3, 5, 10}, Total: 73","Selected: {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, Total: 111",stage1_procedural_generation | w6_seed=1548079953,scripts/ALGO_PX_SCR_generate_w6.py,"render_wis_text_with_weights lacks Interval N: start=, end=, weight= pattern; updates difficulty_params/answer but leaves problem_text unchanged"
WIS_022,wis,True,True,"Selected: {0, 2, 4, 6}, Total: 69","Selected: {0, 1, 2, 3, 4, 5, 6, 7, 8}, Total: 106",stage1_procedural_generation | w6_seed=2025235606,scripts/ALGO_PX_SCR_generate_w6.py,"render_wis_text_with_weights lacks Interval N: start=, end=, weight= pattern; updates difficulty_params/answer but leaves problem_text unchanged"
WIS_023,wis,True,True,"Selected: {3, 4}, Total: 47","Selected: {0, 1, 2, 3, 4}, Total: 62",stage1_procedural_generation | w6_seed=3536510396,scripts/ALGO_PX_SCR_generate_w6.py,"render_wis_text_with_weights lacks Interval N: start=, end=, weight= pattern; updates difficulty_params/answer but leaves problem_text unchanged"
WIS_024,wis,True,True,"Selected: {4, 5}, Total: 47","Selected: {0, 1, 2, 3, 4, 5}, Total: 62",stage1_procedural_generation | w6_seed=2894786443,scripts/ALGO_PX_SCR_generate_w6.py,"render_wis_text_with_weights lacks Interval N: start=, end=, weight= pattern; updates difficulty_params/answer but leaves problem_text unchanged"
WIS_025,wis,True,True,"Selected: {3, 4}, Total: 44","Selected: {0, 1, 2, 3, 4}, Total: 43",stage1_procedural_generation | w6_seed=2101202516,scripts/ALGO_PX_SCR_generate_w6.py,"render_wis_text_with_weights lacks Interval N: start=, end=, weight= pattern; updates difficulty_params/answer but leaves problem_text unchanged"
WIS_026,wis,True,True,"Selected: {4, 5}, Total: 53","Selected: {0, 1, 2, 3, 4, 5}, Total: 69",stage1_procedural_generation | w6_seed=299830340,scripts/ALGO_PX_SCR_generate_w6.py,"render_wis_text_with_weights lacks Interval N: start=, end=, weight= pattern; updates difficulty_params/answer but leaves problem_text unchanged"
WIS_027,wis,True,True,"Selected: {4, 5}, Total: 56","Selected: {0, 1, 2, 3, 4, 5}, Total: 54",stage1_procedural_generation | w6_seed=461409774,scripts/ALGO_PX_SCR_generate_w6.py,"render_wis_text_with_weights lacks Interval N: start=, end=, weight= pattern; updates difficulty_params/answer but leaves problem_text unchanged"
WIS_028,wis,True,True,"Selected: {3, 4}, Total: 43","Selected: {0, 1, 2, 3, 4}, Total: 45",stage1_procedural_generation | w6_seed=2463483692,scripts/ALGO_PX_SCR_generate_w6.py,"render_wis_text_with_weights lacks Interval N: start=, end=, weight= pattern; updates difficulty_params/answer but leaves problem_text unchanged"
WIS_029,wis,True,True,"Selected: {4, 5}, Total: 47","Selected: {0, 1, 2, 3, 4, 5}, Total: 63",stage1_procedural_generation | w6_seed=2142132050,scripts/ALGO_PX_SCR_generate_w6.py,"render_wis_text_with_weights lacks Interval N: start=, end=, weight= pattern; updates difficulty_params/answer but leaves problem_text unchanged"
WIS_030,wis,True,True,"Selected: {1, 2, 4, 5, 6}, Total: 62","Selected: {0, 1, 2, 3, 4, 5, 6, 7, 8}, Total: 102",pre_stage2_cleanup_generation | w6_seed=523906211,scripts/ALGO_PX_SCR_generate_w6.py,"render_wis_text_with_weights lacks Interval N: start=, end=, weight= pattern; updates difficulty_params/answer but leaves problem_text unchanged"
WIS_031,wis,True,True,"Selected: {0, 2, 3, 6}, Total: 51","Selected: {0, 1, 2, 3, 4, 5, 6, 7, 8}, Total: 104",pre_stage2_cleanup_generation | w6_seed=4158644174,scripts/ALGO_PX_SCR_generate_w6.py,"render_wis_text_with_weights lacks Interval N: start=, end=, weight= pattern; updates difficulty_params/answer but leaves problem_text unchanged"
WIS_032,wis,True,True,"Selected: {0, 2, 4, 5, 6, 8}, Total: 80","Selected: {0, 1, 2, 3, 4, 5, 6, 7, 8}, Total: 92",pre_stage2_cleanup_generation | w6_seed=137799114,scripts/ALGO_PX_SCR_generate_w6.py,"render_wis_text_with_weights lacks Interval N: start=, end=, weight= pattern; updates difficulty_params/answer but leaves problem_text unchanged"
