family,model,variant,n_rows,n_error,acc_all,acc_no_error,n_no_error
GSM,claude,canonical,44,0,0.8409090909090909,0.8409090909090909,44
GSM,claude,W1,44,0,0.8409090909090909,0.8409090909090909,44
GSM,claude,W2,44,0,0.7727272727272727,0.7727272727272727,44
GSM,claude,W3,44,0,0.75,0.75,44
GSM,claude,W4,44,0,0.6363636363636364,0.6363636363636364,44
GSM,claude,W5,44,0,0.8181818181818182,0.8181818181818182,44
GSM,claude,W6,24,0,0.75,0.75,24
GSM,gpt4o,canonical,40,0,0.825,0.825,40
GSM,gpt4o,W1,40,0,0.8,0.8,40
GSM,gpt4o,W2,40,0,0.425,0.425,40
GSM,gpt4o,W3,40,0,0.35,0.35,40
GSM,gpt4o,W4,40,0,0.375,0.375,40
GSM,gpt4o,W5,40,0,0.4,0.4,40
GSM,llama,canonical,40,0,0.825,0.825,40
GSM,llama,W1,40,0,0.8,0.8,40
GSM,llama,W2,40,0,0.225,0.225,40
GSM,llama,W3,40,0,0.2,0.2,40
GSM,llama,W4,40,0,0.425,0.425,40
GSM,llama,W5,40,0,0.05,0.05,40
GSM,gemini,canonical,44,0,0.9090909090909091,0.9090909090909091,44
GSM,gemini,W1,44,0,0.8181818181818182,0.8181818181818182,44
GSM,gemini,W2,44,0,0.6363636363636364,0.6363636363636364,44
GSM,gemini,W3,44,0,0.5227272727272727,0.5227272727272727,44
GSM,gemini,W4,44,0,0.4772727272727273,0.4772727272727273,44
GSM,gemini,W5,44,0,0.6136363636363636,0.6136363636363636,44
GSM,gemini,W6,24,0,0.9583333333333334,0.9583333333333334,24
GSM,o4mini,canonical,44,11,0.6590909090909091,0.8787878787878788,33
GSM,o4mini,W1,44,0,0.8636363636363636,0.8636363636363636,44
GSM,o4mini,W2,44,0,0.8181818181818182,0.8181818181818182,44
GSM,o4mini,W3,44,0,0.8409090909090909,0.8409090909090909,44
GSM,o4mini,W4,44,0,0.6818181818181818,0.6818181818181818,44
GSM,o4mini,W5,44,0,0.8863636363636364,0.8863636363636364,44
GSM,o4mini,W6,24,0,0.8333333333333334,0.8333333333333334,24
ALGO,claude,canonical,111,0,0.36936936936936937,0.36936936936936937,111
ALGO,claude,W1,111,0,0.4144144144144144,0.4144144144144144,111
ALGO,claude,W2,111,0,0.4594594594594595,0.4594594594594595,111
ALGO,claude,W3,110,0,0.09090909090909091,0.09090909090909091,110
ALGO,claude,W4,110,0,0.6181818181818182,0.6181818181818182,110
ALGO,claude,W5,50,0,0.0,0.0,50
ALGO,claude,W6,90,0,0.1,0.1,90
ALGO,gpt4o,canonical,110,0,0.42727272727272725,0.42727272727272725,110
ALGO,gpt4o,W1,110,0,0.43636363636363634,0.43636363636363634,110
ALGO,gpt4o,W2,110,0,0.10909090909090909,0.10909090909090909,110
ALGO,gpt4o,W3,110,0,0.17272727272727273,0.17272727272727273,110
ALGO,gpt4o,W4,110,0,0.44545454545454544,0.44545454545454544,110
ALGO,gpt4o,W5,50,0,0.0,0.0,50
ALGO,gpt4o,W6,110,0,0.21818181818181817,0.21818181818181817,110
ALGO,llama,canonical,111,0,0.06306306306306306,0.06306306306306306,111
ALGO,llama,W1,111,0,0.09009009009009009,0.09009009009009009,111
ALGO,llama,W2,110,0,0.05454545454545454,0.05454545454545454,110
ALGO,llama,W3,110,0,0.01818181818181818,0.01818181818181818,110
ALGO,llama,W4,110,0,0.07272727272727272,0.07272727272727272,110
ALGO,llama,W5,50,0,0.0,0.0,50
ALGO,llama,W6,110,0,0.05454545454545454,0.05454545454545454,110
ALGO,gemini,canonical,110,73,0.10909090909090909,0.32432432432432434,37
ALGO,gemini,W1,110,0,0.39090909090909093,0.39090909090909093,110
ALGO,gemini,W2,110,0,0.3,0.3,110
ALGO,gemini,W3,110,0,0.2545454545454545,0.2545454545454545,110
ALGO,gemini,W4,110,0,0.43636363636363634,0.43636363636363634,110
ALGO,gemini,W5,50,0,0.02,0.02,50
ALGO,gemini,W6,90,0,0.14444444444444443,0.14444444444444443,90
ALGO,o4mini,canonical,20,0,1.0,1.0,20
ALGO,o4mini,W1,81,61,0.2345679012345679,0.95,20
ALGO,o4mini,W2,81,61,0.2345679012345679,0.95,20
ALGO,o4mini,W3,81,61,0.1728395061728395,0.7,20
ALGO,o4mini,W4,81,61,0.20987654320987653,0.85,20
ALGO,o4mini,W5,46,46,0.0,,0
ALGO,o4mini,W6,61,61,0.0,,0
BW,combined,canonical,393,0,0.3969465648854962,0.3969465648854962,393
BW,combined,W1,393,0,0.40966921119592875,0.40966921119592875,393
BW,combined,W2,403,0,0.3250620347394541,0.3250620347394541,403
BW,combined,W3,402,1,0.263681592039801,0.26433915211970077,401
BW,combined,W4,402,1,0.1865671641791045,0.18703241895261846,401
BW,combined,W5,401,0,0.3566084788029925,0.3566084788029925,401
BW,combined,W6,362,0,0.4198895027624309,0.4198895027624309,362
BW,gemini,canonical,65,0,0.38461538461538464,0.38461538461538464,65
BW,gemini,W1,65,0,0.13846153846153847,0.13846153846153847,65
BW,gemini,W2,65,0,0.1076923076923077,0.1076923076923077,65
BW,gemini,W3,65,0,0.1076923076923077,0.1076923076923077,65
BW,gemini,W4,65,0,0.03076923076923077,0.03076923076923077,65
BW,gemini,W5,65,0,0.5692307692307692,0.5692307692307692,65
BW,gemini,W6,65,0,0.3384615384615385,0.3384615384615385,65
BW,o4mini,canonical,35,35,0.0,,0
BW,o4mini,W1,51,51,0.0,,0
BW,o4mini,W2,51,51,0.0,,0
BW,o4mini,W3,51,51,0.0,,0
BW,o4mini,W4,51,51,0.0,,0
BW,o4mini,W5,51,51,0.0,,0
BW,o4mini,W6,50,50,0.0,,0
