problem_id,model,difficulty,contamination_pole,session_status,goal_reached,executed_length,illegal_action_count,skip_count,first_illegal_step,partial_goal_achievement,goals_met,executed_steps_json,parser_classifications_json,preamble_lines,remapped_lines,canonical_lines,unparseable_lines,cci,matched_steps,total_steps_compared,generated_plan_length
MBW_001,anthropic/claude-sonnet-4,hard,low,aborted: planning_loop,False,8,0,0,,0.0,0,"[""attack b"", ""succumb b"", ""attack b"", ""succumb b"", ""attack b"", ""succumb b"", ""attack b"", ""succumb b""]","{""canonical"": 8}",0,0,8,0,,0,0,14
MBW_002,anthropic/claude-sonnet-4,hard,low,aborted: planning_loop,False,12,2,0,3,0.0,0,"[""attack a"", ""succumb a"", ""attack a"", ""feast a b"", ""attack a"", ""succumb a"", ""attack a"", ""succumb a"", ""attack a"", ""succumb a"", ""attack a"", ""succumb a""]","{""canonical"": 12}",0,0,12,0,,0,0,12
MBW_010,anthropic/claude-sonnet-4,medium,low,aborted: planning_loop,False,13,1,0,5,0.0,0,"[""attack a"", ""succumb a"", ""attack a"", ""overcome a b"", ""feast a b"", ""attack a"", ""succumb a"", ""attack a"", ""succumb a"", ""attack a"", ""succumb a"", ""attack a"", ""succumb a""]","{""canonical"": 13}",0,0,13,0,,0,0,7
MBW_014,anthropic/claude-sonnet-4,easy,low,aborted: planning_loop,False,8,0,0,,0.0,0,"[""attack e"", ""succumb e"", ""attack e"", ""succumb e"", ""attack e"", ""succumb e"", ""attack e"", ""succumb e""]","{""canonical"": 8}",0,0,8,0,,0,0,4
MBW_037,anthropic/claude-sonnet-4,easy,low,complete,False,50,24,0,1,0.3333,1,"[""attack c"", ""feast c d"", ""overcome c d"", ""succumb d"", ""attack h"", ""succumb h"", ""attack d"", ""succumb d"", ""attack h"", ""succumb h"", ""attack d"", ""succumb d"", ""attack h"", ""succumb h"", ""attack d"", ""succumb d"", ""attack h"", ""succumb h"", ""attack d"", ""succumb d"", ""attack h"", ""succumb h"", ""attack d"", ""succumb d"", ""attack h"", ""succumb h"", ""attack d"", ""succumb d"", ""attack h"", ""succumb h"", ""attack d"", ""succumb d"", ""attack h"", ""succumb h"", ""attack d"", ""succumb d"", ""attack h"", ""succumb h"", ""attack d"", ""succumb d"", ""attack h"", ""succumb h"", ""attack d"", ""succumb d"", ""attack h"", ""succumb h"", ""attack d"", ""succumb d"", ""attack h"", ""succumb h""]","{""canonical"": 50}",0,0,50,0,0.0,0,6,6
MBW_10,anthropic/claude-sonnet-4,easy,low,aborted: planning_loop,False,8,0,0,,0.0,0,"[""attack a"", ""succumb a"", ""attack a"", ""succumb a"", ""attack a"", ""succumb a"", ""attack a"", ""succumb a""]","{""canonical"": 8}",0,0,8,0,,0,0,8
MBW_100,anthropic/claude-sonnet-4,easy,low,complete,False,50,48,0,1,0.0,0,"[""attack b"", ""feast b j"", ""attack b"", ""feast b j"", ""attack b"", ""feast b j"", ""attack b"", ""feast b j"", ""attack b"", ""feast b j"", ""attack b"", ""feast b j"", ""attack b"", ""feast b j"", ""attack b"", ""feast b j"", ""attack b"", ""feast b j"", ""attack b"", ""feast b j"", ""attack b"", ""feast b j"", ""attack b"", ""feast b j"", ""overcome b i"", ""feast b j"", ""overcome b j"", ""feast b j"", ""overcome b j"", ""feast b j"", ""overcome b j"", ""feast b j"", ""overcome b j"", ""feast b j"", ""overcome b j"", ""feast b j"", ""overcome b j"", ""feast b j"", ""overcome b j"", ""feast b j"", ""overcome b j"", ""feast b j"", ""overcome b j"", ""feast b j"", ""overcome b j"", ""feast b j"", ""overcome b j"", ""feast b j"", ""overcome b j"", ""feast b j""]","{""canonical"": 50}",0,0,50,0,0.1667,1,6,6
MBW_127,anthropic/claude-sonnet-4,easy,low,complete,False,50,49,0,1,0.0,0,"[""attack b"", ""feast e b"", ""attack e"", ""feast e b"", ""attack e"", ""feast e b"", ""attack e"", ""feast e b"", ""attack e"", ""feast e b"", ""attack e"", ""feast e b"", ""attack e"", ""feast e b"", ""attack e"", ""feast e b"", ""attack e"", ""feast e b"", ""attack e"", ""feast e b"", ""attack e"", ""feast e b"", ""attack e"", ""feast e b"", ""attack e"", ""feast e b"", ""attack e"", ""feast e b"", ""attack e"", ""feast e b"", ""attack e"", ""feast e b"", ""attack e"", ""feast e b"", ""attack e"", ""feast e b"", ""attack e"", ""feast e b"", ""attack e"", ""feast e b"", ""attack e"", ""feast e b"", ""attack e"", ""feast e b"", ""attack e"", ""feast e b"", ""attack e"", ""feast e b"", ""attack e"", ""feast e b""]","{""canonical"": 50}",0,0,50,0,0.0,0,8,8
MBW_185,anthropic/claude-sonnet-4,hard,low,aborted: planning_loop,False,8,0,0,,0.0,0,"[""attack a"", ""succumb a"", ""attack a"", ""succumb a"", ""attack a"", ""succumb a"", ""attack a"", ""succumb a""]","{""canonical"": 8}",0,0,8,0,,0,0,18
MBW_495,anthropic/claude-sonnet-4,medium,low,complete,False,50,48,0,1,0.25,1,"[""attack c"", ""feast c l"", ""attack c"", ""feast c l"", ""attack c"", ""feast c l"", ""overcome c l"", ""feast e h"", ""succumb c"", ""feast e h"", ""succumb c"", ""feast e h"", ""succumb c"", ""feast e h"", ""succumb c"", ""feast e h"", ""succumb c"", ""feast e h"", ""succumb c"", ""feast e h"", ""succumb c"", ""feast e h"", ""succumb c"", ""feast e h"", ""succumb c"", ""feast e h"", ""succumb c"", ""feast e h"", ""succumb c"", ""feast e h"", ""succumb c"", ""feast e h"", ""succumb c"", ""feast e h"", ""succumb c"", ""feast e h"", ""succumb c"", ""feast e h"", ""succumb c"", ""feast e h"", ""succumb c"", ""feast e h"", ""succumb c"", ""feast e h"", ""succumb c"", ""feast e h"", ""succumb c"", ""feast e h"", ""succumb c"", ""feast e h""]","{""canonical"": 50}",0,0,50,0,0.0,0,8,8
