model,problem_id,W3,CCI,instance_contamination_score,contam_p75,contam_floor,cci_available,label
Claude,CC_01,1,0.0,0.0,0.5,0.0,True,mixed
Claude,CC_02,1,0.3333333333333333,0.0,0.5,0.0,True,ambiguous
Claude,CC_03,1,0.3333333333333333,0.0,0.5,0.0,True,ambiguous
Claude,CC_031,0,,0.0,0.5,0.0,False,mixed
Claude,CC_032,1,,0.0,0.5,0.0,False,ambiguous
Claude,CC_033,0,,0.6875,0.5,0.0,False,ambiguous
Claude,CC_034,0,,0.0,0.5,0.0,False,mixed
Claude,CC_035,1,,0.6364,0.5,0.0,False,mixed
Claude,CC_036,0,,0.6667,0.5,0.0,False,ambiguous
Claude,CC_037,0,,0.5714,0.5,0.0,False,ambiguous
Claude,CC_038,0,,0.5556,0.5,0.0,False,ambiguous
Claude,CC_039,1,,0.0,0.5,0.0,False,ambiguous
Claude,CC_04,0,0.0,0.0,0.5,0.0,True,mixed
Claude,CC_040,0,,0.0,0.5,0.0,False,mixed
Claude,CC_041,0,,0.0,0.5,0.0,False,mixed
Claude,CC_042,0,,0.5385,0.5,0.0,False,ambiguous
Claude,CC_043,0,,0.0,0.5,0.0,False,mixed
Claude,CC_044,0,,0.5,0.5,0.0,False,ambiguous
Claude,CC_045,0,,0.4545,0.5,0.0,False,ambiguous
Claude,CC_05,1,0.6666666666666666,0.0,0.5,0.0,True,ambiguous
Claude,CC_06,0,0.0,0.0,0.5,0.0,True,mixed
Claude,CC_07,1,0.3333333333333333,0.0,0.5,0.0,True,ambiguous
Claude,CC_08,0,0.0,0.0,0.5,0.0,True,mixed
Claude,CC_09,0,0.6666666666666666,0.0,0.5,0.0,True,mixed
Claude,CC_10,1,0.3333333333333333,0.0,0.5,0.0,True,ambiguous
Claude,SP_001,0,,0.0,0.5,0.0,False,mixed
Claude,SP_002,1,,0.0,0.5,0.0,False,ambiguous
Claude,SP_003,0,0.0,0.0,0.5,0.0,True,mixed
Claude,SP_004,0,0.3333333333333333,0.0,0.5,0.0,True,mixed
Claude,SP_005,0,0.3333333333333333,0.0,0.5,0.0,True,mixed
Claude,SP_019,0,0.0,0.5,0.5,0.0,True,retrieval_consistent
Claude,SP_020,0,0.0,0.5,0.5,0.0,True,retrieval_consistent
Claude,SP_021,0,0.0,0.0,0.5,0.0,True,mixed
Claude,SP_023,0,0.3333333333333333,0.5,0.5,0.0,True,ambiguous
Claude,SP_024,0,0.6666666666666666,0.0,0.5,0.0,True,mixed
Claude,SP_026,0,0.0,0.0,0.5,0.0,True,mixed
Claude,SP_027,0,0.3333333333333333,0.0,0.5,0.0,True,mixed
Claude,SP_028,0,0.3333333333333333,0.0,0.5,0.0,True,mixed
Claude,SP_029,0,0.3333333333333333,0.0,0.5,0.0,True,mixed
Claude,SP_030,0,1.0,0.0,0.5,0.0,True,mixed
Claude,SP_031,0,,0.0,0.5,0.0,False,mixed
Claude,SP_032,0,,0.5833,0.5,0.0,False,ambiguous
Claude,SP_033,0,,0.5714,0.5,0.0,False,ambiguous
Claude,SP_034,0,,0.0,0.5,0.0,False,mixed
Claude,SP_035,0,,0.0,0.5,0.0,False,mixed
Claude,SP_036,0,,0.5714,0.5,0.0,False,ambiguous
Claude,SP_037,0,0.0,0.5,0.5,0.0,True,retrieval_consistent
Claude,SP_038,0,0.0,0.0,0.5,0.0,True,mixed
Claude,SP_039,0,0.0,0.0,0.5,0.0,True,mixed
Claude,SP_040,0,0.0,0.0,0.5,0.0,True,mixed
Claude,SP_042,0,0.6666666666666666,0.0,0.5,0.0,True,mixed
Claude,SP_044,0,0.6666666666666666,0.0,0.5,0.0,True,mixed
Claude,SP_045,0,0.6666666666666666,0.0,0.5,0.0,True,mixed
Claude,SP_046,0,0.6666666666666666,0.0,0.5,0.0,True,mixed
Claude,SP_047,0,0.6666666666666666,0.0,0.5,0.0,True,mixed
Claude,SP_048,0,1.0,0.0,0.5,0.0,True,mixed
Claude,SP_049,0,,0.0,0.5,0.0,False,mixed
Claude,SP_050,0,,0.5,0.5,0.0,False,ambiguous
Claude,SP_051,0,,0.5714,0.5,0.0,False,ambiguous
Claude,SP_052,0,,0.5714,0.5,0.0,False,ambiguous
Claude,SP_053,0,,0.0,0.5,0.0,False,mixed
Claude,SP_054,0,,0.5714,0.5,0.0,False,ambiguous
Claude,SP_055,0,,0.5,0.5,0.0,False,ambiguous
Claude,SP_056,0,,0.5,0.5,0.0,False,ambiguous
Claude,SP_057,0,,0.5,0.5,0.0,False,ambiguous
Claude,SP_058,0,,0.5,0.5,0.0,False,ambiguous
Claude,SP_059,0,,0.5714,0.5,0.0,False,ambiguous
Claude,SP_060,0,,0.5714,0.5,0.0,False,ambiguous
Claude,SP_061,0,,0.5,0.5,0.0,False,ambiguous
Claude,SP_062,0,0.0,0.5,0.5,0.0,True,retrieval_consistent
Claude,SP_063,0,0.3333333333333333,0.0,0.5,0.0,True,mixed
Claude,SP_064,0,0.0,0.5,0.5,0.0,True,retrieval_consistent
Claude,SP_065,0,0.3333333333333333,0.5,0.5,0.0,True,ambiguous
Claude,SP_066,0,0.6666666666666666,0.0,0.5,0.0,True,mixed
Claude,SP_068,0,0.3333333333333333,0.0,0.5,0.0,True,mixed
Claude,SP_069,0,0.6666666666666666,0.0,0.5,0.0,True,mixed
Claude,SP_070,0,1.0,0.0,0.5,0.0,True,mixed
Claude,SP_071,0,0.6666666666666666,0.0,0.5,0.0,True,mixed
Claude,SP_072,0,0.6666666666666666,0.0,0.5,0.0,True,mixed
Claude,SP_073,0,0.3333333333333333,0.0,0.5,0.0,True,mixed
Claude,WIS_001,0,,0.0,0.5,0.0,False,mixed
Claude,WIS_002,0,,0.0,0.5,0.0,False,mixed
Claude,WIS_003,0,0.0,0.0,0.5,0.0,True,mixed
Claude,WIS_004,0,0.0,0.0,0.5,0.0,True,mixed
Claude,WIS_005,0,,0.0,0.5,0.0,False,mixed
Claude,WIS_006,0,,0.0,0.5,0.0,False,mixed
Claude,WIS_007,0,,0.0,0.5,0.0,False,mixed
Claude,WIS_009,0,,0.5455,0.5,0.0,False,ambiguous
Claude,WIS_010,0,,0.0,0.5,0.0,False,mixed
Claude,WIS_012,0,,0.5455,0.5,0.0,False,ambiguous
Claude,WIS_013,0,0.3333333333333333,0.0,0.5,0.0,True,mixed
Claude,WIS_014,0,0.3333333333333333,0.0,0.5,0.0,True,mixed
Claude,WIS_015,0,0.3333333333333333,0.0,0.5,0.0,True,mixed
Claude,WIS_016,0,0.3333333333333333,0.0,0.5,0.0,True,mixed
Claude,WIS_017,0,0.3333333333333333,0.0,0.5,0.0,True,mixed
Claude,WIS_018,0,0.6666666666666666,0.0,0.5,0.0,True,mixed
Claude,WIS_019,0,0.3333333333333333,0.0,0.5,0.0,True,mixed
Claude,WIS_020,0,0.6666666666666666,0.0,0.5,0.0,True,mixed
Claude,WIS_021,0,,0.0,0.5,0.0,False,mixed
Claude,WIS_022,0,,0.0,0.5,0.0,False,mixed
Claude,WIS_023,0,0.3333333333333333,0.0,0.5,0.0,True,mixed
Claude,WIS_024,0,0.3333333333333333,0.0,0.5,0.0,True,mixed
Claude,WIS_025,0,0.3333333333333333,0.0,0.5,0.0,True,mixed
Claude,WIS_026,0,0.3333333333333333,0.0,0.5,0.0,True,mixed
Claude,WIS_027,0,0.3333333333333333,0.0,0.5,0.0,True,mixed
Claude,WIS_028,0,0.3333333333333333,0.0,0.5,0.0,True,mixed
Claude,WIS_029,0,0.3333333333333333,0.0,0.5,0.0,True,mixed
Claude,WIS_030,0,,0.0,0.5,0.0,False,mixed
Claude,WIS_031,0,,0.0,0.5,0.0,False,mixed
Claude,WIS_032,0,,0.0,0.5,0.0,False,mixed
GPT-4o,CC_01,0,0.6666666666666666,0.0,0.5,0.0,True,mixed
GPT-4o,CC_02,0,0.3333333333333333,0.0,0.5,0.0,True,mixed
GPT-4o,CC_03,0,0.3333333333333333,0.0,0.5,0.0,True,mixed
GPT-4o,CC_031,0,,0.0,0.5,0.0,False,mixed
GPT-4o,CC_032,0,,0.0,0.5,0.0,False,mixed
GPT-4o,CC_033,0,,0.6875,0.5,0.0,False,ambiguous
GPT-4o,CC_034,0,,0.0,0.5,0.0,False,mixed
GPT-4o,CC_035,1,,0.6364,0.5,0.0,False,mixed
GPT-4o,CC_036,0,,0.6667,0.5,0.0,False,ambiguous
GPT-4o,CC_037,0,,0.5714,0.5,0.0,False,ambiguous
GPT-4o,CC_038,0,,0.5556,0.5,0.0,False,ambiguous
GPT-4o,CC_039,0,,0.0,0.5,0.0,False,mixed
GPT-4o,CC_04,0,0.6666666666666666,0.0,0.5,0.0,True,mixed
GPT-4o,CC_040,0,,0.0,0.5,0.0,False,mixed
GPT-4o,CC_041,0,,0.0,0.5,0.0,False,mixed
GPT-4o,CC_042,0,,0.5385,0.5,0.0,False,ambiguous
GPT-4o,CC_043,0,,0.0,0.5,0.0,False,mixed
GPT-4o,CC_044,0,,0.5,0.5,0.0,False,ambiguous
GPT-4o,CC_045,0,,0.4545,0.5,0.0,False,ambiguous
GPT-4o,CC_05,0,0.3333333333333333,0.0,0.5,0.0,True,mixed
GPT-4o,CC_06,0,0.3333333333333333,0.0,0.5,0.0,True,mixed
GPT-4o,CC_07,0,0.0,0.0,0.5,0.0,True,mixed
GPT-4o,CC_08,0,0.3333333333333333,0.0,0.5,0.0,True,mixed
GPT-4o,CC_09,0,0.6666666666666666,0.0,0.5,0.0,True,mixed
GPT-4o,CC_10,0,0.3333333333333333,0.0,0.5,0.0,True,mixed
GPT-4o,SP_001,0,,0.0,0.5,0.0,False,mixed
GPT-4o,SP_002,0,,0.0,0.5,0.0,False,mixed
GPT-4o,SP_003,0,0.0,0.0,0.5,0.0,True,mixed
GPT-4o,SP_004,0,0.3333333333333333,0.0,0.5,0.0,True,mixed
GPT-4o,SP_005,0,0.0,0.0,0.5,0.0,True,mixed
GPT-4o,SP_019,0,0.3333333333333333,0.5,0.5,0.0,True,ambiguous
GPT-4o,SP_020,0,0.0,0.5,0.5,0.0,True,retrieval_consistent
GPT-4o,SP_021,0,0.6666666666666666,0.0,0.5,0.0,True,mixed
GPT-4o,SP_023,0,0.3333333333333333,0.5,0.5,0.0,True,ambiguous
GPT-4o,SP_024,1,0.6666666666666666,0.0,0.5,0.0,True,ambiguous
GPT-4o,SP_026,0,0.3333333333333333,0.0,0.5,0.0,True,mixed
GPT-4o,SP_027,1,0.3333333333333333,0.0,0.5,0.0,True,ambiguous
GPT-4o,SP_028,0,0.3333333333333333,0.0,0.5,0.0,True,mixed
GPT-4o,SP_029,0,0.0,0.0,0.5,0.0,True,mixed
GPT-4o,SP_030,0,0.0,0.0,0.5,0.0,True,mixed
GPT-4o,SP_031,0,,0.0,0.5,0.0,False,mixed
GPT-4o,SP_032,0,,0.5833,0.5,0.0,False,ambiguous
GPT-4o,SP_033,1,,0.5714,0.5,0.0,False,mixed
GPT-4o,SP_034,1,,0.0,0.5,0.0,False,ambiguous
GPT-4o,SP_035,1,,0.0,0.5,0.0,False,ambiguous
GPT-4o,SP_036,0,,0.5714,0.5,0.0,False,ambiguous
GPT-4o,SP_037,0,0.0,0.5,0.5,0.0,True,retrieval_consistent
GPT-4o,SP_038,0,0.0,0.0,0.5,0.0,True,mixed
GPT-4o,SP_039,0,0.0,0.0,0.5,0.0,True,mixed
GPT-4o,SP_040,0,0.0,0.0,0.5,0.0,True,mixed
GPT-4o,SP_042,1,0.3333333333333333,0.0,0.5,0.0,True,ambiguous
GPT-4o,SP_044,1,1.0,0.0,0.5,0.0,True,computation_consistent
GPT-4o,SP_045,0,0.0,0.0,0.5,0.0,True,mixed
GPT-4o,SP_046,0,0.0,0.0,0.5,0.0,True,mixed
GPT-4o,SP_047,0,0.3333333333333333,0.0,0.5,0.0,True,mixed
GPT-4o,SP_048,0,0.3333333333333333,0.0,0.5,0.0,True,mixed
GPT-4o,SP_049,1,,0.0,0.5,0.0,False,ambiguous
GPT-4o,SP_050,1,,0.5,0.5,0.0,False,mixed
GPT-4o,SP_051,0,,0.5714,0.5,0.0,False,ambiguous
GPT-4o,SP_052,0,,0.5714,0.5,0.0,False,ambiguous
GPT-4o,SP_053,1,,0.0,0.5,0.0,False,ambiguous
GPT-4o,SP_054,0,,0.5714,0.5,0.0,False,ambiguous
GPT-4o,SP_055,0,,0.5,0.5,0.0,False,ambiguous
GPT-4o,SP_056,0,,0.5,0.5,0.0,False,ambiguous
GPT-4o,SP_057,0,,0.5,0.5,0.0,False,ambiguous
GPT-4o,SP_058,1,,0.5,0.5,0.0,False,mixed
GPT-4o,SP_059,1,,0.5714,0.5,0.0,False,mixed
GPT-4o,SP_060,0,,0.5714,0.5,0.0,False,ambiguous
GPT-4o,SP_061,1,,0.5,0.5,0.0,False,mixed
GPT-4o,SP_062,0,0.3333333333333333,0.5,0.5,0.0,True,ambiguous
GPT-4o,SP_063,0,0.0,0.0,0.5,0.0,True,mixed
GPT-4o,SP_064,0,0.0,0.5,0.5,0.0,True,retrieval_consistent
GPT-4o,SP_065,0,0.3333333333333333,0.5,0.5,0.0,True,ambiguous
GPT-4o,SP_066,1,0.3333333333333333,0.0,0.5,0.0,True,ambiguous
GPT-4o,SP_068,1,0.3333333333333333,0.0,0.5,0.0,True,ambiguous
GPT-4o,SP_069,1,0.6666666666666666,0.0,0.5,0.0,True,ambiguous
GPT-4o,SP_070,1,0.6666666666666666,0.0,0.5,0.0,True,ambiguous
GPT-4o,SP_071,0,0.0,0.0,0.5,0.0,True,mixed
GPT-4o,SP_072,0,0.3333333333333333,0.0,0.5,0.0,True,mixed
GPT-4o,SP_073,1,0.0,0.0,0.5,0.0,True,mixed
GPT-4o,WIS_001,0,,0.0,0.5,0.0,False,mixed
GPT-4o,WIS_002,0,,0.0,0.5,0.0,False,mixed
GPT-4o,WIS_003,0,0.0,0.0,0.5,0.0,True,mixed
GPT-4o,WIS_004,0,0.0,0.0,0.5,0.0,True,mixed
GPT-4o,WIS_005,0,,0.0,0.5,0.0,False,mixed
GPT-4o,WIS_006,0,,0.0,0.5,0.0,False,mixed
GPT-4o,WIS_007,0,,0.0,0.5,0.0,False,mixed
GPT-4o,WIS_009,0,,0.5455,0.5,0.0,False,ambiguous
GPT-4o,WIS_010,0,,0.0,0.5,0.0,False,mixed
GPT-4o,WIS_012,0,,0.5455,0.5,0.0,False,ambiguous
GPT-4o,WIS_013,0,0.3333333333333333,0.0,0.5,0.0,True,mixed
GPT-4o,WIS_014,0,0.3333333333333333,0.0,0.5,0.0,True,mixed
GPT-4o,WIS_015,0,0.3333333333333333,0.0,0.5,0.0,True,mixed
GPT-4o,WIS_016,0,0.3333333333333333,0.0,0.5,0.0,True,mixed
GPT-4o,WIS_017,0,0.3333333333333333,0.0,0.5,0.0,True,mixed
