problem_id,model,cci_score,cci_matched,cci_total,valid_divergence,tep_score,inject_at_step,injected_value,session_b_correct,correct_answer,contamination_pole,difficulty,problem_subtype
GSM_001,anthropic/claude-sonnet-4,0.25,1,4,False,0.0,2,98.9,True,51.0,high,medium,gsm_symbolic
GSM_002,anthropic/claude-sonnet-4,0.75,3,4,False,0.0,2,13.8,True,30.0,high,easy,gsm_symbolic
GSM_003,anthropic/claude-sonnet-4,0.6,3,5,False,0.0,2,34.5,True,150.0,high,medium,gsm_symbolic
GSM_004,anthropic/claude-sonnet-4,0.5,2,4,False,1.0,2,13.8,False,21600.0,high,easy,gsm_symbolic
GSM_005,anthropic/claude-sonnet-4,0.0,0,9,False,1.0,4,1.15,True,54.0,high,hard,gsm_symbolic
GSM_006,anthropic/claude-sonnet-4,0.0,0,2,False,1.0,1,11.5,False,546.0,high,medium,gsm_symbolic
GSM_007,anthropic/claude-sonnet-4,0.0,0,3,False,1.0,1,5.75,True,30.0,high,hard,gsm_symbolic
GSM_008,anthropic/claude-sonnet-4,0.2857,2,7,False,1.0,3,18.4,True,1024.0,high,medium,gsm_symbolic
GSM_009,anthropic/claude-sonnet-4,0.0,0,4,False,1.0,2,8.05,True,49.0,high,medium,gsm_symbolic
GSM_010,anthropic/claude-sonnet-4,0.1667,1,6,False,0.0,3,6.9,True,885.0,medium,medium,gsm_symbolic
GSM_011,anthropic/claude-sonnet-4,0.2,1,5,False,0.6667,2,17.25,True,86.0,medium,medium,gsm_symbolic
GSM_012,anthropic/claude-sonnet-4,0.25,1,4,False,0.5,2,418.6,True,81.0,medium,medium,gsm_symbolic
GSM_013,anthropic/claude-sonnet-4,0.2857,2,7,False,1.0,3,69.0,True,90.0,medium,medium,gsm_symbolic
GSM_014,anthropic/claude-sonnet-4,0.5,2,4,False,1.0,2,24.15,True,70.0,medium,medium,gsm_symbolic
GSM_015,anthropic/claude-sonnet-4,0.0,0,0,False,0.0,1,,False,354.0,medium,hard,gsm_symbolic
GSM_016,anthropic/claude-sonnet-4,0.2222,2,9,False,0.6,4,20.7,True,5.0,medium,hard,gsm_p1p2
GSM_017,anthropic/claude-sonnet-4,0.2105,4,19,False,0.7,9,28.75,True,922.0,medium,hard,gsm_p1p2
GSM_018,anthropic/claude-sonnet-4,0.2727,3,11,False,0.6667,5,55.2,True,21.0,medium,hard,gsm_p1p2
GSM_019,anthropic/claude-sonnet-4,0.0909,1,11,False,0.6667,5,17.25,True,3.0,medium,hard,gsm_p1p2
GSM_020,anthropic/claude-sonnet-4,0.7,7,10,False,0.0,5,3.45,True,24.0,medium,hard,gsm_p1p2
GSM_041,anthropic/claude-sonnet-4,0.75,3,4,False,1.0,2,21.85,True,150.0,high,easy,gsm_symbolic
GSM_042,anthropic/claude-sonnet-4,0.3333,1,3,False,0.0,1,34.5,True,2820.0,high,easy,gsm_symbolic
GSM_043,anthropic/claude-sonnet-4,0.0,0,2,False,1.0,1,92.0,True,8.0,high,easy,gsm_symbolic
GSM_044,anthropic/claude-sonnet-4,0.0,0,3,False,1.0,1,81.65,True,59.0,high,easy,gsm_symbolic
GSM_045,anthropic/claude-sonnet-4,0.4,2,5,False,0.3333,2,111.55,True,1122.0,high,medium,gsm_symbolic
GSM_046,anthropic/claude-sonnet-4,0.3333,1,3,False,0.0,1,2754.25,True,121.0,high,medium,gsm_symbolic
GSM_047,anthropic/claude-sonnet-4,0.3333,2,6,False,1.0,3,3.45,True,510.0,high,hard,gsm_symbolic
GSM_048,anthropic/claude-sonnet-4,0.0,0,5,False,0.3333,2,23.0,True,206.0,high,hard,gsm_symbolic
GSM_049,anthropic/claude-sonnet-4,0.0,0,9,False,1.0,4,0.23,True,1782.0,high,hard,gsm_symbolic
GSM_050,anthropic/claude-sonnet-4,0.0,0,5,False,0.0,2,18.4,True,20.0,medium,medium,gsm_symbolic
GSM_051,anthropic/claude-sonnet-4,0.0,0,4,False,0.5,2,2.3,True,256.0,medium,easy,gsm_symbolic
GSM_052,anthropic/claude-sonnet-4,0.1429,1,7,False,1.0,3,6.9,False,43.75,medium,medium,gsm_symbolic
GSM_053,anthropic/claude-sonnet-4,0.25,4,16,False,0.75,8,724.5,True,378.0,medium,easy,gsm_symbolic
GSM_054,anthropic/claude-sonnet-4,0.2,1,5,False,0.0,2,23.0,True,16.0,medium,hard,gsm_symbolic
GSM_055,anthropic/claude-sonnet-4,0.0,0,7,False,0.5,3,3.45,True,6.0,medium,medium,gsm_symbolic
GSM_056,anthropic/claude-sonnet-4,0.2222,2,9,False,1.0,4,2.3,True,69.0,medium,medium,gsm_symbolic
GSM_057,anthropic/claude-sonnet-4,0.3636,4,11,False,0.0,5,73.6,True,84.0,medium,medium,gsm_symbolic
GSM_058,anthropic/claude-sonnet-4,0.1429,1,7,False,0.0,3,23.0,True,285.0,medium,hard,gsm_symbolic
GSM_059,anthropic/claude-sonnet-4,0.25,2,8,False,0.75,4,33.35,True,29.0,medium,easy,gsm_symbolic
GSM_060,anthropic/claude-sonnet-4,0.2857,2,7,False,0.75,3,86.25,False,46.0,medium,hard,gsm_symbolic
GSM_061,anthropic/claude-sonnet-4,0.125,1,8,False,1.0,4,5.75,True,420.0,medium,easy,gsm_symbolic
GSM_062,anthropic/claude-sonnet-4,0.0,0,0,False,0.0,1,,False,112000.0,medium,hard,gsm_symbolic
GSM_063,anthropic/claude-sonnet-4,0.0,0,2,False,0.0,1,0.02,True,16200.0,medium,hard,gsm_symbolic
GSM_064,anthropic/claude-sonnet-4,0.75,3,4,False,0.0,2,14.95,True,75.0,medium,easy,gsm_symbolic
GSM_001,openai/gpt-4o,0.0,0,1,False,0.0,1,75.9,False,51.0,high,medium,gsm_symbolic
GSM_002,openai/gpt-4o,0.0,0,2,False,0.0,1,13.8,True,30.0,high,easy,gsm_symbolic
GSM_003,openai/gpt-4o,0.5,2,4,False,0.5,2,51.75,True,150.0,high,medium,gsm_symbolic
GSM_004,openai/gpt-4o,0.1429,1,7,False,0.0,3,6.9,True,21600.0,high,easy,gsm_symbolic
GSM_005,openai/gpt-4o,0.0,0,0,False,1.0,1,,True,54.0,high,hard,gsm_symbolic
GSM_006,openai/gpt-4o,0.1,1,10,False,0.0,5,64.4,False,546.0,high,medium,gsm_symbolic
GSM_007,openai/gpt-4o,0.0,0,2,False,1.0,1,5.75,False,30.0,high,hard,gsm_symbolic
GSM_008,openai/gpt-4o,0.3333,2,6,False,1.0,3,73.6,True,1024.0,high,medium,gsm_symbolic
GSM_009,openai/gpt-4o,0.0,0,11,False,0.5,5,27.6,True,49.0,high,medium,gsm_symbolic
GSM_010,openai/gpt-4o,0.1667,1,6,False,0.0,3,6.9,True,885.0,medium,medium,gsm_symbolic
GSM_011,openai/gpt-4o,0.0,0,0,False,1.0,1,,True,86.0,medium,medium,gsm_symbolic
GSM_012,openai/gpt-4o,0.0,0,0,False,0.0,1,,True,81.0,medium,medium,gsm_symbolic
GSM_013,openai/gpt-4o,0.0,0,5,False,1.0,2,0.46,True,90.0,medium,medium,gsm_symbolic
