problem_id,variant_type,model,raw_response,behavioral_correct,correct_answer,problem_family,contamination_pole,difficulty
GSM_001,canonical,openai/gpt-4o,"To calculate the cost of an 86-minute call, we need to consider the different rates for the call duration.

The first 20 minutes are charged at $0.9 per minute:  
\[ 20 \text{ minutes} \times \$0.9/\text{minute} = \$18. \]

For the remaining 66 minutes (since 86 - 20 = 66), the rate drops to $0.5 per minute:  
\[ 66 \text{ minutes} \times \$0.5/\text{minute} = \$33. \]

Adding these amounts together gives the total cost of the call:  
\[ \$18 + \$33 = \$51. \]

Therefore, an 86-minute call would cost \$51.",True,51,arithmetic_reasoning,high,medium
GSM_002,canonical,openai/gpt-4o,"To find out how many kids are in the park, we need to calculate the number of boys first and then sum the boys and girls.

We are given that there are 18 girls in the park and the number of boys is two-thirds the number of girls. We can calculate the number of boys as follows:

\[
\text{Number of boys} = \frac{2}{3} \times 18 = 12
\]

Now, we add the number of girls and the number of boys to find the total number of kids in the park:

\[
\text{Total number of kids} = 18 + 12 = 30
\]

So, there are 30 kids in the park.",True,30,arithmetic_reasoning,high,easy
GSM_003,canonical,openai/gpt-4o,"First, let's determine the number of yellow cards. We know there are 30 purple cards. The problem states there are 50% more yellow cards than purple cards. So, the number of yellow cards is:

\[
30 + 0.5 \times 30 = 30 + 15 = 45
\]

Next, we find the number of blue cards, which is equal to the sum of the number of purple and yellow cards:

\[
30 + 45 = 75
\]

Now, we can find the total number of cards by adding the purple, yellow, and blue cards together:

\[
30 + 45 + 75 = 150
\]

Therefore, there are 150 cards in total.",True,150,arithmetic_reasoning,high,medium
GSM_004,canonical,openai/gpt-4o,"To calculate the annual earnings of the painter, we need to determine how many days he works in a year and then multiply it by his daily wage.

1. The painter works 2 weeks every month.
2. He works 6 days each week.

Therefore, he works \(2 \times 6 = 12\) days per month.

Since there are 12 months in a year, he works \(12 \times 12 = 144\) days per year.

Given that he earns £150 per day, his total earnings for the year would be:

\[
144 \times 150 = £21,600
\]

Thus, the painter earns £21,600 in a year.",True,21600,arithmetic_reasoning,high,easy
GSM_005,canonical,openai/gpt-4o,"First, let's calculate the number of minutes Liam spends in class during the 6 school days:

Liam has 7 classes each day, and each class is 60 minutes long, so each day he spends:
\[ 7 \times 60 = 420 \text{ minutes} \]

Since he goes to class for 6 days a week, he spends:
\[ 420 \times 6 = 2520 \text{ minutes} \]

Next, Liam spends \( \frac{1}{7} \) of his weekly class time on extra learning during both Saturday and Sunday. Therefore, the extra learning time for each of these days is:
\[ \frac{1}{7} \times 2520 = 360 \text{ minutes} \]
per day.

Over both Saturday and Sunday, he spends:
\[ 360 \times 2 = 720 \text{ minutes} \]

Adding the class time and the extra learning time together gives the total weekly learning time:
\[ 2520 + 720 = 3240 \text{ minutes} \]

Finally, to convert minutes into hours, divide by 60:
\[ \frac{3240}{60} = 54 \text{ hours} \]

Therefore, Liam spends 54 hours a week learning.",True,54,arithmetic_reasoning,high,hard
GSM_006,canonical,openai/gpt-4o,"Kayla initially buys 10 shares at €56 each, so her initial investment is:

\[ 10 \times 56 = €560 \]

In the first year, the stock price increases by 30%. To find the new price per share after this increase, we calculate:

\[ 56 + (0.30 \times 56) = 56 + 16.80 = €72.80 \]

In the second year, the stock price decreases by 25%. To find the new price per share after this decrease, we calculate:

\[ 72.80 - (0.25 \times 72.80) = 72.80 - 18.20 = €54.60 \]

The final value of all Kayla's shares is:

\[ 10 \times 54.60 = €546 \]

So, the final value of all Kayla's shares is €546.",True,546,arithmetic_reasoning,high,medium
GSM_007,canonical,openai/gpt-4o,"Kai hires the luxury car from 1 PM to 5 PM, which totals 4 hours. Since he gets 2 hours free, he only needs to pay for 2 hours. 

The cost structure is as follows:
- The first paid hour costs $10.
- Each subsequent hour doubles the previous hour's cost.

For the hours Kai needs to pay:
1. The first paid hour (i.e., the 3rd hour overall) costs $10.
2. The second paid hour (i.e., the 4th hour overall) costs twice the previous hour, which is \(2 \times 10 = $20\).

Adding these costs together, Kai pays:
\[10 + 20 = $30.\]

Therefore, Kai paid a total of $30.",True,30,arithmetic_reasoning,high,hard
GSM_008,canonical,openai/gpt-4o,"Let's break down the infection pattern day by day:

- **Day 0:** There are initially 16 infected people.
- **Day 1:** Each of the 16 infected people infects 3 others, resulting in \(16 \times 3 = 48\) new infections. Adding these to the initial count, the total number of infected people by the end of Day 1 equals \(16 + 48 = 64\).

- **Day 2:** Each of the 64 infected people infects 3 others, resulting in \(64 \times 3 = 192\) new infections. Adding these to the previous total, the total number of infected people by the end of Day 2 equals \(64 + 192 = 256\).

- **Day 3:** Each of the 256 infected people infects 3 others, resulting in \(256 \times 3 = 768\) new infections. Adding these to the previous total, the total number of infected people by the end of Day 3 equals \(256 + 768 = 1024\).

Thus, by the end of Day 3, there are 1,024 infected people in total.",True,1024,arithmetic_reasoning,high,medium
GSM_009,canonical,openai/gpt-4o,"To determine how many dozens of eggs Nia will need for the 108 days, we can break it down into two parts based on her egg consumption pattern.

1. **First 84 days:**
   - Nia eats 5 eggs per day.
   - Total eggs needed for 84 days = \( 5 \, \text{eggs/day} \times 84 \, \text{days} = 420 \, \text{eggs} \).

2. **Next 24 days:**
   - Nia increases her consumption to 7 eggs per day.
   - Total eggs needed for 24 days = \( 7 \, \text{eggs/day} \times 24 \, \text{days} = 168 \, \text{eggs} \).

Now, we compute the total eggs needed for the entire 108 days:
\[ 420 \, \text{eggs} + 168 \, \text{eggs} = 588 \, \text{eggs} \]

Since a dozen equals 12 eggs, we convert the total number of eggs to dozens:
\[
\frac{588 \, \text{eggs}}{12 \, \text{eggs/dozen}} = 49 \, \text{dozens}
\]

Nia will need 49 dozens of eggs for the 108 days.",False,49,arithmetic_reasoning,high,medium
GSM_010,canonical,openai/gpt-4o,"To determine how much popcorn Zahra has, let's break down the popping process step by step:

1. **First 30 seconds:**
   - 60 kernels pop.

2. **Next 30 seconds (second 30-second interval):**
   - The popping rate is 4 times the first interval.
   - \( 4 \times 60 = 240 \) kernels pop.

3. **Next 30 seconds (third 30-second interval):**
   - The popping rate is 6 times the first interval.
   - \( 6 \times 60 = 360 \) kernels pop.

4. **Final 30 seconds (fourth 30-second interval):**
   - The popping rate is half of the previous interval's rate.
   - \( \frac{360}{2} = 180 \) kernels pop.

5. **Residual heat after taking the pan off:**
   - A quarter of the number of kernels that popped in the final 30 seconds pop.
   - \( \frac{180}{4} = 45 \) kernels pop.

Now, add up all the popped kernels:

\[
60 + 240 + 360 + 180 + 45 = 885
\]

Thus, Zahra has a total of 885 pieces of popcorn to eat.",True,885,arithmetic_reasoning,medium,medium
GSM_011,canonical,openai/gpt-4o,"To solve this problem, we need to calculate the total grams of water used to make the ice cubes and then subtract this amount from the initial 328 grams of water Pavel has.

First, we calculate how many grams of water are used to make the giant cubes:
\[ 8 \text{ giant cubes} \times 12 \text{ grams/cube} = 96 \text{ grams} \]

Next, we calculate how many grams of water are used to make the medium cubes:
\[ 13 \text{ medium cubes} \times 11 \text{ grams/cube} = 143 \text{ grams} \]

Now, we calculate how many grams of water are used to make the small cubes:
\[ 15 \text{ small cubes} \times \frac{1}{5} \text{ grams/cube} = 3 \text{ grams} \]

We add these amounts together to find the total amount of water used:
\[ 96 \text{ grams} + 143 \text{ grams} + 3 \text{ grams} = 242 \text{ grams} \]

Finally, we subtract the total amount of water used from the initial amount Pavel has:
\[ 328 \text{ grams} - 242 \text{ grams} = 86 \text{ grams} \]

Therefore, Pavel has 86 grams of water left.",True,86,arithmetic_reasoning,medium,medium
GSM_012,canonical,openai/gpt-4o,"To find out how many potted plants Camila will have remaining, we can follow these steps:

1. Calculate the total number of potted plants Camila initially has on her window ledges:  
   She has 7 potted plants on each of the 52 window ledges.  
   \[
   7 \text{ plants/ledge} \times 52 \text{ ledges} = 364 \text{ plants}
   \]

2. Add the 29 new potted plants she received:  
   \[
   364 \text{ plants (existing)} + 29 \text{ plants (new)} = 393 \text{ plants}
   \]

3. Determine how many plants she will give away. Since she gives away 6 plants from each of the 52 ledges:  
   \[
   6 \text{ plants/ledge} \times 52 \text{ ledges} = 312 \text{ plants}
   \]

4. Subtract the number of plants she gives away from her total:  
   \[
   393 \text{ plants (total)} - 312 \text{ plants (given away)} = 81 \text{ plants}
   \]

Thus, Camila will remain with 81 potted plants.",True,81,arithmetic_reasoning,medium,medium
GSM_013,canonical,openai/gpt-4o,"To solve this problem, we need to determine both Mia's walking speeds on the beach and on the sidewalk, and then calculate the total time it takes for her to complete her walk.

1. **Determine Mia's walking speeds**:

   Let's denote Mia's walking speed on the beach as \( v \) kilometers per hour. On the sidewalk, her speed is twice that, so it's \( 2v \) kilometers per hour.

2. **Calculate the time spent on the beach**:

   Mia walks 12 kilometers on the beach, and we know this takes her 60 minutes (which is 1 hour). Therefore, using the relation \(\text{Distance} = \text{Speed} \times \text{Time}\), we have:
   \[
   12 = v \cdot 1
   \]
   Solving for \( v \), we have:
   \[
   v = 12 \text{ kilometers per hour}
   \]

3. **Calculate the speed on the sidewalk**:

   Since Mia's speed on the sidewalk is twice her speed on the beach, it is:
   \[
   2v = 2 \times 12 = 24 \text{ kilometers per hour}
   \]

4. **Calculate the time spent walking on the sidewalk**:

   Mia walks 12 kilometers on the sidewalk with a speed of 24 kilometers per hour. Thus, the time \( t_{\text{sidewalk}} \) spent walking on the sidewalk is:
   \[
   t_{\text{sidewalk}} = \frac{\text{Distance}}{\text{Speed}} = \frac{12}{24} = 0.5 \text{ hours}
   \]
   Converting hours to minutes gives us:
   \[
   t_{\text{sidewalk}} = 0.5 \times 60 = 30 \text{ minutes}
   \]

5. **Calculate the total time for the walk**:

   The total time for the entire walk is the sum of the time spent on the beach and the time spent on the sidewalk:
   \[
   t_{\text{total}} = 60 \text{ minutes} + 30 \text{ minutes} = 90 \text{ minutes}
   \]

Therefore, it takes Mia 90 minutes to complete her entire 24-kilometer walk.

Thus, the answer is \(\boxed{90}\) minutes.",True,90,arithmetic_reasoning,medium,medium
GSM_014,canonical,openai/gpt-4o,"To determine what percentage of the maintenance worker's workday is spent cleaning floors, we can follow these calculations:

1. **Total Time for Cleaning All Floors**:
   - It takes 20 minutes to clean one floor.
   - There are 210 floors.
   - So, total time to clean all floors = \( 210 \text{ floors} \times 20 \text{ minutes per floor} = 4200 \text{ minutes} \).

2. **Total Working Time Over 10 Days**:
   - The worker works 10 hours a day.
   - Convert hours to minutes: \( 10 \text{ hours} \times 60 \text{ minutes per hour} = 600 \text{ minutes per day} \).
   - Total working time over 10 days = \( 10 \text{ days} \times 600 \text{ minutes per day} = 6000 \text{ minutes} \).

3. **Percentage of Time Spent Cleaning**:
   - Percentage of time spent cleaning each day = \(\left( \frac{\text{Total cleaning time}}{\text{Total working time}} \right) \times 100\).
   - Percentage of time spent cleaning = \(\left( \frac{4200}{6000} \right) \times 100 \approx 70\%\).

Thus, on average, the maintenance worker spends 70% of their workday cleaning floors.",True,70,arithmetic_reasoning,medium,medium
GSM_015,canonical,openai/gpt-4o,"To solve this problem, we need to round the prices of the plants to the nearest dollar as Viktor has decided to do, and then calculate his total earnings based on the number of bundles sold.

First, let's round the prices:

- Tulips: €2.25 rounds to €2.
- Roses: €5.13 rounds to €5.
- Sunflowers: €5.47 rounds to €5.

Next, we'll calculate the earnings from each type of plant by multiplying the rounded price by the number of bundles sold:

1. Earnings from tulips:  
   \(12 \text{ bundles} \times €2/\text{bundle} = €24\).

2. Earnings from roses:  
   \(29 \text{ bundles} \times €5/\text{bundle} = €145\).

3. Earnings from sunflowers:  
   \(37 \text{ bundles} \times €5/\text{bundle} = €185\).

Finally, we add the earnings from each type of plant to find the total earnings:

\[
€24 + €145 + €185 = €354
\]

Viktor will make a total of €354.",True,354,arithmetic_reasoning,medium,hard
GSM_016,canonical,openai/gpt-4o,"First, we calculate the total weight of each type of feed and items the farmer is buying:

- Wheat: \(6 \times 4 = 24\) pounds
- Cucumbers: \(12 \times 5 = 60\) pounds
- Apples: \(32 \times 43 = 1376\) pounds
- Corns: \(18 \times 15 = 270\) pounds
- Grocery: 43 pounds
- Tools: 27 pounds

Now, sum up the total weight:

\[
24 + 60 + 1376 + 270 + 43 + 27 = 1800 \text{ pounds}
\]

Each farm truck can carry 120 pounds at a time. To determine how many trips are needed, divide the total weight by the carrying capacity of one truck:

\[
\frac{1800}{120} = 15 \text{ trips}
\]

The farmer has three trucks available, which means they can make these trips concurrently. Therefore, we divide the total number of trips needed by the number of trucks:

\[
\frac{15}{3} = 5 \text{ trips per truck}
\]

The farmer will need a total of 5 trips per truck to transport all the items.",True,5,arithmetic_reasoning,medium,hard
GSM_017,canonical,openai/gpt-4o,"To solve the problem, let's first determine the number of boxes Liam sold each day:

**Friday:**
- Cookies: 25 boxes
- Orange pies: 13 fewer boxes of orange pie than Saturday.

**Saturday:**
- Cookies: 25 + 11 = 36 boxes (11 more than Friday)
- Orange pies: 22 boxes

Since on Friday, Liam sold 13 fewer orange pies than on Saturday, on Friday he sold:
- Orange pies: 22 - 13 = 9 boxes

**Sunday:**
Liam sold as much as he did in the past two days combined:

Total sold on Friday and Saturday:
- Cookies: 25 (Friday) + 36 (Saturday) = 61 boxes
- Orange pies: 9 (Friday) + 22 (Saturday) = 31 boxes

Therefore on Sunday, Liam sold:
- Cookies: 61 boxes
- Orange pies: 31 boxes

Now, let's calculate his earnings:

**Friday's Earnings:**
- Cookies earnings: 25 boxes × ¥12 = ¥300
- Orange pies earnings: 9 boxes × ¥21 = ¥189
- Total earnings on Friday = ¥300 + ¥189 = ¥489

**Saturday's Earnings:**
- Cookies earnings: 36 boxes × ¥12 = ¥432
- Orange pies earnings: 22 boxes × ¥21 = ¥462
- Total earnings on Saturday = ¥432 + ¥462 = ¥894

**Sunday's Earnings:**
- Cookies earnings: 61 boxes × ¥12 = ¥732
- Orange pies earnings: 31 boxes × ¥21 = ¥651
- Total earnings on Sunday = ¥732 + ¥651 = ¥1383

**Total earnings for all three days:**
Total = ¥489 (Friday) + ¥894 (Saturday) + ¥1383 (Sunday) = ¥2766

**Average daily earnings:**
Total divided by 3 days = ¥2766 / 3 = ¥922

Therefore, Liam's average daily earning is ¥922.",True,922,arithmetic_reasoning,medium,hard
GSM_018,canonical,openai/gpt-4o,"First, let's determine the number of questions in each subject:

1. **Physics**: 25% of 80 questions = 0.25 × 80 = 20 questions
2. **Algebra**: 15% of 80 questions = 0.15 × 80 = 12 questions

The remaining questions are divided equally between chemistry and history:
\[ 
80 - (20 + 12) = 48 \ (\text{remaining questions})
\]

Each of chemistry and history will then have:
\[ 
\frac{48}{2} = 24 \ \text{questions each}
\]

Next, let's calculate the number of questions Emma is sure to get correct in each subject:

1. **Physics**: \( 10\% \times 20 = 0.1 \times 20 = 2 \ \text{questions} \)
2. **Algebra**: \( 25\% \times 12 = 0.25 \times 12 = 3 \ \text{questions} \)
3. **Chemistry**: \( \frac{1}{3} \times 24 = 8 \ \text{questions} \)
4. **History**: \( \frac{1}{3} \times 24 = 8 \ \text{questions} \)

Adding up the questions Emma is sure to get correct:
\[ 
2 + 3 + 8 + 8 = 21 \ \text{questions}
\]

Therefore, Emma is sure to get 21 points.",True,21,arithmetic_reasoning,medium,hard
GSM_019,canonical,openai/gpt-4o,"To find out how many 45-minute episodes Tariq watched on Sunday, we need to calculate how much TV he watched each day and then see how many hours he watched on Sunday.

First, let's convert all viewing times to hours and sum them up:

**Friday and Saturday:**
- 3-hour episodes each night for 2 nights:  
  \(3 \text{ hours} \times 2 = 6 \text{ hours}\)

**Sunday:**
- Let \(x\) be the number of 45-minute episodes.

**Monday:**
- A 4-hour episode and a 15-minute show:  
  \(4 \text{ hours} + \frac{15}{60} \text{ hours} = 4.25 \text{ hours}\)

**Tuesday:**
- Four 2-hour episodes:  
  \(4 \times 2 = 8 \text{ hours}\)

**Wednesday:**
- Three 30-minute episodes:  
  \(3 \times \frac{30}{60} = 1.5 \text{ hours}\)

Now let's set up an equation for the total hours watched:

\[
6 + \frac{45}{60}x + 4.25 + 8 + 1.5 = 22
\]

Simplify the equation:

\[
6 + \frac{3}{4}x + 4.25 + 8 + 1.5 = 22
\]

Combine like terms:

\[
19.75 + \frac{3}{4}x = 22
\]

Subtract 19.75 from both sides:

\[
\frac{3}{4}x = 2.25
\]

To solve for \(x\), multiply both sides by \(\frac{4}{3}\):

\[
x = 2.25 \times \frac{4}{3} = 3
\]

Therefore, Tariq watched \(\boxed{3}\) 45-minute episodes on Sunday.",False,3,arithmetic_reasoning,medium,hard
GSM_020,canonical,openai/gpt-4o,"To find out how many eggs are still hidden, we need to first calculate how many eggs each person found and add them up.

1. **Calculate how many eggs Quinn found:**  
   Quinn finds six times as many as Ava, who found 3 eggs.  
   Quinn: \( 6 \times 3 = 18 \) eggs

2. **Calculate how many eggs Sophia found:**  
   Sophia finds 3 fewer than Quinn.  
   Sophia: \( 18 - 3 = 15 \) eggs

3. **Calculate how many eggs Esteban found:**  
   Esteban finds 1/5 as many as Sophia.  
   Esteban: \( \frac{1}{5} \times 15 = 3 \) eggs

4. **Calculate how many eggs Fatima found:**  
   Fatima finds three dozen eggs more than Quinn and Ava combined.  
   Quinn and Ava together found \( 18 + 3 = 21 \) eggs.  
   Three dozen eggs is \( 3 \times 12 = 36 \).  
   Fatima: \( 21 + 36 = 57 \) eggs

Now, add all these up to determine the total number of eggs found:

- Ava: 3 eggs
- Quinn: 18 eggs
- Sophia: 15 eggs
- Esteban: 3 eggs
- Fatima: 57 eggs

Total found: \( 3 + 18 + 15 + 3 + 57 = 96 \) eggs

Zahra originally hid 10 dozen eggs, which is \( 10 \times 12 = 120 \) eggs.

Subtract the total found from the total hidden to get the number of eggs still hidden:

\[
120 - 96 = 24
\]

Thus, there are 24 eggs still hidden in the yard.",True,24,arithmetic_reasoning,medium,hard
GSM_001,w1,openai/gpt-4o,"To calculate the total cost of an 86-minute call with the described rate structure, you need to break it down into two parts: the first 20 minutes and the remaining minutes beyond 20.

1. **First 20 minutes:**
   - Rate is $0.9 per minute.
   - Total cost for the first 20 minutes = 20 minutes * $0.9/minute = $18.

2. **Remaining 66 minutes (86 - 20 = 66):**
   - Rate is $0.5 per minute.
   - Total cost for the remaining 66 minutes = 66 minutes * $0.5/minute = $33.

3. **Total cost of the 86-minute call:**
   - Total cost = Cost for the first 20 minutes + Cost for the remaining 66 minutes
   - Total cost = $18 + $33 = $51.

Hence, the total cost of the 86-minute call is $51.",True,51,arithmetic_reasoning,high,medium
GSM_002,w1,openai/gpt-4o,"To find the total number of kids in the park, we need to calculate the number of boys first. The problem states that the number of boys is two-thirds of the number of girls. Since there are 18 girls, we can calculate the number of boys as follows:

\[
\text{Number of boys} = \frac{2}{3} \times 18 = 12
\]

Now, add the number of girls and the number of boys to find the total number of kids:

\[
\text{Total number of kids} = \text{Number of girls} + \text{Number of boys} = 18 + 12 = 30
\]

Therefore, the total number of kids in the park is 30.",True,30,arithmetic_reasoning,high,easy
GSM_003,w1,openai/gpt-4o,"To determine the total number of cards, we start by calculating the number of each color based on the given information. The artist's card set initially has 30 purple cards.

Next, we calculate the number of yellow cards. The problem states that the number of yellow cards is 50% greater than the number of purple cards. This means:

\[
\text{Number of yellow cards} = 30 + 0.5 \times 30 = 30 + 15 = 45
\]

Now, we calculate the number of blue cards. The number of blue cards equals the combined total of purple and yellow cards. Therefore:

\[
\text{Number of blue cards} = 30 + 45 = 75
\]

Finally, we find the total number of cards by summing the number of purple, yellow, and blue cards:

\[
\text{Total number of cards} = 30 + 45 + 75 = 150
\]

Thus, the total number of cards across all three colors is \(\boxed{150}\).",True,150,arithmetic_reasoning,high,medium
GSM_004,w1,openai/gpt-4o,"To calculate the painter's total earnings over the course of a year, we need to determine how many days he works in a year and then multiply by his daily wage.

1. **Calculate weekly earnings:**
   - The painter works 6 days per week and earns £150 per day.
   - Weekly earnings = 6 days/week × £150/day = £900 per week.

2. **Calculate monthly earnings:**
   - The painter works 2 weeks per month.
   - Monthly earnings = 2 weeks/month × £900/week = £1,800 per month.

3. **Calculate annual earnings:**
   - There are 12 months in a year.
   - Annual earnings = 12 months/year × £1,800/month = £21,600 per year.

Therefore, the painter's total earnings over the course of a year are £21,600.",True,21600,arithmetic_reasoning,high,easy
GSM_005,w1,openai/gpt-4o,"First, let's calculate the total number of class periods Liam attends in a regular school day. A regular school day has 6 periods, and Liam attends 1 additional class. Therefore, the total number of periods Liam attends each day is:

\[ 6 + 1 = 7 \]

Each class period lasts 60 minutes, so the total number of minutes Liam spends at school each day is:

\[ 7 \times 60 = 420 \text{ minutes} \]

Next, we calculate the weekly time Liam spends in school. Liam attends school 6 days a week, so the total number of minutes he spends in school each week is:

\[ 420 \times 6 = 2520 \text{ minutes} \]

On both Saturday and Sunday, Liam spends additional time on extra learning. He spends \( \frac{1}{7} \) of his total weekly learning time on extra learning each day. Let's first calculate his total weekly learning time without the extra time on the weekends. This includes his 6 school days of learning:

Let his total weekly learning time be \( x \). The time spent on extra learning each day over the weekend is \( \frac{1}{7}x \).

Summing his weekday and his weekend times, we have:

\[ x = 2520 + 2 \cdot \left(\frac{1}{7}x\right) \]

Simplifying, we get:

\[ x = 2520 + \frac{2}{7}x \]

Rearranging, we have:

\[ x - \frac{2}{7}x = 2520 \]
\[ \frac{5}{7}x = 2520 \]

To solve for \( x \), multiply both sides by \( \frac{7}{5} \):

\[ x = 2520 \times \frac{7}{5} = 504 \times 7 = 3528 \text{ minutes} \]

So, the total weekly learning minutes is 3528. To convert this into hours, divide by 60:

\[ \frac{3528}{60} = 58.8 \text{ hours} \]

Therefore, the total number of hours per week Liam spends learning is:

\[ \boxed{58.8} \]",False,54,arithmetic_reasoning,high,hard
GSM_006,w1,openai/gpt-4o,"To find the total value of Kayla's shares at the end of the second year, we can follow these steps:

1. **Initial Purchase:**
   - Kayla purchases 10 shares at $56 per share. 
   - Total initial investment = 10 shares × $56/share = $560.

2. **End of the First Year:**
   - The stock price increases by 30%.
   - New price per share = $56 + (30% of $56) = $56 + $16.80 = $72.80.
   - The total value at the end of the first year = 10 shares × $72.80/share = $728.

3. **End of the Second Year:**
   - The stock price decreases by 25%.
   - New price per share = $72.80 - (25% of $72.80) = $72.80 - $18.20 = $54.60.
   - The total value at the end of the second year = 10 shares × $54.60/share = $546.

Therefore, the total value of Kayla's shares at the end of the second year is $546.",True,546,arithmetic_reasoning,high,medium
GSM_007,w1,openai/gpt-4o,"Kai rents the car for 4 hours, and out of these, 2 hours are free. Therefore, he needs to pay for 2 hours.

Here's the breakdown of the costs for the paid hours:

- The cost for the first paid hour is $10.
- The cost for the second paid hour is double the first, which is \(2 \times 10 = 20\).

Summing these amounts gives the total amount Kai paid:

\[
10 + 20 = 30
\]

Thus, the total amount Kai paid is $30.",True,30,arithmetic_reasoning,high,hard
GSM_008,w1,openai/gpt-4o,"To find the total number of infected people after 3 days, we can model the spread of the virus using exponential growth. Each infected person gives the virus to 3 other people every day.

We start with 16 initially infected individuals.

- Day 0: 16 people are infected.

From each of these 16 people, 3 new people are infected on the first day.

- Day 1:  
  New infections = 16 * 3 = 48  
  Total infected by end of Day 1 = 16 + 48 = 64

On the second day, these 48 newly infected individuals each infect 3 other people.

- Day 2:  
  New infections = 48 * 3 = 144  
  Total infected by end of Day 2 = 64 + 144 = 208

On the third day, these 144 newly infected individuals each infect 3 more people.

- Day 3:  
  New infections = 144 * 3 = 432  
  Total infected by end of Day 3 = 208 + 432 = 640

Therefore, after 3 days, a total of 640 people are infected.",False,1024,arithmetic_reasoning,high,medium
GSM_009,w1,openai/gpt-4o,"To determine the total number of dozens of eggs Nia needs, we first calculate the total number of eggs consumed, and then convert this number into dozens.

1. **Calculate eggs consumed in the first 84 days:**

   Nia consumes 5 eggs per day. Over 84 days, the total is:
   \[
   5 \text{ eggs/day} \times 84 \text{ days} = 420 \text{ eggs}
   \]

2. **Calculate eggs consumed in the next 24 days:**

   Nia increases her consumption to 7 eggs per day. Over 24 days, the total is:
   \[
   7 \text{ eggs/day} \times 24 \text{ days} = 168 \text{ eggs}
   \]

3. **Total eggs consumed:**

   Adding the two amounts gives the total number of eggs:
   \[
   420 \text{ eggs} + 168 \text{ eggs} = 588 \text{ eggs}
   \]

4. **Convert eggs to dozens:**

   There are 12 eggs in a dozen. Therefore, the number of dozens is:
   \[
   \frac{588 \text{ eggs}}{12 \text{ eggs/dozen}} = 49 \text{ dozens}
   \]

Thus, Nia needs a total of \( \boxed{49} \) dozens of eggs for the 108 days.",False,49,arithmetic_reasoning,high,medium
