family,model_a,model_b,spearman_rho,p_value,n_variants
ALGO,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,1.0,0.0,6
ALGO,anthropic/claude-sonnet-4,google/gemini-2.5-flash,0.9429,0.0048,6
ALGO,anthropic/claude-sonnet-4,meta-llama/llama-3.1-8b-instruct,0.1429,0.7872,6
ALGO,anthropic/claude-sonnet-4,openai/gpt-4o,0.8286,0.0416,6
ALGO,anthropic/claude-sonnet-4,openai/o4-mini,-0.0857,0.8717,6
ALGO,google/gemini-2.5-flash,anthropic/claude-sonnet-4,0.9429,0.0048,6
ALGO,google/gemini-2.5-flash,google/gemini-2.5-flash,1.0,0.0,6
ALGO,google/gemini-2.5-flash,meta-llama/llama-3.1-8b-instruct,0.2571,0.6228,6
ALGO,google/gemini-2.5-flash,openai/gpt-4o,0.7714,0.0724,6
ALGO,google/gemini-2.5-flash,openai/o4-mini,-0.2571,0.6228,6
ALGO,meta-llama/llama-3.1-8b-instruct,anthropic/claude-sonnet-4,0.1429,0.7872,6
ALGO,meta-llama/llama-3.1-8b-instruct,google/gemini-2.5-flash,0.2571,0.6228,6
ALGO,meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.1-8b-instruct,1.0,0.0,6
ALGO,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o,0.6,0.208,6
ALGO,meta-llama/llama-3.1-8b-instruct,openai/o4-mini,-0.3143,0.5441,6
ALGO,openai/gpt-4o,anthropic/claude-sonnet-4,0.8286,0.0416,6
ALGO,openai/gpt-4o,google/gemini-2.5-flash,0.7714,0.0724,6
ALGO,openai/gpt-4o,meta-llama/llama-3.1-8b-instruct,0.6,0.208,6
ALGO,openai/gpt-4o,openai/gpt-4o,1.0,0.0,6
ALGO,openai/gpt-4o,openai/o4-mini,-0.1429,0.7872,6
ALGO,openai/o4-mini,anthropic/claude-sonnet-4,-0.0857,0.8717,6
ALGO,openai/o4-mini,google/gemini-2.5-flash,-0.2571,0.6228,6
ALGO,openai/o4-mini,meta-llama/llama-3.1-8b-instruct,-0.3143,0.5441,6
ALGO,openai/o4-mini,openai/gpt-4o,-0.1429,0.7872,6
ALGO,openai/o4-mini,openai/o4-mini,1.0,0.0,6
BW,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,1.0,0.0,6
BW,anthropic/claude-sonnet-4,deepseek/deepseek-r1-distill-llama-70b,0.6,0.208,6
BW,anthropic/claude-sonnet-4,google/gemini-2.5-flash,0.9429,0.0048,6
BW,anthropic/claude-sonnet-4,meta-llama/llama-3.1-8b-instruct,-0.087,0.8699,6
BW,anthropic/claude-sonnet-4,openai/gpt-4o,0.5429,0.2657,6
BW,anthropic/claude-sonnet-4,openai/o4-mini,0.8857,0.0188,6
BW,deepseek/deepseek-r1-distill-llama-70b,anthropic/claude-sonnet-4,0.6,0.208,6
BW,deepseek/deepseek-r1-distill-llama-70b,deepseek/deepseek-r1-distill-llama-70b,1.0,0.0,6
BW,deepseek/deepseek-r1-distill-llama-70b,google/gemini-2.5-flash,0.6571,0.1562,6
BW,deepseek/deepseek-r1-distill-llama-70b,meta-llama/llama-3.1-8b-instruct,0.7247,0.1032,6
BW,deepseek/deepseek-r1-distill-llama-70b,openai/gpt-4o,0.8286,0.0416,6
BW,deepseek/deepseek-r1-distill-llama-70b,openai/o4-mini,0.8286,0.0416,6
BW,google/gemini-2.5-flash,anthropic/claude-sonnet-4,0.9429,0.0048,6
BW,google/gemini-2.5-flash,deepseek/deepseek-r1-distill-llama-70b,0.6571,0.1562,6
BW,google/gemini-2.5-flash,google/gemini-2.5-flash,1.0,0.0,6
BW,google/gemini-2.5-flash,meta-llama/llama-3.1-8b-instruct,0.058,0.9131,6
BW,google/gemini-2.5-flash,openai/gpt-4o,0.7143,0.1108,6
BW,google/gemini-2.5-flash,openai/o4-mini,0.9429,0.0048,6
BW,meta-llama/llama-3.1-8b-instruct,anthropic/claude-sonnet-4,-0.087,0.8699,6
BW,meta-llama/llama-3.1-8b-instruct,deepseek/deepseek-r1-distill-llama-70b,0.7247,0.1032,6
BW,meta-llama/llama-3.1-8b-instruct,google/gemini-2.5-flash,0.058,0.9131,6
BW,meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.1-8b-instruct,1.0,0.0,6
BW,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o,0.5508,0.2574,6
BW,meta-llama/llama-3.1-8b-instruct,openai/o4-mini,0.2899,0.5774,6
BW,openai/gpt-4o,anthropic/claude-sonnet-4,0.5429,0.2657,6
BW,openai/gpt-4o,deepseek/deepseek-r1-distill-llama-70b,0.8286,0.0416,6
BW,openai/gpt-4o,google/gemini-2.5-flash,0.7143,0.1108,6
BW,openai/gpt-4o,meta-llama/llama-3.1-8b-instruct,0.5508,0.2574,6
BW,openai/gpt-4o,openai/gpt-4o,1.0,0.0,6
BW,openai/gpt-4o,openai/o4-mini,0.7714,0.0724,6
BW,openai/o4-mini,anthropic/claude-sonnet-4,0.8857,0.0188,6
BW,openai/o4-mini,deepseek/deepseek-r1-distill-llama-70b,0.8286,0.0416,6
BW,openai/o4-mini,google/gemini-2.5-flash,0.9429,0.0048,6
BW,openai/o4-mini,meta-llama/llama-3.1-8b-instruct,0.2899,0.5774,6
BW,openai/o4-mini,openai/gpt-4o,0.7714,0.0724,6
BW,openai/o4-mini,openai/o4-mini,1.0,0.0,6
GSM,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,1.0,0.0,6
GSM,anthropic/claude-sonnet-4,google/gemini-2.5-flash,0.4928,0.3206,6
GSM,anthropic/claude-sonnet-4,openai/o4-mini,0.7537,0.0835,6
GSM,google/gemini-2.5-flash,anthropic/claude-sonnet-4,0.4928,0.3206,6
GSM,google/gemini-2.5-flash,google/gemini-2.5-flash,1.0,0.0,6
GSM,google/gemini-2.5-flash,openai/o4-mini,0.2571,0.6228,6
GSM,openai/o4-mini,anthropic/claude-sonnet-4,0.7537,0.0835,6
GSM,openai/o4-mini,google/gemini-2.5-flash,0.2571,0.6228,6
GSM,openai/o4-mini,openai/o4-mini,1.0,0.0,6
