model,subtype,variant_type,metric_name,metric_value,ci_lower,ci_upper
anthropic/claude-3.7-sonnet,coin_change,W1,VAR,0.8,0.5,1.0
anthropic/claude-3.7-sonnet,coin_change,W2,VAR,0.7,0.4,1.0
anthropic/claude-3.7-sonnet,coin_change,W3,VAR,0.0,0.0,0.0
anthropic/claude-3.7-sonnet,coin_change,W4,VAR,0.7,0.4,1.0
anthropic/claude-3.7-sonnet,coin_change,canonical,VAR,0.7,0.4,1.0
anthropic/claude-3.7-sonnet,shortest_path,W1,VAR,0.6,0.2,1.0
anthropic/claude-3.7-sonnet,shortest_path,W2,VAR,0.2,0.0,0.6
anthropic/claude-3.7-sonnet,shortest_path,W3,VAR,0.0,0.0,0.0
anthropic/claude-3.7-sonnet,shortest_path,W4,VAR,0.2,0.0,0.6
anthropic/claude-3.7-sonnet,shortest_path,canonical,VAR,0.6,0.2,1.0
anthropic/claude-3.7-sonnet,wis,W1,VAR,0.2,0.0,0.6
anthropic/claude-3.7-sonnet,wis,W2,VAR,0.2,0.0,0.6
anthropic/claude-3.7-sonnet,wis,W3,VAR,0.0,0.0,0.0
anthropic/claude-3.7-sonnet,wis,W4,VAR,0.0,0.0,0.0
anthropic/claude-3.7-sonnet,wis,canonical,VAR,0.0,0.0,0.0
meta-llama/llama-3.1-8b-instruct,coin_change,W1,VAR,0.1,0.0,0.3
meta-llama/llama-3.1-8b-instruct,coin_change,W2,VAR,0.4,0.1,0.7
meta-llama/llama-3.1-8b-instruct,coin_change,W3,VAR,0.0,0.0,0.0
meta-llama/llama-3.1-8b-instruct,coin_change,W4,VAR,0.2,0.0,0.5
meta-llama/llama-3.1-8b-instruct,coin_change,canonical,VAR,0.2,0.0,0.5
meta-llama/llama-3.1-8b-instruct,shortest_path,W1,VAR,0.0,0.0,0.0
meta-llama/llama-3.1-8b-instruct,shortest_path,W2,VAR,0.0,0.0,0.0
meta-llama/llama-3.1-8b-instruct,shortest_path,W3,VAR,0.0,0.0,0.0
meta-llama/llama-3.1-8b-instruct,shortest_path,W4,VAR,0.0,0.0,0.0
meta-llama/llama-3.1-8b-instruct,shortest_path,canonical,VAR,0.2,0.0,0.6
meta-llama/llama-3.1-8b-instruct,wis,W1,VAR,0.0,0.0,0.0
meta-llama/llama-3.1-8b-instruct,wis,W2,VAR,0.0,0.0,0.0
meta-llama/llama-3.1-8b-instruct,wis,W3,VAR,0.2,0.0,0.6
meta-llama/llama-3.1-8b-instruct,wis,W4,VAR,0.0,0.0,0.0
meta-llama/llama-3.1-8b-instruct,wis,canonical,VAR,0.0,0.0,0.0
openai/gpt-4o,coin_change,W1,VAR,0.4,0.1,0.7
openai/gpt-4o,coin_change,W2,VAR,0.6,0.3,0.9
openai/gpt-4o,coin_change,W3,VAR,0.0,0.0,0.0
openai/gpt-4o,coin_change,W4,VAR,0.5,0.2,0.8
openai/gpt-4o,coin_change,canonical,VAR,0.6,0.3,0.9
openai/gpt-4o,shortest_path,W1,VAR,0.2,0.0,0.6
openai/gpt-4o,shortest_path,W2,VAR,0.0,0.0,0.0
openai/gpt-4o,shortest_path,W3,VAR,0.0,0.0,0.0
openai/gpt-4o,shortest_path,W4,VAR,0.0,0.0,0.0
openai/gpt-4o,shortest_path,canonical,VAR,0.2,0.0,0.6
openai/gpt-4o,wis,W1,VAR,0.2,0.0,0.6
