problem_id,model,label_executed,label_appendix,label_appendix_frozen_p75
CC_01,Claude,mixed,mixed,mixed
CC_02,Claude,mixed,mixed,ambiguous
CC_03,Claude,mixed,mixed,ambiguous
CC_04,Claude,mixed,retrieval,mixed
CC_05,Claude,computation,mixed,ambiguous
CC_06,Claude,mixed,retrieval,mixed
CC_07,Claude,mixed,mixed,ambiguous
CC_08,Claude,mixed,retrieval,mixed
CC_09,Claude,mixed,ambiguous,mixed
CC_10,Claude,mixed,mixed,ambiguous
SP_003,Claude,mixed,retrieval,mixed
SP_004,Claude,mixed,ambiguous,mixed
SP_005,Claude,mixed,ambiguous,mixed
SP_019,Claude,retrieval,ambiguous,ambiguous
SP_020,Claude,retrieval,ambiguous,ambiguous
SP_021,Claude,mixed,ambiguous,mixed
SP_023,Claude,mixed,ambiguous,ambiguous
SP_024,Claude,mixed,ambiguous,mixed
SP_026,Claude,mixed,retrieval,mixed
SP_027,Claude,mixed,ambiguous,mixed
SP_028,Claude,mixed,ambiguous,mixed
SP_029,Claude,mixed,ambiguous,mixed
SP_030,Claude,mixed,ambiguous,mixed
SP_037,Claude,retrieval,retrieval,retrieval
SP_038,Claude,mixed,retrieval,mixed
SP_039,Claude,mixed,ambiguous,mixed
SP_040,Claude,mixed,retrieval,mixed
SP_042,Claude,mixed,ambiguous,mixed
SP_044,Claude,mixed,ambiguous,mixed
SP_045,Claude,mixed,ambiguous,mixed
SP_046,Claude,mixed,ambiguous,mixed
SP_047,Claude,mixed,ambiguous,mixed
SP_048,Claude,mixed,ambiguous,mixed
SP_062,Claude,retrieval,ambiguous,ambiguous
SP_063,Claude,mixed,ambiguous,mixed
SP_064,Claude,retrieval,ambiguous,ambiguous
SP_065,Claude,retrieval,ambiguous,ambiguous
SP_066,Claude,mixed,ambiguous,mixed
SP_068,Claude,mixed,ambiguous,mixed
SP_069,Claude,mixed,ambiguous,mixed
SP_070,Claude,mixed,mixed,mixed
SP_071,Claude,mixed,ambiguous,mixed
SP_072,Claude,mixed,ambiguous,mixed
SP_073,Claude,mixed,ambiguous,mixed
WIS_003,Claude,mixed,ambiguous,mixed
WIS_004,Claude,mixed,ambiguous,mixed
WIS_013,Claude,mixed,ambiguous,mixed
WIS_014,Claude,mixed,ambiguous,mixed
WIS_015,Claude,mixed,ambiguous,mixed
WIS_019,Claude,mixed,ambiguous,mixed
WIS_020,Claude,mixed,ambiguous,mixed
WIS_024,Claude,mixed,ambiguous,mixed
WIS_025,Claude,mixed,ambiguous,mixed
WIS_026,Claude,mixed,ambiguous,mixed
WIS_027,Claude,mixed,ambiguous,mixed
WIS_029,Claude,mixed,ambiguous,mixed
SP_019,GPT-4o,mixed,ambiguous,ambiguous
SP_021,GPT-4o,mixed,ambiguous,mixed
SP_024,GPT-4o,computation,mixed,ambiguous
SP_027,GPT-4o,mixed,mixed,ambiguous
SP_029,GPT-4o,mixed,retrieval,mixed
SP_040,GPT-4o,mixed,retrieval,mixed
SP_042,GPT-4o,mixed,mixed,ambiguous
SP_044,GPT-4o,computation,mixed,ambiguous
SP_045,GPT-4o,mixed,retrieval,mixed
SP_046,GPT-4o,mixed,retrieval,mixed
SP_047,GPT-4o,mixed,ambiguous,mixed
SP_069,GPT-4o,computation,mixed,ambiguous
SP_071,GPT-4o,mixed,retrieval,mixed
SP_073,GPT-4o,mixed,mixed,mixed
WIS_013,GPT-4o,mixed,ambiguous,mixed
WIS_014,GPT-4o,mixed,ambiguous,mixed
WIS_015,GPT-4o,mixed,ambiguous,mixed
WIS_023,GPT-4o,mixed,ambiguous,mixed
WIS_024,GPT-4o,mixed,ambiguous,mixed
WIS_025,GPT-4o,mixed,ambiguous,mixed
WIS_026,GPT-4o,mixed,ambiguous,mixed
WIS_027,GPT-4o,mixed,ambiguous,mixed
WIS_028,GPT-4o,mixed,ambiguous,mixed
WIS_029,GPT-4o,mixed,ambiguous,mixed
SP_019,Llama,mixed,ambiguous,ambiguous
SP_020,Llama,mixed,ambiguous,ambiguous
SP_021,Llama,mixed,retrieval,mixed
SP_023,Llama,mixed,retrieval,retrieval
SP_024,Llama,mixed,ambiguous,mixed
SP_026,Llama,mixed,ambiguous,mixed
SP_028,Llama,mixed,ambiguous,mixed
SP_029,Llama,mixed,ambiguous,mixed
SP_030,Llama,mixed,ambiguous,mixed
SP_037,Llama,mixed,retrieval,retrieval
SP_038,Llama,mixed,retrieval,mixed
SP_039,Llama,mixed,retrieval,mixed
SP_040,Llama,mixed,ambiguous,mixed
SP_042,Llama,mixed,ambiguous,mixed
SP_044,Llama,mixed,ambiguous,mixed
SP_045,Llama,mixed,retrieval,mixed
SP_046,Llama,mixed,ambiguous,mixed
SP_047,Llama,mixed,retrieval,mixed
SP_048,Llama,mixed,ambiguous,mixed
SP_062,Llama,mixed,retrieval,retrieval
SP_063,Llama,mixed,mixed,mixed
SP_064,Llama,mixed,ambiguous,ambiguous
SP_065,Llama,mixed,ambiguous,ambiguous
SP_066,Llama,mixed,ambiguous,mixed
SP_068,Llama,mixed,ambiguous,mixed
SP_069,Llama,mixed,ambiguous,mixed
SP_070,Llama,mixed,ambiguous,mixed
SP_071,Llama,mixed,ambiguous,mixed
SP_072,Llama,mixed,retrieval,mixed
SP_073,Llama,mixed,ambiguous,mixed
WIS_013,Llama,mixed,ambiguous,mixed
WIS_014,Llama,mixed,ambiguous,mixed
WIS_015,Llama,mixed,ambiguous,mixed
WIS_016,Llama,mixed,ambiguous,mixed
WIS_017,Llama,mixed,mixed,ambiguous
WIS_018,Llama,mixed,ambiguous,mixed
WIS_019,Llama,mixed,ambiguous,mixed
WIS_020,Llama,mixed,retrieval,mixed
WIS_023,Llama,mixed,ambiguous,mixed
WIS_024,Llama,mixed,ambiguous,mixed
WIS_025,Llama,mixed,ambiguous,mixed
WIS_026,Llama,mixed,mixed,mixed
WIS_027,Llama,mixed,retrieval,mixed
WIS_028,Llama,mixed,ambiguous,mixed
WIS_029,Llama,mixed,ambiguous,mixed
CC_01,Gemini,mixed,mixed,mixed
CC_02,Gemini,mixed,mixed,ambiguous
CC_03,Gemini,mixed,mixed,mixed
CC_04,Gemini,mixed,mixed,ambiguous
CC_05,Gemini,mixed,mixed,mixed
CC_06,Gemini,mixed,ambiguous,mixed
CC_07,Gemini,mixed,mixed,ambiguous
CC_08,Gemini,mixed,mixed,mixed
CC_09,Gemini,mixed,retrieval,mixed
CC_10,Gemini,mixed,ambiguous,mixed
SP_003,Gemini,mixed,retrieval,mixed
SP_004,Gemini,mixed,ambiguous,mixed
SP_005,Gemini,mixed,retrieval,mixed
SP_021,Gemini,mixed,retrieval,mixed
SP_023,Gemini,mixed,mixed,mixed
SP_027,Gemini,mixed,ambiguous,mixed
SP_029,Gemini,mixed,retrieval,mixed
SP_030,Gemini,mixed,retrieval,mixed
SP_038,Gemini,mixed,ambiguous,mixed
SP_039,Gemini,mixed,ambiguous,mixed
SP_040,Gemini,mixed,ambiguous,mixed
SP_042,Gemini,mixed,mixed,ambiguous
SP_045,Gemini,mixed,retrieval,mixed
SP_048,Gemini,mixed,retrieval,mixed
SP_062,Gemini,retrieval,retrieval,retrieval
SP_063,Gemini,mixed,retrieval,mixed
SP_064,Gemini,mixed,mixed,mixed
SP_065,Gemini,retrieval,ambiguous,ambiguous
SP_069,Gemini,mixed,ambiguous,mixed
SP_070,Gemini,mixed,mixed,mixed
SP_071,Gemini,mixed,ambiguous,mixed
SP_072,Gemini,mixed,retrieval,mixed
SP_073,Gemini,mixed,retrieval,mixed
WIS_003,Gemini,mixed,retrieval,mixed
WIS_004,Gemini,mixed,retrieval,mixed
WIS_016,Gemini,mixed,ambiguous,mixed
WIS_017,Gemini,mixed,ambiguous,mixed
WIS_020,Gemini,mixed,ambiguous,mixed
WIS_023,Gemini,mixed,ambiguous,mixed
WIS_024,Gemini,mixed,ambiguous,mixed
WIS_026,Gemini,mixed,ambiguous,mixed
WIS_027,Gemini,mixed,ambiguous,mixed
WIS_028,Gemini,mixed,ambiguous,mixed
WIS_029,Gemini,mixed,ambiguous,mixed
