problem_id,model,source_file,either_session_correct,phase1_correct,phase2a_correct,phase2b_correct,phase2a_values_persisted,phase2b_values_persisted,correct_answer,phase1_final_answer
GSM_001,anthropic/claude-sonnet-4,GSM_P2_phase1_claude.csv,True,True,,,false,false,51,51.0
GSM_002,anthropic/claude-sonnet-4,GSM_P2_phase1_claude.csv,True,True,,,false,false,30,30.0
GSM_003,anthropic/claude-sonnet-4,GSM_P2_phase1_claude.csv,True,True,,,false,false,150,150.0
GSM_004,anthropic/claude-sonnet-4,GSM_P2_phase1_claude.csv,False,,,,false,false,21600,
GSM_005,anthropic/claude-sonnet-4,GSM_P2_phase1_claude.csv,True,True,,,false,false,54,54.0
GSM_006,anthropic/claude-sonnet-4,GSM_P2_phase1_claude.csv,False,,,,false,false,546,
GSM_007,anthropic/claude-sonnet-4,GSM_P2_phase1_claude.csv,True,True,,,false,false,30,30.0
GSM_008,anthropic/claude-sonnet-4,GSM_P2_phase1_claude.csv,True,True,,,false,false,1024,1024.0
GSM_009,anthropic/claude-sonnet-4,GSM_P2_phase1_claude.csv,True,True,,,false,false,49,49.0
GSM_010,anthropic/claude-sonnet-4,GSM_P2_phase1_claude.csv,True,True,,,false,false,885,885.0
GSM_011,anthropic/claude-sonnet-4,GSM_P2_phase1_claude.csv,True,True,,,false,false,86,86.0
GSM_012,anthropic/claude-sonnet-4,GSM_P2_phase1_claude.csv,True,True,,,false,false,81,81.0
GSM_013,anthropic/claude-sonnet-4,GSM_P2_phase1_claude.csv,True,True,,,false,false,90,90.0
GSM_014,anthropic/claude-sonnet-4,GSM_P2_phase1_claude.csv,True,True,,,false,false,70,70.0
GSM_015,anthropic/claude-sonnet-4,GSM_P2_phase1_claude.csv,False,,,,false,false,354,
GSM_016,anthropic/claude-sonnet-4,GSM_P2_phase1_claude.csv,True,True,,,false,false,5,5.0
GSM_017,anthropic/claude-sonnet-4,GSM_P2_phase1_claude.csv,True,True,,,false,false,922,922.0
GSM_018,anthropic/claude-sonnet-4,GSM_P2_phase1_claude.csv,True,True,,,false,false,21,21.0
GSM_019,anthropic/claude-sonnet-4,GSM_P2_phase1_claude.csv,True,True,,,false,false,3,3.0
GSM_020,anthropic/claude-sonnet-4,GSM_P2_phase1_claude.csv,True,True,,,false,false,24,24.0
GSM_041,anthropic/claude-sonnet-4,GSM_P2_phase1_claude.csv,True,True,,,false,false,150,150.0
GSM_042,anthropic/claude-sonnet-4,GSM_P2_phase1_claude.csv,True,True,,,false,false,2820,2820.0
GSM_043,anthropic/claude-sonnet-4,GSM_P2_phase1_claude.csv,True,True,,,false,false,8,8.0
GSM_044,anthropic/claude-sonnet-4,GSM_P2_phase1_claude.csv,True,True,,,false,false,59,59.0
GSM_045,anthropic/claude-sonnet-4,GSM_P2_phase1_claude.csv,True,True,,,false,false,1122,1122.0
GSM_046,anthropic/claude-sonnet-4,GSM_P2_phase1_claude.csv,True,True,,,false,false,121,121.0
GSM_047,anthropic/claude-sonnet-4,GSM_P2_phase1_claude.csv,True,True,,,false,false,510,510.0
GSM_048,anthropic/claude-sonnet-4,GSM_P2_phase1_claude.csv,True,True,,,false,false,206,206.0
GSM_049,anthropic/claude-sonnet-4,GSM_P2_phase1_claude.csv,True,True,,,false,false,1782,1782.0
GSM_050,anthropic/claude-sonnet-4,GSM_P2_phase1_claude.csv,True,True,,,false,false,20,20.0
GSM_051,anthropic/claude-sonnet-4,GSM_P2_phase1_claude.csv,True,True,,,false,false,256,256.0
GSM_052,anthropic/claude-sonnet-4,GSM_P2_phase1_claude.csv,False,False,,,false,false,43.75,700.0
GSM_053,anthropic/claude-sonnet-4,GSM_P2_phase1_claude.csv,True,True,,,false,false,378,378.0
GSM_054,anthropic/claude-sonnet-4,GSM_P2_phase1_claude.csv,True,True,,,false,false,16,16.0
GSM_055,anthropic/claude-sonnet-4,GSM_P2_phase1_claude.csv,True,True,,,false,false,6,6.0
GSM_056,anthropic/claude-sonnet-4,GSM_P2_phase1_claude.csv,True,True,,,false,false,69,69.0
GSM_057,anthropic/claude-sonnet-4,GSM_P2_phase1_claude.csv,True,True,,,false,false,84,84.0
GSM_058,anthropic/claude-sonnet-4,GSM_P2_phase1_claude.csv,True,True,,,false,false,285,285.0
GSM_059,anthropic/claude-sonnet-4,GSM_P2_phase1_claude.csv,True,True,,,false,false,29,29.0
GSM_060,anthropic/claude-sonnet-4,GSM_P2_phase1_claude.csv,False,False,,,false,false,46,47.0
GSM_061,anthropic/claude-sonnet-4,GSM_P2_phase1_claude.csv,True,True,,,false,false,420,420.0
GSM_062,anthropic/claude-sonnet-4,GSM_P2_phase1_claude.csv,False,False,,,false,false,112000,130000.0
GSM_063,anthropic/claude-sonnet-4,GSM_P2_phase1_claude.csv,True,True,,,false,false,16200,16200.0
GSM_064,anthropic/claude-sonnet-4,GSM_P2_phase1_claude.csv,True,True,,,false,false,75,75.0
GSM_001,openai/gpt-4o,GSM_P2_phase1_gpt4o.csv,False,,,,false,false,51,
GSM_002,openai/gpt-4o,GSM_P2_phase1_gpt4o.csv,True,True,,,false,false,30,30.0
GSM_003,openai/gpt-4o,GSM_P2_phase1_gpt4o.csv,True,True,,,false,false,150,150.0
GSM_004,openai/gpt-4o,GSM_P2_phase1_gpt4o.csv,True,,,,false,false,21600,
GSM_005,openai/gpt-4o,GSM_P2_phase1_gpt4o.csv,True,True,,,false,false,54,54.0
GSM_006,openai/gpt-4o,GSM_P2_phase1_gpt4o.csv,False,,,,false,false,546,
GSM_007,openai/gpt-4o,GSM_P2_phase1_gpt4o.csv,False,,,,false,false,30,
GSM_008,openai/gpt-4o,GSM_P2_phase1_gpt4o.csv,True,True,,,false,false,1024,1024.0
GSM_009,openai/gpt-4o,GSM_P2_phase1_gpt4o.csv,True,True,,,false,false,49,49.0
GSM_010,openai/gpt-4o,GSM_P2_phase1_gpt4o.csv,True,True,,,false,false,885,885.0
GSM_011,openai/gpt-4o,GSM_P2_phase1_gpt4o.csv,True,True,,,false,false,86,86.0
GSM_012,openai/gpt-4o,GSM_P2_phase1_gpt4o.csv,True,True,,,false,false,81,81.0
GSM_013,openai/gpt-4o,GSM_P2_phase1_gpt4o.csv,True,True,,,false,false,90,90.0
GSM_014,openai/gpt-4o,GSM_P2_phase1_gpt4o.csv,True,True,,,false,false,70,70.0
GSM_015,openai/gpt-4o,GSM_P2_phase1_gpt4o.csv,False,,,,false,false,354,
GSM_016,openai/gpt-4o,GSM_P2_phase1_gpt4o.csv,False,False,,,false,false,5,15.0
GSM_017,openai/gpt-4o,GSM_P2_phase1_gpt4o.csv,True,True,,,false,false,922,922.0
GSM_018,openai/gpt-4o,GSM_P2_phase1_gpt4o.csv,True,True,,,false,false,21,21.0
GSM_019,openai/gpt-4o,GSM_P2_phase1_gpt4o.csv,True,True,,,false,false,3,3.0
GSM_020,openai/gpt-4o,GSM_P2_phase1_gpt4o.csv,True,True,,,false,false,24,24.0
GSM_041,openai/gpt-4o,GSM_P2_phase1_gpt4o.csv,True,True,,,false,false,150,150.0
GSM_042,openai/gpt-4o,GSM_P2_phase1_gpt4o.csv,True,True,,,false,false,2820,2820.0
GSM_043,openai/gpt-4o,GSM_P2_phase1_gpt4o.csv,True,True,,,false,false,8,8.0
GSM_044,openai/gpt-4o,GSM_P2_phase1_gpt4o.csv,True,True,,,false,false,59,59.0
GSM_045,openai/gpt-4o,GSM_P2_phase1_gpt4o.csv,True,True,,,false,false,1122,1122.0
GSM_046,openai/gpt-4o,GSM_P2_phase1_gpt4o.csv,True,True,,,false,false,121,121.0
GSM_047,openai/gpt-4o,GSM_P2_phase1_gpt4o.csv,True,True,,,false,false,510,510.0
GSM_048,openai/gpt-4o,GSM_P2_phase1_gpt4o.csv,False,,,,false,false,206,
GSM_049,openai/gpt-4o,GSM_P2_phase1_gpt4o.csv,False,,,,false,false,1782,
GSM_050,openai/gpt-4o,GSM_P2_phase1_gpt4o.csv,True,True,,,false,false,20,20.0
GSM_051,openai/gpt-4o,GSM_P2_phase1_gpt4o.csv,True,True,,,false,false,256,256.0
GSM_052,openai/gpt-4o,GSM_P2_phase1_gpt4o.csv,False,,,,false,false,43.75,
GSM_053,openai/gpt-4o,GSM_P2_phase1_gpt4o.csv,True,True,,,false,false,378,378.0
GSM_054,openai/gpt-4o,GSM_P2_phase1_gpt4o.csv,False,,,,false,false,16,
GSM_055,openai/gpt-4o,GSM_P2_phase1_gpt4o.csv,False,,,,false,false,6,
GSM_056,openai/gpt-4o,GSM_P2_phase1_gpt4o.csv,True,True,,,false,false,69,69.0
GSM_057,openai/gpt-4o,GSM_P2_phase1_gpt4o.csv,True,True,,,false,false,84,84.0
GSM_058,openai/gpt-4o,GSM_P2_phase1_gpt4o.csv,False,,,,false,false,285,
GSM_059,openai/gpt-4o,GSM_P2_phase1_gpt4o.csv,True,True,,,false,false,29,29.0
GSM_060,openai/gpt-4o,GSM_P2_phase1_gpt4o.csv,False,False,,,false,false,46,47.0
GSM_061,openai/gpt-4o,GSM_P2_phase1_gpt4o.csv,True,True,,,false,false,420,420.0
GSM_062,openai/gpt-4o,GSM_P2_phase1_gpt4o.csv,False,False,,,false,false,112000,112.0
GSM_063,openai/gpt-4o,GSM_P2_phase1_gpt4o.csv,True,True,,,false,false,16200,16200.0
GSM_064,openai/gpt-4o,GSM_P2_phase1_gpt4o.csv,True,True,,,false,false,75,75.0
GSM_001,meta-llama/llama-3.1-8b-instruct,GSM_P2_phase1_llama.csv,True,True,,,false,false,51,51.0
GSM_002,meta-llama/llama-3.1-8b-instruct,GSM_P2_phase1_llama.csv,False,False,,,false,false,30,42.0
GSM_003,meta-llama/llama-3.1-8b-instruct,GSM_P2_phase1_llama.csv,True,True,,,false,false,150,150.0
GSM_004,meta-llama/llama-3.1-8b-instruct,GSM_P2_phase1_llama.csv,False,,,,false,false,21600,
GSM_005,meta-llama/llama-3.1-8b-instruct,GSM_P2_phase1_llama.csv,False,False,,,false,false,54,48.0
GSM_006,meta-llama/llama-3.1-8b-instruct,GSM_P2_phase1_llama.csv,False,,,,false,false,546,
