analysis_id,statistic,estimate,ci_low,ci_high,p_clustered,n,n_clusters,clustering_variable,previously_reported_p,changed_conclusion,null_test,notes
M1_BW_Claude,spearman_contam_vs_w6_gap,-0.1412,-0.3965,0.1147,0.2876,52,52.0,problem_id,0.318,False,cluster_bootstrap_H0_rho=0,
M1_BW_GPT-4o,spearman_contam_vs_w6_gap,-0.1059,-0.3731,0.1704,0.4752,52,52.0,problem_id,0.455,False,cluster_bootstrap_H0_rho=0,
M1_BW_Gemini,spearman_contam_vs_w6_gap,-0.0198,-0.3124,0.2843,0.8868,52,52.0,problem_id,0.889,False,cluster_bootstrap_H0_rho=0,
M1_BW_Llama,spearman_contam_vs_w6_gap,-0.1768,-0.3377,-0.0234,0.0129,52,52.0,problem_id,0.21,True,cluster_bootstrap_H0_rho=0,
M1_BW_deepseek/deepseek-r1-distill-llama-70b,spearman_contam_vs_w6_gap,0.2102,-0.164,0.4998,0.256,36,36.0,problem_id,0.2186,False,cluster_bootstrap_H0_rho=0,
M1_BW_o4-mini,spearman_contam_vs_w6_gap,-0.442,-0.5969,-0.2273,0.0002,52,52.0,problem_id,0.001,False,cluster_bootstrap_H0_rho=0,
M1_ALGO_Claude,spearman_contam_vs_w6_gap,-0.3707,-0.5288,-0.1416,0.0124,65,27.0,clone_family,0.0024,False,cluster_bootstrap_H0_rho=0,
M1_ALGO_GPT-4o,spearman_contam_vs_w6_gap,-0.0321,-0.5367,0.268,0.79,65,27.0,clone_family,0.7998,False,cluster_bootstrap_H0_rho=0,
M1_ALGO_Gemini,spearman_contam_vs_w6_gap,-0.3908,-0.5385,-0.1295,0.0108,61,24.0,clone_family,0.0018,False,cluster_bootstrap_H0_rho=0,
M1_ALGO_Llama,spearman_contam_vs_w6_gap,0.026,-0.1766,0.2454,0.6826,65,27.0,clone_family,0.8374,False,cluster_bootstrap_H0_rho=0,
M1_ALGO_o4-mini,spearman_contam_vs_w6_gap,-0.3922,-0.6128,-0.1475,0.0028,64,27.0,clone_family,0.0013,False,cluster_bootstrap_H0_rho=0,
M2_BW_matched,descriptive_delta_only,,,,,47,,,,False,none_descriptive,no inferential test in original report
M2_ALGO_matched,descriptive_delta_only,,,,,15,,,,False,none_descriptive,no inferential test in original report
N1_BW_stratified,descriptive_delta_only,,,,,47,,,,False,none_descriptive,no inferential test in original report
M3_discriminant_phi_vs_canonical_accuracy,spearman,-0.4264,-0.724,0.5,0.6096,13,3.0,family,0.146,False,cluster_bootstrap_H0_rho=0,
