family,model,n_instances,triple_retrieval_agree_n,triple_retrieval_agree_pct,triple_computation_agree_n,triple_computation_agree_pct,triple_mixed_n,triple_mixed_pct,p2_cci_valid_n,p3_contam_valid_n
ALGO,Claude,110,0,0.0,1,0.00909090909090909,109,0.990909090909091,61,110
ALGO,GPT-4o,110,0,0.0,4,0.03636363636363636,106,0.9636363636363636,61,110
ALGO,Gemini,110,0,0.0,1,0.00909090909090909,109,0.990909090909091,61,110
ALGO,Llama,110,0,0.0,0,0.0,110,1.0,61,110
ALGO,o4-mini,110,0,0.0,0,0.0,110,1.0,0,110
BW,Claude,109,0,0.0,0,0.0,109,1.0,8,65
BW,GPT-4o,109,0,0.0,0,0.0,109,1.0,10,65
BW,Gemini,65,0,0.0,0,0.0,65,1.0,0,65
BW,Llama,109,0,0.0,0,0.0,109,1.0,11,65
BW,o4-mini,65,0,0.0,0,0.0,65,1.0,0,65
GSM,Claude,44,0,0.0,6,0.13636363636363635,38,0.8636363636363636,44,44
GSM,GPT-4o,40,0,0.0,0,0.0,40,1.0,20,20
GSM,Gemini,44,0,0.0,6,0.13636363636363635,38,0.8636363636363636,44,44
GSM,Llama,40,0,0.0,0,0.0,40,1.0,20,20
GSM,o4-mini,44,0,0.0,4,0.09090909090909091,40,0.9090909090909091,44,44
