problem_id,model,contamination_pole,difficulty,phase1_steps_json,phase1_final_answer,phase1_parseable,cci_score,cci_matched,cci_total,inject_at_step,injected_value,true_value_at_injection,tep_score,tep_diverged_steps,tep_total_steps,session_b_correct,correct_answer
GSM_001,openai/gpt-4o,high,medium,"[{""step"": 2, ""description"": ""} 86 \\text{ minutes} - 20 \\text{ minutes}"", ""value"": 66.0}]",,False,0.0000,0,1,1,75.9,66.0,0.0000,0,0,False,51
GSM_002,openai/gpt-4o,high,easy,"[{""step"": 1, ""description"": ""Boys = \\(\\frac{2}{3}\\) * 18"", ""value"": 12.0}, {""step"": 2, ""description"": ""Total kids"", ""value"": 18.0}]",30.0,True,0.0000,0,2,1,13.8,12.0,0.0000,0,1,True,30
GSM_003,openai/gpt-4o,high,medium,"[{""step"": 2, ""description"": ""\\( 0.5 \\times 30"", ""value"": 15.0}, {""step"": 3, ""description"": ""\\( 30 + 15"", ""value"": 45.0}, {""step"": 4, ""description"": ""\\( 30 + 45"", ""value"": 75.0}, {""step"": 5, ""description"": ""\\( 30 + 45 + 75"", ""value"": 150.0}]",150.0,True,0.5000,2,4,2,51.75,45.0,0.5000,1,2,True,150
GSM_004,openai/gpt-4o,high,easy,"[{""step"": 1, ""description"": ""Days per week}"", ""value"": 6.0}, {""step"": 2, ""description"": ""Weeks per month}"", ""value"": 2.0}, {""step"": 3, ""description"": ""Days per month}"", ""value"": 6.0}, {""step"": 4, ""description"": ""Months per year}"", ""value"": 12.0}, {""step"": 5, ""description"": ""Days per year}"", ""value"": 12.0}, {""step"": 6, ""description"": ""Daily earnings}"", ""value"": 150.0}, {""step"": 7, ""description"": ""Total earnings for year}"", ""value"": 144.0}]",,False,0.1429,1,7,3,6.9,6.0,0.0000,0,4,True,21600
GSM_005,openai/gpt-4o,high,hard,[],54.0,False,0.0000,0,0,1,,,1.0000,1,1,True,54
GSM_006,openai/gpt-4o,high,medium,"[{""step"": 1, ""description"": ""Number of shares"", ""value"": 10.0}, {""step"": 3, ""description"": ""Total initial investment"", ""value"": 10.0}, {""step"": 4, ""description"": ""Increase percentage"", ""value"": 30.0}, {""step"": 5, ""description"": ""Increase amount per share"", ""value"": 56.0}, {""step"": 6, ""description"": ""New price per share after increase"", ""value"": 56.0}, {""step"": 7, ""description"": ""Total value after first year"", ""value"": 10.0}, {""step"": 8, ""description"": ""Decrease percentage"", ""value"": 25.0}, {""step"": 9, ""description"": ""Decrease amount per share"", ""value"": 72.8}, {""step"": 10, ""description"": ""New price per share after decrease"", ""value"": 72.8}, {""step"": 11, ""description"": ""Total value after second year"", ""value"": 10.0}]",,False,0.1000,1,10,5,64.4,56.0,0.0000,0,0,False,546
GSM_007,openai/gpt-4o,high,hard,"[{""step"": 1, ""description"": ""Total rental hours"", ""value"": 5.0}, {""step"": 2, ""description"": ""Paid hours = Total rental hours - Free hours"", ""value"": 4.0}]",,False,0.0000,0,2,1,5.75,5.0,1.0000,1,1,False,30
GSM_008,openai/gpt-4o,high,medium,"[{""step"": 1, ""description"": ""Number of new infections on Day 1"", ""value"": 16.0}, {""step"": 2, ""description"": ""Total people infected by the end of Day 1 = initial infected + new infections"", ""value"": 16.0}, {""step"": 3, ""description"": ""Number of new infections on Day 2"", ""value"": 64.0}, {""step"": 4, ""description"": ""Total people infected by the end of Day 2 = total infected by Day 1 + new infections"", ""value"": 64.0}, {""step"": 5, ""description"": ""Number of new infections on Day 3"", ""value"": 256.0}, {""step"": 6, ""description"": ""Total people infected by the end of Day 3 = total infected by Day 2 + new infections"", ""value"": 256.0}]",1024.0,True,0.3333,2,6,3,73.6,64.0,1.0000,3,3,True,1024
GSM_009,openai/gpt-4o,high,medium,"[{""step"": 1, ""description"": ""Number of eggs per day"", ""value"": 5.0}, {""step"": 2, ""description"": ""Number of days"", ""value"": 84.0}, {""step"": 3, ""description"": ""Total eggs for 84 days"", ""value"": 5.0}, {""step"": 4, ""description"": ""Number of eggs per day"", ""value"": 7.0}, {""step"": 5, ""description"": ""Number of days"", ""value"": 24.0}, {""step"": 6, ""description"": ""Total eggs for 24 days"", ""value"": 7.0}, {""step"": 7, ""description"": ""Total eggs from 84-day period"", ""value"": 420.0}, {""step"": 8, ""description"": ""Total eggs from 24-day period"", ""value"": 168.0}, {""step"": 9, ""description"": ""Total eggs for 108 days"", ""value"": 420.0}, {""step"": 10, ""description"": ""Eggs per dozen"", ""value"": 12.0}, {""step"": 11, ""description"": ""Total dozens = Total eggs / Eggs per dozen"", ""value"": 588.0}]",49.0,True,0.0000,0,11,5,27.6,24.0,0.5000,3,6,True,49
GSM_010,openai/gpt-4o,medium,medium,"[{""step"": 1, ""description"": ""Initial popping rate"", ""value"": 60.0}, {""step"": 2, ""description"": ""4 times the initial rate"", ""value"": 4.0}, {""step"": 3, ""description"": ""6 times the initial rate"", ""value"": 6.0}, {""step"": 4, ""description"": ""Half of the third 30 seconds rate"", ""value"": 360.0}, {""step"": 5, ""description"": ""One quarter of the fourth 30 seconds rate"", ""value"": 180.0}, {""step"": 6, ""description"": ""Total"", ""value"": 60.0}]",885.0,True,0.1667,1,6,3,6.9,6.0,0.0000,0,3,True,885
GSM_011,openai/gpt-4o,medium,medium,[],86.0,False,0.0000,0,0,1,,,1.0000,1,1,True,86
GSM_012,openai/gpt-4o,medium,medium,[],81.0,False,0.0000,0,0,1,,,0.0000,0,1,True,81
GSM_013,openai/gpt-4o,medium,medium,"[{""step"": 4, ""description"": ""\\( v"", ""value"": 0.2}, {""step"": 5, ""description"": ""Walking speed on the sidewalk = \\( 2 \\times 0.2"", ""value"": 0.4}, {""step"": 6, ""description"": ""\\(\\text{Time spent on sidewalk}"", ""value"": 30.0}, {""step"": 7, ""description"": ""Total time \\("", ""value"": 60.0}, {""step"": 7, ""description"": ""Total time \\("", ""value"": 90.0}]",90.0,True,0.0000,0,5,2,0.46,0.4,1.0000,3,3,True,90
GSM_014,openai/gpt-4o,medium,medium,[],70.0,False,0.0000,0,0,1,,,1.0000,1,1,True,70
GSM_015,openai/gpt-4o,medium,hard,[],,False,0.0000,0,0,1,,,0.0000,0,0,False,354
GSM_016,openai/gpt-4o,medium,hard,"[{""step"": 1, ""description"": ""6 \u00d7 4"", ""value"": 24.0}, {""step"": 2, ""description"": ""12 \u00d7 5"", ""value"": 60.0}, {""step"": 3, ""description"": ""32 \u00d7 43"", ""value"": 1376.0}, {""step"": 4, ""description"": ""18 \u00d7 15"", ""value"": 270.0}, {""step"": 5, ""description"": ""43 + 27"", ""value"": 70.0}, {""step"": 6, ""description"": ""24 + 60 + 1376 + 270 + 70"", ""value"": 1800.0}, {""step"": 7, ""description"": ""1800 \u00f7 120"", ""value"": 15.0}]",15.0,True,0.5714,4,7,3,1582.4,1376.0,0.5000,2,4,False,5
GSM_017,openai/gpt-4o,medium,hard,[],922.0,False,0.0000,0,0,1,,,1.0000,1,1,True,922
GSM_018,openai/gpt-4o,medium,hard,"[{""step"": 1, ""description"": ""Total questions"", ""value"": 80.0}, {""step"": 2, ""description"": ""Physics percentage"", ""value"": 25.0}, {""step"": 3, ""description"": ""Physics questions"", ""value"": 80.0}, {""step"": 4, ""description"": ""Algebra percentage"", ""value"": 15.0}, {""step"": 5, ""description"": ""Algebra questions"", ""value"": 80.0}, {""step"": 6, ""description"": ""Remaining percentage"", ""value"": 100.0}, {""step"": 7, ""description"": ""Remaining questions"", ""value"": 80.0}, {""step"": 8, ""description"": ""Chemistry questions = Remaining questions \u00f7 2"", ""value"": 48.0}, {""step"": 9, ""description"": ""History questions = Remaining questions \u00f7 2"", ""value"": 48.0}, {""step"": 10, ""description"": ""Algebra correct percentage"", ""value"": 25.0}, {""step"": 11, ""description"": ""Correct algebra questions"", ""value"": 12.0}, {""step"": 12, ""description"": ""Physics correct percentage"", ""value"": 10.0}, {""step"": 13, ""description"": ""Correct physics questions"", ""value"": 20.0}, {""step"": 14, ""description"": ""Chemistry correct percentage"", ""value"": 1.0}, {""step"": 15, ""description"": ""Correct chemistry questions"", ""value"": 24.0}, {""step"": 16, ""description"": ""History correct percentage"", ""value"": 1.0}, {""step"": 17, ""description"": ""Correct history questions"", ""value"": 24.0}, {""step"": 19, ""description"": ""Total correct questions"", ""value"": 3.0}]",21.0,True,0.0000,0,18,9,55.2,48.0,1.0000,9,9,True,21
