family,variant,n_items,n_factors_parallel,eigenvalue,parallel_null_eigenvalue,one_factor_interpretation,loading_F1,communality,note
ALGO,W1,50,1,2.0461,1.4835,one_factor,-0.1005,0.0101,
ALGO,W2,50,1,1.0918,1.2385,one_factor,-0.1066,0.0114,
ALGO,W3,50,1,0.8823,1.0679,one_factor,-0.0649,0.0042,
ALGO,W4,50,1,0.7959,0.9027,one_factor,-0.0672,0.0045,
ALGO,W5,50,1,0.6476,0.7375,one_factor,-0.0459,0.0021,
ALGO,W6,50,1,0.5364,0.5699,one_factor,-0.0717,0.0051,
ALGO,SUMMARY,50,1,,,W1-W6 behave as ONE factor — interchangeable surface variants,,,"eigenvalues=[2.046, 1.092, 0.882, 0.796, 0.648, 0.536]"
BW,W1,71,1,3.2651,1.4085,one_factor,0.2698,0.0728,
BW,W2,71,1,0.8896,1.2031,one_factor,0.2403,0.0578,
BW,W3,71,1,0.7344,1.0512,one_factor,0.2632,0.0693,
BW,W4,71,1,0.5878,0.9252,one_factor,0.195,0.038,
BW,W5,71,1,0.29,0.7723,one_factor,0.0709,0.005,
BW,W6,71,1,0.233,0.6398,one_factor,0.1763,0.0311,
BW,SUMMARY,71,1,,,W1-W6 behave as ONE factor — interchangeable surface variants,,,"eigenvalues=[3.265, 0.89, 0.734, 0.588, 0.29, 0.233]"
GSM,W1,24,1,3.0984,1.7255,one_factor,-0.2317,0.0537,
GSM,W2,24,1,1.24,1.3433,one_factor,-0.2613,0.0683,
GSM,W3,24,1,0.8736,1.0707,one_factor,-0.2152,0.0463,
GSM,W4,24,1,0.4146,0.8487,one_factor,-0.1905,0.0363,
GSM,W5,24,1,0.2044,0.6175,one_factor,-0.005,0.0,
GSM,W6,24,1,0.169,0.3943,one_factor,-0.1806,0.0326,
GSM,SUMMARY,24,1,,,W1-W6 behave as ONE factor — interchangeable surface variants,,,"eigenvalues=[3.098, 1.24, 0.874, 0.415, 0.204, 0.169]"
