problem_id,model,subtype,step_index,declared_step,executed_step,step_match
CC_01,anthropic/claude-sonnet-4,coin_change,0,1,4,False
CC_01,anthropic/claude-sonnet-4,coin_change,1,3,1,False
CC_02,anthropic/claude-sonnet-4,coin_change,0,1,9,False
CC_02,anthropic/claude-sonnet-4,coin_change,1,6,1,False
CC_03,anthropic/claude-sonnet-4,coin_change,0,1,11,False
CC_03,anthropic/claude-sonnet-4,coin_change,1,7,1,False
CC_04,anthropic/claude-sonnet-4,coin_change,0,27,23,False
CC_04,anthropic/claude-sonnet-4,coin_change,1,10,1,False
CC_05,anthropic/claude-sonnet-4,coin_change,0,7,7,True
CC_05,anthropic/claude-sonnet-4,coin_change,1,7,7,True
CC_06,anthropic/claude-sonnet-4,coin_change,0,1,15,False
CC_06,anthropic/claude-sonnet-4,coin_change,1,7,8,False
CC_06,anthropic/claude-sonnet-4,coin_change,2,7,1,False
CC_07,anthropic/claude-sonnet-4,coin_change,0,8,9,False
CC_07,anthropic/claude-sonnet-4,coin_change,1,4,1,False
CC_08,anthropic/claude-sonnet-4,coin_change,0,30,25,False
CC_08,anthropic/claude-sonnet-4,coin_change,1,15,1,False
CC_09,anthropic/claude-sonnet-4,coin_change,0,197,197,True
CC_09,anthropic/claude-sonnet-4,coin_change,1,197,197,True
CC_09,anthropic/claude-sonnet-4,coin_change,2,11,11,True
CC_09,anthropic/claude-sonnet-4,coin_change,3,11,11,True
CC_09,anthropic/claude-sonnet-4,coin_change,4,7,7,True
CC_10,anthropic/claude-sonnet-4,coin_change,0,201,201,True
CC_10,anthropic/claude-sonnet-4,coin_change,1,201,201,True
CC_10,anthropic/claude-sonnet-4,coin_change,2,201,201,True
CC_10,anthropic/claude-sonnet-4,coin_change,3,197,201,False
CC_10,anthropic/claude-sonnet-4,coin_change,4,67,67,True
CC_10,anthropic/claude-sonnet-4,coin_change,5,67,67,True
CC_10,anthropic/claude-sonnet-4,coin_change,6,31,,False
SP_003,anthropic/claude-sonnet-4,shortest_path,0,11,18,False
SP_003,anthropic/claude-sonnet-4,shortest_path,1,10,19,False
SP_003,anthropic/claude-sonnet-4,shortest_path,2,2,1,False
SP_003,anthropic/claude-sonnet-4,shortest_path,3,3,16,False
SP_003,anthropic/claude-sonnet-4,shortest_path,4,9,,False
SP_004,anthropic/claude-sonnet-4,shortest_path,0,1,1,True
SP_004,anthropic/claude-sonnet-4,shortest_path,1,6,5,False
SP_004,anthropic/claude-sonnet-4,shortest_path,2,4,9,False
SP_004,anthropic/claude-sonnet-4,shortest_path,3,5,,False
SP_004,anthropic/claude-sonnet-4,shortest_path,4,9,,False
SP_005,anthropic/claude-sonnet-4,shortest_path,0,0,1,False
SP_005,anthropic/claude-sonnet-4,shortest_path,1,9,2,False
SP_005,anthropic/claude-sonnet-4,shortest_path,2,11,6,False
SP_005,anthropic/claude-sonnet-4,shortest_path,3,14,8,False
SP_005,anthropic/claude-sonnet-4,shortest_path,4,15,10,False
WIS_003,anthropic/claude-sonnet-4,wis,0,SELECT 0,SELECT 0,True
WIS_003,anthropic/claude-sonnet-4,wis,1,SELECT 1,,False
WIS_003,anthropic/claude-sonnet-4,wis,2,SELECT 2,,False
WIS_003,anthropic/claude-sonnet-4,wis,3,SELECT 3,,False
