pair,subtype,criterion,n_matched,a_W3_correct,b_W3_correct,fisher_p_two_sided,fisher_p_one_sided_a_gt_b,fisher_p_one_sided_b_gt_a,intersect_size,llama_W3_correct,gemini_W3_correct,claude_W3_correct
claude_vs_gpt4o,shortest_path,strict_matched,11,0.0,5.0,0.03508771929824561,1.0,0.017543859649122806,,,,
claude_vs_gpt4o,shortest_path,loose_matched,34,0.0,9.0,0.002128700758502569,1.0,0.0010643503792512846,,,,
claude_vs_gpt4o,shortest_path,intersect_4way,34,0.0,9.0,0.002128700758502569,1.0,0.0010643503792512846,34.0,,,
claude_vs_llama,shortest_path,strict_matched,1,0.0,0.0,1.0,1.0,1.0,,,,
claude_vs_llama,shortest_path,loose_matched,34,0.0,0.0,1.0,1.0,1.0,,,,
claude_vs_llama,shortest_path,intersect_4way,34,0.0,0.0,1.0,1.0,1.0,34.0,,,
claude_vs_gemini,shortest_path,strict_matched,18,0.0,8.0,0.0028921023359288096,1.0,0.0014460511679644048,,,,
claude_vs_gemini,shortest_path,loose_matched,34,0.0,11.0,0.00037323800558198173,1.0,0.00018661900279099086,,,,
claude_vs_gemini,shortest_path,intersect_4way,34,0.0,11.0,0.00037323800558198173,1.0,0.00018661900279099086,34.0,,,
gpt4o_vs_llama,shortest_path,strict_matched,2,1.0,0.0,1.0,0.5,1.0,,,,
gpt4o_vs_llama,shortest_path,loose_matched,34,9.0,0.0,0.002128700758502569,0.0010643503792512846,1.0,,,,
gpt4o_vs_llama,shortest_path,intersect_4way,34,9.0,0.0,0.002128700758502569,0.0010643503792512846,1.0,34.0,,,
gpt4o_vs_gemini,shortest_path,strict_matched,10,5.0,6.0,1.0,0.8150750178613956,0.5,,,,
gpt4o_vs_gemini,shortest_path,loose_matched,34,9.0,11.0,0.7906045203898735,0.7874428856466282,0.3953022601949367,,,,
gpt4o_vs_gemini,shortest_path,intersect_4way,34,9.0,11.0,0.7906045203898735,0.7874428856466282,0.3953022601949367,34.0,,,
llama_vs_gemini,shortest_path,strict_matched,0,,,,,,,0.0,0.0,
llama_vs_gemini,shortest_path,loose_matched,34,0.0,11.0,0.00037323800558198173,1.0,0.00018661900279099086,,,,
llama_vs_gemini,shortest_path,intersect_4way,34,0.0,11.0,0.00037323800558198173,1.0,0.00018661900279099086,34.0,,,
claude_vs_gpt4o,coin_change,strict_matched,5,4.0,0.0,0.04761904761904762,0.023809523809523808,1.0,,,,
claude_vs_gpt4o,coin_change,loose_matched,10,6.0,0.0,0.010835913312693497,0.0054179566563467485,1.0,,,,
claude_vs_gpt4o,coin_change,intersect_4way,10,6.0,0.0,0.010835913312693497,0.0054179566563467485,1.0,10.0,,,
claude_vs_llama,coin_change,strict_matched,2,2.0,0.0,0.3333333333333333,0.16666666666666666,1.0,,,,
claude_vs_llama,coin_change,loose_matched,10,6.0,0.0,0.010835913312693497,0.0054179566563467485,1.0,,,,
claude_vs_llama,coin_change,intersect_4way,10,6.0,0.0,0.010835913312693497,0.0054179566563467485,1.0,10.0,,,
claude_vs_gemini,coin_change,strict_matched,5,5.0,5.0,1.0,1.0,1.0,,,,
claude_vs_gemini,coin_change,loose_matched,10,6.0,7.0,1.0,0.8250773993808049,0.5,,,,
claude_vs_gemini,coin_change,intersect_4way,10,6.0,7.0,1.0,0.8250773993808049,0.5,10.0,,,
gpt4o_vs_llama,coin_change,strict_matched,1,0.0,0.0,1.0,1.0,1.0,,,,
gpt4o_vs_llama,coin_change,loose_matched,10,0.0,0.0,1.0,1.0,1.0,,,,
gpt4o_vs_llama,coin_change,intersect_4way,10,0.0,0.0,1.0,1.0,1.0,10.0,,,
gpt4o_vs_gemini,coin_change,strict_matched,4,0.0,4.0,0.028571428571428567,1.0,0.014285714285714284,,,,
gpt4o_vs_gemini,coin_change,loose_matched,10,0.0,7.0,0.0030959752321981426,1.0,0.001547987616099071,,,,
gpt4o_vs_gemini,coin_change,intersect_4way,10,0.0,7.0,0.0030959752321981426,1.0,0.001547987616099071,10.0,,,
llama_vs_gemini,coin_change,strict_matched,2,0.0,2.0,0.3333333333333333,1.0,0.16666666666666666,,,,
llama_vs_gemini,coin_change,loose_matched,10,0.0,7.0,0.0030959752321981426,1.0,0.001547987616099071,,,,
llama_vs_gemini,coin_change,intersect_4way,10,0.0,7.0,0.0030959752321981426,1.0,0.001547987616099071,10.0,,,
claude_vs_gpt4o,wis,strict_matched,1,0.0,0.0,1.0,1.0,1.0,,,,
claude_vs_gpt4o,wis,loose_matched,17,0.0,0.0,1.0,1.0,1.0,,,,
claude_vs_gpt4o,wis,intersect_4way,17,0.0,0.0,1.0,1.0,1.0,17.0,,,
claude_vs_llama,wis,strict_matched,0,,,,,,,0.0,,0.0
claude_vs_llama,wis,loose_matched,17,0.0,1.0,1.0,1.0,0.5,,,,
claude_vs_llama,wis,intersect_4way,17,0.0,1.0,1.0,1.0,0.5,17.0,,,
claude_vs_gemini,wis,strict_matched,2,0.0,0.0,1.0,1.0,1.0,,,,
claude_vs_gemini,wis,loose_matched,17,0.0,0.0,1.0,1.0,1.0,,,,
claude_vs_gemini,wis,intersect_4way,17,0.0,0.0,1.0,1.0,1.0,17.0,,,
gpt4o_vs_llama,wis,strict_matched,1,0.0,0.0,1.0,1.0,1.0,,,,
gpt4o_vs_llama,wis,loose_matched,17,0.0,1.0,1.0,1.0,0.5,,,,
gpt4o_vs_llama,wis,intersect_4way,17,0.0,1.0,1.0,1.0,0.5,17.0,,,
gpt4o_vs_gemini,wis,strict_matched,3,0.0,0.0,1.0,1.0,1.0,,,,
gpt4o_vs_gemini,wis,loose_matched,17,0.0,0.0,1.0,1.0,1.0,,,,
gpt4o_vs_gemini,wis,intersect_4way,17,0.0,0.0,1.0,1.0,1.0,17.0,,,
llama_vs_gemini,wis,strict_matched,1,0.0,0.0,1.0,1.0,1.0,,,,
llama_vs_gemini,wis,loose_matched,17,1.0,0.0,1.0,0.4999999999999999,1.0,,,,
llama_vs_gemini,wis,intersect_4way,17,1.0,0.0,1.0,0.4999999999999999,1.0,17.0,,,
