problem_id,model,subtype,orig_status,orig_goal_reached,orig_illegal_count,orig_executed_len,orig_cci,new_status,new_goal_reached,new_executed_len,new_illegal_count,parser_recoveries,preamble_drops
BW_155,openai/gpt-4o,blocksworld,,False,49,50,0.0,aborted: excessive illegal steps,False,2,12,1,1
BW_010,openai/gpt-4o,blocksworld,,False,48,50,0.0,aborted: excessive illegal steps,False,2,12,1,1
BW_001,openai/gpt-4o,blocksworld,,False,49,50,0.0,aborted: excessive illegal steps,False,2,12,1,1
BW_011,openai/gpt-4o,blocksworld,,False,49,50,0.0,aborted: excessive illegal steps,False,2,13,1,1
BW_120,openai/gpt-4o,blocksworld,,False,49,50,0.0,aborted: excessive illegal steps,False,2,12,1,1
BW_227,openai/gpt-4o,blocksworld,,False,49,50,0.0,aborted: excessive illegal steps,False,2,15,1,1
BW_137,openai/gpt-4o,blocksworld,,False,49,50,0.0,aborted: excessive illegal steps,False,2,12,1,1
BW_172,openai/gpt-4o,blocksworld,,False,49,50,0.0,aborted: excessive illegal steps,False,2,12,1,1
BW_467,openai/gpt-4o,blocksworld,,False,49,50,0.0,aborted: excessive illegal steps,False,2,12,1,1
BW_080,openai/gpt-4o,blocksworld,,False,49,50,0.0,aborted: excessive illegal steps,False,2,13,1,1
BW_E100,openai/gpt-4o,blocksworld,,False,0,0,,complete,False,0,0,0,0
BW_E015,openai/gpt-4o,blocksworld,,False,0,0,,complete,False,0,0,0,0
BW_E017,openai/gpt-4o,blocksworld,,False,0,0,,complete,False,0,0,0,0
BW_E019,openai/gpt-4o,blocksworld,,False,0,0,,complete,False,0,0,0,0
BW_E002,openai/gpt-4o,blocksworld,,False,0,0,,complete,False,0,0,0,0
BW_155,meta-llama/llama-3.1-8b-instruct,blocksworld,,False,49,50,0.0833,aborted: excessive illegal steps,False,2,12,1,0
BW_010,meta-llama/llama-3.1-8b-instruct,blocksworld,,False,48,50,0.5,complete,False,2,48,0,0
BW_001,meta-llama/llama-3.1-8b-instruct,blocksworld,,False,49,50,0.0,aborted: excessive illegal steps,False,2,12,1,0
BW_011,meta-llama/llama-3.1-8b-instruct,blocksworld,,False,49,50,0.0,aborted: excessive illegal steps,False,2,12,1,0
BW_120,meta-llama/llama-3.1-8b-instruct,blocksworld,,False,47,50,0.1111,aborted: excessive illegal steps,False,4,41,1,0
BW_227,meta-llama/llama-3.1-8b-instruct,blocksworld,,False,47,50,0.125,aborted: excessive illegal steps,False,4,14,1,0
BW_137,meta-llama/llama-3.1-8b-instruct,blocksworld,,False,48,50,0.0,aborted: excessive illegal steps,False,2,18,0,0
BW_172,meta-llama/llama-3.1-8b-instruct,blocksworld,,False,47,50,0.1,aborted: excessive illegal steps,False,3,33,0,0
BW_467,meta-llama/llama-3.1-8b-instruct,blocksworld,,False,49,50,0.0833,aborted: excessive illegal steps,False,2,12,1,0
BW_080,meta-llama/llama-3.1-8b-instruct,blocksworld,,False,48,50,0.2,aborted: excessive illegal steps,False,2,12,0,0
BW_E100,meta-llama/llama-3.1-8b-instruct,blocksworld,,False,0,0,,complete,False,0,0,0,0
BW_E015,meta-llama/llama-3.1-8b-instruct,blocksworld,,False,0,0,,complete,False,0,0,0,0
BW_E017,meta-llama/llama-3.1-8b-instruct,blocksworld,,False,0,0,,complete,False,0,0,0,0
BW_E019,meta-llama/llama-3.1-8b-instruct,blocksworld,,False,0,0,,complete,False,0,0,0,0
BW_E002,meta-llama/llama-3.1-8b-instruct,blocksworld,,False,0,0,,complete,False,0,0,0,0
BW_001,anthropic/claude-sonnet-4,blocksworld,complete,False,43,50,0.0,complete,False,4,45,1,1
BW_002,anthropic/claude-sonnet-4,blocksworld,,False,0,0,,complete,False,0,0,0,0
BW_010,anthropic/claude-sonnet-4,blocksworld,aborted: excessive illegal steps,False,13,14,,complete,False,2,5,1,1
BW_011,anthropic/claude-sonnet-4,blocksworld,complete,False,18,50,0.1,complete,False,32,17,1,1
BW_014,anthropic/claude-sonnet-4,blocksworld,,False,0,0,,complete,False,0,0,0,0
BW_022,anthropic/claude-sonnet-4,blocksworld,,False,0,0,,complete,False,0,0,0,0
BW_080,anthropic/claude-sonnet-4,blocksworld,aborted: excessive illegal steps,False,13,16,,complete,False,4,5,1,1
BW_120,anthropic/claude-sonnet-4,blocksworld,aborted: excessive illegal steps,False,13,14,,complete,False,2,5,1,1
BW_137,anthropic/claude-sonnet-4,blocksworld,aborted: excessive illegal steps,False,13,14,,complete,False,2,5,1,1
BW_155,anthropic/claude-sonnet-4,blocksworld,aborted: excessive illegal steps,False,15,16,,complete,False,2,7,1,1
BW_172,anthropic/claude-sonnet-4,blocksworld,aborted: excessive illegal steps,False,29,32,,complete,False,4,21,1,1
BW_203,anthropic/claude-sonnet-4,blocksworld,,False,0,0,,complete,False,0,0,0,0
BW_227,anthropic/claude-sonnet-4,blocksworld,aborted: excessive illegal steps,False,13,14,,complete,False,2,5,1,1
BW_282,anthropic/claude-sonnet-4,blocksworld,,False,0,0,,complete,False,0,0,0,0
BW_310,anthropic/claude-sonnet-4,blocksworld,,False,0,0,,complete,False,0,0,0,0
BW_331,anthropic/claude-sonnet-4,blocksworld,,False,0,0,,complete,False,0,0,0,0
BW_350,anthropic/claude-sonnet-4,blocksworld,,False,0,0,,complete,False,0,0,0,0
BW_408,anthropic/claude-sonnet-4,blocksworld,,False,0,0,,complete,False,0,0,0,0
BW_467,anthropic/claude-sonnet-4,blocksworld,complete,False,1,50,0.0,complete,False,49,0,0,1
