id,probe,phase,family,subtype,model,variant,metric,value,n,ci_low,ci_high,test,statistic,p_value,source_file,filter_applied,note
P1.1.GSM.Claude.canonical,P1,P1,GSM,--,Claude,canonical,accuracy,0.8409090909090909,44,0.7063350943621745,0.920734234422816,,,,GSM_P1_behavioral_claude.csv,bank-valid GSM IDs from question_bank_gsm.csv; drop mock; drop ERROR:; keep=last,
P1.1.GSM.Claude.W1,P1,P1,GSM,--,Claude,W1,accuracy,0.8409090909090909,44,0.7063350943621745,0.920734234422816,,,,GSM_P1_behavioral_claude.csv,bank-valid GSM IDs from question_bank_gsm.csv; drop mock; drop ERROR:; keep=last,
P1.1.GSM.Claude.W2,P1,P1,GSM,--,Claude,W2,accuracy,0.7727272727272727,44,0.6300735713298432,0.8715818916981491,,,,GSM_P1_behavioral_claude.csv,bank-valid GSM IDs from question_bank_gsm.csv; drop mock; drop ERROR:; keep=last,
P1.1.GSM.Claude.W3,P1,P1,GSM,--,Claude,W3,accuracy,0.75,44,0.6055915019158504,0.8542593391931426,,,,GSM_P1_behavioral_claude.csv,bank-valid GSM IDs from question_bank_gsm.csv; drop mock; drop ERROR:; keep=last,
P1.1.GSM.Claude.W4,P1,P1,GSM,--,Claude,W4,accuracy,0.6363636363636364,44,0.48866107278891047,0.7621666587250857,,,,GSM_P1_behavioral_claude.csv,bank-valid GSM IDs from question_bank_gsm.csv; drop mock; drop ERROR:; keep=last,
P1.1.GSM.Claude.W5,P1,P1,GSM,--,Claude,W5,accuracy,0.8181818181818182,44,0.6803916324485767,0.9048730744174144,,,,GSM_P1_behavioral_claude.csv,bank-valid GSM IDs from question_bank_gsm.csv; drop mock; drop ERROR:; keep=last,
P1.1.GSM.Claude.W6,P1,P1,GSM,--,Claude,W6,accuracy,0.75,24,0.5510017468789357,0.8800079652065766,,,,GSM_P1_behavioral_claude.csv,bank-valid GSM IDs from question_bank_gsm.csv; drop mock; drop ERROR:; keep=last,
P1.2.GSM.Claude.W3_retention,P1,P1,GSM,--,Claude,W3,W3_retention,0.8918918918918919,44,,,,,,GSM_P1_behavioral_claude.csv,bank-valid GSM IDs from question_bank_gsm.csv; drop mock; drop ERROR:; keep=last,
P1.1.GSM.GPT-4o.canonical,P1,P1,GSM,--,GPT-4o,canonical,accuracy,0.85,20,0.6395767041130426,0.9476322080405041,,,,GSM_P1_behavioral_gpt4o.csv,bank-valid GSM IDs from question_bank_gsm.csv; drop mock; drop ERROR:; keep=last,
P1.1.GSM.GPT-4o.W1,P1,P1,GSM,--,GPT-4o,W1,accuracy,0.75,20,0.5312949900419365,0.888139947210597,,,,GSM_P1_behavioral_gpt4o.csv,bank-valid GSM IDs from question_bank_gsm.csv; drop mock; drop ERROR:; keep=last,
P1.1.GSM.GPT-4o.W2,P1,P1,GSM,--,GPT-4o,W2,accuracy,0.3,20,0.14547527396899385,0.5189767762289793,,,,GSM_P1_behavioral_gpt4o.csv,bank-valid GSM IDs from question_bank_gsm.csv; drop mock; drop ERROR:; keep=last,
P1.1.GSM.GPT-4o.W3,P1,P1,GSM,--,GPT-4o,W3,accuracy,0.3,20,0.14547527396899385,0.5189767762289793,,,,GSM_P1_behavioral_gpt4o.csv,bank-valid GSM IDs from question_bank_gsm.csv; drop mock; drop ERROR:; keep=last,
P1.1.GSM.GPT-4o.W4,P1,P1,GSM,--,GPT-4o,W4,accuracy,0.2,20,0.0806563532712,0.41602172202575993,,,,GSM_P1_behavioral_gpt4o.csv,bank-valid GSM IDs from question_bank_gsm.csv; drop mock; drop ERROR:; keep=last,
P1.1.GSM.GPT-4o.W5,P1,P1,GSM,--,GPT-4o,W5,accuracy,0.3,20,0.14547527396899385,0.5189767762289793,,,,GSM_P1_behavioral_gpt4o.csv,bank-valid GSM IDs from question_bank_gsm.csv; drop mock; drop ERROR:; keep=last,
P1.1.GSM.GPT-4o.W6,P1,P1,GSM,--,GPT-4o,W6,accuracy,NOT_COMPUTABLE,0,,,,,,GSM_P1_behavioral_gpt4o.csv,bank-valid GSM IDs from question_bank_gsm.csv; drop mock; drop ERROR:; keep=last,no valid rows after bank+ERROR filter
P1.2.GSM.GPT-4o.W3_retention,P1,P1,GSM,--,GPT-4o,W3,W3_retention,0.35294117647058826,20,,,,,,GSM_P1_behavioral_gpt4o.csv,bank-valid GSM IDs from question_bank_gsm.csv; drop mock; drop ERROR:; keep=last,
P1.1.GSM.Llama.canonical,P1,P1,GSM,--,Llama,canonical,accuracy,0.8,20,0.5839782779742401,0.9193436467288,,,,GSM_P1_behavioral_llama.csv,bank-valid GSM IDs from question_bank_gsm.csv; drop mock; drop ERROR:; keep=last,
P1.1.GSM.Llama.W1,P1,P1,GSM,--,Llama,W1,accuracy,0.85,20,0.6395767041130426,0.9476322080405041,,,,GSM_P1_behavioral_llama.csv,bank-valid GSM IDs from question_bank_gsm.csv; drop mock; drop ERROR:; keep=last,
P1.1.GSM.Llama.W2,P1,P1,GSM,--,Llama,W2,accuracy,0.25,20,0.11186005278940309,0.4687050099580636,,,,GSM_P1_behavioral_llama.csv,bank-valid GSM IDs from question_bank_gsm.csv; drop mock; drop ERROR:; keep=last,
P1.1.GSM.Llama.W3,P1,P1,GSM,--,Llama,W3,accuracy,0.15,20,0.05236779195949584,0.36042329588695743,,,,GSM_P1_behavioral_llama.csv,bank-valid GSM IDs from question_bank_gsm.csv; drop mock; drop ERROR:; keep=last,
