problem_id,variant_type,problem_text,correct_answer,problem_family,problem_subtype,instance_type,difficulty,contamination_pole,source,verifier_function,difficulty_params,notes
CC_01,canonical,"""You have coins with the following denominations: [1,3,4,7]. You need to make exact change for 6 using the minimum number of coins. You may use each denomination any number of times.
 What is the minimum number of coins needed and which coins do you use?
 Respond in this exact format:
 Count: [integer]
 Coins: [denomination1, denomination2, ...]
 No explanation. No other text.""","Count: 2
 Coins: [3, 3]",coin change,coin_change,adversarial,Easy,high,,verify_coinchange,"{""subtype"":""CC"",""denominations"":[1,3,4,7],""target"":6,""greedy_succeeds"":false,""instance_type"":""adversarial"",""greedy_answer"":""Count: 2\n Coins: [3, 3]"",""difficulty_numeric"":4,""critical_step_index"":0}",
CC_01,W1,"The available coin denominations are [1, 3, 4, 7]. Using the fewest coins possible, what combination of these coins adds up exactly to 6? Each denomination may be repeated as needed. Respond in this exact format: Count: [integer] Coins: [denomination1, denomination2, ...] No explanation. No other text.","Count: 2
 Coins: [3, 3]",coin change,coin_change,adversarial,Easy,high,,verify_coinchange,"{""subtype"":""CC"",""denominations"":[1,3,4,7],""target"":6,""greedy_succeeds"":false,""instance_type"":""adversarial"",""greedy_answer"":""Count: 2\n Coins: [3, 3]"",""difficulty_numeric"":4,""critical_step_index"":0}",
CC_01,W2,"---
 
 **Problem Parameters:**
 
 | Parameter | Value |
 | ----------------------- | ------------------------------------------------------------- |
 | Available denominations | [1, 3, 4, 7] |
 | Target amount | 6 |
 | Coin supply | Unlimited (each denomination can be used any number of times) |
 | Objective | Minimize the total number of coins used |
 
 **Constraints:**
 
 * You may only use the denominations listed above
 * You must reach the target amount exactly
 * Each denomination may be used multiple times
 
 Respond in this exact format:
 Count: [integer]
 Coins: [denomination1, denomination2, ...]
 No explanation. No other text.""","Count: 2
 Coins: [3, 3]",coin change,coin_change,adversarial,Easy,high,,verify_coinchange,"{""subtype"":""CC"",""denominations"":[1,3,4,7],""target"":6,""greedy_succeeds"":false,""instance_type"":""adversarial"",""greedy_answer"":""Count: 2\n Coins: [3, 3]"",""difficulty_numeric"":4,""critical_step_index"":0}",
CC_01,W3,"""A chef is preparing a dish and needs to measure out exactly 6 grams of a spice. She has measuring scoops of the following sizes: 1 g, 3 g, 4 g, 7 g. She wants to use the fewest scoops possible, and can reuse any scoop size as many times as needed.
 What is the minimum number of scoops needed, and which scoop sizes does she use?
 Respond in this exact format: Total: [integer] Scoops: [denomination1, denomination2, ...] No explanation. No other text.""","Total: 2
 Scoops: [3, 3]",coin change,coin_change,adversarial,Easy,high,,verify_coinchange,"{""subtype"":""CC"",""denominations"":[1,3,4,7],""target"":6,""greedy_succeeds"":false,""instance_type"":""adversarial"",""greedy_answer"":""Count: 2\n Coins: [3, 3]"",""difficulty_numeric"":4,""critical_step_index"":0}",
CC_01,W4,"FORMAL DEFINITION: $\pi = \langle D, S_0, S^*, A \rangle$
 DENOMINATIONS: $D = \{1, 3, 4, 7\}$
 INITIAL STATE $S_0$: $\text{CurrentSum} = 0$
 GOAL STATE $S^*$: $\text{CurrentSum} = 6$
 ACTIONS:
 SelectCoin($c$):
 Pre: $c \in D, (\text{CurrentSum} + c) \le 6$
 Effect: $\text{CurrentSum} \leftarrow \text{CurrentSum} + c$
 TASK: Find the shortest sequence of actions to reach $\text{CurrentSum} = 6$.
 OUTPUT FORMAT:
 Count: [integer]
 Coins: [denomination1, denomination2, ...]
 No explanation. No other text.","Count: 2
 Coins: [3, 3]",coin change,coin_change,adversarial,Easy,high,,verify_coinchange,"{""subtype"":""CC"",""denominations"":[1,3,4,7],""target"":6,""greedy_succeeds"":false,""instance_type"":""adversarial"",""greedy_answer"":""Count: 2\n Coins: [3, 3]"",""difficulty_numeric"":4,""critical_step_index"":0}",
CC_02,canonical,"""You have coins with the following denominations: [1, 5, 6, 9]. You need to make exact change for 11 using the minimum number of coins. You may use each denomination any number of times.
 What is the minimum number of coins needed and which coins do you use?
 Respond in this exact format:
 Count: [integer]
 Coins: [denomination1, denomination2, ...]
 No explanation. No other text.""","Count: 2
 Coins: [5, 6]",coin change,coin_change,adversarial,Easy,high,,verify_coinchange,"{""subtype"":""CC"",""denominations"":[1,5,6,9],""target"":11,""greedy_succeeds"":false,""instance_type"":""adversarial"",""greedy_answer"":""Count: 2\n Coins: [5, 6]"",""difficulty_numeric"":4,""critical_step_index"":0}",
CC_02,W1,"Given coin denominations of [1, 5, 6, 9], what is the smallest number of coins that can be combined to total exactly 11? Any denomination can be used more than once. Respond in this exact format: Count: [integer] Coins: [denomination1, denomination2, ...] No explanation. No other text.","Count: 2
 Coins: [5, 6]",coin change,coin_change,adversarial,Easy,high,,verify_coinchange,"{""subtype"":""CC"",""denominations"":[1,5,6,9],""target"":11,""greedy_succeeds"":false,""instance_type"":""adversarial"",""greedy_answer"":""Count: 2\n Coins: [5, 6]"",""difficulty_numeric"":4,""critical_step_index"":0}",
CC_02,W2,"---
 
 **Problem Parameters:**
 
 | Parameter | Value |
 | ----------------------- | ------------------------------------------------------------- |
 | Available denominations | [1, 5, 6, 9] |
 | Target amount | 11 |
 | Coin supply | Unlimited (each denomination can be used any number of times) |
 | Objective | Minimize the total number of coins used |
 
 **Constraints:**
 
 * You may only use the denominations listed above
 * You must reach the target amount exactly
 * Each denomination may be used multiple times
 
 Respond in this exact format:
 Count: [integer]
 Coins: [denomination1, denomination2, ...]
 No explanation. No other text.""","Count: 2
 Coins: [5, 6]",coin change,coin_change,adversarial,Easy,high,,verify_coinchange,"{""subtype"":""CC"",""denominations"":[1,5,6,9],""target"":11,""greedy_succeeds"":false,""instance_type"":""adversarial"",""greedy_answer"":""Count: 2\n Coins: [5, 6]"",""difficulty_numeric"":4,""critical_step_index"":0}",
CC_02,W3,"A chef is preparing a dish and needs to measure out exactly 11 grams of a spice. She has measuring scoops of the following sizes: 1 g, 5 g, 6 g, 9 g. She wants to use the fewest scoops possible, and can reuse any scoop size as many times as needed.
 What is the minimum number of scoops needed, and which scoop sizes does she use?
 Respond in this exact format: Total: [integer] Scoops: [denomination1, denomination2, ...] No explanation. No other text.","Total: 2
 Scoops: [5, 6]",coin change,coin_change,adversarial,Easy,high,,verify_coinchange,"{""subtype"":""CC"",""denominations"":[1,5,6,9],""target"":11,""greedy_succeeds"":false,""instance_type"":""adversarial"",""greedy_answer"":""Count: 2\n Coins: [5, 6]"",""difficulty_numeric"":4,""critical_step_index"":0}",
CC_02,W4,"FORMAL DEFINITION: $\pi = \langle D, S_0, S^*, A \rangle$
 DENOMINATIONS: $D = \{1, 5, 6, 9\}$
 INITIAL STATE $S_0$: $\text{CurrentSum} = 0$
 GOAL STATE $S^*$: $\text{CurrentSum} = 11$
 ACTIONS:
 SelectCoin($c$):
 Pre: $c \in D, (\text{CurrentSum} + c) \le 11$
 Effect: $\text{CurrentSum} \leftarrow \text{CurrentSum} + c$
 TASK: Find the shortest sequence of actions to reach $\text{CurrentSum} = 11$.
 OUTPUT FORMAT:
 Count: [integer]
 Coins: [denomination1, denomination2, ...]
 No explanation. No other text.","Count: 2
 Coins: [5, 6]",coin change,coin_change,adversarial,Easy,high,,verify_coinchange,"{""subtype"":""CC"",""denominations"":[1,5,6,9],""target"":11,""greedy_succeeds"":false,""instance_type"":""adversarial"",""greedy_answer"":""Count: 2\n Coins: [5, 6]"",""difficulty_numeric"":4,""critical_step_index"":0}",
