problem_id,problem_family,variant_type,subtype,gold_action,gold_token_id,gold_token_decoded,gold_is_format_keyword,scaffold_prefix,content_string,content_rule,gold_content_token_id,gold_content_token_decoded,content_sep,gold_equals_content
GSM_001,arithmetic_reasoning,canonical,gsm,51,3971,51,False,,51,full_first_action_is_content,3971,51,'',True
GSM_002,arithmetic_reasoning,canonical,gsm,30,966,30,False,,30,full_first_action_is_content,966,30,'',True
GSM_003,arithmetic_reasoning,canonical,gsm,150,3965,150,False,,150,full_first_action_is_content,3965,150,'',True
GSM_004,arithmetic_reasoning,canonical,gsm,21600,12463,216,False,,21600,full_first_action_is_content,12463,216,'',True
GSM_005,arithmetic_reasoning,canonical,gsm,54,4370,54,False,,54,full_first_action_is_content,4370,54,'',True
GSM_006,arithmetic_reasoning,canonical,gsm,546,22048,546,False,,546,full_first_action_is_content,22048,546,'',True
GSM_007,arithmetic_reasoning,canonical,gsm,30,966,30,False,,30,full_first_action_is_content,966,30,'',True
GSM_008,arithmetic_reasoning,canonical,gsm,1024,4278,102,False,,1024,full_first_action_is_content,4278,102,'',True
GSM_009,arithmetic_reasoning,canonical,gsm,49,2491,49,False,,49,full_first_action_is_content,2491,49,'',True
GSM_010,arithmetic_reasoning,canonical,gsm,885,19445,885,False,,885,full_first_action_is_content,19445,885,'',True
GSM_011,arithmetic_reasoning,canonical,gsm,86,4218,86,False,,86,full_first_action_is_content,4218,86,'',True
GSM_012,arithmetic_reasoning,canonical,gsm,81,5932,81,False,,81,full_first_action_is_content,5932,81,'',True
GSM_013,arithmetic_reasoning,canonical,gsm,90,1954,90,False,,90,full_first_action_is_content,1954,90,'',True
GSM_014,arithmetic_reasoning,canonical,gsm,70,2031,70,False,,70,full_first_action_is_content,2031,70,'',True
GSM_015,arithmetic_reasoning,canonical,gsm,354,18384,354,False,,354,full_first_action_is_content,18384,354,'',True
GSM_016,arithmetic_reasoning,canonical,gsm,5,20,5,False,,5,full_first_action_is_content,20,5,'',True
GSM_017,arithmetic_reasoning,canonical,gsm,922,20275,922,False,,922,full_first_action_is_content,20275,922,'',True
GSM_018,arithmetic_reasoning,canonical,gsm,21,1691,21,False,,21,full_first_action_is_content,1691,21,'',True
GSM_019,arithmetic_reasoning,canonical,gsm,3,18,3,False,,3,full_first_action_is_content,18,3,'',True
