problem_id,model,VAR_canonical,VAR_W3,ACI,instance_contamination_score,instance_rank_pct,greedy_succeeds,label_executed,label_appendix,ret_ok_canonical,ret_ok_w3,ret_ok_contam,ret_ok_greedy,comp_ok_w3,comp_ok_cci,comp_ok_contam,exec_vote_tuple,failure_signature,exec_three_unanimous_retrieval,exec_three_unanimous_computation,w3_in_asymmetric_gap
CC_01,Claude,1.0,1.0,0.0,0.0,0.345,False,mixed,mixed,True,False,False,False,True,False,True,"(1,-1,1)",R:w3 | R:contam | R:greedy | C:cci,False,False,False
CC_02,Claude,1.0,1.0,0.3333333333333333,0.0,0.345,False,mixed,ambiguous,True,False,False,False,True,False,True,"(1,-1,1)",R:w3 | R:contam | R:greedy | C:cci,False,False,False
CC_03,Claude,1.0,1.0,0.3333333333333333,0.0,0.345,False,mixed,ambiguous,True,False,False,False,True,False,True,"(1,-1,1)",R:w3 | R:contam | R:greedy | C:cci,False,False,False
CC_04,Claude,1.0,0.0,0.0,0.0,0.345,True,mixed,mixed,True,True,False,True,False,False,True,"(-1,-1,1)",R:contam | C:w3 | C:cci,False,False,False
CC_06,Claude,0.0,0.0,0.0,0.0,0.345,True,mixed,mixed,False,True,False,True,False,False,True,"(-1,-1,1)",R:canonical | R:contam | C:w3 | C:cci,False,False,False
CC_07,Claude,1.0,1.0,0.3333333333333333,0.0,0.345,True,mixed,ambiguous,True,False,False,True,True,False,True,"(1,-1,1)",R:w3 | R:contam | C:cci,False,False,False
CC_08,Claude,1.0,0.0,0.0,0.0,0.345,False,mixed,mixed,True,True,False,False,False,False,True,"(-1,-1,1)",R:contam | R:greedy | C:w3 | C:cci,False,False,False
CC_09,Claude,0.0,0.0,0.6666666666666666,0.0,0.345,True,mixed,mixed,False,True,False,True,False,True,True,"(-1,1,1)",R:canonical | R:contam | C:w3,False,False,False
CC_10,Claude,0.0,1.0,0.3333333333333333,0.0,0.345,True,mixed,ambiguous,False,False,False,True,True,False,True,"(1,-1,1)",R:canonical | R:w3 | R:contam | C:cci,False,False,False
SP_003,Claude,0.0,0.0,0.0,0.0,0.3113636363636363,True,mixed,mixed,False,True,False,True,False,False,True,"(-1,-1,1)",R:canonical | R:contam | C:w3 | C:cci,False,False,False
