problem_id,model,difficulty,contamination_pole,cci,matched_steps,total_steps_compared,generated_plan_length,executed_length,illegal_action_count,skip_count,session_status,first_illegal_step,partial_goal_achievement,goals_met,goal_reached,executed_steps_json,parser_classifications_json,preamble_lines,remapped_lines,canonical_lines,unparseable_lines
BW_001,anthropic/claude-sonnet-4,medium,high,,0,0,14,9,0,0,aborted: planning_loop,,0.0,0,False,"[""pick-up h"", ""stack h l"", ""unstack h l"", ""stack h l"", ""unstack h l"", ""stack h l"", ""unstack h l"", ""stack h l"", ""unstack h l""]","{""canonical"": 8, ""remapped"": 1}",0,1,8,0
BW_002,anthropic/claude-sonnet-4,hard,high,,0,0,27,10,0,0,aborted: planning_loop,,0.0,0,False,"[""pick-up h"", ""put-down h"", ""pick-up i"", ""put-down i"", ""pick-up i"", ""put-down i"", ""pick-up i"", ""put-down i"", ""pick-up i"", ""put-down i""]","{""canonical"": 10}",0,0,10,0
BW_010,anthropic/claude-sonnet-4,easy,high,,0,0,17,9,0,0,aborted: planning_loop,,0.0,0,False,"[""pick-up b"", ""stack b f"", ""unstack b f"", ""stack b f"", ""unstack b f"", ""stack b f"", ""unstack b f"", ""stack b f"", ""unstack b f""]","{""canonical"": 8, ""remapped"": 1}",0,1,8,0
BW_011,anthropic/claude-sonnet-4,hard,high,0.1,5,50,126,50,16,0,complete,4,0.1111,1,False,"[""pick-up i"", ""put-down i"", ""pick-up c"", ""stack c k"", ""stack k g"", ""unstack c k"", ""stack c k"", ""stack k g"", ""unstack c k"", ""stack c k"", ""stack k g"", ""unstack c k"", ""stack c k"", ""stack k g"", ""unstack c k"", ""stack c k"", ""stack k g"", ""unstack c k"", ""stack c k"", ""stack k g"", ""unstack c k"", ""stack c k"", ""stack k g"", ""unstack c k"", ""stack c k"", ""stack k g"", ""unstack c k"", ""stack c k"", ""stack k g"", ""unstack c k"", ""stack c k"", ""stack k g"", ""unstack c k"", ""stack c k"", ""stack k g"", ""unstack c k"", ""stack c k"", ""stack k g"", ""unstack c k"", ""stack c k"", ""stack k g"", ""unstack c k"", ""stack c k"", ""stack k g"", ""unstack c k"", ""stack c k"", ""stack k g"", ""unstack c k"", ""stack c k"", ""stack k g""]","{""canonical"": 49, ""remapped"": 1}",0,1,49,0
BW_014,anthropic/claude-sonnet-4,easy,high,0.0,0,4,7,4,0,0,complete,,1.0,2,True,"[""pick-up e"", ""stack e g"", ""pick-up l"", ""stack l e""]","{""canonical"": 1, ""remapped"": 3}",0,3,1,0
BW_022,anthropic/claude-sonnet-4,medium,high,,0,0,18,32,28,6,aborted: excessive illegal steps,4,0.5,2,False,"[""pick-up k"", ""stack k f"", ""pick-up g"", ""stack g c"", ""stack c b"", ""STEP_SKIP"", ""stack c b"", ""STEP_SKIP"", ""stack c g"", ""stack c b"", ""STEP_SKIP"", ""stack c b"", ""stack c g"", ""stack c b"", ""stack c g"", ""stack c b"", ""STEP_SKIP"", ""stack c b"", ""stack c g"", ""stack c b"", ""STEP_SKIP"", ""stack c g"", ""stack c b"", ""stack c g"", ""stack c b"", ""stack c g"", ""stack c b"", ""stack c g"", ""stack c b"", ""stack c g"", ""stack c b"", ""STEP_SKIP""]","{""canonical"": 29, ""remapped"": 3}",0,3,29,0
BW_080,anthropic/claude-sonnet-4,medium,high,,0,0,15,18,12,6,aborted: excessive illegal steps,6,0.2,1,False,"[""pick-up j"", ""put-down j"", ""pick-up f"", ""put-down f"", ""pick-up l"", ""stack l c"", ""stack c i"", ""STEP_SKIP"", ""stack c i"", ""STEP_SKIP"", ""stack c i"", ""STEP_SKIP"", ""stack c i"", ""STEP_SKIP"", ""stack c i"", ""STEP_SKIP"", ""stack c i"", ""STEP_SKIP""]","{""canonical"": 17, ""remapped"": 1}",0,1,17,0
BW_120,anthropic/claude-sonnet-4,easy,high,,0,0,6,16,12,6,aborted: excessive illegal steps,4,0.6667,2,False,"[""pick-up g"", ""stack g f"", ""pick-up c"", ""stack c j"", ""stack j g"", ""STEP_SKIP"", ""stack j g"", ""STEP_SKIP"", ""stack j g"", ""STEP_SKIP"", ""stack j g"", ""STEP_SKIP"", ""stack j g"", ""STEP_SKIP"", ""stack j g"", ""STEP_SKIP""]","{""canonical"": 13, ""remapped"": 3}",0,3,13,0
BW_137,anthropic/claude-sonnet-4,hard,high,0.0,0,50,155,50,8,0,complete,18,0.3,3,False,"[""pick-up g"", ""put-down g"", ""pick-up i"", ""put-down i"", ""pick-up g"", ""put-down g"", ""pick-up i"", ""put-down i"", ""pick-up g"", ""stack g i"", ""unstack g i"", ""stack g i"", ""unstack g i"", ""stack g i"", ""unstack g i"", ""stack g i"", ""pick-up f"", ""put-down f"", ""pick-up i"", ""pick-up d"", ""stack d a"", ""stack a b"", ""unstack d a"", ""stack d a"", ""stack a b"", ""unstack d a"", ""stack d a"", ""unstack d a"", ""stack d a"", ""pick-up a"", ""pick-up i"", ""pick-up f"", ""put-down f"", ""pick-up c"", ""stack c f"", ""unstack c f"", ""put-down c"", ""pick-up i"", ""pick-up f"", ""put-down f"", ""pick-up a"", ""pick-up i"", ""pick-up f"", ""put-down f"", ""pick-up b"", ""stack b j"", ""unstack d a"", ""stack d a"", ""unstack b j"", ""stack b j""]","{""canonical"": 43, ""remapped"": 7}",0,7,43,0
BW_155,anthropic/claude-sonnet-4,easy,high,,0,0,15,16,12,6,aborted: excessive illegal steps,4,0.25,1,False,"[""pick-up j"", ""put-down j"", ""pick-up i"", ""stack i f"", ""stack f e"", ""STEP_SKIP"", ""stack f e"", ""STEP_SKIP"", ""stack f e"", ""STEP_SKIP"", ""stack f e"", ""STEP_SKIP"", ""stack f e"", ""STEP_SKIP"", ""stack f e"", ""STEP_SKIP""]","{""canonical"": 15, ""remapped"": 1}",0,1,15,0
