family,problem_id,variant,reason
ALGO,WIS_006,W6,variant_not_transformed
ALGO,WIS_007,W6,variant_not_transformed
ALGO,WIS_009,W6,variant_not_transformed
ALGO,WIS_010,W6,variant_not_transformed
ALGO,WIS_012,W6,variant_not_transformed
ALGO,WIS_013,W6,variant_not_transformed
ALGO,WIS_014,W6,variant_not_transformed
ALGO,WIS_015,W6,variant_not_transformed
ALGO,WIS_016,W6,variant_not_transformed
ALGO,WIS_017,W6,variant_not_transformed
ALGO,WIS_018,W6,variant_not_transformed
ALGO,WIS_019,W6,variant_not_transformed
ALGO,WIS_020,W6,variant_not_transformed
ALGO,WIS_021,W6,variant_not_transformed
ALGO,WIS_022,W6,variant_not_transformed
ALGO,WIS_023,W6,variant_not_transformed
ALGO,WIS_024,W6,variant_not_transformed
ALGO,WIS_025,W6,variant_not_transformed
ALGO,WIS_026,W6,variant_not_transformed
ALGO,WIS_027,W6,variant_not_transformed
ALGO,WIS_028,W6,variant_not_transformed
ALGO,WIS_029,W6,variant_not_transformed
ALGO,WIS_030,W6,variant_not_transformed
ALGO,WIS_031,W6,variant_not_transformed
ALGO,WIS_032,W6,variant_not_transformed
BW,BW_E015,W6,variant_not_transformed
BW,BW_E017,W6,variant_not_transformed
BW,BW_E019,W6,variant_not_transformed
BW,MBW_001,W6,variant_not_transformed
BW,MBW_10,W6,variant_not_transformed
BW,MBW_100,W6,variant_not_transformed
BW,MBW_127,W6,variant_not_transformed
BW,MBW_185,W6,variant_not_transformed
BW,MBW_496,W5,variant_not_transformed
BW,MBW_497,W5,variant_not_transformed
BW,MBW_498,W5,variant_not_transformed
BW,MBW_499,W5,variant_not_transformed
BW,MBW_500,W5,variant_not_transformed
GSM,GSM_001,W6,missing_bank_row
GSM,GSM_002,W6,missing_bank_row
GSM,GSM_003,W6,missing_bank_row
GSM,GSM_004,W6,missing_bank_row
GSM,GSM_005,W6,missing_bank_row
GSM,GSM_006,W6,missing_bank_row
GSM,GSM_007,W6,missing_bank_row
GSM,GSM_008,W6,missing_bank_row
GSM,GSM_009,W6,missing_bank_row
GSM,GSM_010,W6,missing_bank_row
GSM,GSM_011,W6,missing_bank_row
GSM,GSM_012,W6,missing_bank_row
GSM,GSM_013,W6,missing_bank_row
GSM,GSM_014,W6,missing_bank_row
GSM,GSM_015,W6,missing_bank_row
GSM,GSM_016,W6,missing_bank_row
GSM,GSM_017,W6,missing_bank_row
GSM,GSM_018,W6,missing_bank_row
GSM,GSM_019,W6,missing_bank_row
GSM,GSM_020,W6,missing_bank_row
