problem_id,model,pddl_path,difficulty,contamination_pole,raw_plan,parsed_plan_json,plan_length
BW_155,openai/gpt-4o,data/sources/planbench/plan-bench/instances/blocksworld/generated/instance-155.pddl,easy,high,"1. pick-up i
2. stack i f
3. pick-up f
4. stack f e
5. pick-up e
6. stack e j
7. pick-up j
8. stack j h","[""pick-up i"", ""stack i f"", ""pick-up f"", ""stack f e"", ""pick-up e"", ""stack e j"", ""pick-up j"", ""stack j h""]",8
BW_155,meta-llama/llama-3.1-8b-instruct,data/sources/planbench/plan-bench/instances/blocksworld/generated/instance-155.pddl,easy,high,"1. pick-up i
2. stack i f
3. put-down i
4. pick-up f
5. stack f e
6. put-down f
7. pick-up e
8. stack e j
9. put-down e
10. pick-up j
11. stack j h
12. put-down j","[""pick-up i"", ""stack i f"", ""put-down i"", ""pick-up f"", ""stack f e"", ""put-down f"", ""pick-up e"", ""stack e j"", ""put-down e"", ""pick-up j"", ""stack j h"", ""put-down j""]",12
BW_010,openai/gpt-4o,data/sources/planbench/plan-bench/instances/blocksworld/generated/instance-10.pddl,easy,high,"1. pick-up d  
2. stack d e  
3. pick-up e  
4. stack e a  
5. pick-up a  
6. stack a b  
7. pick-up b  
8. stack b f","[""pick-up d"", ""stack d e"", ""pick-up e"", ""stack e a"", ""pick-up a"", ""stack a b"", ""pick-up b"", ""stack b f""]",8
BW_001,openai/gpt-4o,data/sources/planbench/plan-bench/instances/blocksworld/generated/instance-1.pddl,medium,high,"1. pick-up j
2. stack j f
3. pick-up f
4. stack f i
5. pick-up i
6. stack i g
7. pick-up g
8. stack g d
9. pick-up d
10. stack d b
11. pick-up b
12. stack b h
13. pick-up h
14. stack h l","[""pick-up j"", ""stack j f"", ""pick-up f"", ""stack f i"", ""pick-up i"", ""stack i g"", ""pick-up g"", ""stack g d"", ""pick-up d"", ""stack d b"", ""pick-up b"", ""stack b h"", ""pick-up h"", ""stack h l""]",14
BW_011,openai/gpt-4o,data/sources/planbench/plan-bench/instances/blocksworld/generated/instance-11.pddl,hard,high,"1. pick-up c
2. stack c k
3. pick-up k
4. stack k g
5. pick-up g
6. stack g a
7. pick-up a
8. stack a l
9. pick-up l
10. stack l j
11. pick-up j
12. stack j e
13. pick-up e
14. stack e h
15. pick-up h
16. stack h i
17. pick-up i
18. stack i b","[""pick-up c"", ""stack c k"", ""pick-up k"", ""stack k g"", ""pick-up g"", ""stack g a"", ""pick-up a"", ""stack a l"", ""pick-up l"", ""stack l j"", ""pick-up j"", ""stack j e"", ""pick-up e"", ""stack e h"", ""pick-up h"", ""stack h i"", ""pick-up i"", ""stack i b""]",18
BW_120,openai/gpt-4o,data/sources/planbench/plan-bench/instances/blocksworld/generated/instance-120.pddl,easy,high,"1. pick-up c  
2. stack c j  
3. pick-up j  
4. stack j g  
5. pick-up g  
6. stack g f  ","[""pick-up c"", ""stack c j"", ""pick-up j"", ""stack j g"", ""pick-up g"", ""stack g f""]",6
BW_227,openai/gpt-4o,data/sources/planbench/plan-bench/instances/blocksworld/generated/instance-227.pddl,hard,high,"1. pick-up f
2. stack f l
3. pick-up l
4. stack l g
5. pick-up g
6. stack g d
7. pick-up d
8. stack d i
9. pick-up i
10. stack i j
11. pick-up j
12. stack j c
13. pick-up c
14. stack c k
15. pick-up k
16. stack k a","[""pick-up f"", ""stack f l"", ""pick-up l"", ""stack l g"", ""pick-up g"", ""stack g d"", ""pick-up d"", ""stack d i"", ""pick-up i"", ""stack i j"", ""pick-up j"", ""stack j c"", ""pick-up c"", ""stack c k"", ""pick-up k"", ""stack k a""]",16
BW_137,openai/gpt-4o,data/sources/planbench/plan-bench/instances/blocksworld/generated/instance-137.pddl,hard,high,"1. pick-up d
2. stack d a
3. pick-up a
4. stack a b
5. pick-up b
6. stack b j
7. pick-up j
8. stack j e
9. pick-up e
10. stack e l
11. pick-up l
12. stack l h
13. pick-up h
14. stack h c
15. pick-up c
16. stack c f
17. pick-up f
18. stack f g
19. pick-up g
20. stack g i","[""pick-up d"", ""stack d a"", ""pick-up a"", ""stack a b"", ""pick-up b"", ""stack b j"", ""pick-up j"", ""stack j e"", ""pick-up e"", ""stack e l"", ""pick-up l"", ""stack l h"", ""pick-up h"", ""stack h c"", ""pick-up c"", ""stack c f"", ""pick-up f"", ""stack f g"", ""pick-up g"", ""stack g i""]",20
BW_172,openai/gpt-4o,data/sources/planbench/plan-bench/instances/blocksworld/generated/instance-172.pddl,hard,high,"1. pick-up i
2. stack i l
3. pick-up l
4. stack l g
5. pick-up g
6. stack g e
7. pick-up e
8. stack e d
9. pick-up d
10. stack d b
11. pick-up b
12. stack b a
13. pick-up a
14. stack a j
15. pick-up j
16. stack j h
17. pick-up h
18. stack h f
19. pick-up f
20. stack f k","[""pick-up i"", ""stack i l"", ""pick-up l"", ""stack l g"", ""pick-up g"", ""stack g e"", ""pick-up e"", ""stack e d"", ""pick-up d"", ""stack d b"", ""pick-up b"", ""stack b a"", ""pick-up a"", ""stack a j"", ""pick-up j"", ""stack j h"", ""pick-up h"", ""stack h f"", ""pick-up f"", ""stack f k""]",20
BW_467,openai/gpt-4o,data/sources/planbench/plan-bench/instances/blocksworld/generated/instance-467.pddl,medium,high,"1. pick-up g
2. stack g i
3. pick-up i
4. stack i l
5. pick-up l
6. stack l j
7. pick-up j
8. stack j a
9. pick-up a
10. stack a f
11. pick-up f
12. stack f h","[""pick-up g"", ""stack g i"", ""pick-up i"", ""stack i l"", ""pick-up l"", ""stack l j"", ""pick-up j"", ""stack j a"", ""pick-up a"", ""stack a f"", ""pick-up f"", ""stack f h""]",12
BW_080,openai/gpt-4o,data/sources/planbench/plan-bench/instances/blocksworld/generated/instance-80.pddl,medium,high,"1. pick-up l
2. stack l c
3. pick-up c
4. stack c i
5. pick-up i
6. stack i e
7. pick-up e
8. stack e j
9. pick-up j
10. stack j f","[""pick-up l"", ""stack l c"", ""pick-up c"", ""stack c i"", ""pick-up i"", ""stack i e"", ""pick-up e"", ""stack e j"", ""pick-up j"", ""stack j f""]",10
BW_010,meta-llama/llama-3.1-8b-instruct,data/sources/planbench/plan-bench/instances/blocksworld/generated/instance-10.pddl,easy,high,"1. pick-up d
2. stack d e
3. pick-up e
4. stack e a
5. pick-up a
6. stack a b","[""pick-up d"", ""stack d e"", ""pick-up e"", ""stack e a"", ""pick-up a"", ""stack a b""]",6
BW_001,meta-llama/llama-3.1-8b-instruct,data/sources/planbench/plan-bench/instances/blocksworld/generated/instance-1.pddl,medium,high,"1. pick-up l 
2. stack l h 
3. pick-up h 
4. stack h b 
5. pick-up b 
6. stack b d 
7. pick-up d 
8. stack d g 
9. pick-up g 
10. stack g i 
11. pick-up i 
12. stack i f 
13. pick-up f 
14. stack f j","[""pick-up l"", ""stack l h"", ""pick-up h"", ""stack h b"", ""pick-up b"", ""stack b d"", ""pick-up d"", ""stack d g"", ""pick-up g"", ""stack g i"", ""pick-up i"", ""stack i f"", ""pick-up f"", ""stack f j""]",14
BW_011,meta-llama/llama-3.1-8b-instruct,data/sources/planbench/plan-bench/instances/blocksworld/generated/instance-11.pddl,hard,high,"1. stack e l
2. pick-up e
3. stack e k
4. pick-up k
5. stack a k
6. pick-up a
7. stack g a
8. pick-up g
9. stack k g
10. pick-up k
11. stack c k
12. put-down c
13. pick-up b
14. stack i b
15. pick-up i
16. stack h i
17. pick-up h
18. stack e h
19. put-down e
20. pick-up d (j does not exist and it would be necessary to perform another move to put-down c, so I assume that the response you want is by item and assumes the correct order for the blocks)","[""stack e l"", ""pick-up e"", ""stack e k"", ""pick-up k"", ""stack a k"", ""pick-up a"", ""stack g a"", ""pick-up g"", ""stack k g"", ""pick-up k"", ""stack c k"", ""put-down c"", ""pick-up b"", ""stack i b"", ""pick-up i"", ""stack h i"", ""pick-up h"", ""stack e h"", ""put-down e"", ""pick-up d (j does not exist and it would be necessary to perform another move to put-down c, so i assume that the response you want is by item and assumes the correct order for the blocks)""]",20
BW_120,meta-llama/llama-3.1-8b-instruct,data/sources/planbench/plan-bench/instances/blocksworld/generated/instance-120.pddl,easy,high,"1. Pick-up c
2. Pick-up j
3. Stack j c
4. Stack j g
5. Stack g f
6. Unstack g j 
7. Put-down j
8. Unstack j c 
9. Put-down c","[""pick-up c"", ""pick-up j"", ""stack j c"", ""stack j g"", ""stack g f"", ""unstack g j"", ""put-down j"", ""unstack j c"", ""put-down c""]",9
BW_227,meta-llama/llama-3.1-8b-instruct,data/sources/planbench/plan-bench/instances/blocksworld/generated/instance-227.pddl,hard,high,"1. pick-up f
2. stack f l
3. pick-up l
4. stack l g
5. pick-up g
6. stack g d
7. pick-up d
8. stack d i
9. pick-up i
10. stack i j
11. pick-up j
12. stack j c
13. pick-up c
14. stack c k
15. pick-up k
16. stack k a","[""pick-up f"", ""stack f l"", ""pick-up l"", ""stack l g"", ""pick-up g"", ""stack g d"", ""pick-up d"", ""stack d i"", ""pick-up i"", ""stack i j"", ""pick-up j"", ""stack j c"", ""pick-up c"", ""stack c k"", ""pick-up k"", ""stack k a""]",16
BW_137,meta-llama/llama-3.1-8b-instruct,data/sources/planbench/plan-bench/instances/blocksworld/generated/instance-137.pddl,hard,high,"1. pick-up a
2. stack d a
3. pick-up b
4. stack a b
5. pick-up j
6. stack b j
7. pick-up e
8. stack j e
9. pick-up l
10. stack e l
11. pick-up h
12. stack l h
13. pick-up c
14. stack h c
15. pick-up f
16. stack c f
17. pick-up g
18. stack f g
19. pick-up i
20. stack g i","[""pick-up a"", ""stack d a"", ""pick-up b"", ""stack a b"", ""pick-up j"", ""stack b j"", ""pick-up e"", ""stack j e"", ""pick-up l"", ""stack e l"", ""pick-up h"", ""stack l h"", ""pick-up c"", ""stack h c"", ""pick-up f"", ""stack c f"", ""pick-up g"", ""stack f g"", ""pick-up i"", ""stack g i""]",20
BW_172,meta-llama/llama-3.1-8b-instruct,data/sources/planbench/plan-bench/instances/blocksworld/generated/instance-172.pddl,hard,high,"1. pick-up i
2. stack i l
3. pick-up l
4. stack l g
5. pick-up g
6. stack g e
7. pick-up e
8. stack e d
9. pick-up d
10. stack d b
11. pick-up b
12. stack b a
13. pick-up a
14. stack a j
15. pick-up j
16. stack j h
17. pick-up h
18. stack h f
19. pick-up f
20. stack f k","[""pick-up i"", ""stack i l"", ""pick-up l"", ""stack l g"", ""pick-up g"", ""stack g e"", ""pick-up e"", ""stack e d"", ""pick-up d"", ""stack d b"", ""pick-up b"", ""stack b a"", ""pick-up a"", ""stack a j"", ""pick-up j"", ""stack j h"", ""pick-up h"", ""stack h f"", ""pick-up f"", ""stack f k""]",20
BW_467,meta-llama/llama-3.1-8b-instruct,data/sources/planbench/plan-bench/instances/blocksworld/generated/instance-467.pddl,medium,high,"1. pick-up g
2. stack g i
3. pick-up i
4. stack i l
5. pick-up l
6. stack l j
7. pick-up j
8. stack j a
9. pick-up a
10. stack a f
11. pick-up f
12. stack f h","[""pick-up g"", ""stack g i"", ""pick-up i"", ""stack i l"", ""pick-up l"", ""stack l j"", ""pick-up j"", ""stack j a"", ""pick-up a"", ""stack a f"", ""pick-up f"", ""stack f h""]",12
BW_080,meta-llama/llama-3.1-8b-instruct,data/sources/planbench/plan-bench/instances/blocksworld/generated/instance-80.pddl,medium,high,"1. pick-up l
2. stack l c
3. pick-up c
4. stack c i
5. pick-up i
6. stack i e
7. pick-up e
8. stack e j
9. pick-up j
10. stack j f","[""pick-up l"", ""stack l c"", ""pick-up c"", ""stack c i"", ""pick-up i"", ""stack i e"", ""pick-up e"", ""stack e j"", ""pick-up j"", ""stack j f""]",10
BW_E100,openai/gpt-4o,,easy,low,"This problem definition describes a blocks world problem with three blocks: a, b, and c. The `blocksworld-4ops` domain typically includes four basic operations: `pick-up`, `put-down`, `stack`, and `unstack`. Here's a breakdown of the problem as described:

### Initial State:
- There are three blocks: a, b, and c.
- `handempty` indicates that the robotic arm is currently not holding any block.
- `ontable a` and `ontable b` suggest that blocks a and b are directly on the table.
- `on c a` means block c is on top of block a.
- `clear b` and `clear c` mean the tops of blocks b and c are clear (not covered by any other block).

### Goal State:
- `(on b c)` indicates that block b should be on top of block c.
- `(on c a)` means block c should remain on top of block a.

### Objective:
The main goal is to rearrange the blocks such that b is on c, and c remains on a. The initial configuration makes this problem relatively straightforward since block c is already where it needs to be concerning block a. The challenge lies in moving block b from the table to the top of block c.

### Possible Solution:
To achieve the goal state from the initial configuration, you could follow these steps using typical blocksworld operations:

1. **Pick Up b**: Since `clear b` is true and `handempty` is true, the robot can pick up block b.
2. **Stack b on c**: Since the robot is holding block b, and `clear c` is true, the robot can stack block b on block c.

After these operations, the goal state is achieved: block b is on block c, and block c is on block a.","[""this problem definition describes a blocks world problem with three blocks: a, b, and c. the `blocksworld-4ops` domain typically includes four basic operations: `pick-up`, `put-down`, `stack`, and `unstack`. here's a breakdown of the problem as described:"", ""### initial state:"", ""- there are three blocks: a, b, and c."", ""- `handempty` indicates that the robotic arm is currently not holding any block."", ""- `ontable a` and `ontable b` suggest that blocks a and b are directly on the table."", ""- `on c a` means block c is on top of block a."", ""- `clear b` and `clear c` mean the tops of blocks b and c are clear (not covered by any other block)."", ""### goal state:"", ""- `(on b c)` indicates that block b should be on top of block c."", ""- `(on c a)` means block c should remain on top of block a."", ""### objective:"", ""the main goal is to rearrange the blocks such that b is on c, and c remains on a. the initial configuration makes this problem relatively straightforward since block c is already where it needs to be concerning block a. the challenge lies in moving block b from the table to the top of block c."", ""### possible solution:"", ""to achieve the goal state from the initial configuration, you could follow these steps using typical blocksworld operations:"", ""**pick up b**: since `clear b` is true and `handempty` is true, the robot can pick up block b."", ""**stack b on c**: since the robot is holding block b, and `clear c` is true, the robot can stack block b on block c."", ""after these operations, the goal state is achieved: block b is on block c, and block c is on block a.""]",17
BW_E015,openai/gpt-4o,,easy,low,"The problem you've defined, ""BW-rand-3,"" is a Blocks World problem, which is a classic AI planning problem. Your setup specifies a world with three blocks: `a`, `b`, and `c`. 

Here's a breakdown of the initial state and goal:

### Initial State:
- `handempty`: This indicates that the hand (or gripper) is not holding any block.
- `ontable a`: Block `a` is directly on the table.
- `ontable b`: Block `b` is directly on the table.
- `on c b`: Block `c` is on top of block `b`.
- `clear a`: Block `a` has no blocks on top of it.
- `clear c`: Block `c` has no blocks on top of it.

### Goal:
- You aim to achieve the state where `a` is on top of `b`: `(on a b)`.

### Domain `blocksworld-4ops`:
This typically includes four basic operations:
1. **Pick up** a block (requires `handempty` and the block to be `clear`).
2. **Put down** a block (requires having picked it up).
3. **Stack** a block on another (requires having picked it up and the target to be `clear`).
4. **Unstack** a block from another (requires `handempty` and the top block to be `clear`).

### Plan:
To accomplish the goal `(on a b)`, you generally need to:
1. **Unstack `c` from `b`:**
   - Since `c` is on `b` and `c` is clear, you can unstack `c` from `b`.
2. **Put `c` on the table** if needed.
3. **Pick up `a`** from the table.
4. **Stack `a` on `b`.**

This simple plan will achieve the goal given the current initial state you have defined.","[""the problem you've defined, \""bw-rand-3,\"" is a blocks world problem, which is a classic ai planning problem. your setup specifies a world with three blocks: `a`, `b`, and `c`."", ""here's a breakdown of the initial state and goal:"", ""### initial state:"", ""- `handempty`: this indicates that the hand (or gripper) is not holding any block."", ""- `ontable a`: block `a` is directly on the table."", ""- `ontable b`: block `b` is directly on the table."", ""- `on c b`: block `c` is on top of block `b`."", ""- `clear a`: block `a` has no blocks on top of it."", ""- `clear c`: block `c` has no blocks on top of it."", ""### goal:"", ""- you aim to achieve the state where `a` is on top of `b`: `(on a b)`."", ""### domain `blocksworld-4ops`:"", ""this typically includes four basic operations:"", ""**pick up** a block (requires `handempty` and the block to be `clear`)."", ""**put down** a block (requires having picked it up)."", ""**stack** a block on another (requires having picked it up and the target to be `clear`)."", ""**unstack** a block from another (requires `handempty` and the top block to be `clear`)."", ""### plan:"", ""to accomplish the goal `(on a b)`, you generally need to:"", ""**unstack `c` from `b`:**"", ""- since `c` is on `b` and `c` is clear, you can unstack `c` from `b`."", ""**put `c` on the table** if needed."", ""**pick up `a`** from the table."", ""**stack `a` on `b`.**"", ""this simple plan will achieve the goal given the current initial state you have defined.""]",25
