family,model,problem_id,variant,layer,rank,logprob,cosine_to_gold_unembed,gold_content,gold_token_id,gold_token_decoded,gold_unigram_count,gold_token_id_rank_proxy,n_layers,sep_note
ALGO,meta-llama/Llama-3.1-8B-Instruct,CC_01,canonical,0,46784,-11.75801,0.005525,2,17,2,2189,17,32,''
ALGO,meta-llama/Llama-3.1-8B-Instruct,CC_01,canonical,1,88028,-11.76914,-0.004585,2,17,2,2189,17,32,''
ALGO,meta-llama/Llama-3.1-8B-Instruct,CC_01,canonical,2,103348,-11.781816,-0.008882,2,17,2,2189,17,32,''
ALGO,meta-llama/Llama-3.1-8B-Instruct,CC_01,canonical,3,126482,-11.830171,-0.025072,2,17,2,2189,17,32,''
ALGO,meta-llama/Llama-3.1-8B-Instruct,CC_01,canonical,4,95252,-11.791964,-0.00323,2,17,2,2189,17,32,''
ALGO,meta-llama/Llama-3.1-8B-Instruct,CC_01,canonical,5,125269,-11.885412,-0.0185,2,17,2,2189,17,32,''
ALGO,meta-llama/Llama-3.1-8B-Instruct,CC_01,canonical,6,124115,-11.870072,-0.01816,2,17,2,2189,17,32,''
ALGO,meta-llama/Llama-3.1-8B-Instruct,CC_01,canonical,7,102064,-11.814416,-0.006442,2,17,2,2189,17,32,''
ALGO,meta-llama/Llama-3.1-8B-Instruct,CC_01,canonical,8,108269,-11.831117,-0.009092,2,17,2,2189,17,32,''
ALGO,meta-llama/Llama-3.1-8B-Instruct,CC_01,canonical,9,125010,-11.906227,-0.021719,2,17,2,2189,17,32,''
ALGO,meta-llama/Llama-3.1-8B-Instruct,CC_01,canonical,10,123140,-11.914678,-0.01608,2,17,2,2189,17,32,''
ALGO,meta-llama/Llama-3.1-8B-Instruct,CC_01,canonical,11,126669,-11.951699,-0.024736,2,17,2,2189,17,32,''
ALGO,meta-llama/Llama-3.1-8B-Instruct,CC_01,canonical,12,124608,-11.935519,-0.020922,2,17,2,2189,17,32,''
ALGO,meta-llama/Llama-3.1-8B-Instruct,CC_01,canonical,13,98926,-11.83469,-0.006241,2,17,2,2189,17,32,''
ALGO,meta-llama/Llama-3.1-8B-Instruct,CC_01,canonical,14,102719,-11.863682,-0.008224,2,17,2,2189,17,32,''
ALGO,meta-llama/Llama-3.1-8B-Instruct,CC_01,canonical,15,61611,-11.763157,0.001354,2,17,2,2189,17,32,''
ALGO,meta-llama/Llama-3.1-8B-Instruct,CC_01,canonical,16,84343,-11.822824,-0.007914,2,17,2,2189,17,32,''
ALGO,meta-llama/Llama-3.1-8B-Instruct,CC_01,canonical,17,86165,-11.838722,-0.01195,2,17,2,2189,17,32,''
ALGO,meta-llama/Llama-3.1-8B-Instruct,CC_01,canonical,18,64085,-11.774343,-0.011126,2,17,2,2189,17,32,''
ALGO,meta-llama/Llama-3.1-8B-Instruct,CC_01,canonical,19,13158,-11.515001,0.00399,2,17,2,2189,17,32,''
ALGO,meta-llama/Llama-3.1-8B-Instruct,CC_01,canonical,20,17638,-11.528322,0.000941,2,17,2,2189,17,32,''
ALGO,meta-llama/Llama-3.1-8B-Instruct,CC_01,canonical,21,4049,-11.257109,0.011651,2,17,2,2189,17,32,''
ALGO,meta-llama/Llama-3.1-8B-Instruct,CC_01,canonical,22,3039,-11.134812,0.013073,2,17,2,2189,17,32,''
ALGO,meta-llama/Llama-3.1-8B-Instruct,CC_01,canonical,23,2026,-10.980384,0.016268,2,17,2,2189,17,32,''
ALGO,meta-llama/Llama-3.1-8B-Instruct,CC_01,canonical,24,1175,-10.752467,0.020779,2,17,2,2189,17,32,''
ALGO,meta-llama/Llama-3.1-8B-Instruct,CC_01,canonical,25,1115,-10.616871,0.021568,2,17,2,2189,17,32,''
ALGO,meta-llama/Llama-3.1-8B-Instruct,CC_01,canonical,26,525,-10.311988,0.028426,2,17,2,2189,17,32,''
ALGO,meta-llama/Llama-3.1-8B-Instruct,CC_01,canonical,27,361,-10.065461,0.032089,2,17,2,2189,17,32,''
ALGO,meta-llama/Llama-3.1-8B-Instruct,CC_01,canonical,28,599,-10.032763,0.027239,2,17,2,2189,17,32,''
ALGO,meta-llama/Llama-3.1-8B-Instruct,CC_01,canonical,29,1018,-10.111781,0.023693,2,17,2,2189,17,32,''
ALGO,meta-llama/Llama-3.1-8B-Instruct,CC_01,canonical,30,952,-9.908858,0.028702,2,17,2,2189,17,32,''
ALGO,meta-llama/Llama-3.1-8B-Instruct,CC_01,canonical,31,138,-16.944792,0.081802,2,17,2,2189,17,32,''
ALGO,meta-llama/Llama-3.1-8B-Instruct,CC_01,W3,0,45354,-11.757773,0.006182,2,17,2,2189,17,32,''
ALGO,meta-llama/Llama-3.1-8B-Instruct,CC_01,W3,1,79745,-11.766402,-0.002246,2,17,2,2189,17,32,''
ALGO,meta-llama/Llama-3.1-8B-Instruct,CC_01,W3,2,99788,-11.779353,-0.00815,2,17,2,2189,17,32,''
ALGO,meta-llama/Llama-3.1-8B-Instruct,CC_01,W3,3,124330,-11.818854,-0.021017,2,17,2,2189,17,32,''
