panel,sig_w3,sig_cci,sig_contam,vote_tuple,n,pattern_kind,n_retrieval,n_computation,n_mixed,n_ambiguous
full_440,-1,0,1,"(-1,0,1)",223,conflict_partial,0,0,223,0
full_440,-1,0,-1,"(-1,0,-1)",96,one_sided_or_neutral,0,0,0,96
full_440,-1,-1,1,"(-1,-1,1)",47,conflict_full,0,0,47,0
full_440,1,0,1,"(1,0,1)",33,one_sided_or_neutral,0,0,0,33
full_440,1,0,-1,"(1,0,-1)",15,conflict_partial,0,0,15,0
full_440,1,-1,1,"(1,-1,1)",10,conflict_full,0,0,10,0
full_440,-1,-1,-1,"(-1,-1,-1)",8,unanimous_retrieval,8,0,0,0
full_440,-1,0,0,"(-1,0,0)",4,one_sided_or_neutral,0,0,0,4
full_440,-1,1,1,"(-1,1,1)",3,conflict_full,0,0,3,0
full_440,1,-1,-1,"(1,-1,-1)",1,conflict_full,0,0,1,0
complete_case_169,-1,0,-1,"(-1,0,-1)",104,one_sided_or_neutral,0,0,0,104
complete_case_169,-1,-1,-1,"(-1,-1,-1)",38,unanimous_retrieval,38,0,0,0
complete_case_169,1,0,-1,"(1,0,-1)",17,conflict_partial,0,0,17,0
complete_case_169,1,-1,-1,"(1,-1,-1)",7,conflict_full,0,0,7,0
complete_case_169,-1,1,-1,"(-1,1,-1)",3,conflict_full,0,0,3,0
complete_case_169_p75_frozen,-1,0,1,"(-1,0,1)",92,conflict_partial,0,0,92,0
complete_case_169_p75_frozen,-1,-1,1,"(-1,-1,1)",33,conflict_full,0,0,33,0
complete_case_169_p75_frozen,1,0,1,"(1,0,1)",15,one_sided_or_neutral,0,0,0,15
complete_case_169_p75_frozen,-1,0,-1,"(-1,0,-1)",12,one_sided_or_neutral,0,0,0,12
complete_case_169_p75_frozen,1,-1,1,"(1,-1,1)",7,conflict_full,0,0,7,0
complete_case_169_p75_frozen,-1,-1,-1,"(-1,-1,-1)",5,unanimous_retrieval,5,0,0,0
complete_case_169_p75_frozen,-1,1,1,"(-1,1,1)",3,conflict_full,0,0,3,0
complete_case_169_p75_frozen,1,0,-1,"(1,0,-1)",2,conflict_partial,0,0,2,0
