subtype,model,acc_canonical,acc_W1,acc_W2,acc_W3,acc_W4,acc_W5,acc_W6,R_W3
coin_change,anthropic/claude-sonnet-4,0.44,0.56,0.32,0.36,0.72,,0.06666666666666667,0.8181818181818181
coin_change,google/gemini-2.5-flash,0.36,0.36,0.24,0.28,0.44,,0.26666666666666666,0.7777777777777779
coin_change,meta-llama/llama-3.1-8b-instruct,0.08,0.08,0.2,0.0,0.08,,0.06666666666666667,0.0
coin_change,openai/gpt-4o,0.4,0.4,0.24,0.04,0.72,,0.2,0.09999999999999999
coin_change,openai/o4-mini,1.0,1.0,1.0,1.0,1.0,,,1.0
shortest_path,anthropic/claude-sonnet-4,0.4,0.45454545454545453,0.6727272727272727,0.01818181818181818,0.8727272727272727,0.0,0.16,0.04545454545454545
shortest_path,google/gemini-2.5-flash,0.05454545454545454,0.5636363636363636,0.43636363636363634,0.38181818181818183,0.6727272727272727,0.02,0.18,7.000000000000001
shortest_path,meta-llama/llama-3.1-8b-instruct,0.05454545454545454,0.12727272727272726,0.01818181818181818,0.0,0.10909090909090909,0.0,0.08,0.0
shortest_path,openai/gpt-4o,0.5272727272727272,0.5818181818181818,0.10909090909090909,0.32727272727272727,0.5636363636363636,0.0,0.3,0.6206896551724138
shortest_path,openai/o4-mini,1.0,0.8,0.8,0.8,0.4,,,0.8
wis,anthropic/claude-sonnet-4,0.23333333333333334,0.2,0.16666666666666666,0.0,0.06666666666666667,,0.0,0.0
wis,google/gemini-2.5-flash,0.0,0.1,0.1,0.0,0.0,,0.0,
wis,meta-llama/llama-3.1-8b-instruct,0.03333333333333333,0.0,0.0,0.06666666666666667,0.0,,0.0,2.0
wis,openai/gpt-4o,0.26666666666666666,0.2,0.0,0.0,0.0,,0.0,0.0
wis,openai/o4-mini,1.0,1.0,1.0,0.0,1.0,,,0.0
