family,problem_id,model_short,p1_w3_drop,p1_w3_retention,p2_cci,p3_contam,triple_retrieval_agree,triple_computation_agree,triple_any_disagree
ALGO,CC_01,Claude,0.0,1.0,0.0,0.0,False,False,True
ALGO,CC_01,Gemini,0.0,1.0,0.0,0.0,False,False,True
ALGO,CC_01,Llama,0.0,,0.0,0.0,False,False,True
ALGO,CC_01,GPT-4o,1.0,0.0,0.6666666666666666,0.0,False,False,True
ALGO,CC_01,o4-mini,0.0,1.0,,0.0,False,False,True
ALGO,CC_02,Claude,0.0,1.0,0.3333333333333333,0.0,False,False,True
ALGO,CC_02,Gemini,0.0,1.0,0.3333333333333333,0.0,False,False,True
ALGO,CC_02,Llama,1.0,0.0,0.3333333333333333,0.0,False,False,True
ALGO,CC_02,GPT-4o,1.0,0.0,0.3333333333333333,0.0,False,False,True
ALGO,CC_02,o4-mini,0.0,1.0,,0.0,False,False,True
ALGO,CC_03,Claude,0.0,1.0,0.3333333333333333,0.0,False,False,True
ALGO,CC_03,Gemini,0.0,1.0,0.0,0.0,False,False,True
ALGO,CC_03,Llama,0.0,,0.0,0.0,False,False,True
ALGO,CC_03,GPT-4o,1.0,0.0,0.3333333333333333,0.0,False,False,True
ALGO,CC_03,o4-mini,0.0,1.0,,0.0,False,False,True
ALGO,CC_031,Claude,0.0,,,0.0,False,False,True
ALGO,CC_031,Gemini,1.0,0.0,,0.0,False,False,True
ALGO,CC_031,Llama,0.0,,,0.0,False,False,True
ALGO,CC_031,GPT-4o,1.0,0.0,,0.0,False,False,True
ALGO,CC_031,o4-mini,1.0,0.0,,0.0,False,False,True
ALGO,CC_032,Claude,0.0,,,0.0,False,False,True
ALGO,CC_032,Gemini,0.0,,,0.0,False,False,True
ALGO,CC_032,Llama,0.0,,,0.0,False,False,True
ALGO,CC_032,GPT-4o,0.0,,,0.0,False,False,True
ALGO,CC_032,o4-mini,0.0,1.0,,0.0,False,False,True
ALGO,CC_033,Claude,0.0,,,0.6875,False,False,True
ALGO,CC_033,Gemini,0.0,,,0.6875,False,False,True
ALGO,CC_033,Llama,0.0,,,0.6875,False,False,True
ALGO,CC_033,GPT-4o,0.0,,,0.6875,False,False,True
ALGO,CC_033,o4-mini,0.0,1.0,,0.6875,False,False,True
ALGO,CC_034,Claude,1.0,0.0,,0.0,False,False,True
ALGO,CC_034,Gemini,1.0,0.0,,0.0,False,False,True
ALGO,CC_034,Llama,0.0,,,0.0,False,False,True
ALGO,CC_034,GPT-4o,1.0,0.0,,0.0,False,False,True
ALGO,CC_034,o4-mini,1.0,0.0,,0.0,False,False,True
ALGO,CC_035,Claude,0.0,1.0,,0.6364,False,False,True
ALGO,CC_035,Gemini,0.0,,,0.6364,False,False,True
ALGO,CC_035,Llama,0.0,,,0.6364,False,False,True
ALGO,CC_035,GPT-4o,0.0,1.0,,0.6364,False,False,True
ALGO,CC_035,o4-mini,0.0,1.0,,0.6364,False,False,True
ALGO,CC_036,Claude,1.0,0.0,,0.6667,False,False,True
ALGO,CC_036,Gemini,0.0,,,0.6667,False,False,True
ALGO,CC_036,Llama,0.0,,,0.6667,False,False,True
ALGO,CC_036,GPT-4o,0.0,,,0.6667,False,False,True
ALGO,CC_036,o4-mini,1.0,0.0,,0.6667,False,False,True
ALGO,CC_037,Claude,0.0,,,0.5714,False,False,True
ALGO,CC_037,Gemini,0.0,,,0.5714,False,False,True
ALGO,CC_037,Llama,0.0,,,0.5714,False,False,True
ALGO,CC_037,GPT-4o,0.0,,,0.5714,False,False,True
ALGO,CC_037,o4-mini,1.0,0.0,,0.5714,False,False,True
ALGO,CC_038,Claude,0.0,,,0.5556,False,False,True
ALGO,CC_038,Gemini,1.0,0.0,,0.5556,False,False,True
ALGO,CC_038,Llama,0.0,,,0.5556,False,False,True
ALGO,CC_038,GPT-4o,1.0,0.0,,0.5556,False,False,True
ALGO,CC_038,o4-mini,1.0,0.0,,0.5556,False,False,True
ALGO,CC_039,Claude,0.0,,,0.0,False,False,True
ALGO,CC_039,Gemini,0.0,,,0.0,False,False,True
ALGO,CC_039,Llama,0.0,,,0.0,False,False,True
ALGO,CC_039,GPT-4o,0.0,,,0.0,False,False,True
ALGO,CC_039,o4-mini,0.0,1.0,,0.0,False,False,True
ALGO,CC_04,Claude,1.0,0.0,0.0,0.0,False,False,True
ALGO,CC_04,Gemini,0.0,,0.3333333333333333,0.0,False,False,True
ALGO,CC_04,Llama,0.0,,0.6666666666666666,0.0,False,False,True
ALGO,CC_04,GPT-4o,0.0,,0.6666666666666666,0.0,False,False,True
ALGO,CC_04,o4-mini,0.0,1.0,,0.0,False,False,True
ALGO,CC_040,Claude,0.0,,,0.0,False,False,True
ALGO,CC_040,Gemini,1.0,0.0,,0.0,False,False,True
ALGO,CC_040,Llama,0.0,,,0.0,False,False,True
ALGO,CC_040,GPT-4o,0.0,,,0.0,False,False,True
ALGO,CC_040,o4-mini,0.0,1.0,,0.0,False,False,True
ALGO,CC_041,Claude,1.0,0.0,,0.0,False,False,True
ALGO,CC_041,Gemini,0.0,,,0.0,False,False,True
ALGO,CC_041,Llama,0.0,,,0.0,False,False,True
ALGO,CC_041,GPT-4o,0.0,,,0.0,False,False,True
ALGO,CC_041,o4-mini,0.0,1.0,,0.0,False,False,True
ALGO,CC_042,Claude,0.0,,,0.5385,False,False,True
ALGO,CC_042,Gemini,0.0,,,0.5385,False,False,True
ALGO,CC_042,Llama,0.0,,,0.5385,False,False,True
ALGO,CC_042,GPT-4o,0.0,,,0.5385,False,False,True
ALGO,CC_042,o4-mini,0.0,1.0,,0.5385,False,False,True
ALGO,CC_043,Claude,0.0,,,0.0,False,False,True
ALGO,CC_043,Gemini,0.0,,,0.0,False,False,True
ALGO,CC_043,Llama,0.0,,,0.0,False,False,True
ALGO,CC_043,GPT-4o,0.0,,,0.0,False,False,True
ALGO,CC_043,o4-mini,1.0,0.0,,0.0,False,False,True
ALGO,CC_044,Claude,0.0,,,0.5,False,False,True
ALGO,CC_044,Gemini,0.0,,,0.5,False,False,True
ALGO,CC_044,Llama,0.0,,,0.5,False,False,True
ALGO,CC_044,GPT-4o,0.0,,,0.5,False,False,True
ALGO,CC_044,o4-mini,0.0,1.0,,0.5,False,False,True
ALGO,CC_045,Claude,0.0,,,0.4545,False,False,True
ALGO,CC_045,Gemini,0.0,,,0.4545,False,False,True
ALGO,CC_045,Llama,0.0,,,0.4545,False,False,True
ALGO,CC_045,GPT-4o,0.0,,,0.4545,False,False,True
ALGO,CC_045,o4-mini,0.0,1.0,,0.4545,False,False,True
ALGO,CC_05,Claude,0.0,1.0,0.6666666666666666,0.0,False,True,False
ALGO,CC_05,Gemini,0.0,1.0,0.0,0.0,False,False,True
ALGO,CC_05,Llama,0.0,,0.0,0.0,False,False,True
ALGO,CC_05,GPT-4o,1.0,0.0,0.3333333333333333,0.0,False,False,True
ALGO,CC_05,o4-mini,0.0,1.0,,0.0,False,False,True
ALGO,CC_06,Claude,0.0,,0.0,0.0,False,False,True
ALGO,CC_06,Gemini,0.0,,0.3333333333333333,0.0,False,False,True
ALGO,CC_06,Llama,0.0,,0.0,0.0,False,False,True
ALGO,CC_06,GPT-4o,1.0,0.0,0.3333333333333333,0.0,False,False,True
ALGO,CC_06,o4-mini,0.0,1.0,,0.0,False,False,True
ALGO,CC_07,Claude,0.0,1.0,0.3333333333333333,0.0,False,False,True
ALGO,CC_07,Gemini,0.0,1.0,0.3333333333333333,0.0,False,False,True
ALGO,CC_07,Llama,1.0,0.0,0.3333333333333333,0.0,False,False,True
ALGO,CC_07,GPT-4o,0.0,,0.0,0.0,False,False,True
ALGO,CC_07,o4-mini,0.0,1.0,,0.0,False,False,True
ALGO,CC_08,Claude,1.0,0.0,0.0,0.0,False,False,True
ALGO,CC_08,Gemini,0.0,,0.0,0.0,False,False,True
ALGO,CC_08,Llama,0.0,,0.3333333333333333,0.0,False,False,True
ALGO,CC_08,GPT-4o,1.0,0.0,0.3333333333333333,0.0,False,False,True
ALGO,CC_08,o4-mini,0.0,1.0,,0.0,False,False,True
ALGO,CC_09,Claude,0.0,,0.6666666666666666,0.0,False,False,True
ALGO,CC_09,Gemini,0.0,,0.0,0.0,False,False,True
ALGO,CC_09,Llama,0.0,,0.3333333333333333,0.0,False,False,True
ALGO,CC_09,GPT-4o,0.0,,0.6666666666666666,0.0,False,False,True
ALGO,CC_09,o4-mini,0.0,1.0,,0.0,False,False,True
ALGO,CC_10,Claude,0.0,,0.3333333333333333,0.0,False,False,True
ALGO,CC_10,Gemini,0.0,,0.3333333333333333,0.0,False,False,True
ALGO,CC_10,Llama,0.0,,0.0,0.0,False,False,True
ALGO,CC_10,GPT-4o,0.0,,0.3333333333333333,0.0,False,False,True
ALGO,CC_10,o4-mini,0.0,1.0,,0.0,False,False,True
ALGO,SP_001,Claude,0.0,,,0.0,False,False,True
ALGO,SP_001,Gemini,0.0,,,0.0,False,False,True
ALGO,SP_001,Llama,0.0,,,0.0,False,False,True
ALGO,SP_001,GPT-4o,0.0,,,0.0,False,False,True
ALGO,SP_001,o4-mini,0.0,1.0,,0.0,False,False,True
ALGO,SP_002,Claude,0.0,,,0.0,False,False,True
ALGO,SP_002,Gemini,1.0,0.0,,0.0,False,False,True
ALGO,SP_002,Llama,0.0,,,0.0,False,False,True
ALGO,SP_002,GPT-4o,0.0,,,0.0,False,False,True
ALGO,SP_002,o4-mini,0.0,1.0,,0.0,False,False,True
ALGO,SP_003,Claude,0.0,,0.0,0.0,False,False,True
ALGO,SP_003,Gemini,0.0,,0.0,0.0,False,False,True
ALGO,SP_003,Llama,0.0,,0.0,0.0,False,False,True
ALGO,SP_003,GPT-4o,0.0,,0.0,0.0,False,False,True
ALGO,SP_003,o4-mini,0.0,1.0,,0.0,False,False,True
ALGO,SP_004,Claude,1.0,0.0,0.3333333333333333,0.0,False,False,True
ALGO,SP_004,Gemini,0.0,,0.3333333333333333,0.0,False,False,True
ALGO,SP_004,Llama,1.0,0.0,0.0,0.0,False,False,True
ALGO,SP_004,GPT-4o,1.0,0.0,0.3333333333333333,0.0,False,False,True
ALGO,SP_004,o4-mini,0.0,1.0,,0.0,False,False,True
ALGO,SP_005,Claude,0.0,,0.3333333333333333,0.0,False,False,True
ALGO,SP_005,Gemini,0.0,,0.0,0.0,False,False,True
ALGO,SP_005,Llama,0.0,,0.0,0.0,False,False,True
ALGO,SP_005,GPT-4o,0.0,,0.0,0.0,False,False,True
ALGO,SP_005,o4-mini,1.0,0.0,,0.0,False,False,True
ALGO,SP_019,Claude,1.0,0.0,0.0,0.5,False,False,True
ALGO,SP_019,Gemini,1.0,0.0,0.3333333333333333,0.5,False,False,True
ALGO,SP_019,Llama,0.0,,0.3333333333333333,0.5,False,False,True
ALGO,SP_019,GPT-4o,0.0,,0.3333333333333333,0.5,False,False,True
ALGO,SP_019,o4-mini,0.0,1.0,,0.5,False,False,True
ALGO,SP_020,Claude,1.0,0.0,0.0,0.5,False,False,True
ALGO,SP_020,Gemini,0.0,1.0,0.0,0.5,False,False,True
ALGO,SP_020,Llama,0.0,,0.0,0.5,False,False,True
ALGO,SP_020,GPT-4o,0.0,,0.0,0.5,False,False,True
ALGO,SP_020,o4-mini,0.0,1.0,,0.5,False,False,True
ALGO,SP_021,Claude,0.0,,0.0,0.0,False,False,True
ALGO,SP_021,Gemini,1.0,0.0,0.0,0.0,False,False,True
ALGO,SP_021,Llama,0.0,,0.0,0.0,False,False,True
ALGO,SP_021,GPT-4o,0.0,,0.6666666666666666,0.0,False,False,True
ALGO,SP_021,o4-mini,0.0,1.0,,0.0,False,False,True
ALGO,SP_023,Claude,0.0,,0.3333333333333333,0.5,False,False,True
ALGO,SP_023,Gemini,0.0,1.0,0.6666666666666666,0.5,False,False,True
ALGO,SP_023,Llama,0.0,,0.0,0.5,False,False,True
ALGO,SP_023,GPT-4o,1.0,0.0,0.3333333333333333,0.5,False,False,True
ALGO,SP_023,o4-mini,0.0,1.0,,0.5,False,False,True
ALGO,SP_024,Claude,1.0,0.0,0.6666666666666666,0.0,False,False,True
ALGO,SP_024,Gemini,0.0,1.0,0.0,0.0,False,False,True
ALGO,SP_024,Llama,0.0,,0.3333333333333333,0.0,False,False,True
ALGO,SP_024,GPT-4o,0.0,1.0,0.6666666666666666,0.0,False,True,False
ALGO,SP_024,o4-mini,0.0,1.0,,0.0,False,False,True
ALGO,SP_026,Claude,1.0,0.0,0.0,0.0,False,False,True
