problem_id,model,in_paper_4model,problem_subtype,instance_type,VAR_canonical,VAR_W3,instance_contamination_score,ACI,greedy_succeeds,missing_core,missing_phase2,parse_failure_or_missing,instance_rank_pct,label,sig_w3,sig_cci,sig_contam,cci_present,vote_tuple,appendix_p75,appendix_floor,label_appendix,label_executed,pattern_kind
CC_01,Claude,True,coin_change,adversarial,1.0,1.0,0.0,0.0,False,False,False,False,0.345,mixed,1,-1,-1,True,"(1,-1,-1)",0.0,0.0,mixed,mixed,conflict_full
CC_02,Claude,True,coin_change,adversarial,1.0,1.0,0.0,0.3333333333333333,False,False,False,False,0.345,mixed,1,0,-1,True,"(1,0,-1)",0.0,0.0,mixed,mixed,conflict_partial
CC_03,Claude,True,coin_change,adversarial,1.0,1.0,0.0,0.3333333333333333,False,False,False,False,0.345,mixed,1,0,-1,True,"(1,0,-1)",0.0,0.0,mixed,mixed,conflict_partial
CC_04,Claude,True,coin_change,adversarial,1.0,0.0,0.0,0.0,True,False,False,False,0.345,mixed,-1,-1,-1,True,"(-1,-1,-1)",0.0,0.0,retrieval,mixed,unanimous_retrieval
CC_05,Claude,True,coin_change,adversarial,1.0,1.0,0.0,0.6666666666666666,False,False,False,False,0.345,computation,1,0,-1,True,"(1,0,-1)",0.0,0.0,mixed,computation,conflict_partial
CC_06,Claude,True,coin_change,adversarial,0.0,0.0,0.0,0.0,True,False,False,False,0.345,mixed,-1,-1,-1,True,"(-1,-1,-1)",0.0,0.0,retrieval,mixed,unanimous_retrieval
CC_07,Claude,True,coin_change,adversarial,1.0,1.0,0.0,0.3333333333333333,True,False,False,False,0.345,mixed,1,0,-1,True,"(1,0,-1)",0.0,0.0,mixed,mixed,conflict_partial
CC_08,Claude,True,coin_change,adversarial,1.0,0.0,0.0,0.0,False,False,False,False,0.345,mixed,-1,-1,-1,True,"(-1,-1,-1)",0.0,0.0,retrieval,mixed,unanimous_retrieval
CC_09,Claude,True,coin_change,adversarial,0.0,0.0,0.0,0.6666666666666666,True,False,False,False,0.345,mixed,-1,0,-1,True,"(-1,0,-1)",0.0,0.0,ambiguous,mixed,one_sided_or_neutral
CC_10,Claude,True,coin_change,adversarial,0.0,1.0,0.0,0.3333333333333333,True,False,False,False,0.345,mixed,1,0,-1,True,"(1,0,-1)",0.0,0.0,mixed,mixed,conflict_partial
SP_003,Claude,True,shortest_path,adversarial,0.0,0.0,0.0,0.0,True,False,False,False,0.3113636363636363,mixed,-1,-1,-1,True,"(-1,-1,-1)",0.0,0.0,retrieval,mixed,unanimous_retrieval
SP_004,Claude,True,shortest_path,adversarial,1.0,0.0,0.0,0.6666666666666666,True,False,False,False,0.3113636363636363,mixed,-1,0,-1,True,"(-1,0,-1)",0.0,0.0,ambiguous,mixed,one_sided_or_neutral
SP_005,Claude,True,shortest_path,adversarial,0.0,0.0,0.0,0.3333333333333333,True,False,False,False,0.3113636363636363,mixed,-1,0,-1,True,"(-1,0,-1)",0.0,0.0,ambiguous,mixed,one_sided_or_neutral
SP_019,Claude,True,shortest_path,adversarial,1.0,0.0,0.5,0.3333333333333333,True,False,False,False,0.7386363636363636,retrieval,-1,0,-1,True,"(-1,0,-1)",0.0,0.0,ambiguous,retrieval,one_sided_or_neutral
SP_020,Claude,True,shortest_path,adversarial,1.0,0.0,0.5,0.3333333333333333,True,False,False,False,0.7386363636363636,retrieval,-1,0,-1,True,"(-1,0,-1)",0.0,0.0,ambiguous,retrieval,one_sided_or_neutral
SP_021,Claude,True,shortest_path,adversarial,0.0,0.0,0.0,0.3333333333333333,True,False,False,False,0.3113636363636363,mixed,-1,0,-1,True,"(-1,0,-1)",0.0,0.0,ambiguous,mixed,one_sided_or_neutral
