problem_id,problem_subtype,byte_identical_text,identical_answer,canonical_gold_plan_length,w6_gold_plan_length,canonical_n_goal_towers,w6_n_goal_towers,canonical_naming_is_sequential,w6_naming_is_sequential,canonical_num_blocks,canonical_n_goal_clauses,canonical_goal_tower_depth,canonical_init_tower_depth,canonical_fd_optimal_plan_length,canonical_fd_status,w6_num_blocks,w6_n_goal_clauses,w6_goal_tower_depth,w6_init_tower_depth,w6_fd_optimal_plan_length,w6_fd_status,gold_plan_length_canonical,gold_plan_length_w6,Claude_canonical_correct,Claude_w6_correct,GPT-4o_canonical_correct,GPT-4o_w6_correct,Gemini_canonical_correct,Gemini_w6_correct,Llama_canonical_correct,Llama_w6_correct,o4-mini_canonical_correct,o4-mini_w6_correct,DeepSeek_canonical_correct,DeepSeek_w6_correct
BW_001,blocksworld,False,False,14,16,1,1,False,True,8,7,8,1,14,ok,9,9,9,1,16,ok,14,16,False,True,False,False,False,True,False,False,True,True,True,True
BW_002,blocksworld,False,False,12,12,1,1,False,False,7,6,7,1,12,ok,7,6,7,1,12,ok,12,12,False,False,False,False,True,False,False,False,True,True,True,True
BW_010,blocksworld,False,False,8,10,1,1,False,True,5,4,5,1,8,ok,6,6,6,1,10,ok,8,10,False,True,False,True,True,True,False,False,True,True,True,True
BW_011,blocksworld,False,False,18,20,1,1,False,True,10,9,10,1,18,ok,11,11,11,1,20,ok,18,20,False,True,False,False,False,True,False,False,True,True,False,True
BW_014,blocksworld,False,False,4,4,1,1,False,False,3,2,3,1,4,ok,3,2,3,1,4,ok,4,4,False,False,False,False,False,True,False,False,True,True,True,True
BW_022,blocksworld,False,False,8,8,1,1,False,False,5,4,5,1,8,ok,5,4,5,1,8,ok,8,8,False,False,False,True,True,True,False,False,True,True,True,True
BW_080,blocksworld,False,False,10,12,1,1,False,True,6,5,6,1,10,ok,7,7,7,1,12,ok,10,12,False,True,False,False,False,False,False,False,True,True,True,False
BW_120,blocksworld,False,False,6,8,1,1,False,True,4,3,4,1,6,ok,5,5,5,1,8,ok,6,8,False,True,False,False,True,False,False,False,True,True,True,True
BW_137,blocksworld,False,False,20,22,1,1,False,True,11,10,11,1,20,ok,12,12,12,1,22,ok,20,22,False,True,False,False,True,True,False,False,True,True,True,True
BW_155,blocksworld,False,False,8,10,1,1,False,True,5,4,5,1,8,ok,6,6,6,1,10,ok,8,10,False,True,False,False,False,False,False,False,True,True,True,True
BW_172,blocksworld,False,False,20,22,1,1,False,True,11,10,11,1,20,ok,12,12,12,1,22,ok,20,22,False,True,False,True,True,False,False,False,True,True,False,True
BW_203,blocksworld,False,False,6,6,1,1,False,False,4,3,4,1,6,ok,4,3,4,1,6,ok,6,6,True,False,False,False,True,False,False,False,True,True,True,True
BW_227,blocksworld,False,False,16,18,1,1,False,True,9,8,9,1,16,ok,10,10,10,1,18,ok,16,18,False,True,False,False,False,True,False,False,True,True,True,True
BW_282,blocksworld,False,False,8,8,1,1,False,False,5,4,5,1,8,ok,5,4,5,1,8,ok,8,8,False,False,False,False,False,False,False,False,True,True,True,True
BW_310,blocksworld,False,False,10,10,1,1,False,False,6,5,6,1,10,ok,6,5,6,1,10,ok,10,10,False,False,False,False,True,False,False,False,True,True,True,False
BW_331,blocksworld,False,False,4,4,1,1,False,False,3,2,3,1,4,ok,3,2,3,1,4,ok,4,4,False,True,False,True,False,False,False,False,True,True,True,True
BW_350,blocksworld,False,False,18,18,1,1,False,False,10,9,10,1,18,ok,10,9,10,1,18,ok,18,18,False,False,False,False,True,False,False,False,True,True,True,True
BW_408,blocksworld,False,False,14,14,1,1,False,False,8,7,8,1,14,ok,8,7,8,1,14,ok,14,14,False,False,False,False,False,False,False,False,True,True,True,True
BW_467,blocksworld,False,False,12,14,1,1,False,True,7,6,7,1,12,ok,8,8,8,1,14,ok,12,14,False,False,False,False,False,False,False,False,True,True,True,True
BW_495,blocksworld,False,False,8,8,1,1,False,False,5,4,5,1,8,ok,5,4,5,1,8,ok,8,8,False,True,False,False,False,False,False,False,True,True,True,True
BW_496,blocksworld,False,False,20,20,1,1,False,True,11,10,11,1,20,ok,11,11,11,1,20,ok,20,20,False,True,False,False,False,True,False,False,True,True,True,True
BW_497,blocksworld,False,False,4,4,1,1,False,True,3,2,3,1,4,ok,3,3,3,1,4,ok,4,4,False,True,False,True,True,True,False,True,True,True,True,True
