problem_id,family,subtype,model,canonical_accuracy,W3_accuracy,contamination_score,template_contamination_score,instance_contamination_score,VAR,model_short
CC_032,ALGO,coin_change,anthropic/claude-sonnet-4,0.0,1.0,0.1077,0.1077,0.0,1.0,claude-sonnet-4
CC_039,ALGO,coin_change,anthropic/claude-sonnet-4,0.0,1.0,0.1094,0.1094,0.0,1.0,claude-sonnet-4
CC_10,ALGO,coin_change,anthropic/claude-sonnet-4,0.0,1.0,0.1045,1.0,0.0,1.0,claude-sonnet-4
SP_002,ALGO,shortest_path,anthropic/claude-sonnet-4,0.0,1.0,0.0113,1.0,0.0,1.0,claude-sonnet-4
SP_027,ALGO,shortest_path,openai/gpt-4o,0.0,1.0,0.0538,0.0538,0.0,1.0,gpt-4o
SP_073,ALGO,shortest_path,openai/gpt-4o,0.0,1.0,0.0625,0.0625,0.0,1.0,gpt-4o
WIS_002,ALGO,wis,meta-llama/llama-3.1-8b-instruct,0.0,1.0,0.0411,0.0,0.0,1.0,llama-3.1-8b-instruct
WIS_017,ALGO,wis,meta-llama/llama-3.1-8b-instruct,0.0,1.0,0.0,0.0,0.0,1.0,llama-3.1-8b-instruct
BW_014,BW,blocksworld,anthropic/claude-sonnet-4,0.0,1.0,0.0455,0.0,0.1087,1.0,claude-sonnet-4
BW_331,BW,blocksworld,anthropic/claude-sonnet-4,0.0,1.0,0.0455,0.0,0.1087,1.0,claude-sonnet-4
BW_E100,BW,blocksworld,anthropic/claude-sonnet-4,0.0,1.0,0.039,0.0,0.1087,1.0,claude-sonnet-4
BW_014,BW,blocksworld,meta-llama/llama-3.1-8b-instruct,0.0,1.0,0.0455,0.0,0.1087,1.0,llama-3.1-8b-instruct
BW_282,BW,blocksworld,meta-llama/llama-3.1-8b-instruct,0.0,1.0,0.0411,0.0,0.0862,1.0,llama-3.1-8b-instruct
BW_310,BW,blocksworld,meta-llama/llama-3.1-8b-instruct,0.0,1.0,0.0395,0.0,0.0794,1.0,llama-3.1-8b-instruct
BW_331,BW,blocksworld,meta-llama/llama-3.1-8b-instruct,0.0,1.0,0.0455,0.0,0.1087,1.0,llama-3.1-8b-instruct
BW_350,BW,blocksworld,meta-llama/llama-3.1-8b-instruct,0.0,1.0,0.0331,0.0,0.0568,1.0,llama-3.1-8b-instruct
