problem_id,css,behavioral_model,contamination_score,problem_family,css_signal,contamination_signal,cci_signal,agreement,n_signals,diagnosis
BW_010,0.0,openai/gpt-4o,0.0411,planning_suite,retrieval,computation,,diverging,2,diverging
MBW_100,0.0,openai/gpt-4o,0.0439,planning_suite,retrieval,computation,,diverging,2,diverging
BW_155,0.0,openai/gpt-4o,0.0411,planning_suite,retrieval,computation,,diverging,2,diverging
BW_080,0.0,openai/gpt-4o,0.0392,planning_suite,retrieval,computation,,diverging,2,diverging
BW_172,0.0,openai/gpt-4o,0.0319,planning_suite,retrieval,computation,,diverging,2,diverging
BW_467,0.0,openai/gpt-4o,0.0375,planning_suite,retrieval,computation,,diverging,2,diverging
MBW_127,0.0,openai/gpt-4o,0.0424,planning_suite,retrieval,computation,,diverging,2,diverging
BW_120,0.5,openai/gpt-4o,0.0432,planning_suite,computation,computation,,converging,2,converging_computation
BW_137,0.0,openai/gpt-4o,0.0319,planning_suite,retrieval,computation,,diverging,2,diverging
BW_227,0.0,openai/gpt-4o,0.0345,planning_suite,retrieval,computation,,diverging,2,diverging
MBW_001,0.0,openai/gpt-4o,0.0385,planning_suite,retrieval,computation,,diverging,2,diverging
BW_011,0.0,openai/gpt-4o,0.0331,planning_suite,retrieval,computation,,diverging,2,diverging
MBW_10,0.0,openai/gpt-4o,0.0424,planning_suite,retrieval,computation,,diverging,2,diverging
MBW_185,0.0,openai/gpt-4o,0.0362,planning_suite,retrieval,computation,,diverging,2,diverging
BW_001,0.0,openai/gpt-4o,0.0359,planning_suite,retrieval,computation,,diverging,2,diverging
