defect,family,problem_id,model,variant,role,before,after,delta,source
ALGO_SP_W3_node_mapping,ALGO,SP_001,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_002,Claude,W3,perturbed,True,True,0.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_003,Claude,W3,perturbed,False,False,0.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_004,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_005,Claude,W3,perturbed,False,False,0.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_019,Claude,W3,perturbed,False,False,0.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_020,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_021,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_023,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_024,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_026,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_027,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_028,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_029,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_030,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_031,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_032,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_033,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_034,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_035,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_036,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_037,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_038,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_039,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_040,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_042,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_044,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_045,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_046,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_047,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_048,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_049,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_050,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
ALGO_SP_W3_node_mapping,ALGO,SP_051,Claude,W3,perturbed,False,True,1.0,ALGO_P1_behavioral_claude_rescored.csv
