model,subtype,metric_name,metric_value,n
anthropic/claude-3.7-sonnet,coin_change,VWC_VAR,-0.8085995080826246,10
anthropic/claude-3.7-sonnet,coin_change,VWC_CSS,-0.6360431018595892,10
anthropic/claude-3.7-sonnet,shortest_path,VWC_VAR,0.06375767130633382,5
anthropic/claude-3.7-sonnet,shortest_path,VWC_CSS,0.41442486349116986,5
anthropic/claude-3.7-sonnet,wis,VWC_VAR,,5
anthropic/claude-3.7-sonnet,wis,VWC_CSS,,5
meta-llama/llama-3.1-8b-instruct,coin_change,VWC_VAR,-0.3568732135731648,10
meta-llama/llama-3.1-8b-instruct,coin_change,VWC_CSS,,10
meta-llama/llama-3.1-8b-instruct,shortest_path,VWC_VAR,,5
meta-llama/llama-3.1-8b-instruct,shortest_path,VWC_CSS,,5
meta-llama/llama-3.1-8b-instruct,wis,VWC_VAR,,5
meta-llama/llama-3.1-8b-instruct,wis,VWC_CSS,,5
openai/gpt-4o,coin_change,VWC_VAR,-0.6881023532039755,10
openai/gpt-4o,coin_change,VWC_CSS,-0.6741998624632423,10
openai/gpt-4o,shortest_path,VWC_VAR,0.029934217004462495,5
openai/gpt-4o,shortest_path,VWC_CSS,-0.6232502388407515,5
openai/gpt-4o,wis,VWC_VAR,-0.08574929257125441,5
openai/gpt-4o,wis,VWC_CSS,-0.08574929257125442,5
