file,bytes,rows,models,n_problem_ids,family_guess
ALGO_P1_behavioral_claude.csv,895948,693,"anthropic/claude-sonnet-4,mock",110,ALGO
ALGO_P1_behavioral_gemini.csv,1368084,690,google/gemini-2.5-flash,110,ALGO
ALGO_P1_behavioral_gpt4o.csv,563763,710,openai/gpt-4o,110,ALGO
ALGO_P1_behavioral_llama.csv,1563641,712,"meta-llama/llama-3.1-8b-instruct,mock",110,ALGO
ALGO_P1_behavioral_o1mini.csv,193044,690,openai/o4-mini,110,ALGO
ALGO_P1_review_queue.csv,230034,319,"anthropic/claude-3.7-sonnet,anthropic/claude-sonnet-4,google/gemini-2.5-flash,meta-llama/llama-3.1-8b-instruct,mock,openai/gpt-4o,openai/o1-mini,openai/o4-mini",107,ALGO
ALGO_P2_phase1_claude_new.csv,210348,110,anthropic/claude-sonnet-4,110,ALGO
ALGO_P2_phase1_gemini.csv,168520,110,google/gemini-2.5-flash,110,ALGO
ALGO_P2_phase1_gpt4o.csv,37769,20,openai/gpt-4o,20,ALGO
ALGO_P2_phase1_gpt4o_new.csv,178396,110,openai/gpt-4o,110,ALGO
ALGO_P2_phase1_llama.csv,44639,20,meta-llama/llama-3.1-8b-instruct,20,ALGO
ALGO_P2_phase1_llama_new.csv,214588,110,meta-llama/llama-3.1-8b-instruct,110,ALGO
ALGO_P2_phase2_injected.csv,475370,905,"anthropic/claude-sonnet-4,google/gemini-2.5-flash,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o,openai/o4-mini",61,ALGO
ALGO_P2_phase2_injected_gemini.csv,82195,181,google/gemini-2.5-flash,61,ALGO
ALGO_P2_phase2_injected_implausible.csv,473587,905,"anthropic/claude-sonnet-4,google/gemini-2.5-flash,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o,openai/o4-mini",61,ALGO
ALGO_P2_phase2_normal.csv,2024830,2250,"anthropic/claude-sonnet-4,google/gemini-2.5-flash,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o,openai/o4-mini",110,ALGO
ALGO_P2_phase2_normal_elicited.csv,1656327,1443,"anthropic/claude-sonnet-4,google/gemini-2.5-flash,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o,openai/o4-mini",110,ALGO
ALGO_P2_phase2_normal_gemini.csv,158315,181,google/gemini-2.5-flash,61,ALGO
ALGO_P3_contamination.csv,80829,116,,110,ALGO
ALGO_P3_mechanistic.csv,5235,20,Qwen/Qwen2.5-0.5B-Instruct,20,ALGO
BW_P1_behavioral.csv,2167540,2760,"The answer is 42.,anthropic/claude-sonnet-4,deepseek/deepseek-r1-distill-llama-70b,meta-llama/llama-3.1-8b-instruct,mock,openai/gpt-4o",124,BW
BW_P1_behavioral_gemini.csv,207128,455,google/gemini-2.5-flash,65,BW
BW_P1_behavioral_o1mini.csv,169189,455,openai/o4-mini,65,BW
BW_P2_cci.csv,254786,150,"anthropic/claude-sonnet-4,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o",50,BW
BW_P2_cci_nl.csv,75545,150,"anthropic/claude-sonnet-4,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o",50,BW
BW_P2_plans.csv,103552,150,"anthropic/claude-sonnet-4,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o",50,BW
BW_P2_tep.csv,532387,536,"anthropic/claude-sonnet-4,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o",50,BW
BW_P3_contamination.csv,55688,65,,65,BW
BW_P3_mechanistic.csv,9051,35,Qwen/Qwen2.5-0.5B-Instruct,35,BW
GSM_P1_behavioral_claude.csv,222483,288,anthropic/claude-sonnet-4,44,GSM
GSM_P1_behavioral_gemini.csv,239924,288,google/gemini-2.5-flash,44,GSM
GSM_P1_behavioral_gpt4o.csv,137492,280,openai/gpt-4o,40,GSM
GSM_P1_behavioral_llama.csv,382109,280,meta-llama/llama-3.1-8b-instruct,40,GSM
GSM_P1_behavioral_o1mini.csv,92335,288,openai/o4-mini,44,GSM
GSM_P2_cci.csv,16662,176,"anthropic/claude-sonnet-4,google/gemini-2.5-flash,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o",44,GSM
GSM_P2_phase1_claude.csv,29021,44,anthropic/claude-sonnet-4,44,GSM
GSM_P2_phase1_gemini.csv,29889,44,google/gemini-2.5-flash,44,GSM
GSM_P2_phase1_gpt4o.csv,16819,44,openai/gpt-4o,44,GSM
GSM_P2_phase1_llama.csv,91813,44,meta-llama/llama-3.1-8b-instruct,44,GSM
GSM_P2_phase1_o1mini.csv,25007,44,openai/o4-mini,44,GSM
GSM_P3_contamination.csv,14913,44,,44,GSM
GSM_P3_mechanistic.csv,1612,20,Qwen/Qwen2.5-0.5B-Instruct,20,GSM
MBW_P2_cci_nl.csv,24307,45,"anthropic/claude-sonnet-4,meta-llama/llama-3.1-8b-instruct,openai/gpt-4o",15,
mechanistic_sweep_7b.csv,74103,268,Qwen/Qwen2.5-7B-Instruct,268,
mechanistic_sweep_7b_base_rawqa.csv,311361,398,Qwen/Qwen2.5-7B,398,
mechanistic_sweep_7b_rawprompt.csv,74103,268,Qwen/Qwen2.5-7B-Instruct,268,
