problem_id,model,contamination_pole,difficulty,phase1_steps_json,phase1_final_answer,phase1_parseable,cci_score,cci_matched,cci_total,inject_at_step,injected_value,true_value_at_injection,tep_score,tep_diverged_steps,tep_total_steps,session_b_correct,correct_answer
GSM_001,anthropic/claude-sonnet-4,high,medium,"[{""step"": 1, ""description"": ""Cost for first 20 minutes at $0.9 per minute"", ""value"": 20.0}, {""step"": 2, ""description"": ""Remaining minutes after first 20 minutes"", ""value"": 86.0}, {""step"": 3, ""description"": ""Cost for remaining 66 minutes at $0.5 per minute"", ""value"": 66.0}, {""step"": 4, ""description"": ""Total cost"", ""value"": 18.0}]",51.0,True,0.2500,1,4,2,98.9,86.0,0.0000,0,2,True,51
GSM_002,anthropic/claude-sonnet-4,high,easy,"[{""step"": 1, ""description"": ""Number of girls in the park"", ""value"": 18.0}, {""step"": 2, ""description"": ""Two-thirds of the number of girls = (2/3) \u00d7 18"", ""value"": 12.0}, {""step"": 3, ""description"": ""Number of boys in the park"", ""value"": 12.0}, {""step"": 4, ""description"": ""Total number of kids = Number of girls + Number of boys"", ""value"": 18.0}]",30.0,True,0.7500,3,4,2,13.8,12.0,0.0000,0,2,True,30
GSM_003,anthropic/claude-sonnet-4,high,medium,"[{""step"": 1, ""description"": ""Number of purple cards"", ""value"": 30.0}, {""step"": 2, ""description"": ""50% more yellow cards than purple means yellow cards = purple cards + (50% of purple cards)"", ""value"": 30.0}, {""step"": 3, ""description"": ""Sum of purple and yellow cards"", ""value"": 30.0}, {""step"": 4, ""description"": ""Number of blue cards = sum of purple and yellow cards"", ""value"": 75.0}, {""step"": 5, ""description"": ""Total cards of all mentioned colors = purple cards + yellow cards + blue cards"", ""value"": 30.0}]",150.0,True,0.6000,3,5,2,34.5,30.0,0.0000,0,3,True,150
GSM_004,anthropic/claude-sonnet-4,high,easy,"[{""step"": 1, ""description"": ""Calculate days worked per month"", ""value"": 2.0}, {""step"": 2, ""description"": ""Calculate months in a year"", ""value"": 12.0}, {""step"": 3, ""description"": ""Calculate total days worked per year"", ""value"": 12.0}, {""step"": 5, ""description"": ""Calculate annual earnings"", ""value"": 144.0}]",,False,0.5000,2,4,2,13.8,12.0,1.0000,2,2,False,21600
GSM_005,anthropic/claude-sonnet-4,high,hard,"[{""step"": 1, ""description"": ""Calculate number of classes Liam takes per day"", ""value"": 6.0}, {""step"": 2, ""description"": ""Calculate minutes per day in classes"", ""value"": 7.0}, {""step"": 3, ""description"": ""Calculate total minutes in classes per week"", ""value"": 420.0}, {""step"": 4, ""description"": ""Calculate weekly minutes spent on extra learning"", ""value"": 1.0}, {""step"": 5, ""description"": ""Calculate extra learning time on Saturday"", ""value"": 360.0}, {""step"": 6, ""description"": ""Calculate extra learning time on Sunday"", ""value"": 360.0}, {""step"": 7, ""description"": ""Calculate total extra learning time on weekends"", ""value"": 360.0}, {""step"": 8, ""description"": ""Calculate total weekly learning minutes"", ""value"": 2520.0}, {""step"": 9, ""description"": ""Convert total minutes to hours"", ""value"": 3240.0}]",54.0,True,0.0000,0,9,4,1.15,1.0,1.0000,5,5,True,54
GSM_006,anthropic/claude-sonnet-4,high,medium,"[{""step"": 2, ""description"": ""Calculate total initial investment"", ""value"": 10.0}, {""step"": 7, ""description"": ""Calculate final value of all shares"", ""value"": 10.0}]",,False,0.0000,0,2,1,11.5,10.0,1.0000,1,1,False,546
GSM_007,anthropic/claude-sonnet-4,high,hard,"[{""step"": 1, ""description"": ""Calculate total rental time"", ""value"": 5.0}, {""step"": 2, ""description"": ""Calculate paid hours"", ""value"": 4.0}, {""step"": 4, ""description"": ""Calculate cost of second paid hour"", ""value"": 2.0}]",30.0,True,0.0000,0,3,1,5.75,5.0,1.0000,2,2,True,30
GSM_008,anthropic/claude-sonnet-4,high,medium,"[{""step"": 1, ""description"": ""Initial number of infected people"", ""value"": 16.0}, {""step"": 2, ""description"": ""New infections on day 1"", ""value"": 16.0}, {""step"": 3, ""description"": ""Total infected after day 1"", ""value"": 16.0}, {""step"": 4, ""description"": ""New infections on day 2"", ""value"": 64.0}, {""step"": 5, ""description"": ""Total infected after day 2"", ""value"": 64.0}, {""step"": 6, ""description"": ""New infections on day 3"", ""value"": 256.0}, {""step"": 7, ""description"": ""Total infected after day 3"", ""value"": 256.0}]",1024.0,True,0.2857,2,7,3,18.4,16.0,1.0000,4,4,True,1024
GSM_009,anthropic/claude-sonnet-4,high,medium,"[{""step"": 1, ""description"": ""Calculate eggs eaten in first 84 days"", ""value"": 5.0}, {""step"": 2, ""description"": ""Calculate eggs eaten in next 24 days"", ""value"": 7.0}, {""step"": 3, ""description"": ""Calculate total eggs eaten"", ""value"": 420.0}, {""step"": 4, ""description"": ""Convert total eggs to dozens"", ""value"": 588.0}]",49.0,True,0.0000,0,4,2,8.05,7.0,1.0000,2,2,True,49
GSM_010,anthropic/claude-sonnet-4,medium,medium,"[{""step"": 1, ""description"": ""Kernels popping in first 30 seconds"", ""value"": 60.0}, {""step"": 2, ""description"": ""Kernels popping in second 30 seconds"", ""value"": 4.0}, {""step"": 3, ""description"": ""Kernels popping in third 30 seconds"", ""value"": 6.0}, {""step"": 4, ""description"": ""Kernels popping in fourth 30 seconds"", ""value"": 360.0}, {""step"": 5, ""description"": ""Kernels popping after heat is off"", ""value"": 180.0}, {""step"": 6, ""description"": ""Total kernels popped"", ""value"": 60.0}]",885.0,True,0.1667,1,6,3,6.9,6.0,0.0000,0,3,True,885
GSM_011,anthropic/claude-sonnet-4,medium,medium,"[{""step"": 1, ""description"": ""Calculate water used for giant cubes"", ""value"": 8.0}, {""step"": 2, ""description"": ""Calculate water used for small cubes"", ""value"": 15.0}, {""step"": 3, ""description"": ""Calculate water used for medium cubes"", ""value"": 13.0}, {""step"": 4, ""description"": ""Calculate total water used"", ""value"": 96.0}, {""step"": 5, ""description"": ""Calculate water remaining"", ""value"": 328.0}]",86.0,True,0.2000,1,5,2,17.25,15.0,0.6667,2,3,True,86
GSM_012,anthropic/claude-sonnet-4,medium,medium,"[{""step"": 1, ""description"": ""Calculate initial plants on window ledges"", ""value"": 7.0}, {""step"": 2, ""description"": ""Add new plants received two days ago"", ""value"": 364.0}, {""step"": 3, ""description"": ""Calculate total plants to give away"", ""value"": 6.0}, {""step"": 4, ""description"": ""Calculate remaining plants after giving some away"", ""value"": 393.0}]",81.0,True,0.2500,1,4,2,418.6,364.0,0.5000,1,2,True,81
GSM_013,anthropic/claude-sonnet-4,medium,medium,"[{""step"": 1, ""description"": ""Beach distance"", ""value"": 12.0}, {""step"": 2, ""description"": ""Sidewalk distance"", ""value"": 12.0}, {""step"": 3, ""description"": ""Time spent on beach"", ""value"": 60.0}, {""step"": 4, ""description"": ""Beach speed"", ""value"": 12.0}, {""step"": 5, ""description"": ""Sidewalk speed"", ""value"": 2.0}, {""step"": 6, ""description"": ""Time spent on sidewalk"", ""value"": 12.0}, {""step"": 7, ""description"": ""Total time = time on beach + time on sidewalk"", ""value"": 60.0}]",90.0,True,0.2857,2,7,3,69.0,60.0,1.0000,4,4,True,90
