problem_id,model,family,subtype,VAR,acc_canonical,acc_W1,acc_W2,acc_W3,acc_W4,acc_W5,acc_W6
BW_001,anthropic/claude-sonnet-4,BW,blocksworld,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BW_001,meta-llama/llama-3.1-8b-instruct,BW,blocksworld,0.0,,,,,,,0.0
BW_001,openai/gpt-4o,BW,blocksworld,0.0,,,,,,,0.0
BW_002,anthropic/claude-sonnet-4,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BW_002,meta-llama/llama-3.1-8b-instruct,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_002,openai/gpt-4o,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_010,anthropic/claude-sonnet-4,BW,blocksworld,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
BW_010,meta-llama/llama-3.1-8b-instruct,BW,blocksworld,0.0,,,,,,,0.0
BW_010,openai/gpt-4o,BW,blocksworld,0.0,,,,,,,1.0
BW_011,anthropic/claude-sonnet-4,BW,blocksworld,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BW_011,meta-llama/llama-3.1-8b-instruct,BW,blocksworld,0.0,,,,,,,0.0
BW_011,openai/gpt-4o,BW,blocksworld,0.0,,,,,,,0.0
BW_014,anthropic/claude-sonnet-4,BW,blocksworld,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
BW_014,meta-llama/llama-3.1-8b-instruct,BW,blocksworld,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BW_014,openai/gpt-4o,BW,blocksworld,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
BW_022,anthropic/claude-sonnet-4,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BW_022,meta-llama/llama-3.1-8b-instruct,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_022,openai/gpt-4o,BW,blocksworld,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
BW_080,anthropic/claude-sonnet-4,BW,blocksworld,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BW_080,meta-llama/llama-3.1-8b-instruct,BW,blocksworld,0.0,,,,,,,0.0
BW_080,openai/gpt-4o,BW,blocksworld,0.0,,,,,,,0.0
BW_120,anthropic/claude-sonnet-4,BW,blocksworld,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BW_120,meta-llama/llama-3.1-8b-instruct,BW,blocksworld,0.0,,,,,,,0.0
BW_120,openai/gpt-4o,BW,blocksworld,0.0,,,,,,,0.0
BW_137,anthropic/claude-sonnet-4,BW,blocksworld,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BW_137,meta-llama/llama-3.1-8b-instruct,BW,blocksworld,0.0,,,,,,,0.0
BW_137,openai/gpt-4o,BW,blocksworld,0.0,,,,,,,0.0
BW_155,anthropic/claude-sonnet-4,BW,blocksworld,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BW_155,meta-llama/llama-3.1-8b-instruct,BW,blocksworld,0.0,,,,,,,0.0
BW_155,openai/gpt-4o,BW,blocksworld,0.0,,,,,,,0.0
BW_172,anthropic/claude-sonnet-4,BW,blocksworld,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BW_172,meta-llama/llama-3.1-8b-instruct,BW,blocksworld,0.0,,,,,,,0.0
BW_172,openai/gpt-4o,BW,blocksworld,0.0,,,,,,,1.0
BW_203,anthropic/claude-sonnet-4,BW,blocksworld,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
BW_203,meta-llama/llama-3.1-8b-instruct,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_203,openai/gpt-4o,BW,blocksworld,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
