model,subtype,implausible,plausible,plausible_minus_implausible
Claude,coin_change,0.1,0.2,0.1
Claude,shortest_path,0.5294117647058824,0.5294117647058824,0.0
Claude,wis,0.7647058823529411,0.7058823529411765,-0.05882352941176461
GPT-4o,coin_change,0.4,0.3,-0.10000000000000003
GPT-4o,shortest_path,0.4411764705882353,0.38235294117647056,-0.05882352941176472
GPT-4o,wis,0.8823529411764706,0.8823529411764706,0.0
Gemini,coin_change,0.0,0.0,0.0
Gemini,shortest_path,0.11764705882352941,0.14705882352941177,0.02941176470588236
Gemini,wis,0.7647058823529411,0.8235294117647058,0.05882352941176472
Llama,coin_change,0.0,0.3,0.3
Llama,shortest_path,0.08823529411764706,0.14705882352941177,0.058823529411764705
Llama,wis,0.7647058823529411,0.35294117647058826,-0.41176470588235287
o4-mini,coin_change,0.9,0.6,-0.30000000000000004
o4-mini,shortest_path,0.058823529411764705,0.058823529411764705,0.0
o4-mini,wis,0.8823529411764706,0.8823529411764706,0.0
