problem_id,ms,family,subtype,acc_canonical,acc_W1,acc_W2,acc_W3,acc_W4,acc_W5,acc_W6
BW_001,claude,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BW_001,llama,BW,blocksworld,,,,,,,0.0
BW_001,gpt4o,BW,blocksworld,,,,,,,0.0
BW_002,claude,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BW_002,llama,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_002,gpt4o,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_010,claude,BW,blocksworld,0.0,0.0,1.0,0.0,0.0,1.0,1.0
BW_010,llama,BW,blocksworld,,,,,,,0.0
BW_010,gpt4o,BW,blocksworld,,,,,,,1.0
BW_011,claude,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BW_011,llama,BW,blocksworld,,,,,,,0.0
BW_011,gpt4o,BW,blocksworld,,,,,,,0.0
BW_014,claude,BW,blocksworld,0.0,0.0,0.0,1.0,0.0,1.0,0.0
BW_014,llama,BW,blocksworld,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BW_014,gpt4o,BW,blocksworld,0.0,0.0,0.0,0.0,1.0,1.0,0.0
BW_022,claude,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BW_022,llama,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_022,gpt4o,BW,blocksworld,0.0,0.0,0.0,1.0,0.0,0.0,1.0
BW_080,claude,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BW_080,llama,BW,blocksworld,,,,,,,0.0
BW_080,gpt4o,BW,blocksworld,,,,,,,0.0
BW_120,claude,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BW_120,llama,BW,blocksworld,,,,,,,0.0
BW_120,gpt4o,BW,blocksworld,,,,,,,0.0
BW_137,claude,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BW_137,llama,BW,blocksworld,,,,,,,0.0
BW_137,gpt4o,BW,blocksworld,,,,,,,0.0
BW_155,claude,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BW_155,llama,BW,blocksworld,,,,,,,0.0
BW_155,gpt4o,BW,blocksworld,,,,,,,0.0
BW_172,claude,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BW_172,llama,BW,blocksworld,,,,,,,0.0
BW_172,gpt4o,BW,blocksworld,,,,,,,1.0
BW_203,claude,BW,blocksworld,1.0,0.0,0.0,0.0,0.0,1.0,0.0
BW_203,llama,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_203,gpt4o,BW,blocksworld,0.0,0.0,0.0,1.0,1.0,1.0,0.0
BW_227,claude,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BW_227,llama,BW,blocksworld,,,,,,,0.0
BW_227,gpt4o,BW,blocksworld,,,,,,,0.0
BW_282,claude,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BW_282,llama,BW,blocksworld,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BW_282,gpt4o,BW,blocksworld,0.0,0.0,0.0,1.0,0.0,1.0,0.0
BW_310,claude,BW,blocksworld,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BW_310,llama,BW,blocksworld,0.0,0.0,0.0,1.0,0.0,0.0,0.0
