problem_id,model,family,subtype,VAR,acc_canonical,acc_W1,acc_W2,acc_W3,acc_W4,acc_W5,acc_W6
CC_01,openai/o4-mini,ALGO,coin_change,0.0,1.0,1.0,1.0,1.0,1.0,,
CC_02,openai/o4-mini,ALGO,coin_change,0.0,1.0,1.0,1.0,1.0,1.0,,
CC_03,openai/o4-mini,ALGO,coin_change,0.0,1.0,1.0,1.0,1.0,1.0,,
CC_04,openai/o4-mini,ALGO,coin_change,0.0,1.0,1.0,1.0,1.0,1.0,,
CC_05,openai/o4-mini,ALGO,coin_change,0.0,1.0,1.0,1.0,1.0,1.0,,
CC_06,openai/o4-mini,ALGO,coin_change,0.0,1.0,1.0,1.0,1.0,1.0,,
CC_07,openai/o4-mini,ALGO,coin_change,0.0,1.0,1.0,1.0,1.0,1.0,,
CC_08,openai/o4-mini,ALGO,coin_change,0.0,1.0,1.0,1.0,1.0,1.0,,
CC_09,openai/o4-mini,ALGO,coin_change,0.0,1.0,1.0,1.0,1.0,1.0,,
CC_10,openai/o4-mini,ALGO,coin_change,0.0,1.0,1.0,1.0,1.0,1.0,,
SP_001,openai/o4-mini,ALGO,shortest_path,1.0,1.0,1.0,1.0,1.0,0.0,,
SP_002,openai/o4-mini,ALGO,shortest_path,1.0,1.0,1.0,1.0,1.0,0.0,,
SP_003,openai/o4-mini,ALGO,shortest_path,1.0,1.0,0.0,1.0,1.0,1.0,,
SP_004,openai/o4-mini,ALGO,shortest_path,0.0,1.0,1.0,1.0,1.0,1.0,,
SP_005,openai/o4-mini,ALGO,shortest_path,1.0,1.0,1.0,0.0,0.0,0.0,,
WIS_001,openai/o4-mini,ALGO,wis,1.0,1.0,1.0,1.0,0.0,1.0,,
WIS_002,openai/o4-mini,ALGO,wis,1.0,1.0,1.0,1.0,0.0,1.0,,
WIS_003,openai/o4-mini,ALGO,wis,1.0,1.0,1.0,1.0,0.0,1.0,,
WIS_004,openai/o4-mini,ALGO,wis,1.0,1.0,1.0,1.0,0.0,1.0,,
WIS_005,openai/o4-mini,ALGO,wis,1.0,1.0,1.0,1.0,0.0,1.0,,
