mode,model_short,subtype,inj_reasoning_type,critical_step,n,post_ok_rate
implausible,Claude,shortest_path,unclear,0,28,0.5714285714285714
implausible,Claude,wis,local_greedy,0,13,0.8461538461538461
implausible,Claude,coin_change,forward_simulation,0,4,0.25
implausible,Claude,coin_change,local_greedy,0,4,0.0
implausible,Claude,wis,unclear,0,3,0.6666666666666666
implausible,Claude,shortest_path,algorithm_invocation,0,2,0.5
implausible,Claude,shortest_path,forward_simulation,0,2,0.5
implausible,Claude,coin_change,local_greedy,2,1,0.0
implausible,Claude,coin_change,local_greedy,3,1,0.0
implausible,Claude,shortest_path,local_greedy,1,1,0.0
implausible,Claude,shortest_path,unclear,1,1,0.0
implausible,Claude,wis,local_greedy,1,1,0.0
implausible,GPT-4o,shortest_path,unclear,0,28,0.5
implausible,GPT-4o,wis,local_greedy,0,16,0.9375
implausible,GPT-4o,coin_change,unclear,0,5,0.4
implausible,GPT-4o,shortest_path,local_greedy,0,3,0.3333333333333333
implausible,GPT-4o,coin_change,local_greedy,0,2,0.5
implausible,GPT-4o,shortest_path,unclear,1,2,0.0
implausible,GPT-4o,coin_change,forward_simulation,0,1,1.0
implausible,GPT-4o,coin_change,local_greedy,3,1,0.0
implausible,GPT-4o,coin_change,unclear,2,1,0.0
implausible,GPT-4o,shortest_path,forward_simulation,0,1,0.0
implausible,GPT-4o,wis,local_greedy,1,1,0.0
implausible,Gemini,shortest_path,unclear,0,28,0.14285714285714285
implausible,Gemini,wis,unclear,0,9,0.7777777777777778
implausible,Gemini,coin_change,local_greedy,0,7,0.0
implausible,Gemini,wis,local_greedy,0,6,0.8333333333333334
implausible,Gemini,shortest_path,forward_simulation,0,2,0.0
implausible,Gemini,shortest_path,local_greedy,0,2,0.0
implausible,Gemini,shortest_path,unclear,1,2,0.0
implausible,Gemini,coin_change,local_greedy,2,1,0.0
implausible,Gemini,coin_change,local_greedy,3,1,0.0
implausible,Gemini,coin_change,unclear,0,1,0.0
implausible,Gemini,wis,forward_simulation,0,1,1.0
implausible,Gemini,wis,local_greedy,1,1,0.0
implausible,Llama,shortest_path,unclear,0,21,0.14285714285714285
implausible,Llama,shortest_path,local_greedy,0,7,0.0
implausible,Llama,wis,local_greedy,0,7,0.8571428571428571
implausible,Llama,wis,unclear,0,7,0.7142857142857143
implausible,Llama,coin_change,local_greedy,0,5,0.0
implausible,Llama,shortest_path,forward_simulation,0,4,0.0
implausible,Llama,coin_change,unclear,0,3,0.0
implausible,Llama,wis,forward_simulation,0,2,1.0
implausible,Llama,coin_change,local_greedy,2,1,0.0
implausible,Llama,coin_change,local_greedy,3,1,0.0
implausible,Llama,shortest_path,local_greedy,1,1,0.0
implausible,Llama,shortest_path,unclear,1,1,0.0
implausible,Llama,wis,unclear,1,1,0.0
implausible,o4-mini,shortest_path,local_greedy,0,30,0.03333333333333333
implausible,o4-mini,wis,local_greedy,0,8,0.875
implausible,o4-mini,wis,unclear,0,8,1.0
implausible,o4-mini,coin_change,forward_simulation,0,5,1.0
implausible,o4-mini,coin_change,unclear,0,3,1.0
implausible,o4-mini,shortest_path,local_greedy,1,2,0.0
implausible,o4-mini,coin_change,local_greedy,2,1,0.0
implausible,o4-mini,coin_change,local_greedy,3,1,1.0
implausible,o4-mini,shortest_path,forward_simulation,0,1,0.0
implausible,o4-mini,shortest_path,unclear,0,1,1.0
implausible,o4-mini,wis,unclear,1,1,0.0
plausible,Claude,shortest_path,unclear,0,27,0.6296296296296297
plausible,Claude,wis,local_greedy,0,12,0.75
plausible,Claude,coin_change,forward_simulation,0,4,0.5
plausible,Claude,coin_change,local_greedy,0,4,0.0
plausible,Claude,shortest_path,algorithm_invocation,0,3,0.3333333333333333
plausible,Claude,wis,unclear,0,3,0.6666666666666666
plausible,Claude,shortest_path,local_greedy,0,2,0.0
plausible,Claude,shortest_path,unclear,1,2,0.0
plausible,Claude,coin_change,local_greedy,2,1,0.0
plausible,Claude,coin_change,local_greedy,3,1,0.0
plausible,Claude,wis,forward_simulation,0,1,1.0
plausible,Claude,wis,local_greedy,1,1,0.0
plausible,GPT-4o,shortest_path,unclear,0,29,0.3793103448275862
plausible,GPT-4o,wis,local_greedy,0,13,0.9230769230769231
plausible,GPT-4o,coin_change,local_greedy,0,6,0.3333333333333333
plausible,GPT-4o,wis,unclear,0,3,1.0
plausible,GPT-4o,shortest_path,forward_simulation,0,2,1.0
plausible,GPT-4o,coin_change,forward_simulation,0,1,0.0
plausible,GPT-4o,coin_change,local_greedy,2,1,0.0
plausible,GPT-4o,coin_change,unclear,0,1,1.0
plausible,GPT-4o,coin_change,unclear,3,1,0.0
plausible,GPT-4o,shortest_path,forward_simulation,1,1,0.0
plausible,GPT-4o,shortest_path,local_greedy,0,1,0.0
plausible,GPT-4o,shortest_path,unclear,1,1,0.0
plausible,GPT-4o,wis,unclear,1,1,0.0
plausible,Gemini,shortest_path,unclear,0,26,0.15384615384615385
plausible,Gemini,wis,unclear,0,8,0.875
plausible,Gemini,wis,local_greedy,0,7,0.8571428571428571
plausible,Gemini,coin_change,local_greedy,0,6,0.0
plausible,Gemini,shortest_path,forward_simulation,0,4,0.0
plausible,Gemini,coin_change,forward_simulation,0,2,0.0
plausible,Gemini,shortest_path,local_greedy,0,2,0.5
plausible,Gemini,shortest_path,unclear,1,2,0.0
plausible,Gemini,coin_change,local_greedy,2,1,0.0
plausible,Gemini,coin_change,local_greedy,3,1,0.0
plausible,Gemini,wis,forward_simulation,0,1,1.0
plausible,Gemini,wis,local_greedy,1,1,0.0
plausible,Llama,shortest_path,unclear,0,20,0.1
plausible,Llama,wis,unclear,0,8,0.5
plausible,Llama,wis,local_greedy,0,7,0.2857142857142857
plausible,Llama,shortest_path,forward_simulation,0,6,0.5
plausible,Llama,shortest_path,local_greedy,0,6,0.0
plausible,Llama,coin_change,local_greedy,0,4,0.25
plausible,Llama,coin_change,unclear,0,3,0.3333333333333333
plausible,Llama,coin_change,forward_simulation,0,1,1.0
plausible,Llama,coin_change,forward_simulation,2,1,0.0
plausible,Llama,coin_change,local_greedy,3,1,0.0
plausible,Llama,shortest_path,forward_simulation,1,1,0.0
plausible,Llama,shortest_path,local_greedy,1,1,0.0
plausible,Llama,wis,forward_simulation,0,1,0.0
