family,scope,model,vote_signal,fire_rate,n_instances
ALGO,family,(all),p3_contam_low,0.7181818181818181,550
ALGO,family,(all),p2_impl_fail,0.32727272727272727,550
ALGO,family,(all),p1_rename_fragile,0.2581818181818182,550
ALGO,family,(all),p1_vri_high,0.2581818181818182,550
ALGO,family,(all),p2_impl_recovery,0.22727272727272727,550
ALGO,family,(all),p1_w3_keep,0.20363636363636364,550
ALGO,family,(all),p1_multi_variant,0.2,550
ALGO,family,(all),p2_crit_step,0.19272727272727272,550
ALGO,family,(all),p2_cci_retr,0.15818181818181817,550
ALGO,family,(all),p2_cci_comp,0.08545454545454545,550
ALGO,family,(all),p2_match_first,0.03636363636363636,550
ALGO,family,(all),p3_contam_high,0.02727272727272727,550
ALGO,family,(all),p3_depth_high,0.0,550
ALGO,model,Claude,p3_contam_low,0.7181818181818181,110
ALGO,model,Claude,p2_crit_step,0.3181818181818182,110
ALGO,model,Claude,p1_rename_fragile,0.3090909090909091,110
ALGO,model,Claude,p1_vri_high,0.3090909090909091,110
ALGO,model,Claude,p2_impl_recovery,0.2909090909090909,110
ALGO,model,Claude,p2_impl_fail,0.2636363636363636,110
ALGO,model,Claude,p2_cci_comp,0.15454545454545454,110
ALGO,model,Claude,p2_cci_retr,0.15454545454545454,110
ALGO,model,Claude,p2_match_first,0.06363636363636363,110
ALGO,model,Claude,p1_w3_keep,0.05454545454545454,110
ALGO,model,Claude,p1_multi_variant,0.05454545454545454,110
ALGO,model,Claude,p3_contam_high,0.02727272727272727,110
ALGO,model,Claude,p3_depth_high,0.0,110
ALGO,model,GPT-4o,p3_contam_low,0.7181818181818181,110
ALGO,model,GPT-4o,p2_impl_recovery,0.3090909090909091,110
ALGO,model,GPT-4o,p2_crit_step,0.2909090909090909,110
ALGO,model,GPT-4o,p1_rename_fragile,0.2727272727272727,110
ALGO,model,GPT-4o,p1_vri_high,0.2727272727272727,110
ALGO,model,GPT-4o,p2_impl_fail,0.24545454545454545,110
ALGO,model,GPT-4o,p2_cci_retr,0.16363636363636364,110
ALGO,model,GPT-4o,p1_w3_keep,0.15454545454545454,110
ALGO,model,GPT-4o,p1_multi_variant,0.14545454545454545,110
ALGO,model,GPT-4o,p2_cci_comp,0.07272727272727272,110
ALGO,model,GPT-4o,p2_match_first,0.05454545454545454,110
ALGO,model,GPT-4o,p3_contam_high,0.02727272727272727,110
ALGO,model,GPT-4o,p3_depth_high,0.0,110
ALGO,model,Gemini,p3_contam_low,0.7181818181818181,110
ALGO,model,Gemini,p2_impl_fail,0.4,110
ALGO,model,Gemini,p1_rename_fragile,0.2636363636363636,110
ALGO,model,Gemini,p1_vri_high,0.2636363636363636,110
ALGO,model,Gemini,p2_cci_retr,0.2636363636363636,110
ALGO,model,Gemini,p1_w3_keep,0.2,110
ALGO,model,Gemini,p1_multi_variant,0.2,110
ALGO,model,Gemini,p2_crit_step,0.19090909090909092,110
ALGO,model,Gemini,p2_impl_recovery,0.15454545454545454,110
ALGO,model,Gemini,p2_cci_comp,0.09090909090909091,110
ALGO,model,Gemini,p2_match_first,0.02727272727272727,110
ALGO,model,Gemini,p3_contam_high,0.02727272727272727,110
ALGO,model,Gemini,p3_depth_high,0.0,110
ALGO,model,Llama,p3_contam_low,0.7181818181818181,110
ALGO,model,Llama,p2_impl_fail,0.4090909090909091,110
ALGO,model,Llama,p2_cci_retr,0.20909090909090908,110
ALGO,model,Llama,p2_crit_step,0.16363636363636364,110
ALGO,model,Llama,p2_impl_recovery,0.14545454545454545,110
ALGO,model,Llama,p2_cci_comp,0.10909090909090909,110
ALGO,model,Llama,p1_rename_fragile,0.05454545454545454,110
ALGO,model,Llama,p1_vri_high,0.05454545454545454,110
ALGO,model,Llama,p2_match_first,0.03636363636363636,110
ALGO,model,Llama,p3_contam_high,0.02727272727272727,110
ALGO,model,Llama,p1_w3_keep,0.0,110
ALGO,model,Llama,p1_multi_variant,0.0,110
ALGO,model,Llama,p3_depth_high,0.0,110
ALGO,model,o4-mini,p3_contam_low,0.7181818181818181,110
ALGO,model,o4-mini,p1_w3_keep,0.6090909090909091,110
ALGO,model,o4-mini,p1_multi_variant,0.6,110
ALGO,model,o4-mini,p1_rename_fragile,0.39090909090909093,110
ALGO,model,o4-mini,p1_vri_high,0.39090909090909093,110
ALGO,model,o4-mini,p2_impl_fail,0.3181818181818182,110
ALGO,model,o4-mini,p2_impl_recovery,0.23636363636363636,110
ALGO,model,o4-mini,p3_contam_high,0.02727272727272727,110
ALGO,model,o4-mini,p2_cci_comp,0.0,110
ALGO,model,o4-mini,p2_cci_retr,0.0,110
ALGO,model,o4-mini,p2_match_first,0.0,110
ALGO,model,o4-mini,p2_crit_step,0.0,110
ALGO,model,o4-mini,p3_depth_high,0.0,110
BW,family,(all),p3_contam_low,0.6673511293634496,487
BW,family,(all),p1_rename_fragile,0.24845995893223818,487
BW,family,(all),p1_vri_high,0.24845995893223818,487
BW,family,(all),p1_w3_keep,0.1540041067761807,487
BW,family,(all),p1_multi_variant,0.15195071868583163,487
BW,family,(all),p2_cci_comp,0.0,487
BW,family,(all),p2_cci_retr,0.0,487
BW,family,(all),p2_match_first,0.0,487
BW,family,(all),p2_crit_step,0.0,487
BW,family,(all),p2_impl_recovery,0.0,487
BW,family,(all),p2_impl_fail,0.0,487
BW,family,(all),p3_contam_high,0.0,487
BW,family,(all),p3_depth_high,0.0,487
BW,model,Claude,p3_contam_low,0.5963302752293578,109
BW,model,Claude,p1_w3_keep,0.27522935779816515,109
BW,model,Claude,p1_multi_variant,0.27522935779816515,109
BW,model,Claude,p1_rename_fragile,0.14678899082568808,109
BW,model,Claude,p1_vri_high,0.14678899082568808,109
BW,model,Claude,p2_cci_comp,0.0,109
BW,model,Claude,p2_cci_retr,0.0,109
BW,model,Claude,p2_match_first,0.0,109
BW,model,Claude,p2_crit_step,0.0,109
BW,model,Claude,p2_impl_recovery,0.0,109
BW,model,Claude,p2_impl_fail,0.0,109
BW,model,Claude,p3_contam_high,0.0,109
BW,model,Claude,p3_depth_high,0.0,109
BW,model,GPT-4o,p3_contam_low,0.5241935483870968,124
BW,model,GPT-4o,p1_rename_fragile,0.16129032258064516,124
