metric,value
n_executed_mixed,157
n_mixed_appendix_unanimous_retrieval,3
n_mixed_appendix_unanimous_computation,0
n_mixed_executed_native_unanimous_retrieval,8
n_mixed_executed_native_unanimous_computation,0
n_mixed_W3_in_asymmetric_gap_0.2_to_0.5,0
n_mixed_retrieval_side_W3_and_high_contam,9
n_mixed_retrieval_side_failed_greedy_only,0
n_mixed_retrieval_side_failed_canonical_only,8
n_mixed_retrieval_side_failed_greedy_and_canonical,1
n_mixed_with_all_computation_conjunctions,0
n_mixed_structural_hole_W3_fail_and_low_contam,128
n_mixed_same_direction_executed_native_three_signals,8
n_mixed_same_direction_appendix_three_signals,3
