problem_id,problem_subtype,canonical_correct,w6_correct,byte_identical_text,identical_answer,canonical_plan_length,w6_plan_length,plan_length_delta,canonical_num_blocks,w6_num_blocks,canonical_max_initial_stack_depth,w6_max_initial_stack_depth,canonical_goal_depth,w6_goal_depth,canonical_text_len,w6_text_len,text_len_delta,canonical_source,w6_source,canonical_notes,w6_notes
BW_001,blocksworld,False,True,False,False,14,16,2,8,8,1,1,0,0,741,786,45,type=planbench_original | dataset=planbench | filename=instance-1.pddl | path=plan-bench/instances/blocksworld/generated/instance-1.pddl,type=planbench_original | dataset=planbench | filename=instance-1.pddl | path=plan-bench/instances/blocksworld/generated/instance-1.pddl | synthesized_w6_from_canonical,8 blocks starting on table; no unstacking required,8 blocks starting on table; no unstacking required | W6 synthesized from canonical for coverage
BW_002,blocksworld,False,False,False,False,12,12,0,,,,,0,0,713,712,-1,plan-bench/instances/blocksworld/generated/instance-2.pddl,plan-bench/instances/blocksworld/generated/instance-2.pddl | variant=w6_rename,,
BW_010,blocksworld,False,True,False,False,8,10,2,5,5,1,1,0,0,663,708,45,type=planbench_original | dataset=planbench | filename=instance-10.pddl | path=plan-bench/instances/blocksworld/generated/instance-10.pddl,type=planbench_original | dataset=planbench | filename=instance-10.pddl | path=plan-bench/instances/blocksworld/generated/instance-10.pddl | synthesized_w6_from_canonical,5 blocks starting on table; no unstacking required,5 blocks starting on table; no unstacking required | W6 synthesized from canonical for coverage
BW_011,blocksworld,False,True,False,False,18,20,2,10,10,1,1,0,0,793,838,45,type=planbench_original | dataset=planbench | filename=instance-11.pddl | path=plan-bench/instances/blocksworld/generated/instance-11.pddl,type=planbench_original | dataset=planbench | filename=instance-11.pddl | path=plan-bench/instances/blocksworld/generated/instance-11.pddl | synthesized_w6_from_canonical,10 blocks starting on table; no unstacking required,10 blocks starting on table; no unstacking required | W6 synthesized from canonical for coverage
BW_014,blocksworld,False,False,False,False,4,4,0,,,,,0,0,609,608,-1,plan-bench/instances/blocksworld/generated/instance-14.pddl,plan-bench/instances/blocksworld/generated/instance-14.pddl | variant=w6_rename,,
BW_022,blocksworld,False,False,False,False,8,8,0,,,,,0,0,661,660,-1,plan-bench/instances/blocksworld/generated/instance-22.pddl,plan-bench/instances/blocksworld/generated/instance-22.pddl | variant=w6_rename,,
BW_080,blocksworld,False,True,False,False,10,12,2,6,6,1,1,0,0,689,734,45,type=planbench_original | dataset=planbench | filename=instance-80.pddl | path=plan-bench/instances/blocksworld/generated/instance-80.pddl,type=planbench_original | dataset=planbench | filename=instance-80.pddl | path=plan-bench/instances/blocksworld/generated/instance-80.pddl | synthesized_w6_from_canonical,6 blocks starting on table; no unstacking required,6 blocks starting on table; no unstacking required | W6 synthesized from canonical for coverage
BW_120,blocksworld,False,True,False,False,6,8,2,4,4,1,1,0,0,637,682,45,type=planbench_original | dataset=planbench | filename=instance-120.pddl | path=plan-bench/instances/blocksworld/generated/instance-120.pddl,type=planbench_original | dataset=planbench | filename=instance-120.pddl | path=plan-bench/instances/blocksworld/generated/instance-120.pddl | synthesized_w6_from_canonical,4 blocks starting on table; no unstacking required,4 blocks starting on table; no unstacking required | W6 synthesized from canonical for coverage
BW_137,blocksworld,False,True,False,False,20,22,2,11,11,1,1,0,0,819,864,45,type=planbench_original | dataset=planbench | filename=instance-137.pddl | path=plan-bench/instances/blocksworld/generated/instance-137.pddl,type=planbench_original | dataset=planbench | filename=instance-137.pddl | path=plan-bench/instances/blocksworld/generated/instance-137.pddl | synthesized_w6_from_canonical,11 blocks starting on table; no unstacking required,11 blocks starting on table; no unstacking required | W6 synthesized from canonical for coverage
BW_155,blocksworld,False,True,False,False,8,10,2,5,5,1,1,0,0,663,708,45,type=planbench_original | dataset=planbench | filename=instance-155.pddl | path=plan-bench/instances/blocksworld/generated/instance-155.pddl,type=planbench_original | dataset=planbench | filename=instance-155.pddl | path=plan-bench/instances/blocksworld/generated/instance-155.pddl | synthesized_w6_from_canonical,5 blocks starting on table; no unstacking required,5 blocks starting on table; no unstacking required | W6 synthesized from canonical for coverage
BW_172,blocksworld,False,True,False,False,20,22,2,11,11,1,1,0,0,819,864,45,type=planbench_original | dataset=planbench | filename=instance-172.pddl | path=plan-bench/instances/blocksworld/generated/instance-172.pddl,type=planbench_original | dataset=planbench | filename=instance-172.pddl | path=plan-bench/instances/blocksworld/generated/instance-172.pddl | synthesized_w6_from_canonical,11 blocks starting on table; no unstacking required,11 blocks starting on table; no unstacking required | W6 synthesized from canonical for coverage
BW_203,blocksworld,True,False,False,False,6,6,0,,,,,0,0,635,634,-1,plan-bench/instances/blocksworld/generated/instance-203.pddl,plan-bench/instances/blocksworld/generated/instance-203.pddl | variant=w6_rename,,
BW_227,blocksworld,False,True,False,False,16,18,2,9,9,1,1,0,0,767,812,45,type=planbench_original | dataset=planbench | filename=instance-227.pddl | path=plan-bench/instances/blocksworld/generated/instance-227.pddl,type=planbench_original | dataset=planbench | filename=instance-227.pddl | path=plan-bench/instances/blocksworld/generated/instance-227.pddl | synthesized_w6_from_canonical,9 blocks starting on table; no unstacking required,9 blocks starting on table; no unstacking required | W6 synthesized from canonical for coverage
BW_282,blocksworld,False,False,False,False,8,8,0,,,,,0,0,661,660,-1,plan-bench/instances/blocksworld/generated/instance-282.pddl,plan-bench/instances/blocksworld/generated/instance-282.pddl | variant=w6_rename,,
BW_310,blocksworld,False,False,False,False,10,10,0,,,,,0,0,686,685,-1,plan-bench/instances/blocksworld/generated/instance-310.pddl,plan-bench/instances/blocksworld/generated/instance-310.pddl | variant=w6_rename,,
BW_331,blocksworld,False,True,False,False,4,4,0,,,,,0,0,609,608,-1,plan-bench/instances/blocksworld/generated/instance-331.pddl,plan-bench/instances/blocksworld/generated/instance-331.pddl | variant=w6_rename,,
BW_350,blocksworld,False,False,False,False,18,18,0,,,,,0,0,791,790,-1,plan-bench/instances/blocksworld/generated/instance-350.pddl,plan-bench/instances/blocksworld/generated/instance-350.pddl | variant=w6_rename,,
BW_408,blocksworld,False,False,False,False,14,14,0,,,,,0,0,739,738,-1,plan-bench/instances/blocksworld/generated/instance-408.pddl,plan-bench/instances/blocksworld/generated/instance-408.pddl | variant=w6_rename,,
BW_467,blocksworld,False,False,False,False,12,14,2,,7,,1,0,0,715,760,45,type=planbench_original | dataset=planbench | filename=instance-467.pddl | path=plan-bench/instances/blocksworld/generated/instance-467.pddl,type=planbench_original | dataset=planbench | filename=instance-467.pddl | path=plan-bench/instances/blocksworld/generated/instance-467.pddl | synthesized_w6_from_canonical,7 blocks starting on table; no unstacking required,7 blocks starting on table; no unstacking required | W6 synthesized from canonical for coverage
BW_495,blocksworld,False,True,False,False,8,8,0,,,,,0,0,661,660,-1,plan-bench/instances/blocksworld/generated/instance-495.pddl,plan-bench/instances/blocksworld/generated/instance-495.pddl | variant=w6_rename,,
BW_496,blocksworld,False,True,False,False,20,20,0,,11,,,0,0,821,838,17,type=planbench_original | dataset=planbench | filename=instance-101.pddl | path=plan-bench/instances/blocksworld/generated/instance-101.pddl,type=planbench_original | dataset=planbench | filename=instance-101.pddl | path=plan-bench/instances/blocksworld/generated/instance-101.pddl,Stage1 PlanBench canonical extraction,Stage1 PlanBench canonical extraction | w6_seed=39171016
BW_497,blocksworld,False,True,False,False,4,4,0,,3,,,0,0,613,630,17,type=planbench_original | dataset=planbench | filename=instance-102.pddl | path=plan-bench/instances/blocksworld/generated/instance-102.pddl,type=planbench_original | dataset=planbench | filename=instance-102.pddl | path=plan-bench/instances/blocksworld/generated/instance-102.pddl,Stage1 PlanBench canonical extraction,Stage1 PlanBench canonical extraction | w6_seed=2102656551
BW_498,blocksworld,False,True,False,False,18,18,0,,10,,,0,0,795,812,17,type=planbench_original | dataset=planbench | filename=instance-103.pddl | path=plan-bench/instances/blocksworld/generated/instance-103.pddl,type=planbench_original | dataset=planbench | filename=instance-103.pddl | path=plan-bench/instances/blocksworld/generated/instance-103.pddl,Stage1 PlanBench canonical extraction,Stage1 PlanBench canonical extraction | w6_seed=2342166455
BW_499,blocksworld,True,False,False,False,8,8,0,,5,,,0,0,665,682,17,type=planbench_original | dataset=planbench | filename=instance-104.pddl | path=plan-bench/instances/blocksworld/generated/instance-104.pddl,type=planbench_original | dataset=planbench | filename=instance-104.pddl | path=plan-bench/instances/blocksworld/generated/instance-104.pddl,Stage1 PlanBench canonical extraction,Stage1 PlanBench canonical extraction | w6_seed=2197442475
BW_500,blocksworld,False,True,False,False,14,14,0,,8,,,0,0,743,760,17,type=planbench_original | dataset=planbench | filename=instance-105.pddl | path=plan-bench/instances/blocksworld/generated/instance-105.pddl,type=planbench_original | dataset=planbench | filename=instance-105.pddl | path=plan-bench/instances/blocksworld/generated/instance-105.pddl,Stage1 PlanBench canonical extraction,Stage1 PlanBench canonical extraction | w6_seed=3689374100
BW_501,blocksworld,False,True,False,False,14,14,0,,8,,,0,0,743,760,17,type=planbench_original | dataset=planbench | filename=instance-106.pddl | path=plan-bench/instances/blocksworld/generated/instance-106.pddl,type=planbench_original | dataset=planbench | filename=instance-106.pddl | path=plan-bench/instances/blocksworld/generated/instance-106.pddl,Stage1 PlanBench canonical extraction,Stage1 PlanBench canonical extraction | w6_seed=2199641976
BW_502,blocksworld,True,False,False,False,6,6,0,,4,,,0,0,639,656,17,type=planbench_original | dataset=planbench | filename=instance-107.pddl | path=plan-bench/instances/blocksworld/generated/instance-107.pddl,type=planbench_original | dataset=planbench | filename=instance-107.pddl | path=plan-bench/instances/blocksworld/generated/instance-107.pddl,Stage1 PlanBench canonical extraction,Stage1 PlanBench canonical extraction | w6_seed=2118571571
BW_503,blocksworld,False,True,False,False,22,22,0,,12,,,0,0,847,864,17,type=planbench_original | dataset=planbench | filename=instance-108.pddl | path=plan-bench/instances/blocksworld/generated/instance-108.pddl,type=planbench_original | dataset=planbench | filename=instance-108.pddl | path=plan-bench/instances/blocksworld/generated/instance-108.pddl,Stage1 PlanBench canonical extraction,Stage1 PlanBench canonical extraction | w6_seed=1832180201
BW_504,blocksworld,False,True,False,False,12,12,0,,7,,,0,0,717,734,17,type=planbench_original | dataset=planbench | filename=instance-109.pddl | path=plan-bench/instances/blocksworld/generated/instance-109.pddl,type=planbench_original | dataset=planbench | filename=instance-109.pddl | path=plan-bench/instances/blocksworld/generated/instance-109.pddl,Stage1 PlanBench canonical extraction,Stage1 PlanBench canonical extraction | w6_seed=365599754
BW_505,blocksworld,False,True,False,False,8,8,0,,5,,,0,0,665,682,17,type=planbench_original | dataset=planbench | filename=instance-110.pddl | path=plan-bench/instances/blocksworld/generated/instance-110.pddl,type=planbench_original | dataset=planbench | filename=instance-110.pddl | path=plan-bench/instances/blocksworld/generated/instance-110.pddl,Stage1 PlanBench canonical extraction,Stage1 PlanBench canonical extraction | w6_seed=1000398843
BW_506,blocksworld,False,False,False,False,4,4,0,,3,,,0,0,613,630,17,type=planbench_original | dataset=planbench | filename=instance-113.pddl | path=plan-bench/instances/blocksworld/generated/instance-113.pddl,type=planbench_original | dataset=planbench | filename=instance-113.pddl | path=plan-bench/instances/blocksworld/generated/instance-113.pddl,Stage1 PlanBench canonical extraction,Stage1 PlanBench canonical extraction | w6_seed=1831303747
BW_507,blocksworld,False,True,False,False,4,4,0,,3,,,0,0,613,630,17,type=planbench_original | dataset=planbench | filename=instance-115.pddl | path=plan-bench/instances/blocksworld/generated/instance-115.pddl,type=planbench_original | dataset=planbench | filename=instance-115.pddl | path=plan-bench/instances/blocksworld/generated/instance-115.pddl,Stage1 PlanBench canonical extraction,Stage1 PlanBench canonical extraction | w6_seed=3570650137
BW_508,blocksworld,True,True,False,False,8,8,0,,5,,,0,0,665,682,17,type=planbench_original | dataset=planbench | filename=instance-116.pddl | path=plan-bench/instances/blocksworld/generated/instance-116.pddl,type=planbench_original | dataset=planbench | filename=instance-116.pddl | path=plan-bench/instances/blocksworld/generated/instance-116.pddl,Stage1 PlanBench canonical extraction,Stage1 PlanBench canonical extraction | w6_seed=182648977
BW_509,blocksworld,False,True,False,False,8,8,0,,5,,,0,0,665,682,17,type=planbench_original | dataset=planbench | filename=instance-117.pddl | path=plan-bench/instances/blocksworld/generated/instance-117.pddl,type=planbench_original | dataset=planbench | filename=instance-117.pddl | path=plan-bench/instances/blocksworld/generated/instance-117.pddl,Stage1 PlanBench canonical extraction,Stage1 PlanBench canonical extraction | w6_seed=1542403203
BW_510,blocksworld,False,False,False,False,12,12,0,,7,,,0,0,717,734,17,type=planbench_original | dataset=planbench | filename=instance-119.pddl | path=plan-bench/instances/blocksworld/generated/instance-119.pddl,type=planbench_original | dataset=planbench | filename=instance-119.pddl | path=plan-bench/instances/blocksworld/generated/instance-119.pddl,Stage1 PlanBench canonical extraction,Stage1 PlanBench canonical extraction | w6_seed=934611505
BW_511,blocksworld,True,False,False,False,6,6,0,,4,,,0,0,639,656,17,type=planbench_original | dataset=planbench | filename=instance-12.pddl | path=plan-bench/instances/blocksworld/generated/instance-12.pddl,type=planbench_original | dataset=planbench | filename=instance-12.pddl | path=plan-bench/instances/blocksworld/generated/instance-12.pddl,Stage1 PlanBench canonical extraction,Stage1 PlanBench canonical extraction | w6_seed=2737166314
BW_512,blocksworld,False,True,False,False,10,10,0,,6,,,0,0,691,708,17,type=planbench_original | dataset=planbench | filename=instance-121.pddl | path=plan-bench/instances/blocksworld/generated/instance-121.pddl,type=planbench_original | dataset=planbench | filename=instance-121.pddl | path=plan-bench/instances/blocksworld/generated/instance-121.pddl,Stage1 PlanBench canonical extraction,Stage1 PlanBench canonical extraction | w6_seed=2854625806
BW_513,blocksworld,False,True,False,False,12,12,0,,7,,,0,0,717,734,17,type=planbench_original | dataset=planbench | filename=instance-129.pddl | path=plan-bench/instances/blocksworld/generated/instance-129.pddl,type=planbench_original | dataset=planbench | filename=instance-129.pddl | path=plan-bench/instances/blocksworld/generated/instance-129.pddl,Stage1 PlanBench canonical extraction,Stage1 PlanBench canonical extraction | w6_seed=4284175485
BW_514,blocksworld,False,True,False,False,10,10,0,,6,,,0,0,691,708,17,type=planbench_original | dataset=planbench | filename=instance-144.pddl | path=plan-bench/instances/blocksworld/generated/instance-144.pddl,type=planbench_original | dataset=planbench | filename=instance-144.pddl | path=plan-bench/instances/blocksworld/generated/instance-144.pddl,Stage1 PlanBench canonical extraction,Stage1 PlanBench canonical extraction | w6_seed=2413418020
BW_515,blocksworld,False,True,False,False,10,10,0,,6,,,0,0,691,708,17,type=planbench_original | dataset=planbench | filename=instance-146.pddl | path=plan-bench/instances/blocksworld/generated/instance-146.pddl,type=planbench_original | dataset=planbench | filename=instance-146.pddl | path=plan-bench/instances/blocksworld/generated/instance-146.pddl,Stage1 PlanBench canonical extraction,Stage1 PlanBench canonical extraction | w6_seed=1223316754
BW_E002,blocksworld,True,False,False,False,4,6,2,3,3,1,1,0,0,655,656,1,type=planbench_generated | dataset=planbench_basic | filename=instance-basic-3-2.pddl,type=planbench_generated | dataset=planbench_basic | filename=instance-basic-3-2.pddl | synthesized_w6_from_canonical,"3 blocks, 4 moves","3 blocks, 4 moves | W6 synthesized from canonical for coverage"
BW_E015,blocksworld,True,False,True,True,4,4,0,3,3,2,2,0,0,665,665,0,type=planbench_generated | dataset=planbench_basic | filename=instance-basic-3-15.pddl,type=planbench_generated | dataset=planbench_basic | filename=instance-basic-3-15.pddl | synthesized_w6_from_canonical,"3 blocks, 4 moves","3 blocks, 4 moves | W6 synthesized from canonical for coverage"
BW_E017,blocksworld,True,False,True,True,4,4,0,3,3,1,1,0,0,653,653,0,type=planbench_generated | dataset=planbench_basic | filename=instance-basic-3-17.pddl,type=planbench_generated | dataset=planbench_basic | filename=instance-basic-3-17.pddl | synthesized_w6_from_canonical,"3 blocks, 4 moves","3 blocks, 4 moves | W6 synthesized from canonical for coverage"
BW_E019,blocksworld,True,False,True,True,4,4,0,3,3,2,2,0,0,655,655,0,type=planbench_generated | dataset=planbench_basic | filename=instance-basic-3-19.pddl,type=planbench_generated | dataset=planbench_basic | filename=instance-basic-3-19.pddl | synthesized_w6_from_canonical,"3 blocks, 4 moves","3 blocks, 4 moves | W6 synthesized from canonical for coverage"
BW_E100,blocksworld,True,True,False,False,2,6,4,3,3,2,2,0,0,703,656,-47,type=planbench_generated | dataset=planbench_basic | filename=instance-basic-3-100.pddl,type=planbench_generated | dataset=planbench_basic | filename=instance-basic-3-100.pddl | synthesized_w6_from_canonical,"3 blocks, 2 moves","3 blocks, 2 moves | W6 synthesized from canonical for coverage"
BW_E_001,blocksworld,False,True,False,False,10,10,0,,6,,,0,0,691,708,17,type=procedural_bw_e | dataset=generated | seed=20260520 | filename=bwe-seed-20260520.pddl,type=procedural_bw_e | dataset=generated | seed=20260520 | filename=bwe-seed-20260520.pddl,Procedural BW_E generated with seed 20260520,Procedural BW_E generated with seed 20260520 | w6_seed=3926480233
BW_E_002,blocksworld,True,True,False,False,6,6,0,,4,,,0,0,639,656,17,type=procedural_bw_e | dataset=generated | seed=20260521 | filename=bwe-seed-20260521.pddl,type=procedural_bw_e | dataset=generated | seed=20260521 | filename=bwe-seed-20260521.pddl,Procedural BW_E generated with seed 20260521,Procedural BW_E generated with seed 20260521 | w6_seed=350405007
BW_E_003,blocksworld,False,False,False,False,8,8,0,,5,,,0,0,665,682,17,type=procedural_bw_e | dataset=generated | seed=20260522 | filename=bwe-seed-20260522.pddl,type=procedural_bw_e | dataset=generated | seed=20260522 | filename=bwe-seed-20260522.pddl,Procedural BW_E generated with seed 20260522,Procedural BW_E generated with seed 20260522 | w6_seed=719059832
BW_E_004,blocksworld,False,False,False,False,14,14,0,,8,,,0,0,743,760,17,type=procedural_bw_e | dataset=generated | seed=20260523 | filename=bwe-seed-20260523.pddl,type=procedural_bw_e | dataset=generated | seed=20260523 | filename=bwe-seed-20260523.pddl,Procedural BW_E generated with seed 20260523,Procedural BW_E generated with seed 20260523 | w6_seed=2821705244
BW_E_005,blocksworld,False,True,False,False,8,8,0,,5,,,0,0,665,682,17,type=procedural_bw_e | dataset=generated | seed=20260524 | filename=bwe-seed-20260524.pddl,type=procedural_bw_e | dataset=generated | seed=20260524 | filename=bwe-seed-20260524.pddl,Procedural BW_E generated with seed 20260524,Procedural BW_E generated with seed 20260524 | w6_seed=360683531
MBW_001,mystery_blocksworld,False,False,True,True,14,14,0,8,8,1,1,0,0,631,631,0,type=planbench_mystery | dataset=planbench | filename=instance-1.pddl | path=plan-bench/instances/blocksworld/mystery/generated/instance-1.pddl,type=planbench_mystery | dataset=planbench | filename=instance-1.pddl | path=plan-bench/instances/blocksworld/mystery/generated/instance-1.pddl | synthesized_w6_from_canonical,8 blocks clean-start mystery instance,8 blocks clean-start mystery instance | W6 synthesized from canonical for coverage
MBW_002,mystery_blocksworld,False,False,False,False,12,12,0,,,,,0,0,614,614,0,plan-bench/instances/blocksworld/mystery/generated/instance-2.pddl,plan-bench/instances/blocksworld/mystery/generated/instance-2.pddl | variant=w6_rename,,
MBW_010,mystery_blocksworld,False,False,False,False,8,8,0,,,,,0,0,584,584,0,plan-bench/instances/blocksworld/mystery/generated/instance-10.pddl,plan-bench/instances/blocksworld/mystery/generated/instance-10.pddl | variant=w6_rename,,
MBW_014,mystery_blocksworld,False,False,False,False,4,4,0,,,,,0,0,553,553,0,plan-bench/instances/blocksworld/mystery/generated/instance-14.pddl,plan-bench/instances/blocksworld/mystery/generated/instance-14.pddl | variant=w6_rename,,
MBW_037,mystery_blocksworld,False,False,False,False,6,6,0,,,,,0,0,569,569,0,plan-bench/instances/blocksworld/mystery/generated/instance-37.pddl,plan-bench/instances/blocksworld/mystery/generated/instance-37.pddl | variant=w6_rename,,
MBW_10,mystery_blocksworld,False,False,True,True,8,8,0,5,5,1,1,0,0,586,586,0,type=planbench_mystery | dataset=planbench | filename=instance-10.pddl | path=plan-bench/instances/blocksworld/mystery/generated/instance-10.pddl,type=planbench_mystery | dataset=planbench | filename=instance-10.pddl | path=plan-bench/instances/blocksworld/mystery/generated/instance-10.pddl | synthesized_w6_from_canonical,5 blocks clean-start mystery instance,5 blocks clean-start mystery instance | W6 synthesized from canonical for coverage
