family,model,variant,problem_id,error_class,canonical_gold,variant_gold,response_normalized,clone_family,rescored_correct,chance_i
ALGO,Claude,W3,SP_001,OTHER_ERROR,"Path: 0 → 5 → 10 → 11, Cost: 17","Path: Hub A → Hub F → Hub K → Hub L, Cost: 17",A -> F -> K -> L,SINGLETON_SP_001,True,0.0
ALGO,Claude,W3,SP_002,INTRUSION,"Path: 16 → 12 → 9 → 19 → 18 → 6 → 5 → 10 → 15 → 21 → 11, Cost: 40","Path: Hub Q → Hub M → Hub J → Hub T → Hub S → Hub G → Hub F → Hub K → Hub P → Hub V → Hub L, Cost: 40",16 -> 12 -> 9 -> 19 -> 18 -> 6 -> 5 -> 10 -> 15 -> 21 -> 11,SINGLETON_SP_002,True,0.0
ALGO,Claude,W3,SP_003,OTHER_ERROR,"Path: 11 → 17 → 10 → 2 → 3 → 9, Cost: 22","Path: Hub L → Hub R → Hub K → Hub C → Hub D → Hub J, Cost: 22",11 -> 18 -> 19 -> 7 -> 8 -> 4 -> 3 -> 9,SINGLETON_SP_003,False,0.0
ALGO,Claude,W3,SP_004,INTRUSION,"Path: 0 → 3 → 6 → 4 → 5 → 9, Cost: 8","Path: Hub A → Hub D → Hub G → Hub E → Hub F → Hub J, Cost: 8",0 -> 3 -> 6 -> 4 -> 5 -> 9,SINGLETON_SP_004,True,0.0
ALGO,Claude,W3,SP_005,OTHER_ERROR,"Path: 0 → 4 → 9 → 11 → 14 → 15, Cost: 32","Path: Hub A → Hub E → Hub J → Hub L → Hub O → Hub P, Cost: 32",0 -> 4 -> 5 -> 6 -> 8 -> 10 -> 12 -> 14 -> 15,SINGLETON_SP_005,False,0.0
ALGO,Claude,W3,WIS_001,INTRUSION,"Selected: {0, 2, 4, 6, 9}, Total: 40","Selected: {Item A, Item C, Item E, Item G, Item J}, Total: 40","{0, 2, 4, 6, 9}",SINGLETON_WIS_001,True,0.0
ALGO,Claude,W3,WIS_002,PARTIAL_INTRUSION,"Selected: {1, 3, 7, 10, 11}, Total: 52","Selected: {Item B, Item D, Item H, Item K, Item L}, Total: 52","{1, 10, 11, 7, 8, 9}",SINGLETON_WIS_002,False,0.0
ALGO,Claude,W3,WIS_003,OTHER_ERROR,"Selected: {1, 2, 3, 4, 10, 11, 13}, Total: 55","Selected: {Item B, Item C, Item D, Item E, Item K, Item L, Item N}, Total: 55","{0, 12, 6, 7, 8}",SINGLETON_WIS_003,False,0.0
ALGO,Claude,W3,WIS_004,PARTIAL_INTRUSION,"Selected: {0, 1, 3, 6, 9, 11, 12}, Total: 37","Selected: {Item A, Item B, Item D, Item G, Item J, Item L, Item M}, Total: 37","{0, 11, 12, 3, 4, 9}",SINGLETON_WIS_004,False,0.0
ALGO,Claude,W3,WIS_005,PARTIAL_INTRUSION,"Selected: {2, 5, 7, 8, 11, 14}, Total: 67","Selected: {Item C, Item F, Item H, Item I, Item L, Item O}, Total: 67","{11, 14, 2, 5, 8}",SINGLETON_WIS_005,False,0.0
ALGO,Claude,W3,SP_019,OTHER_ERROR,"Path: 0 -> 3 -> 4 -> 6, Cost: 12","Path: Berlin -> Frankfurt -> Stuttgart -> Cologne, Cost: 12",0 -> 1 -> 2 -> 4 -> 6,ALGO_CLONE_005,False,0.0
ALGO,Claude,W3,SP_062,OTHER_ERROR,"Path: 0 -> 3 -> 4 -> 6, Cost: 12","Path: London -> Amsterdam -> Prague -> Rome, Cost: 12",0 -> 1 -> 2 -> 4 -> 6,ALGO_CLONE_005,False,0.0
ALGO,Gemini,W3,SP_001,OTHER_ERROR,"Path: 0 → 5 → 10 → 11, Cost: 17","Path: Hub A → Hub F → Hub K → Hub L, Cost: 17",A -> C -> E -> J -> K -> L,SINGLETON_SP_001,False,0.0
ALGO,Gemini,W3,SP_002,INTRUSION,"Path: 16 → 12 → 9 → 19 → 18 → 6 → 5 → 10 → 15 → 21 → 11, Cost: 40","Path: Hub Q → Hub M → Hub J → Hub T → Hub S → Hub G → Hub F → Hub K → Hub P → Hub V → Hub L, Cost: 40",16 -> 12 -> 9 -> 19 -> 18 -> 6 -> 5 -> 10 -> 15 -> 21 -> 11,SINGLETON_SP_002,False,0.0
ALGO,Gemini,W3,SP_003,OTHER_ERROR,"Path: 11 → 17 → 10 → 2 → 3 → 9, Cost: 22","Path: Hub L → Hub R → Hub K → Hub C → Hub D → Hub J, Cost: 22",11 -> 17 -> 7 -> 6 -> 3 -> 9,SINGLETON_SP_003,False,0.0
ALGO,Gemini,W3,SP_004,INTRUSION,"Path: 0 → 3 → 6 → 4 → 5 → 9, Cost: 8","Path: Hub A → Hub D → Hub G → Hub E → Hub F → Hub J, Cost: 8",0 -> 3 -> 6 -> 4 -> 5 -> 9,SINGLETON_SP_004,True,0.0
ALGO,Gemini,W3,SP_005,OTHER_ERROR,"Path: 0 → 4 → 9 → 11 → 14 → 15, Cost: 32","Path: Hub A → Hub E → Hub J → Hub L → Hub O → Hub P, Cost: 32",0 -> 1 -> 2 -> 6 -> 9 -> 13 -> 15,SINGLETON_SP_005,False,0.0
ALGO,Gemini,W3,WIS_001,INTRUSION,"Selected: {0, 2, 4, 6, 9}, Total: 40","Selected: {Item A, Item C, Item E, Item G, Item J}, Total: 40","{0, 2, 4, 6, 9}",SINGLETON_WIS_001,True,0.0
ALGO,Gemini,W3,WIS_002,INTRUSION,"Selected: {1, 3, 7, 10, 11}, Total: 52","Selected: {Item B, Item D, Item H, Item K, Item L}, Total: 52","{1, 10, 11, 3, 7}",SINGLETON_WIS_002,True,0.0
ALGO,Gemini,W3,WIS_003,OTHER_ERROR,"Selected: {1, 2, 3, 4, 10, 11, 13}, Total: 55","Selected: {Item B, Item C, Item D, Item E, Item K, Item L, Item N}, Total: 55","{1, 10, 11, 12, 2, 3, 5, 6, 7, 9}",SINGLETON_WIS_003,False,0.0
ALGO,Gemini,W3,WIS_004,OTHER_ERROR,"Selected: {0, 1, 3, 6, 9, 11, 12}, Total: 37","Selected: {Item A, Item B, Item D, Item G, Item J, Item L, Item M}, Total: 37","{0, 1, 10, 11, 13, 14, 15, 3, 4, 5, 7, 9}",SINGLETON_WIS_004,False,0.0
ALGO,Gemini,W3,WIS_005,OTHER_ERROR,"Selected: {2, 5, 7, 8, 11, 14}, Total: 67","Selected: {Item C, Item F, Item H, Item I, Item L, Item O}, Total: 67","{0, 11, 13, 15, 16, 2, 4, 7, 9}",SINGLETON_WIS_005,False,0.0
