instance_key,model,problem_id,n_configs,n_distinct_labels,modal_label,modal_count,modal_fraction,stable_gt_90pct,flips,frac_retrieval,frac_computation,frac_mixed,frac_ambiguous,label_histogram
anthropic/claude-sonnet-4::CC_01,anthropic/claude-sonnet-4,CC_01,270,2,mixed,252,0.9333,True,True,0.0,0.0,0.9333,0.0667,mixed:252|ambiguous:18
anthropic/claude-sonnet-4::CC_02,anthropic/claude-sonnet-4,CC_02,270,2,mixed,142,0.5259,False,True,0.0,0.0,0.5259,0.4741,mixed:142|ambiguous:128
anthropic/claude-sonnet-4::CC_03,anthropic/claude-sonnet-4,CC_03,270,2,mixed,142,0.5259,False,True,0.0,0.0,0.5259,0.4741,mixed:142|ambiguous:128
anthropic/claude-sonnet-4::CC_04,anthropic/claude-sonnet-4,CC_04,270,3,mixed,180,0.6667,False,True,0.2667,0.0,0.6667,0.0667,mixed:180|retrieval:72|ambiguous:18
anthropic/claude-sonnet-4::CC_05,anthropic/claude-sonnet-4,CC_05,270,3,ambiguous,135,0.5,False,True,0.0,0.2074,0.2926,0.5,ambiguous:135|mixed:79|computation:56
anthropic/claude-sonnet-4::CC_06,anthropic/claude-sonnet-4,CC_06,270,3,mixed,180,0.6667,False,True,0.2667,0.0,0.6667,0.0667,mixed:180|retrieval:72|ambiguous:18
anthropic/claude-sonnet-4::CC_07,anthropic/claude-sonnet-4,CC_07,270,2,mixed,142,0.5259,False,True,0.0,0.0,0.5259,0.4741,mixed:142|ambiguous:128
anthropic/claude-sonnet-4::CC_08,anthropic/claude-sonnet-4,CC_08,270,3,mixed,180,0.6667,False,True,0.2667,0.0,0.6667,0.0667,mixed:180|retrieval:72|ambiguous:18
anthropic/claude-sonnet-4::CC_09,anthropic/claude-sonnet-4,CC_09,270,2,mixed,179,0.663,False,True,0.0,0.0,0.663,0.337,mixed:179|ambiguous:91
anthropic/claude-sonnet-4::CC_10,anthropic/claude-sonnet-4,CC_10,270,2,mixed,142,0.5259,False,True,0.0,0.0,0.5259,0.4741,mixed:142|ambiguous:128
anthropic/claude-sonnet-4::SP_001,anthropic/claude-sonnet-4,SP_001,270,2,mixed,144,0.5333,False,True,0.0,0.0,0.5333,0.4667,mixed:144|ambiguous:126
anthropic/claude-sonnet-4::SP_002,anthropic/claude-sonnet-4,SP_002,270,2,ambiguous,198,0.7333,False,True,0.0,0.0,0.2667,0.7333,ambiguous:198|mixed:72
anthropic/claude-sonnet-4::SP_003,anthropic/claude-sonnet-4,SP_003,270,3,mixed,180,0.6667,False,True,0.2667,0.0,0.6667,0.0667,mixed:180|retrieval:72|ambiguous:18
anthropic/claude-sonnet-4::SP_004,anthropic/claude-sonnet-4,SP_004,270,3,mixed,158,0.5852,False,True,0.1037,0.0,0.5852,0.3111,mixed:158|ambiguous:84|retrieval:28
anthropic/claude-sonnet-4::SP_005,anthropic/claude-sonnet-4,SP_005,270,3,mixed,158,0.5852,False,True,0.1037,0.0,0.5852,0.3111,mixed:158|ambiguous:84|retrieval:28
anthropic/claude-sonnet-4::WIS_001,anthropic/claude-sonnet-4,WIS_001,270,2,mixed,144,0.5333,False,True,0.0,0.0,0.5333,0.4667,mixed:144|ambiguous:126
anthropic/claude-sonnet-4::WIS_002,anthropic/claude-sonnet-4,WIS_002,270,2,mixed,144,0.5333,False,True,0.0,0.0,0.5333,0.4667,mixed:144|ambiguous:126
anthropic/claude-sonnet-4::WIS_003,anthropic/claude-sonnet-4,WIS_003,270,3,mixed,180,0.6667,False,True,0.2667,0.0,0.6667,0.0667,mixed:180|retrieval:72|ambiguous:18
anthropic/claude-sonnet-4::WIS_004,anthropic/claude-sonnet-4,WIS_004,270,3,mixed,180,0.6667,False,True,0.2667,0.0,0.6667,0.0667,mixed:180|retrieval:72|ambiguous:18
anthropic/claude-sonnet-4::WIS_005,anthropic/claude-sonnet-4,WIS_005,270,2,mixed,144,0.5333,False,True,0.0,0.0,0.5333,0.4667,mixed:144|ambiguous:126
anthropic/claude-sonnet-4::CC_031,anthropic/claude-sonnet-4,CC_031,270,2,mixed,144,0.5333,False,True,0.0,0.0,0.5333,0.4667,mixed:144|ambiguous:126
