problem_id,model,family,subtype,VAR,acc_canonical,acc_W1,acc_W2,acc_W3,acc_W4,acc_W5,acc_W6
GSM_001,openai/o4-mini,GSM,gsm_symbolic,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
GSM_002,openai/o4-mini,GSM,gsm_symbolic,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
GSM_003,openai/o4-mini,GSM,gsm_symbolic,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
GSM_004,openai/o4-mini,GSM,gsm_symbolic,1.0,1.0,0.0,1.0,1.0,1.0,1.0,
GSM_005,openai/o4-mini,GSM,gsm_symbolic,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
GSM_006,openai/o4-mini,GSM,gsm_symbolic,1.0,1.0,0.0,1.0,1.0,1.0,1.0,
GSM_007,openai/o4-mini,GSM,gsm_symbolic,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
GSM_008,openai/o4-mini,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,1.0,0.0,1.0,
GSM_009,openai/o4-mini,GSM,gsm_symbolic,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
GSM_010,openai/o4-mini,GSM,gsm_symbolic,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
GSM_011,openai/o4-mini,GSM,gsm_symbolic,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
GSM_012,openai/o4-mini,GSM,gsm_symbolic,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
GSM_013,openai/o4-mini,GSM,gsm_symbolic,0.0,1.0,1.0,1.0,1.0,1.0,0.0,
GSM_014,openai/o4-mini,GSM,gsm_symbolic,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
GSM_015,openai/o4-mini,GSM,gsm_symbolic,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
GSM_016,openai/o4-mini,GSM,gsm_symbolic,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
GSM_017,openai/o4-mini,GSM,gsm_symbolic,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
GSM_018,openai/o4-mini,GSM,gsm_symbolic,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
GSM_019,openai/o4-mini,GSM,gsm_symbolic,1.0,0.0,0.0,1.0,1.0,1.0,1.0,
GSM_020,openai/o4-mini,GSM,gsm_symbolic,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
GSM_041,openai/o4-mini,GSM,gsm_symbolic,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GSM_042,openai/o4-mini,GSM,gsm_symbolic,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
GSM_043,openai/o4-mini,GSM,gsm_symbolic,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GSM_044,openai/o4-mini,GSM,gsm_symbolic,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GSM_045,openai/o4-mini,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
GSM_046,openai/o4-mini,GSM,gsm_symbolic,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
GSM_047,openai/o4-mini,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
GSM_048,openai/o4-mini,GSM,gsm_symbolic,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GSM_049,openai/o4-mini,GSM,gsm_symbolic,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
GSM_050,openai/o4-mini,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
GSM_051,openai/o4-mini,GSM,gsm_symbolic,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GSM_052,openai/o4-mini,GSM,gsm_symbolic,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
GSM_053,openai/o4-mini,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
GSM_054,openai/o4-mini,GSM,gsm_symbolic,0.0,,1.0,1.0,1.0,1.0,1.0,1.0
GSM_055,openai/o4-mini,GSM,gsm_symbolic,1.0,,1.0,1.0,1.0,0.0,1.0,1.0
GSM_056,openai/o4-mini,GSM,gsm_symbolic,1.0,,1.0,1.0,1.0,0.0,0.0,1.0
GSM_057,openai/o4-mini,GSM,gsm_symbolic,1.0,,1.0,0.0,1.0,1.0,1.0,1.0
GSM_058,openai/o4-mini,GSM,gsm_symbolic,0.0,,1.0,1.0,1.0,1.0,1.0,1.0
GSM_059,openai/o4-mini,GSM,gsm_symbolic,1.0,,1.0,1.0,1.0,0.0,1.0,1.0
GSM_060,openai/o4-mini,GSM,gsm_symbolic,0.0,,0.0,0.0,0.0,0.0,1.0,0.0
GSM_061,openai/o4-mini,GSM,gsm_symbolic,1.0,,1.0,1.0,0.0,1.0,1.0,1.0
GSM_062,openai/o4-mini,GSM,gsm_symbolic,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
GSM_063,openai/o4-mini,GSM,gsm_symbolic,1.0,,1.0,0.0,0.0,0.0,0.0,1.0
GSM_064,openai/o4-mini,GSM,gsm_symbolic,1.0,,1.0,1.0,1.0,0.0,1.0,0.0
