problem_id,model,contamination_pole,difficulty,phase1_steps_json,phase1_final_answer,phase1_parseable,cci_score,cci_matched,cci_total,inject_at_step,injected_value,true_value_at_injection,tep_score,tep_diverged_steps,tep_total_steps,session_b_correct,correct_answer
GSM_001,google/gemini-2.5-flash,high,medium,"[{""step"": 1, ""description"": ""Calculate the cost for the first 20 minutes"", ""value"": 0.9}, {""step"": 2, ""description"": ""Calculate the remaining minutes after the first 20 minutes"", ""value"": 86.0}, {""step"": 3, ""description"": ""Calculate the cost for the remaining minutes"", ""value"": 0.5}, {""step"": 4, ""description"": ""Calculate the total cost of the call"", ""value"": 18.0}]",51.0,True,0.2500,1,4,2,98.9,86.0,0.5000,1,2,True,51
GSM_002,google/gemini-2.5-flash,high,easy,"[{""step"": 1, ""description"": ""Number of boys = (2/3) * 18"", ""value"": 12.0}, {""step"": 2, ""description"": ""Total number of kids = Number of girls + Number of boys"", ""value"": 18.0}]",30.0,True,0.5000,1,2,1,13.8,12.0,0.0000,0,1,True,30
GSM_003,google/gemini-2.5-flash,high,medium,"[{""step"": 1, ""description"": ""Calculate the number of yellow cards by finding 50% of purple cards"", ""value"": 30.0}, {""step"": 2, ""description"": ""Calculate the total number of yellow cards"", ""value"": 30.0}, {""step"": 3, ""description"": ""Calculate the sum of purple and yellow cards"", ""value"": 30.0}, {""step"": 4, ""description"": ""Determine the number of blue cards, which is equal to the sum of purple and yellow cards"", ""value"": 75.0}, {""step"": 5, ""description"": ""Calculate the total number of cards of all mentioned colors"", ""value"": 30.0}]",150.0,True,0.4000,2,5,2,34.5,30.0,0.3333,1,3,True,150
GSM_004,google/gemini-2.5-flash,high,easy,"[{""step"": 1, ""description"": ""Number of working days per month = Weeks worked per month * Days worked per week"", ""value"": 2.0}, {""step"": 2, ""description"": ""Total working days in a year = Working days per month * Months in a year"", ""value"": 12.0}, {""step"": 3, ""description"": ""Total earnings = Total working days in a year * Daily wage"", ""value"": 144.0}]",21600.0,True,0.3333,1,3,1,2.3,2.0,0.5000,1,2,True,21600
GSM_005,google/gemini-2.5-flash,high,hard,[],,False,0.0000,0,0,1,,,0.0000,0,1,False,54
GSM_006,google/gemini-2.5-flash,high,medium,"[{""step"": 1, ""description"": ""Initial total cost"", ""value"": 10.0}, {""step"": 2, ""description"": ""Increase in first year"", ""value"": 560.0}, {""step"": 3, ""description"": ""Value after first year"", ""value"": 560.0}, {""step"": 4, ""description"": ""Decrease in second year"", ""value"": 728.0}, {""step"": 5, ""description"": ""Final value"", ""value"": 728.0}]",546.0,True,0.0000,0,5,2,644.0,560.0,1.0000,3,3,True,546
GSM_007,google/gemini-2.5-flash,high,hard,"[{""step"": 1, ""description"": ""Total duration"", ""value"": 5.0}, {""step"": 2, ""description"": ""Free hours"", ""value"": 2.0}, {""step"": 3, ""description"": ""Paid hours = Total duration - Free hours"", ""value"": 4.0}, {""step"": 5, ""description"": ""Cost of 2nd paid hour"", ""value"": 2.0}, {""step"": 6, ""description"": ""Total paid = Cost of 1st paid hour + Cost of 2nd paid hour"", ""value"": 10.0}]",30.0,True,0.2000,1,5,2,2.3,2.0,0.3333,1,3,True,30
GSM_008,google/gemini-2.5-flash,high,medium,"[{""step"": 1, ""description"": ""P_0"", ""value"": 16.0}, {""step"": 1, ""description"": ""P_0"", ""value"": 16.0}, {""step"": 2, ""description"": ""People infected by end of Day 1 = P_0 * (I + 1)"", ""value"": 16.0}, {""step"": 2, ""description"": ""Total infected after 1 day = P_0 * (I + 1)^1"", ""value"": 16.0}, {""step"": 3, ""description"": ""People infected by end of Day 2 = People infected by end of Day 1 * (I + 1)"", ""value"": 64.0}, {""step"": 3, ""description"": ""Total infected after 2 days = P_0 * (I + 1)^2"", ""value"": 16.0}, {""step"": 4, ""description"": ""People infected by end of Day 3 = People infected by end of Day 2 * (I + 1)"", ""value"": 256.0}, {""step"": 4, ""description"": ""Total infected after 3 days = P_0 * (I + 1)^3"", ""value"": 16.0}]",1024.0,True,0.1250,1,8,4,18.4,16.0,1.0000,1,1,True,1024
GSM_009,google/gemini-2.5-flash,high,medium,"[{""step"": 1, ""description"": ""Eggs in first period"", ""value"": 5.0}, {""step"": 2, ""description"": ""Eggs in second period"", ""value"": 7.0}, {""step"": 3, ""description"": ""Total eggs = Eggs in first period + Eggs in second period"", ""value"": 420.0}, {""step"": 4, ""description"": ""Convert the total number of eggs into dozens. (1 dozen"", ""value"": 12.0}, {""step"": 4, ""description"": ""Dozens of eggs = Total eggs / 12"", ""value"": 588.0}]",49.0,True,0.2000,1,5,2,8.05,7.0,0.3333,1,3,True,49
GSM_010,google/gemini-2.5-flash,medium,medium,"[{""step"": 1, ""description"": ""Kernels in the first 30 seconds"", ""value"": 60.0}, {""step"": 2, ""description"": ""Kernels in the next 30 seconds"", ""value"": 4.0}, {""step"": 3, ""description"": ""Kernels in the next 30 seconds (third interval)"", ""value"": 6.0}, {""step"": 4, ""description"": ""Kernels in the final 30 seconds of cooking"", ""value"": 360.0}, {""step"": 5, ""description"": ""Kernels popping from residual heat"", ""value"": 180.0}, {""step"": 6, ""description"": ""Total popped kernels"", ""value"": 60.0}]",885.0,True,0.1667,1,6,3,6.9,6.0,1.0000,3,3,True,885
