problem_id,model,cci_score,cci_matched,cci_total,valid_divergence,tep_score,inject_at_step,injected_value,session_b_correct,correct_answer,contamination_pole,difficulty,problem_subtype
GSM_001,anthropic/claude-3.7-sonnet,0.4444444444444444,4,9,False,1.0,6,19.80,True,51,high,medium,gsm_symbolic
GSM_002,anthropic/claude-3.7-sonnet,0.2,1,5,True,0.0,4,13.20,True,30,high,easy,gsm_symbolic
GSM_003,anthropic/claude-3.7-sonnet,0.0,0,6,True,0.0,5,82.50,True,150,high,medium,gsm_symbolic
GSM_004,anthropic/claude-3.7-sonnet,0.08333333333333333,1,12,True,0.0,7,1980.00,True,21600,high,easy,gsm_symbolic
GSM_005,anthropic/claude-3.7-sonnet,0.3333333333333333,3,9,False,0.0,8,4.40,True,54,high,hard,gsm_symbolic
GSM_006,anthropic/claude-3.7-sonnet,0.5714285714285714,4,7,False,1.0,5,,True,546,high,medium,gsm_symbolic
GSM_007,anthropic/claude-3.7-sonnet,0.8333333333333334,5,6,False,1.0,4,11.00,True,30,high,hard,gsm_symbolic
GSM_008,anthropic/claude-3.7-sonnet,0.6666666666666666,4,6,False,0.0,9,70.40,True,1024,high,medium,gsm_symbolic
GSM_009,anthropic/claude-3.7-sonnet,0.2222222222222222,2,9,False,1.0,5,184.80,False,49,high,medium,gsm_symbolic
GSM_010,anthropic/claude-3.7-sonnet,0.75,6,8,False,0.5,4,396.00,True,885,medium,medium,gsm_symbolic
GSM_011,anthropic/claude-3.7-sonnet,0.16666666666666666,1,6,True,0.0,6,3.30,True,86,medium,medium,gsm_symbolic
GSM_012,anthropic/claude-3.7-sonnet,0.0,0,5,True,0.0,9,432.30,True,81,medium,medium,gsm_symbolic
GSM_013,anthropic/claude-3.7-sonnet,0.3,3,10,False,0.0,10,66.00,True,90,medium,medium,gsm_symbolic
GSM_014,anthropic/claude-3.7-sonnet,0.45454545454545453,5,11,False,0.0,6,11.00,True,70,medium,medium,gsm_symbolic
GSM_015,anthropic/claude-3.7-sonnet,0.3333333333333333,3,9,False,0.0,9,3.30,True,354,medium,hard,gsm_symbolic
GSM_016,anthropic/claude-3.7-sonnet,0.2,2,10,True,0.0,10,5.50,True,5,medium,hard,gsm_p1p2
GSM_017,anthropic/claude-3.7-sonnet,0.4166666666666667,5,12,False,0.0,11,63.80,False,922,medium,hard,gsm_p1p2
GSM_018,anthropic/claude-3.7-sonnet,0.45454545454545453,5,11,False,1.0,10,5.50,True,21,medium,hard,gsm_p1p2
GSM_019,anthropic/claude-3.7-sonnet,0.3,3,10,False,1.0,8,1.65,True,3,medium,hard,gsm_p1p2
GSM_020,anthropic/claude-3.7-sonnet,0.2727272727272727,3,11,True,0.0,13,5.50,True,24,medium,hard,gsm_p1p2
GSM_001,openai/gpt-4o,0.42857142857142855,3,7,False,1.0,4,94.60,True,51,high,medium,gsm_symbolic
GSM_002,openai/gpt-4o,0.25,1,4,True,0.0,7,,True,30,high,easy,gsm_symbolic
GSM_003,openai/gpt-4o,0.8,4,5,False,0.0,5,82.50,True,150,high,medium,gsm_symbolic
GSM_004,openai/gpt-4o,0.0,0,4,True,0.0,9,,True,21600,high,easy,gsm_symbolic
GSM_005,openai/gpt-4o,0.3333333333333333,3,9,False,0.0,9,7.70,False,54,high,hard,gsm_symbolic
GSM_006,openai/gpt-4o,0.125,1,8,True,0.0,10,,True,546,high,medium,gsm_symbolic
GSM_007,openai/gpt-4o,0.0,0,5,False,0.0,8,11.00,False,30,high,hard,gsm_symbolic
GSM_008,openai/gpt-4o,0.42857142857142855,3,7,False,0.0,8,3.30,True,1024,high,medium,gsm_symbolic
GSM_009,openai/gpt-4o,0.875,7,8,False,0.0,5,2.20,True,49,high,medium,gsm_symbolic
GSM_010,openai/gpt-4o,1.0,8,8,False,0.0,8,6.60,False,885,medium,medium,gsm_symbolic
GSM_011,openai/gpt-4o,0.125,1,8,True,0.0,6,5.50,True,86,medium,medium,gsm_symbolic
GSM_012,openai/gpt-4o,0.0,0,4,True,0.0,4,57.20,True,81,medium,medium,gsm_symbolic
GSM_013,openai/gpt-4o,0.3333333333333333,1,3,False,0.0,14,4.40,False,90,medium,medium,gsm_symbolic
GSM_014,openai/gpt-4o,0.3333333333333333,2,6,False,0.0,9,4.40,True,70,medium,medium,gsm_symbolic
GSM_015,openai/gpt-4o,0.0,0,7,True,1.0,6,13.20,True,354,medium,hard,gsm_symbolic
GSM_016,openai/gpt-4o,0.0,0,8,True,0.0,14,47.30,True,5,medium,hard,gsm_p1p2
GSM_017,openai/gpt-4o,0.0,0,8,False,0.0,30,,False,922,medium,hard,gsm_p1p2
GSM_018,openai/gpt-4o,0.2,1,5,False,0.0,11,,False,21,medium,hard,gsm_p1p2
GSM_019,openai/gpt-4o,0.25,2,8,False,0.0,14,,False,3,medium,hard,gsm_p1p2
GSM_020,openai/gpt-4o,0.5,4,8,False,0.0,12,3.30,False,24,medium,hard,gsm_p1p2
GSM_001,meta-llama/llama-3.1-8b-instruct,0.25,3,12,True,0.25,8,0.55,True,51,high,medium,gsm_symbolic
GSM_002,meta-llama/llama-3.1-8b-instruct,0.16666666666666666,2,12,False,0.3333333333333333,8,13.20,False,30,high,easy,gsm_symbolic
GSM_003,meta-llama/llama-3.1-8b-instruct,0.16666666666666666,1,6,False,0.0,12,0.55,False,150,high,medium,gsm_symbolic
GSM_004,meta-llama/llama-3.1-8b-instruct,0.14285714285714285,1,7,False,0.0,9,,False,21600,high,easy,gsm_symbolic
GSM_005,meta-llama/llama-3.1-8b-instruct,0.3333333333333333,4,12,False,0.0,10,3.30,False,54,high,hard,gsm_symbolic
GSM_006,meta-llama/llama-3.1-8b-instruct,0.1111111111111111,1,9,True,0.5,5,61.60,True,546,high,medium,gsm_symbolic
GSM_007,meta-llama/llama-3.1-8b-instruct,0.25,1,4,False,0.0,5,,False,30,high,hard,gsm_symbolic
GSM_008,meta-llama/llama-3.1-8b-instruct,0.5,6,12,False,0.75,8,211.20,False,1024,high,medium,gsm_symbolic
GSM_009,meta-llama/llama-3.1-8b-instruct,0.0,0,3,True,0.7,2,-92.40,True,49,high,medium,gsm_symbolic
GSM_010,meta-llama/llama-3.1-8b-instruct,0.3333333333333333,4,12,False,0.0,10,99.00,False,885,medium,medium,gsm_symbolic
GSM_011,meta-llama/llama-3.1-8b-instruct,0.0,0,4,False,0.3,2,8.80,False,86,medium,medium,gsm_symbolic
GSM_012,meta-llama/llama-3.1-8b-instruct,0.0,0,12,False,0.0,12,31.90,False,81,medium,medium,gsm_symbolic
GSM_013,meta-llama/llama-3.1-8b-instruct,0.5,3,6,False,0.2222222222222222,3,13.20,False,90,medium,medium,gsm_symbolic
GSM_014,meta-llama/llama-3.1-8b-instruct,0.1111111111111111,1,9,False,0.4,5,66.00,False,70,medium,medium,gsm_symbolic
GSM_015,meta-llama/llama-3.1-8b-instruct,0.0,0,12,False,0.0,13,6.60,False,354,medium,hard,gsm_symbolic
GSM_016,meta-llama/llama-3.1-8b-instruct,0.08333333333333333,1,12,False,0.0,19,16.50,False,5,medium,hard,gsm_p1p2
GSM_017,meta-llama/llama-3.1-8b-instruct,0.16666666666666666,2,12,False,0.0,13,12.10,False,922,medium,hard,gsm_p1p2
GSM_018,meta-llama/llama-3.1-8b-instruct,0.16666666666666666,2,12,False,0.0,21,26.40,False,21,medium,hard,gsm_p1p2
GSM_019,meta-llama/llama-3.1-8b-instruct,0.4166666666666667,5,12,False,0.6666666666666666,6,0.83,False,3,medium,hard,gsm_p1p2
GSM_020,meta-llama/llama-3.1-8b-instruct,0.25,3,12,False,0.0,10,5.50,False,24,medium,hard,gsm_p1p2
