problem_id,problem_subtype,byte_identical_text,identical_answer,canonical_n_denominations,canonical_target,canonical_optimal_coin_count,w6_n_denominations,w6_target,w6_optimal_coin_count,Claude_canonical_correct,Claude_w6_correct,GPT-4o_canonical_correct,GPT-4o_w6_correct,Gemini_canonical_correct,Gemini_w6_correct,Llama_canonical_correct,Llama_w6_correct,o4-mini_canonical_correct,o4-mini_w6_correct,canonical_n_nodes,canonical_n_edges,canonical_optimal_path_length,w6_n_nodes,w6_n_edges,w6_optimal_path_length,canonical_n_intervals,canonical_optimal_weight,w6_n_intervals,w6_optimal_weight
CC_031,coin_change,False,False,4.0,42.0,5.0,4.0,67.0,4.0,False,False,True,False,True,False,False,False,True,True,,,,,,,,,,
CC_032,coin_change,False,False,5.0,77.0,4.0,5.0,128.0,6.0,False,False,False,False,False,False,False,False,True,True,,,,,,,,,,
CC_033,coin_change,False,False,4.0,113.0,13.0,4.0,39.0,1.0,False,True,False,True,False,True,False,True,True,True,,,,,,,,,,
CC_034,coin_change,False,False,4.0,102.0,3.0,4.0,25.0,3.0,True,False,True,True,True,True,False,False,True,True,,,,,,,,,,
CC_035,coin_change,False,False,4.0,71.0,8.0,4.0,146.0,8.0,True,False,True,False,False,False,False,False,True,True,,,,,,,,,,
CC_036,coin_change,False,False,4.0,106.0,12.0,4.0,123.0,7.0,True,False,False,False,False,True,False,False,True,True,,,,,,,,,,
CC_037,coin_change,False,False,4.0,87.0,11.0,4.0,119.0,10.0,False,False,False,False,False,False,False,False,True,True,,,,,,,,,,
CC_038,coin_change,False,False,4.0,24.0,6.0,4.0,66.0,6.0,False,False,True,False,True,False,False,False,True,True,,,,,,,,,,
CC_039,coin_change,False,False,4.0,108.0,4.0,4.0,119.0,11.0,False,False,False,False,False,False,False,False,True,True,,,,,,,,,,
CC_040,coin_change,False,False,4.0,30.0,2.0,4.0,49.0,7.0,False,False,False,False,True,False,False,False,True,True,,,,,,,,,,
CC_041,coin_change,False,False,4.0,141.0,5.0,4.0,52.0,14.0,True,False,False,False,False,False,False,False,True,True,,,,,,,,,,
