problem_id,variant_type,model,raw_response,behavioral_correct,correct_answer,problem_family,contamination_pole,difficulty
GSM_001,canonical,openai/o4-mini,"The first 20 min cost 20·\$0.90 = \$18.  
The remaining 86–20 = 66 min cost 66·\$0.50 = \$33.  
Total cost = \$18 + \$33 = \$51.",True,51,arithmetic_reasoning,high,medium
GSM_002,canonical,openai/o4-mini,"If boys are two-thirds as many as the 18 girls, then  
boys = (2/3)·18 = 12.  
Total kids = girls + boys = 18 + 12 = 30.",True,30,arithmetic_reasoning,high,easy
GSM_003,canonical,openai/o4-mini,"Purple cards: 30  
Yellow cards: 30 + 50% of 30 = 30 + 15 = 45  
Blue cards: 30 + 45 = 75  
Total cards: 30 + 45 + 75 = 150",True,150,arithmetic_reasoning,high,medium
GSM_004,canonical,openai/o4-mini,"He works 2 weeks × 6 days = 12 days each month, so in 12 months he works  
12 × 12 = 144 days.  
At £150 per day his annual pay is  
144 × 150 = £21,600.",True,21600,arithmetic_reasoning,high,easy
GSM_005,canonical,openai/o4-mini,"Liam’s in‐class time per week  
= (6 days)·(7 classes/day)·(60 min/class)  
= 6·7·60 = 2 520 min  

Weekend extra learning  
= 1/7 of 2 520 min on Saturday + the same on Sunday  
= 360 min + 360 min = 720 min  

Total learning time per week  
= 2 520 min + 720 min = 3 240 min  
= 3 240 ÷ 60 = 54 hours  

Answer: He spends 54 hours a week learning.",True,54,arithmetic_reasoning,high,hard
GSM_006,canonical,openai/o4-mini,"First-year price:  
56 € × 1.30 = 72.80 €  

Second‐year price:  
72.80 € × 0.75 = 54.60 €  

Total for 10 shares:  
10 × 54.60 € = 546 €",True,546,arithmetic_reasoning,high,medium
GSM_007,canonical,openai/o4-mini,"Kai is liable for 4 h – 2 h free = 2 paid hours.  
• 1st paid hour: \$10  
• 2nd paid hour: \$10×2 = \$20  
Total = \$10 + \$20 = \$30.",True,30,arithmetic_reasoning,high,hard
GSM_008,canonical,openai/o4-mini,"Each day the total infected quadruples (each person infects 3 new, plus they remain infected), so after 3 days:
  
Total = 16 × 4³ = 16 × 64 = 1024.",True,1024,arithmetic_reasoning,high,medium
GSM_009,canonical,openai/o4-mini,"Nia eats a total of  
 84 days·5 eggs/day + 24 days·7 eggs/day  
= 420 + 168 = 588 eggs,  
and 588 ÷ 12 = 49 dozen eggs.  
So she needs 49 dozen.",True,49,arithmetic_reasoning,high,medium
GSM_010,canonical,openai/o4-mini,"First 30 s: 60 popped  
Next 30 s: 4×60 = 240 popped  
Third 30 s: rate = 6×(initial rate) ⇒ 6×60 per 30 s = 360 popped  
Fourth 30 s: half the previous rate ⇒ ½×360 = 180 popped  
Residual popping: ¼×180 = 45 popped  

Total = 60 + 240 + 360 + 180 + 45 = 885  

Zahra ends up with 885 pieces of popcorn.",True,885,arithmetic_reasoning,medium,medium
GSM_011,canonical,openai/o4-mini,"First compute how much water he used:

- Giant: 8 × 12 g = 96 g  
- Medium: 13 × 11 g = 143 g  
- Small: 15 × (1/5 g) = 15 × 0.2 g = 3 g  

Total used = 96 + 143 + 3 = 242 g  
Remaining = 328 g – 242 g = 86 g  

He has 86 grams of water left.",True,86,arithmetic_reasoning,medium,medium
GSM_012,canonical,openai/o4-mini,"First, find how many plants she had before gifting:

• On the 52 ledges: 7 plants/ledge · 52 ledges = 364  
• Plus the 29 new plants = 364 + 29 = 393 total

She gives away 6 plants from each of the 52 ledges:

• 6 plants/ledge · 52 ledges = 312 given away

Remaining plants:

393 – 312 = 81

Answer: Camila will have 81 potted plants left.",True,81,arithmetic_reasoning,medium,medium
GSM_013,canonical,openai/o4-mini,"Mia’s beach‐walking speed is  
   v_b = 12 km ÷ 1 h = 12 km/h.  
On the sidewalk she goes twice as fast, v_s = 24 km/h, so the 12 km there take  
   12 km ÷ 24 km/h = 0.5 h = 30 min.  
Total time = 60 min + 30 min = 90 minutes.",True,90,arithmetic_reasoning,medium,medium
GSM_014,canonical,openai/o4-mini,"First, total cleaning time:

210 floors × 20 min/floor = 4 200 minutes = 70 hours.

Total available time:

10 days × 10 hours/day = 100 hours.

So the fraction of their time spent cleaning is

70 hours ÷ 100 hours = 0.70 = 70%

On average they spend 70% of each workday cleaning floors.",True,70,arithmetic_reasoning,medium,medium
GSM_015,canonical,openai/o4-mini,"Rounding each price to the nearest euro gives

• Tulips: €2.25 → €2  
• Roses: €5.13 → €5  
• Sunflowers: €5.47 → €5  

So his takings are  
12·2 + 29·5 + 37·5 = 24 + 145 + 185 = €354.",True,354,arithmetic_reasoning,medium,hard
GSM_016,canonical,openai/o4-mini,"First, compute the total weight:

· Wheat: 6 boxes × 4 lb = 24 lb  
· Cucumbers: 12 bags × 5 lb = 60 lb  
· Apples: 32 packs × 43 lb = 1 376 lb  
· Corn: 18 sacks × 15 lb = 270 lb  
· Grocery = 43 lb  
· Tools = 27 lb  

Total = 24+60+1 376+270+43+27 = 1 800 lb

Each truck holds 120 lb, so three trucks together carry 3×120 = 360 lb per run.  
Number of runs needed = 1 800 ÷ 360 = 5 exactly.

Answer: He must make 5 trips (with all three trucks each time).",True,5,arithmetic_reasoning,medium,hard
GSM_017,canonical,openai/o4-mini,"First, organize what he sold on Friday and Saturday:

Friday  
• Cookies: 25 boxes  
• Orange pies: 13 fewer than Saturday  

Saturday  
• Cookies: 25 + 11 = 36 boxes  
• Orange pies: 22 boxes  

So on Friday he sold 22 − 13 = 9 pies.

Next, “On Sunday, he sold as much as he did in the past two days combined.”  Interpreting that to mean for each item he sold the sum of Friday + Saturday:

Sunday  
• Cookies: 25 + 36 = 61 boxes  
• Orange pies: 9 + 22 = 31 boxes  

Now compute daily earnings at ¥12 per cookie‐box and ¥21 per pie‐box:

Friday earnings = 25·12 + 9·21 = 300 + 189 = ¥489  
Saturday earnings = 36·12 + 22·21 = 432 + 462 = ¥894  
Sunday earnings = 61·12 + 31·21 = 732 + 651 = ¥1,383  

Total over three days = 489 + 894 + 1,383 = ¥2,766  
Average per day = 2,766 ÷ 3 = ¥922  

Answer: ¥922.",True,922,arithmetic_reasoning,medium,hard
GSM_018,canonical,openai/o4-mini,"First compute the number of questions in each subject:

- Physics: 25% of 80 = 0.25·80 = 20  
- Algebra: 15% of 80 = 0.15·80 = 12  
- Remaining = 80 − (20+12) = 48, split equally  
  • Chemistry = 24  
  • History   = 24  

Now compute how many she’s sure to get right:

- Physics: 10% of 20 = 2  
- Algebra: 25% of 12 = 3  
- Chemistry: (1/3)·24 = 8  
- History:   (1/3)·24 = 8  

Total sure‐point score = 2 + 3 + 8 + 8 = 21.",True,21,arithmetic_reasoning,medium,hard
GSM_019,canonical,openai/o4-mini,"Let x be the number of 45-minute episodes on Sunday.  Converting everything to hours:

Friday: 3  
Saturday: 3  
Sunday: (45 min)·x = (45/60)x = 0.75x  
Monday: 4 h + 15 min = 4 + 0.25 = 4.25  
Tuesday: 4·2 h = 8  
Wednesday: 3·0.5 h = 1.5  

Total: 3 + 3 + 0.75x + 4.25 + 8 + 1.5 = 22  
Combine constants: 19.75 + 0.75x = 22  
0.75x = 22 – 19.75 = 2.25  
x = 2.25 / 0.75 = 3  

He watched 3 of the 45-minute episodes on Sunday.",False,3,arithmetic_reasoning,medium,hard
GSM_020,canonical,openai/o4-mini,"First convert 10 dozen to eggs:  
10 dozen = 10×12 = 120 eggs total.  

Now find how many each child found:  
• Ava: 3 eggs  
• Quinn: 6×3 = 18 eggs  
• Sophia: 18 − 3 = 15 eggs  
• Esteban: (1/5)×15 = 3 eggs  
• Fatima: (Quinn + Ava) + 3 dozen = (18 + 3) + 36 = 21 + 36 = 57 eggs  

Total found = 3 + 18 + 15 + 3 + 57 = 96 eggs  

Eggs still hidden = 120 − 96 = 24 eggs.",True,24,arithmetic_reasoning,medium,hard
GSM_001,W1,openai/o4-mini,"First 20 min cost: 20 × \$0.90 = \$18  
Remaining 86 – 20 = 66 min at \$0.50 = 66 × \$0.50 = \$33  
Total = \$18 + \$33 = \$51.",True,51,arithmetic_reasoning,high,medium
GSM_002,W1,openai/o4-mini,"The number of boys is (2/3)×18=12, so the total number of kids is 18+12=30.",True,30,arithmetic_reasoning,high,easy
GSM_003,W1,openai/o4-mini,"Purple cards: 30  
Yellow cards: 50% more than 30 = 30 + 0.5·30 = 45  
Blue cards: equal to purple + yellow = 30 + 45 = 75  

Total cards = 30 + 45 + 75 = 150",True,150,arithmetic_reasoning,high,medium
GSM_004,W1,openai/o4-mini,"The painter works  
• 2 weeks per month × 12 months = 24 weeks per year  
• 6 days per week ⇒ 24 weeks × 6 days = 144 working days per year  
At £150 per day ⇒ 144 × £150 = £21 600  

So his total earnings for the year are £21 600.",False,21600,arithmetic_reasoning,high,easy
GSM_005,W1,openai/o4-mini,"Liam has 7 classes a day (6 regular + 1 extra), 6 days a week, so

• Classes per week = 7 × 6 = 42  
• Class minutes per week = 42 × 60 = 2520  

On Saturday and again on Sunday he does extra learning equal to 1/7 of 2520 min, i.e.  
2520 ÷ 7 = 360 min per day → 2 days = 720 min extra.

Total learning minutes = 2520 + 720 = 3240  
Total learning hours = 3240 ÷ 60 = 54

Answer: 54 hours per week.",True,54,arithmetic_reasoning,high,hard
GSM_006,W1,openai/o4-mini,"After a 30% rise, the share price becomes  
56 × 1.30 = 72.80.  
After a 25% drop, it becomes  
72.80 × 0.75 = 54.60.  
For 10 shares the total value is  
10 × 54.60 = 546.  

So Kayla’s holdings are worth Û546 at the end of year 2.",False,546,arithmetic_reasoning,high,medium
GSM_007,W1,openai/o4-mini,"Kai pays for only 2 of the 4 hours.  The first paid hour costs \$10, the second (double the first) costs \$20, so in all he pays

10 + 20 = \$30.",True,30,arithmetic_reasoning,high,hard
GSM_008,W1,openai/o4-mini,"We can track day by day.  Let I₀=16 be the number infected initially (day 0).  Each day every infected person remains infected and also infects 3 new people, so the total multiplies by 4 each day.

Day 1: I₁ = 4·I₀ = 4·16 = 64  
Day 2: I₂ = 4·I₁ = 4·64 = 256  
Day 3: I₃ = 4·I₂ = 4·256 = 1024  

Hence after 3 days there are 1,024 people infected.",True,1024,arithmetic_reasoning,high,medium
GSM_009,W1,openai/o4-mini,"Nia eats a total of  
84 days×5 eggs/day + 24 days×7 eggs/day  
= 420 + 168  
= 588 eggs,  
and 588 ÷ 12 = 49 dozens.  
So she needs 49 dozen eggs.",True,49,arithmetic_reasoning,high,medium
GSM_010,W1,openai/o4-mini,"First 30 s: 60 pop  
Next 30 s: 4·60 = 240 pop  
Next 30 s: 6·60 = 360 pop  
Last 30 s on heat: ½·360 = 180 pop  
Residual (off‐heat): ¼·180 = 45 pop  

Total = 60 + 240 + 360 + 180 + 45 = 885 popcorn pieces.",True,885,arithmetic_reasoning,medium,medium
GSM_011,W1,openai/o4-mini,"First, compute the water used for each size:

• Giant cubes: 8 × 12 g = 96 g  
• Medium cubes: 13 × 11 g = 143 g  
• Small cubes: 15 × (1/5 g) = 3 g  

Total used = 96 + 143 + 3 = 242 g  
Remaining = 328 g − 242 g = 86 g

So, 86 grams of water remain unused.",True,86,arithmetic_reasoning,medium,medium
GSM_012,W1,openai/o4-mini,"Camila starts with 7·52 = 364 plants, then adds 29 more for a total of 364 + 29 = 393.  
Gifting away 6·52 = 312 plants leaves her with 393 − 312 = 81 plants.",True,81,arithmetic_reasoning,medium,medium
GSM_013,W1,openai/o4-mini,"Mia’s beach speed is  
  12 km ÷ 1 h = 12 km/h.  
Her sidewalk speed is twice that, 24 km/h, so her 12 km sidewalk leg takes  
  12 km ÷ 24 km/h = 0.5 h = 30 min.  
Total time = 60 min + 30 min = 90 minutes.",True,90,arithmetic_reasoning,medium,medium
GSM_014,W1,openai/o4-mini,"Total cleaning time = 210 floors × 20 min = 4 200 min = 70 hours.  
Spread over 10 days ⇒ 7 hours of cleaning per day.  
Worker’s day = 10 hours, so  
7 / 10 = 0.7 ⇒ 70% of daily hours.",True,70,arithmetic_reasoning,medium,medium
GSM_015,W1,openai/o4-mini,"First round each per‐bundle price to the nearest dollar:

• Tulips: \$2.25 → \$2  
• Roses:  \$5.13 → \$5  
• Sunflowers: \$5.47 → \$5  

Then compute revenue:

• Tulips: 12×\$2 = \$24  
• Roses:  29×\$5 = \$145  
• Sunflowers: 37×\$5 = \$185  

Total revenue = 24 + 145 + 185 = \$354",True,354,arithmetic_reasoning,medium,hard
