family,phase,model,n_rows,canonical_execution_accuracy,cci_computed,tep_computed,reason_if_missing
GSM,phase1_declare,Claude,44,0.8636,True,True,
GSM,phase2A_execute,Claude,44,0.8636,True,False,
GSM,phase2B_inject,Claude,44,,False,True,
GSM,phase1_declare,Gemini,44,0.8182,True,True,
GSM,phase2A_execute,Gemini,44,0.8182,True,False,
GSM,phase2B_inject,Gemini,44,,False,True,
GSM,phase1_declare,GPT-4o,44,0.6818,True,True,
GSM,phase2A_execute,GPT-4o,44,0.6818,True,False,
GSM,phase2B_inject,GPT-4o,44,,False,True,
GSM,phase1_declare,Llama,44,0.4545,True,True,
GSM,phase2A_execute,Llama,44,0.4545,True,False,
GSM,phase2B_inject,Llama,44,,False,True,
GSM,phase1_declare,o4-mini,44,0.9318,False,False,o4-mini_phase1_collected_but_excluded_from_GSM_P2_cci
GSM,phase2A_execute,o4-mini,0,0.9318,False,False,o4-mini_phase1_collected_but_excluded_from_GSM_P2_cci
GSM,phase2B_inject,o4-mini,0,,False,False,o4-mini_phase1_collected_but_excluded_from_GSM_P2_cci
ALGO,phase1_declare,Claude,110,,True,False,
ALGO,phase2A_execute,Claude,110,,True,False,
ALGO,phase2B_inject,Claude,61,,False,True,injection_traces_exist_tep_metric_not_standardized
ALGO,phase1_declare,Gemini,110,,False,False,cci_all_nan_or_unparseable_execution
ALGO,phase2A_execute,Gemini,61,,False,False,cci_all_nan_or_unparseable_execution
ALGO,phase2B_inject,Gemini,61,,False,True,injection_traces_exist_tep_metric_not_standardized
ALGO,phase1_declare,GPT-4o,110,,True,False,
ALGO,phase2A_execute,GPT-4o,110,,True,False,
ALGO,phase2B_inject,GPT-4o,61,,False,True,injection_traces_exist_tep_metric_not_standardized
ALGO,phase1_declare,Llama,110,,True,False,
ALGO,phase2A_execute,Llama,110,,True,False,
ALGO,phase2B_inject,Llama,61,,False,True,injection_traces_exist_tep_metric_not_standardized
ALGO,phase1_declare,o4-mini,0,,False,False,never_collected
ALGO,phase2A_execute,o4-mini,0,,False,False,never_collected
ALGO,phase2B_inject,o4-mini,0,,False,False,never_collected
BW,phase1_declare,Claude,50,0.0,True,True,"goal_reached=0; partial_goal_mean=0.0251; BW Probe 2 dead twice over: (1) floor effects on Claude/GPT-4o/Llama (goal_reached=0; partial_goal_mean GPT-4o=0.008 to Llama=0.136); (2) no data at all for Gemini, o4-mini, DeepSeek. Do not use 0.02–0.22 canonical-execution figure (unrecovered)."
BW,phase2A_execute,Claude,50,0.0,True,False,"ok; goal_reached=0; partial_goal_mean=0.0251; BW Probe 2 dead twice over: (1) floor effects on Claude/GPT-4o/Llama (goal_reached=0; partial_goal_mean GPT-4o=0.008 to Llama=0.136); (2) no data at all for Gemini, o4-mini, DeepSeek. Do not use 0.02–0.22 canonical-execution figure (unrecovered)."
BW,phase2B_inject,Claude,177,0.0,False,True,"ok; goal_reached=0; partial_goal_mean=0.0251; BW Probe 2 dead twice over: (1) floor effects on Claude/GPT-4o/Llama (goal_reached=0; partial_goal_mean GPT-4o=0.008 to Llama=0.136); (2) no data at all for Gemini, o4-mini, DeepSeek. Do not use 0.02–0.22 canonical-execution figure (unrecovered)."
BW,phase1_declare,GPT-4o,50,0.0,True,True,"goal_reached=0; partial_goal_mean=0.0083; BW Probe 2 dead twice over: (1) floor effects on Claude/GPT-4o/Llama (goal_reached=0; partial_goal_mean GPT-4o=0.008 to Llama=0.136); (2) no data at all for Gemini, o4-mini, DeepSeek. Do not use 0.02–0.22 canonical-execution figure (unrecovered)."
BW,phase2A_execute,GPT-4o,50,0.0,True,False,"ok; goal_reached=0; partial_goal_mean=0.0083; BW Probe 2 dead twice over: (1) floor effects on Claude/GPT-4o/Llama (goal_reached=0; partial_goal_mean GPT-4o=0.008 to Llama=0.136); (2) no data at all for Gemini, o4-mini, DeepSeek. Do not use 0.02–0.22 canonical-execution figure (unrecovered)."
BW,phase2B_inject,GPT-4o,180,0.0,False,True,"ok; goal_reached=0; partial_goal_mean=0.0083; BW Probe 2 dead twice over: (1) floor effects on Claude/GPT-4o/Llama (goal_reached=0; partial_goal_mean GPT-4o=0.008 to Llama=0.136); (2) no data at all for Gemini, o4-mini, DeepSeek. Do not use 0.02–0.22 canonical-execution figure (unrecovered)."
