model,problem_subtype,instance_type,behavioural_pattern,w3_retention,mean_vri,mean_can,mean_w3,n
anthropic/claude-sonnet-4,coin_change,adversarial,computation,0.8571428571428572,0.1,0.7,0.6,10
anthropic/claude-sonnet-4,coin_change,standard,mixed,0.75,0.06666666666666667,0.26666666666666666,0.2,15
anthropic/claude-sonnet-4,shortest_path,adversarial,mixed,,-0.03225806451612903,0.0,0.03225806451612903,31
anthropic/claude-sonnet-4,shortest_path,standard,retrieval,0.0,0.9166666666666666,0.9166666666666666,0.0,24
anthropic/claude-sonnet-4,wis,adversarial,retrieval,0.0,0.23333333333333334,0.23333333333333334,0.0,30
google/gemini-2.5-flash,coin_change,adversarial,computation,1.4,-0.2,0.5,0.7,10
google/gemini-2.5-flash,coin_change,standard,retrieval,0.0,0.26666666666666666,0.26666666666666666,0.0,15
google/gemini-2.5-flash,shortest_path,adversarial,retrieval,0.7222222222222222,0.16129032258064516,0.5806451612903226,0.41935483870967744,31
google/gemini-2.5-flash,shortest_path,standard,retrieval,0.4444444444444444,0.4166666666666667,0.75,0.3333333333333333,24
google/gemini-2.5-flash,wis,adversarial,retrieval,0.0,0.2,0.2,0.0,30
meta-llama/llama-3.1-8b-instruct,coin_change,adversarial,retrieval,0.0,0.2,0.2,0.0,10
meta-llama/llama-3.1-8b-instruct,coin_change,standard,mixed,,0.0,0.0,0.0,15
meta-llama/llama-3.1-8b-instruct,shortest_path,adversarial,mixed,0.0,0.06451612903225806,0.06451612903225806,0.0,31
meta-llama/llama-3.1-8b-instruct,shortest_path,standard,mixed,0.0,0.041666666666666664,0.041666666666666664,0.0,24
meta-llama/llama-3.1-8b-instruct,wis,adversarial,mixed,2.0,-0.03333333333333333,0.03333333333333333,0.06666666666666667,30
openai/gpt-4o,coin_change,adversarial,retrieval,0.0,0.6,0.6,0.0,10
openai/gpt-4o,coin_change,standard,retrieval,0.25,0.2,0.26666666666666666,0.06666666666666667,15
openai/gpt-4o,shortest_path,adversarial,retrieval,0.6666666666666666,0.1935483870967742,0.5806451612903226,0.3870967741935484,31
openai/gpt-4o,shortest_path,standard,retrieval,0.5454545454545455,0.20833333333333334,0.4583333333333333,0.25,24
openai/gpt-4o,wis,adversarial,retrieval,0.0,0.26666666666666666,0.26666666666666666,0.0,30
