family,probe,model,gap_kind,gap_id
GSM,P1,GPT-4o,missing_canonical,GSM_041
GSM,P1,GPT-4o,missing_canonical,GSM_042
GSM,P1,GPT-4o,missing_canonical,GSM_043
GSM,P1,GPT-4o,missing_canonical,GSM_044
GSM,P1,GPT-4o,missing_canonical,GSM_045
GSM,P1,GPT-4o,missing_canonical,GSM_046
GSM,P1,GPT-4o,missing_canonical,GSM_047
GSM,P1,GPT-4o,missing_canonical,GSM_048
GSM,P1,GPT-4o,missing_canonical,GSM_049
GSM,P1,GPT-4o,missing_canonical,GSM_050
GSM,P1,GPT-4o,missing_canonical,GSM_051
GSM,P1,GPT-4o,missing_canonical,GSM_052
GSM,P1,GPT-4o,missing_canonical,GSM_053
GSM,P1,GPT-4o,missing_canonical,GSM_054
GSM,P1,GPT-4o,missing_canonical,GSM_055
GSM,P1,GPT-4o,missing_canonical,GSM_056
GSM,P1,GPT-4o,missing_canonical,GSM_057
GSM,P1,GPT-4o,missing_canonical,GSM_058
GSM,P1,GPT-4o,missing_canonical,GSM_059
GSM,P1,GPT-4o,missing_canonical,GSM_060
GSM,P1,GPT-4o,missing_canonical,GSM_061
GSM,P1,GPT-4o,missing_canonical,GSM_062
GSM,P1,GPT-4o,missing_canonical,GSM_063
GSM,P1,GPT-4o,missing_canonical,GSM_064
GSM,P1,GPT-4o,missing_w1,GSM_041
GSM,P1,GPT-4o,missing_w2,GSM_041
GSM,P1,GPT-4o,missing_w3,GSM_041
GSM,P1,GPT-4o,missing_w4,GSM_041
GSM,P1,GPT-4o,missing_w5,GSM_041
GSM,P1,GPT-4o,missing_w6,GSM_041
GSM,P1,GPT-4o,missing_w1,GSM_042
GSM,P1,GPT-4o,missing_w2,GSM_042
GSM,P1,GPT-4o,missing_w3,GSM_042
GSM,P1,GPT-4o,missing_w4,GSM_042
GSM,P1,GPT-4o,missing_w5,GSM_042
GSM,P1,GPT-4o,missing_w6,GSM_042
GSM,P1,GPT-4o,missing_w1,GSM_043
GSM,P1,GPT-4o,missing_w2,GSM_043
GSM,P1,GPT-4o,missing_w3,GSM_043
GSM,P1,GPT-4o,missing_w4,GSM_043
GSM,P1,GPT-4o,missing_w5,GSM_043
GSM,P1,GPT-4o,missing_w6,GSM_043
GSM,P1,GPT-4o,missing_w1,GSM_044
GSM,P1,GPT-4o,missing_w2,GSM_044
GSM,P1,GPT-4o,missing_w3,GSM_044
GSM,P1,GPT-4o,missing_w4,GSM_044
GSM,P1,GPT-4o,missing_w5,GSM_044
GSM,P1,GPT-4o,missing_w6,GSM_044
GSM,P1,GPT-4o,missing_w1,GSM_045
GSM,P1,GPT-4o,missing_w2,GSM_045
GSM,P1,GPT-4o,missing_w3,GSM_045
GSM,P1,GPT-4o,missing_w4,GSM_045
GSM,P1,GPT-4o,missing_w5,GSM_045
GSM,P1,GPT-4o,missing_w6,GSM_045
GSM,P1,GPT-4o,missing_w1,GSM_046
GSM,P1,GPT-4o,missing_w2,GSM_046
GSM,P1,GPT-4o,missing_w3,GSM_046
GSM,P1,GPT-4o,missing_w4,GSM_046
GSM,P1,GPT-4o,missing_w5,GSM_046
GSM,P1,GPT-4o,missing_w6,GSM_046
GSM,P1,GPT-4o,missing_w1,GSM_047
