problem_id,variant_type,model,behavioral_correct,raw_response,family,correct_answer,verify_family
BW_001,canonical,meta-llama/Llama-3.1-8B-Instruct,False,"1. pick-up j
2. stack j f
3. pick-up f
4. stack f i
5. pick-up i
6. stack i g
7. pick-up g
8. stack g d
9. pick-up d
10. stack d b
11. pick-up b
12. stack b h
13. pick-up h
14. stack h l",bw,"pick-up h
stack h l
pick-up b
stack b h
pick-up d
stack d b
pick-up g
stack g d
pick-up i
stack i g
pick-up f
stack f i
pick-up j
stack j f",blocksworld
BW_001,W5,meta-llama/Llama-3.1-8B-Instruct,False,"1. pick-up l
2. unstack l h
3. put-down l
4. pick-up h
5. unstack h b
6. put-down h
7. pick-up b
8. unstack b d
9. put-down b
10. pick-up d
11. unstack d g
12. put-down d
13. pick-up g
14. unstack g i
15. put-down g
16. pick-up i
17. unstack i f
18. put-down i
19. pick-up f
20. unstack f j
21. put-down f
22. pick-up j
23. put-down j",bw,"unstack j f
put-down j
unstack f i
put-down f
unstack i g
put-down i
unstack g d
put-down g
unstack d b
put-down d
unstack b h
put-down b
unstack h l
put-down h",blocksworld
BW_002,canonical,meta-llama/Llama-3.1-8B-Instruct,False,"1. pick-up j
2. stack j g
3. pick-up g
4. stack g a
5. pick-up a
6. stack a b
7. pick-up b
8. stack b k
9. pick-up k
10. stack k h
11. pick-up h
12. stack h i",bw,"pick-up k
 stack k h
 pick-up i
 stack i k
 pick-up b
 stack b i
 pick-up a
 stack a b
 pick-up g
 stack g a
 pick-up j
 stack j g",blocksworld
BW_002,W5,meta-llama/Llama-3.1-8B-Instruct,False,"1. pick-up i
2. unstack h k
3. pick-up k
4. unstack b a
5. pick-up a
6. unstack g j
7. pick-up j
8. unstack h b
9. pick-up b
10. unstack g a
11. pick-up g
12. put-down i
13. put-down k
14. put-down j
15. put-down a
16. put-down b
17. put-down g",bw,"unstack j g
put-down j
unstack g a
put-down g
unstack a b
put-down a
unstack b k
put-down b
unstack k h
put-down k
unstack h i
put-down h",blocksworld
BW_010,canonical,meta-llama/Llama-3.1-8B-Instruct,False,"1. pick-up d
2. stack d e
3. pick-up e
4. stack e a
5. pick-up a
6. stack a b
7. pick-up b
8. stack b f",bw,"pick-up b
stack b f
pick-up a
stack a b
pick-up e
stack e a
pick-up d
stack d e",blocksworld
BW_010,W5,meta-llama/Llama-3.1-8B-Instruct,False,"1. pick-up f
2. unstack d e
3. pick-up e
4. unstack a b
5. pick-up b
6. unstack a f
7. pick-up a
8. put-down a
9. put-down b
10. put-down e
11. put-down d",bw,"unstack d e
put-down d
unstack e a
put-down e
unstack a b
put-down a
unstack b f
put-down b",blocksworld
BW_011,canonical,meta-llama/Llama-3.1-8B-Instruct,False,"1. pick-up c
2. stack c k
3. pick-up k
4. stack k g
5. pick-up g
6. stack g a
7. pick-up a
8. stack a l
9. pick-up l
10. stack l j
11. pick-up j
12. stack j e
13. pick-up e
14. stack e h
15. pick-up h
16. stack h i
17. pick-up i
18. stack i b",bw,"pick-up i
stack i b
pick-up h
stack h i
pick-up e
stack e h
pick-up j
stack j e
pick-up l
stack l j
pick-up a
stack a l
pick-up g
stack g a
pick-up k
stack k g
pick-up c
stack c k",blocksworld
BW_011,W5,meta-llama/Llama-3.1-8B-Instruct,False,"1. pick-up b
2. unstack i h
3. pick-up h
4. unstack e j
5. pick-up j
6. unstack l a
7. pick-up a
8. unstack g k
9. pick-up k
10. unstack c g
11. pick-up g
12. put-down g
13. put-down k
14. put-down a
15. put-down j
16. put-down h
17. put-down i
18. put-down c
19. put-down e
20. put-down l",bw,"unstack c k
put-down c
unstack k g
put-down k
unstack g a
put-down g
unstack a l
put-down a
unstack l j
put-down l
unstack j e
put-down j
unstack e h
put-down e
unstack h i
put-down h
unstack i b
put-down i",blocksworld
BW_014,canonical,meta-llama/Llama-3.1-8B-Instruct,False,"1. pick-up l
2. stack l e
3. pick-up e
4. stack e g
5. put-down e",bw,"pick-up e
 stack e g
 pick-up l
 stack l e",blocksworld
BW_014,W5,meta-llama/Llama-3.1-8B-Instruct,False,"1. pick-up g
2. unstack l e
3. unstack e g
4. put-down e
5. put-down l
6. put-down g",bw,"unstack l e
put-down l
unstack e g
put-down e",blocksworld
